1	Wie	wie	KOKOM	_	_	4	KOM	_	_
32	,	,	$,	_	_	31	-PUNCT-	_	_
33	in	in	APPR	_	_	37	PP	_	_
34	Hellersdorf	Hellersdorf	NE	_	_	33	PN	_	_
35	und	und	KON	_	_	34	KON	_	_
36	Lichtenberg	Lichtenberg	NE	_	_	35	CJ	_	_
37	sind	sein	VAFIN	_	_	26	KON	_	_
38	es	es	PPER	_	_	37	PRED	_	_
39	immerhin	immerhin	ADV	_	_	37	ADV	_	_
40	acht	acht	CARD	_	_	37	SUBJ	_	_
41	.	.	$.	_	_	40	-PUNCT-	_	_

1	Der	die	ART	_	_	2	DET	_	_
2	Rettung	Rettung	NN	_	_	6	OBJD	_	_
3	der	die	ART	_	_	5	DET	_	_
4	deutschen	deutsch	ADJA	_	_	5	ATTR	_	_
5	Mark	Mark	NN	_	_	2	GMOD	_	_
6	fühlt	fühlen	VVFIN	_	_	0	ROOT	_	_
7	sich	#refl	PRF	_	_	6	OBJA	_	_
8	der	der	ART	_	_	9	DET	_	(4
9	Bürgerbund	Bürgerbund	NN	_	_	6	SUBJ	_	4)
10	mit	mit	APPR	_	_	6	PP	_	_
11	seiner	seine	PPOSAT	_	_	12	DET	_	(4)
12	Landesliste	Landesliste	NN	_	_	10	PN	_	_
13	verpflichtet	verpflichtet	ADJD	_	_	6	PRED	_	_
14	.	.	$.	_	_	13	-PUNCT-	_	_

1	Auch	auch	ADV	_	_	2	ADV	_	_
2	hier	hier	ADV	_	_	3	ADV	_	_
3	herrscht	herrschen	VVFIN	_	_	0	ROOT	_	_
4	Personalmangel	Personalmangel	NN	_	_	3	SUBJ	_	_
5	:	:	$.	_	_	4	-PUNCT-	_	_
6	Lediglich	lediglich	ADV	_	_	7	ADV	_	_
7	in	in	APPR	_	_	10	PP	_	_
8	vier	vier	CARD	_	_	9	ATTR	_	_
9	Bezirken	Bezirk	NN	_	_	7	PN	_	_
10	wurden	werden%passiv	VAFIN	_	_	0	ROOT	_	_
11	Wahlkreisbewerber	Wahlkreisbewerber	NN	_	_	10	SUBJ	_	_
12	aufgestellt	auf#stellen	VVPP	_	_	10	AUX	_	_
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	Bahn	Bahn	NN	_	_	11	NEB	_	_
2	frei	frei	ADJD	_	_	1	ATTR	_	_
3	auf	auf	APPR	_	_	1	PP	_	_
4	der	die	ART	_	_	6	DET	_	_
5	rechten	rechts	ADJA	_	_	6	ATTR	_	_
6	Spur	Spur	NN	_	_	3	PN	_	_
7	-	-	$(	_	_	6	-PUNCT-	_	_
8	unter	unter	APPR	_	_	22	OBJP	_	_
9	diesem	dieses	PDAT	_	_	10	DET	_	_
10	Motto	Motto	NN	_	_	8	PN	_	_
11	könnte	können%aux	VMFIN	_	_	0	ROOT	_	_
12	der	der	ART	_	_	13	DET	_	_
13	Wahlslogan	Wahlslogan	NN	_	_	11	SUBJ	_	_
14	der	die	ART	_	_	15	DET	_	_
15	Autofahrer-	Autofahrerpartei%n	TRUNC	_	_	13	GMOD	_	_
16	und	und	KON	_	_	15	KON	_	_
17	Bürgerinteressenpartei	Bürgerinteressenpartei	NN	_	_	16	CJ	_	_
18	Deutschlands	Deutschland	NE	_	_	15	GMOD	_	_
19	(	(	$(	_	_	20	-PUNCT-	_	_
20	APD	APD	NE	_	_	15	APP	_	_
21	)	)	$(	_	_	20	-PUNCT-	_	_
22	stehen	stehen	VVINF	_	_	11	AUX	_	_
23	.	.	$.	_	_	22	-PUNCT-	_	_

1	Die	der	ART	_	_	2	DET	_	_
2	Höchstgeschwindigkeitsfans	Höchstgeschwindigkeitsfan	NN	_	_	3	SUBJ	_	_
3	werden	werden%aux	VAFIN	_	_	0	ROOT	_	_
4	mit	mit	APPR	_	_	13	PP	_	_
5	allergrößter	allergrößt	ADJA	_	_	6	ATTR	_	_
6	Wahrscheinlichkeit	Wahrscheinlichkeit	NN	_	_	4	PN	_	_
7	mit	mit	APPR	_	_	13	PP	_	_
8	einer	eine	ART	_	_	9	DET	_	_
9	Landesliste	Landesliste	NN	_	_	7	PN	_	_
10	am	an	APPRART	_	_	13	PP	_	_
11	Berliner	Berliner	ADJA	_	_	12	ATTR	_	_
12	Abgeordnetenhaus	Abgeordnetenhaus	NN	_	_	10	PN	_	_
13	vorbeirasen	vorbei#rasen	VVINF	_	_	3	AUX	_	_
14	.	.	$.	_	_	13	-PUNCT-	_	_

