1	Ob	ob	KOUS	_	_	2	KONJ	_	_
3	Steckenpferd	Steckenpferd	NN	_	_	1	PN	_	_
4	des	der	ART	_	_	5	DET	_	(3
5	Lehrers	Lehrer	NN	_	_	3	GMOD	_	3)
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	der	der	PRELS	_	_	18	SUBJ	_	(3)
8	früher	früher	ADV	_	_	17	ADV	_	_
9	in	in	APPR	_	_	17	PP	_	_
10	seinen	sein	PPOSAT	_	_	12	DET	_	(3)
11	politischen	politisch	ADJA	_	_	12	ATTR	_	_
12	Seminaren	Seminar	NN	_	_	9	PN	_	_
13	gerne	gerne	ADV	_	_	17	ADV	_	_
14	Wahlplakate	Wahlplakat	NN	_	_	17	OBJA	_	_
15	als	als	KOKOM	_	_	17	KOM	_	_
16	Quellen	Quelle	NN	_	_	15	CJ	_	_
17	eingesetzt	ein#setzen	VVPP	_	_	18	AUX	_	_
18	hat	haben%aux	VAFIN	_	_	5	REL	_	_
19	,	,	$,	_	_	18	-PUNCT-	_	_
20	ist	sein%aux	VAFIN	_	_	0	ROOT	_	_
21	inzwischen	inzwischen	ADV	_	_	30	ADV	_	_
22	eine	eine	ART	_	_	26	DET	_	_
23	in	in	APPR	_	_	25	PP	_	_
24	Deutschland	Deutschland	NE	_	_	23	PN	_	_
25	einmalige	einmalig	ADJA	_	_	26	ATTR	_	_
26	Sammlung	Sammlung	NN	_	_	20	SUBJ	_	_
27	von	von	APPR	_	_	26	PP	_	_
28	unschätzbarem	unschätzbar	ADJA	_	_	29	ATTR	_	_
29	Wert	Wert	NN	_	_	27	PN	_	_
30	geworden	werden	VAPP	_	_	20	AUX	_	_
31	.	.	$.	_	_	30	-PUNCT-	_	_

1	Rund	rund	ADV	_	_	3	ADV	_	_
2	14.000	14.000	CARD	_	_	3	ATTR	_	_
3	Wahlplakate	Wahlplakat	NN	_	_	11	SUBJ	_	_
4	von	von	APPR	_	_	3	PP	_	_
5	250	250	CARD	_	_	7	ATTR	_	_
6	verschiedenen	verschieden	ADJA	_	_	7	ATTR	_	_
7	Parteien	Partei	NN	_	_	4	PN	_	_
8	jeglicher	jegliche	PIDAT	_	_	10	DET	_	_
9	politischer	politisch	ADJA	_	_	10	ATTR	_	_
10	Couleur	Couleur	NN	_	_	7	GMOD	_	_
11	liegen	liegen	VVFIN	_	_	0	ROOT	_	_
12	im	in	APPRART	_	_	11	PP	_	_
13	Archiv	Archiv	NN	_	_	12	PN	_	(4
14	der	die	ART	_	_	15	DET	_	(5
15	Schule	Schule	NN	_	_	13	GMOD	_	4)|5)
16	.	.	$.	_	_	15	-PUNCT-	_	_

1	Die	der|die|das	ART	_	_	2	DET	_	_
2	ältesten	ältest	ADJA	_	_	3	SUBJ	_	_
3	stammen	stammen	VVFIN	_	_	0	ROOT	_	_
4	aus	aus	APPR	_	_	3	OBJP	_	_
5	dem	das	ART	_	_	6	DET	_	_
6	Kaiserreich	Kaiserreich	NN	_	_	4	PN	_	_
7	.	.	$.	_	_	6	-PUNCT-	_	_

1	Damals	damals	ADV	_	_	2	ADV	_	_
2	gab	geben	VVFIN	_	_	0	ROOT	_	_
3	es	es	PPER	_	_	2	SUBJ	_	_
4	noch	noch	ADV	_	_	2	ADV	_	_
5	keine	kein	PIAT	_	_	6	DET	_	_
6	Plakate	Plakat	NN	_	_	2	OBJA	_	_
7	.	.	$.	_	_	6	-PUNCT-	_	_

1	Als	als	KOKOM	_	_	8	KOM	_	_
2	Wahlaufrufe	Wahlaufruf	NN	_	_	1	CJ	_	_
3	wurden	werden%passiv	VAFIN	_	_	0	ROOT	_	_
4	Handzettel	Handzettel	NN	_	_	3	SUBJ	_	_
5	an	an	APPR	_	_	8	PP	_	_
6	die	der|die|das	ART	_	_	7	DET	_	_
7	Leute	Leute	NN	_	_	5	PN	_	_
8	verteilt	verteilen	VVPP	_	_	3	AUX	_	_
9	.	.	$.	_	_	8	-PUNCT-	_	_

1	Gehrmann	Gehrmann	NE	_	_	6	SUBJ	_	(3
2	,	,	$,	_	_	1	-PUNCT-	_	_
3	der	der	ART	_	_	4	DET	_	_
4	CDU-Mann	CDU-Mann	NN	_	_	1	APP	_	3)
5	,	,	$,	_	_	4	-PUNCT-	_	_
6	kramt	hervor#kramen	VVFIN	_	_	0	ROOT	_	_
7	ein	ein	ART	_	_	8	DET	_	(6
8	SPD-Plakat	SPD-Plakat	NN	_	_	6	OBJA	_	_
9	von	von	APPR	_	_	8	PP	_	_
10	1953	1953	CARD	_	_	9	PN	_	6)
11	hervor	_	PTKVZ	_	_	6	AVZ	_	_
12	.	.	$.	_	_	11	-PUNCT-	_	_

1	Es	es	PPER	_	_	2	SUBJ	_	(6)
2	besteht	bestehen	VVFIN	_	_	0	ROOT	_	_
3	nur	nur	ADV	_	_	2	ADV	_	_
4	aus	aus	APPR	_	_	2	OBJP	_	_
5	Text	Text	NN	_	_	4	PN	_	_
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	viel	viel	PIS	_	_	9	SUBJ	_	_
8	davon	davon	PROP	_	_	7	PP	_	_
9	ist	sein	VAFIN	_	_	2	KON	_	_
10	kleingedruckt	kleingedruckt	ADJD	_	_	9	PRED	_	_
11	.	.	$.	_	_	10	-PUNCT-	_	_

1	Kein	kein	PIAT	_	_	2	DET	_	_
2	Mensch	Mensch	NN	_	_	3	SUBJ	_	_
3	würde	werden%aux	VAFIN	_	_	0	ROOT	_	_
4	heute	heute	ADV	_	_	8	ADV	_	_
5	so	so	ADV	_	_	7	ADV	_	_
6	ein	ein	ART	_	_	7	DET	_	_
7	Plakat	Plakat	NN	_	_	8	OBJA	_	_
8	lesen	lesen	VVINF	_	_	3	AUX	_	_
9	.	.	$.	_	_	8	-PUNCT-	_	_

1	Der	der	ART	_	_	2	DET	_	_
2	Trend	Trend	NN	_	_	3	SUBJ	_	_
3	geht	gehen	VVFIN	_	_	0	ROOT	_	_
4	zum	zu	APPRART	_	_	3	OBJP	_	_
5	Slogan	Slogan	NN	_	_	4	PN	_	_
6	mit	mit	APPR	_	_	5	PP	_	_
7	Signalwirkung	Signalwirkung	NN	_	_	6	PN	_	_
8	.	.	$.	_	_	7	-PUNCT-	_	_

1	Durch	durch	APPR	_	_	4	PP	_	_
2	permanente	permanent	ADJA	_	_	3	ATTR	_	_
3	Wiederholung	Wiederholung	NN	_	_	1	PN	_	_
4	soll	sollen%aux	VMFIN	_	_	0	ROOT	_	_
5	auf	auf	APPR	_	_	10	OBJP	_	_
6	die	die	ART	_	_	8	DET	_	_
7	bevorstehenden	bevorstehend	ADJA	_	_	8	ATTR	_	_
8	Wahlen	Wahl	NN	_	_	5	PN	_	_
9	aufmerksam	aufmerksam	ADJD	_	_	10	PRED	_	_
10	gemacht	machen	VVPP	_	_	11	AUX	_	_
11	werden	werden%passiv	VAINF	_	_	4	AUX	_	_
12	.	.	$.	_	_	11	-PUNCT-	_	_

1	Viel	viel	PIS	_	_	3	SUBJ	_	_
2	davon	davon	PROP	_	_	1	PP	_	_
3	scheint	scheinen	VVFIN	_	_	0	ROOT	_	_
4	allerdings	allerdings	ADV	_	_	11	ADV	_	_
5	nicht	nicht	PTKNEG	_	_	11	ADV	_	_
6	in	in	APPR	_	_	11	PP	_	_
7	den	der	ART	_	_	8	DET	_	_
8	Köpfen	Kopf	NN	_	_	6	PN	_	_
9	der	der	ART	_	_	10	DET	_	_
10	Passanten	Passant	NN	_	_	8	GMOD	_	_
11	hängenzubleiben	hängen#bleiben	VVIZU	_	_	3	OBJI	_	_
12	.	.	$.	_	_	11	-PUNCT-	_	_

1	Nach	nach	APPR	_	_	6	PP	_	_
2	einer	eine	ART	_	_	3	DET	_	_
3	Umfrage	Umfrage	NN	_	_	1	PN	_	_
4	vom	von	APPRART	_	_	3	PP	_	_
5	September	September	NN	_	_	4	PN	_	_
6	erinnern	erinnern	VVFIN	_	_	0	ROOT	_	_
7	sich	#refl	PRF	_	_	6	OBJA	_	_
8	nur	nur	ADV	_	_	6	ADV	_	_
9	43	43	CARD	_	_	10	ATTR	_	_
10	Prozent	Prozent	NN	_	_	6	SUBJ	_	_
11	der	der	ART	_	_	12	DET	_	_
12	Berliner	Berliner	NN	_	_	10	GMOD	_	_
13	an	an	APPR	_	_	6	OBJP	_	_
14	ein	ein	ART	_	_	13	DET	_	_
15	oder	oder	KON	_	_	14	KON	_	_
16	mehrere	mehrere	PIAT	_	_	17	DET	_	_
17	Wahlplakate	Wahlplakat	NN	_	_	15	CJ	_	_
18	,	,	$,	_	_	17	-PUNCT-	_	_
19	die	der|die|das	ART	_	_	20	PART	_	_
20	meisten	meisten	PIS	_	_	6	KON	_	_
21	an	an	APPR	_	_	20	OBJP	_	_
22	das	das	ART	_	_	23	DET	_	_
23	Portrait	Portrait	NN	_	_	21	PN	_	_
24	von	von	APPR	_	_	23	PP	_	_
25	Ingrid	Ingrid	NE	_	_	24	PN	_	_
26	Stahmer	Stahmer	NE	_	_	25	APP	_	_
27	,	,	$,	_	_	26	-PUNCT-	_	_
28	der	die	ART	_	_	29	DET	_	_
29	Spitzenkandidatin	Spitzenkandidatin	NN	_	_	26	APP	_	_
30	der	die	ART	_	_	31	DET	_	(8
31	SPD	SPD	NE	_	_	29	GMOD	_	8)
32	.	.	$.	_	_	31	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Tiere	Tier	NN	_	_	3	SUBJ	_	(7)
3	sollen	sollen%aux	VMFIN	_	_	9	S	_	_
4	den	der	ART	_	_	5	DET	_	_
5	Wähler	Wähler	NN	_	_	6	OBJA	_	_
6	einlullen	ein#lullen	VVINF	_	_	3	AUX	_	_
7	"	"	$(	_	_	6	-PUNCT-	_	_
8	,	,	$,	_	_	6	-PUNCT-	_	_
9	erklärt	erklären	VVFIN	_	_	0	ROOT	_	_
10	der	der	ART	_	_	11	DET	_	(3
11	Wirtschaftspädagoge	Wirtschaftspädagoge	NN	_	_	9	SUBJ	_	3)
12	.	.	$.	_	_	11	-PUNCT-	_	_

1	Auf	auf	APPR	_	_	3	PP	_	_
2	Wahlplakaten	Wahlplakat	NN	_	_	1	PN	_	_
3	haben	haben	VAFIN	_	_	0	ROOT	_	_
4	sie	sie	PPER	_	_	3	SUBJ	_	(7)
5	,	,	$,	_	_	4	-PUNCT-	_	_
6	besonders	besonders	ADV	_	_	7	ADV	_	_
7	in	in	APPR	_	_	3	PP	_	_
8	Berlin	Berlin	NE	_	_	7	PN	_	(2)
9	,	,	$,	_	_	8	-PUNCT-	_	_
10	eine	eine	ART	_	_	12	DET	_	_
11	lange	lang	ADJA	_	_	12	ATTR	_	_
12	Tradition	Tradition	NN	_	_	3	OBJA	_	_
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	In	in	APPR	_	_	4	PP	_	_
2	letzter	letzt	ADJA	_	_	3	ATTR	_	_
3	Zeit	Zeit	NN	_	_	1	PN	_	_
4	werden	werden%passiv	VAFIN	_	_	0	ROOT	_	_
5	sie	sie	PPER	_	_	4	SUBJ	_	(7)
6	verstärkt	verstärkt	ADJD	_	_	10	ADV	_	_
7	als	als	KOKOM	_	_	10	KOM	_	_
8	reine	rein	ADJA	_	_	9	ATTR	_	_
9	Sympathieträger	Sympathieträger	NN	_	_	7	CJ	_	_
10	eingesetzt	ein#setzen	VVPP	_	_	4	AUX	_	_
11	.	.	$.	_	_	10	-PUNCT-	_	_

1	Tiere	Tier	NN	_	_	9	SUBJ	_	(7)
2	,	,	$,	_	_	1	-PUNCT-	_	_
3	denen	der|die|das	PRELS	_	_	6	OBJD	_	(7)
4	menschliche	menschlich	ADJA	_	_	5	ATTR	_	_
5	Eigenschaften	Eigenschaft	NN	_	_	7	SUBJ	_	_
6	zugeschrieben	zu#schreiben	VVPP	_	_	7	AUX	_	_
7	werden	werden%passiv	VAFIN	_	_	1	REL	_	_
8	,	,	$,	_	_	7	-PUNCT-	_	_
9	wurden	werden%passiv	VAFIN	_	_	0	ROOT	_	_
10	immer	immer	ADV	_	_	11	ADV	_	_
11	wieder	wieder	ADV	_	_	13	ADV	_	_
12	dazu	dazu	PROP	_	_	13	PP	_	_
13	benutzt	benutzen	VVPP	_	_	9	AUX	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	den	der	ART	_	_	17	DET	_	_
16	politischen	politisch	ADJA	_	_	17	ATTR	_	_
17	Gegner	Gegner	NN	_	_	19	OBJA	_	_
18	zu	zu	PTKZU	_	_	19	PART	_	_
19	attackieren	attackieren	VVINF	_	_	9	NEB	_	_
20	und	und	KON	_	_	19	KON	_	_
21	zu	zu	PTKZU	_	_	22	PART	_	_
22	verunglimpfen	verunglimpfen	VVINF	_	_	20	CJ	_	_
23	.	.	$.	_	_	22	-PUNCT-	_	_

1	Der	der	ART	_	_	3	DET	_	_
2	halbe	halb	ADJA	_	_	3	ATTR	_	_
3	Zoo	Zoo	NN	_	_	4	SUBJ	_	_
4	war	sein	VAFIN	_	_	0	ROOT	_	_
5	schon	schon	ADV	_	_	4	ADV	_	_
6	im	in	APPRART	_	_	4	PRED	_	_
7	Einsatz	Einsatz	NN	_	_	6	PN	_	_
8	,	,	$,	_	_	7	-PUNCT-	_	_
9	darunter	darunter	PROP	_	_	10	PP	_	_
10	Affen	Affe	NN	_	_	3	-UNKNOWN-	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	Känguruhs	Känguruh	NN	_	_	10	KON	_	_
13	,	,	$,	_	_	12	-PUNCT-	_	_
14	Löwen	Löwe	NN	_	_	12	KON	_	_
15	und	und	KON	_	_	14	KON	_	_
16	Schlangen	Schlange	NN	_	_	15	CJ	_	_
17	.	.	$.	_	_	16	-PUNCT-	_	_

1	Seit	seit	APPR	_	_	3	PP	_	_
2	kurzem	kurzes	NN	_	_	1	PN	_	_
3	hat	haben%aux	VAFIN	_	_	0	ROOT	_	_
4	sich	#refl	PRF	_	_	12	OBJA	_	_
5	sogar	sogar	ADV	_	_	12	ADV	_	_
6	eine	eine	ART	_	_	7	DET	_	_
7	Laus	Laus	NN	_	_	3	SUBJ	_	_
8	in	in	APPR	_	_	12	PP	_	_
9	den	der	ART	_	_	11	DET	_	_
10	Berliner	Berliner	ADJA	_	_	11	ATTR	_	_
11	Wahlkampf	Wahlkampf	NN	_	_	8	PN	_	_
12	eingemischt	ein#mischen	VVPP	_	_	3	AUX	_	_
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	Das	das	ART	_	_	2	DET	_	_
2	Spektrum	Spektrum	NN	_	_	9	SUBJ	_	_
3	der	der	ART	_	_	4	DET	_	_
4	CDU-Warnrufe	CDU-Warnruf	NN	_	_	2	GMOD	_	_
5	in	in	APPR	_	_	2	PP	_	_
6	den	das	ART	_	_	8	DET	_	_
7	siebziger	siebziger	ADJA	_	_	8	ATTR	_	_
8	Jahren	Jahr	NN	_	_	5	PN	_	_
9	reicht	reichen	VVFIN	_	_	0	ROOT	_	_
10	beispielsweise	beispielsweise	ADV	_	_	9	ADV	_	_
11	von	von	APPR	_	_	9	OBJP	_	_
12	"	"	$(	_	_	13	-PUNCT-	_	_
13	Wir	wir	PPER	_	_	14	SUBJ	_	_
14	pfeifen	pfeifen	VVFIN	_	_	11	PN	_	_
15	auf	auf	APPR	_	_	14	OBJP	_	_
16	linke	links	ADJA	_	_	17	ATTR	_	_
17	Vögel	Vogel	NN	_	_	15	PN	_	_
18	"	"	$(	_	_	17	-PUNCT-	_	_
19	bis	bis	APPR	_	_	11	KON	_	_
20	zu	zu	APPR	_	_	19	PP	_	_
21	"	"	$(	_	_	22	-PUNCT-	_	_
22	Befreit	befreien	VVIMP	_	_	20	PN	_	_
23	Berlin	Berlin	NE	_	_	22	OBJA	_	(2)
24	vom	von	APPRART	_	_	22	PP	_	_
25	Tausendfilzler	Tausendfilzler	NN	_	_	24	PN	_	_
26	"	"	$(	_	_	25	-PUNCT-	_	_
27	-	-	$(	_	_	25	-PUNCT-	_	_
28	"	"	$(	_	_	29	-PUNCT-	_	_
29	Eine	eine	ART	_	_	30	DET	_	_
30	Eigenzüchtung	Eigenzüchtung	NN	_	_	25	APP	_	_
31	der	die	ART	_	_	32	DET	_	(8
32	SPD	SPD	NE	_	_	30	GMOD	_	8)
33	"	"	$(	_	_	32	-PUNCT-	_	_
34	.	.	$.	_	_	32	-PUNCT-	_	_

1	Auf	auf	APPR	_	_	6	PP	_	_
2	einem	ein	ART	_	_	3	DET	_	_
3	FDP-Plakat	FDP-Plakat	NN	_	_	1	PN	_	_
4	von	von	APPR	_	_	3	PP	_	_
5	1985	1985	CARD	_	_	4	PN	_	_
6	sind	sein%aux	VAFIN	_	_	0	ROOT	_	_
7	emsige	emsig	ADJA	_	_	8	ATTR	_	_
8	Bienen	Biene	NN	_	_	6	SUBJ	_	_
9	versammelt	versammeln	VVPP	_	_	6	AUX	_	_
10	:	:	$.	_	_	9	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Auch	auch	ADV	_	_	5	ADV	_	_
3	eine	eine	ART	_	_	5	DET	_	_
4	Kleine	klein	ADJA	_	_	5	ATTR	_	_
5	Partei	Partei	NN	_	_	6	SUBJ	_	_
6	kann	können%aux	VMFIN	_	_	0	ROOT	_	_
7	Große	groß	ADJA	_	_	8	ATTR	_	_
8	Dinge	Ding	NN	_	_	9	OBJA	_	_
9	Tun	tun	VVINF	_	_	6	AUX	_	_
10	.	.	$.	_	_	9	-PUNCT-	_	_
11	"	"	$(	_	_	9	-PUNCT-	_	_

1	Momentan	momentan	ADJD	_	_	2	ADV	_	_
2	agiert	agieren	VVFIN	_	_	0	ROOT	_	_
3	die	die	ART	_	_	4	DET	_	_
4	Splitterpartei	Splitterpartei	NN	_	_	2	SUBJ	_	_
5	wieder	wieder	ADV	_	_	2	ADV	_	_
6	mit	mit	APPR	_	_	2	PP	_	_
7	Tieren	Tier	NN	_	_	6	PN	_	_
8	und	und	KON	_	_	2	KON	_	_
9	schickt	schicken	VVFIN	_	_	8	CJ	_	_
10	schwarze	schwarz	ADJA	_	_	13	ATTR	_	_
11	und	und	KON	_	_	10	KON	_	_
12	rote	rot	ADJA	_	_	11	CJ	_	_
13	Spinnen	Spinne	NN	_	_	9	OBJA	_	_
14	und	und	KON	_	_	13	KON	_	_
15	kopulierende	kopulierend	ADJA	_	_	17	ATTR	_	_
16	rot-grüne	rot-grün	ADJA	_	_	17	ATTR	_	_
17	Frösche	Frosch	NN	_	_	14	CJ	_	_
18	als	als	KOKOM	_	_	9	KOM	_	_
19	Warnfiguren	Warnfigur	NN	_	_	18	CJ	_	_
20	auf	auf	APPR	_	_	9	PP	_	_
21	Stimmenfang	Stimmenfang	NN	_	_	20	PN	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

1	Die	die	ART	_	_	3	DET	_	(9
2	beiden	beide	PIDAT	_	_	3	ATTR	_	_
3	Katzen	Katze	NN	_	_	23	SUBJ	_	9)
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	mit	mit	APPR	_	_	15	PP	_	_
6	denen	der|die|das	PRELS	_	_	5	PN	_	(9)
7	die	die	ART	_	_	8	DET	_	(11
8	FDP	FDP	NE	_	_	15	SUBJ	_	11)
9	gegenwärtig	gegenwärtig	ADJD	_	_	15	ADV	_	_
10	in	in	APPR	_	_	15	PP	_	_
11	einigen	einiger	PIAT	_	_	12	DET	_	_
12	Bezirken	Bezirk	NN	_	_	10	PN	_	_
13	vor	vor	APPR	_	_	15	PP	_	_
14	Koalitionen	Koalition	NN	_	_	13	PN	_	(10)
15	warnt	warnen	VVFIN	_	_	3	REL	_	_
16	,	,	$,	_	_	15	-PUNCT-	_	_
17	die	der|die|das	PRELS	_	_	21	SUBJ	_	(10)
18	sie	sie	PPER	_	_	21	OBJA	_	(11)
