1	Während	während	KOUS	_	_	14	KONJ	_	_
28	einiges	einiges	PIS	_	_	29	OBJA	_	_
29	vorgenommen	vor#nehmen	VVPP	_	_	30	AUX	_	_
30	hat	haben%aux	VAFIN	_	_	17	REL	_	_
31	.	.	$.	_	_	30	-PUNCT-	_	_

1	Auch	auch	ADV	_	_	4	ADV	_	_
2	der	der	ART	_	_	4	DET	_	_
3	zweite	zweit	ADJA	_	_	4	ATTR	_	_
4	Aufsteiger	Aufsteiger	NN	_	_	9	SUBJ	_	_
5	,	,	$,	_	_	4	-PUNCT-	_	_
6	der	der	ART	_	_	8	DET	_	_
7	Wuppertaler	Wuppertaler	ADJA	_	_	8	ATTR	_	_
8	SV	SV	NN	_	_	4	APP	_	_
9	nutzte	nutzen	VVFIN	_	_	0	ROOT	_	_
10	den	der	ART	_	_	11	DET	_	_
11	Schwung	Schwung	NN	_	_	9	OBJA	_	_
12	der	die	ART	_	_	14	DET	_	_
13	ersten	erst	ADJA	_	_	14	ATTR	_	_
14	Woche	Woche	NN	_	_	11	GMOD	_	_
15	.	.	$.	_	_	14	-PUNCT-	_	_

1	Die	der	ART	_	_	2	DET	_	_
2	Gegner	Gegner	NN	_	_	6	SUBJ	_	_
3	aus	aus	APPR	_	_	2	PP	_	_
4	Mainz	Mainz	NE	_	_	3	PN	_	_
5	0:5	0:5	CARD	_	_	2	APP	_	_
6	hatten	haben	VAFIN	_	_	0	ROOT	_	_
7	im	in	APPRART	_	_	6	PP	_	_
8	Zoostadion	Zoostadion	NN	_	_	7	PN	_	_
9	beim	bei	APPRART	_	_	6	PP	_	_
10	1:3	1:3	CARD	_	_	9	PN	_	_
11	überhaupt	überhaupt	ADV	_	_	12	ADV	_	_
12	keine	keine	PIAT	_	_	13	DET	_	_
13	Chance	Chance	NN	_	_	6	OBJA	_	_
14	.	.	$.	_	_	13	-PUNCT-	_	_

1	In	in	APPR	_	_	4	PP	_	_
2	guter	gut	ADJA	_	_	3	ATTR	_	_
3	Verfassung	Verfassung	NN	_	_	1	PN	_	_
4	ist	sein%aux	VAFIN	_	_	0	ROOT	_	_
5	auch	auch	ADV	_	_	13	ADV	_	_
6	der	der	ART	_	_	7	DET	_	(3
7	Fast-Erstliga-Aufsteiger	Fast-Erstliga-Aufsteiger	NN	_	_	4	SUBJ	_	_
8	VfB	VfB	NN	_	_	7	APP	_	_
9	Oldenburg	Oldenburg	NE	_	_	8	APP	_	3)
10	aus	aus	APPR	_	_	13	PP	_	_
11	der	die	ART	_	_	12	DET	_	_
12	Sommerpause	Sommerpause	NN	_	_	10	PN	_	_
13	gekommen	kommen	VVPP	_	_	4	AUX	_	_
14	.	.	$.	_	_	13	-PUNCT-	_	_

1	Beim	bei	APPRART	_	_	5	PP	_	_
2	2:2	2:2	CARD	_	_	1	PN	_	(4
3	in	in	APPR	_	_	2	PP	_	_
4	Freiburg	Freiburg	NE	_	_	3	PN	_	4)
5	gingen	gehen	VVFIN	_	_	0	ROOT	_	_
6	die	der	ART	_	_	7	DET	_	(3
7	Oldenburger	Oldenburger	NN	_	_	5	SUBJ	_	3)
8	zweimal	zweimal	ADV	_	_	5	ADV	_	_
9	in	in	APPR	_	_	5	OBJP	_	_
10	Führung	Führung	NN	_	_	9	PN	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	konnten	können%aux	VMFIN	_	_	5	KON	_	_
13	dann	dann	ADV	_	_	17	ADV	_	_
14	aber	aber	ADV	_	_	17	ADV	_	_
15	doch	doch	ADV	_	_	17	ADV	_	_
16	zufrieden	zufrieden	ADJD	_	_	17	PRED	_	_
17	sein	sein	VAINF	_	_	12	AUX	_	_
18	,	,	$,	_	_	17	-PUNCT-	_	_
19	das	das	ART	_	_	20	DET	_	(4
20	Unentschieden	Unentschieden	NN	_	_	21	OBJA	_	4)
21	gerettet	retten	VVPP	_	_	23	AUX	_	_
22	zu	zu	PTKZU	_	_	23	PART	_	_
23	haben	haben%aux	VAINF	_	_	12	NEB	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

1	Hängengeblieben	hängen#bleiben	VVPP	_	_	2	AUX	_	_
2	ist	sein%aux	VAFIN	_	_	0	ROOT	_	_
3	dagegen	dagegen	PROP	_	_	1	PP	_	_
4	zunächst	zunächst	ADV	_	_	1	ADV	_	_
5	der	der	ART	_	_	6	DET	_	(5
6	SV	SV	NN	_	_	2	SUBJ	_	_
7	Meppen	Meppen	NE	_	_	6	APP	_	5)
8	,	,	$,	_	_	7	-PUNCT-	_	_
9	und	und	KON	_	_	10	KON	_	_
10	zwar	zwar	ADV	_	_	1	ADV	_	_
11	in	in	APPR	_	_	1	PP	_	_
12	den	das	ART	_	_	13	DET	_	_
13	Startlöchern	Startloch	NN	_	_	11	PN	_	_
14	.	.	$.	_	_	13	-PUNCT-	_	_

1	Mit	mit	APPR	_	_	3	PP	_	_
2	0:1	0:1	CARD	_	_	1	PN	_	_
3	verloren	verlieren	VVFIN	_	_	0	ROOT	_	_
4	die	der	ART	_	_	5	DET	_	(5
5	Emsländer	Emsländer	NN	_	_	3	SUBJ	_	5)
6	nach	nach	APPR	_	_	3	PP	_	_
7	beiderseitig	beiderseitig	ADJD	_	_	8	ADV	_	_
8	miesem	mies	ADJA	_	_	9	ATTR	_	_
9	Spiel	Spiel	NN	_	_	6	PN	_	_
10	bei	bei	APPR	_	_	3	PP	_	_
11	Eintracht	Eintracht	NN	_	_	10	PN	_	_
12	Braunschweig	Braunschweig	NE	_	_	11	APP	_	_
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	Von	von	APPR	_	_	6	PP	_	_
2	den	der	ART	_	_	3	DET	_	_
3	Bundesligaabsteigern	Bundesligaabsteiger	NN	_	_	1	PN	_	_
4	gewann	gewinnen	VVFIN	_	_	0	ROOT	_	_
5	einzig	einzig	ADV	_	_	4	ADV	_	_
6	Hansa	Hansa	NE	_	_	4	SUBJ	_	_
7	Rostock	Rostock	NE	_	_	6	APP	_	_
8	(	(	$(	_	_	9	-PUNCT-	_	_
9	1:0	1:0	CARD	_	_	4	ZEIT	_	_
10	gegen	gegen	APPR	_	_	9	PP	_	_
11	Remscheid	Remscheid	NE	_	_	10	PN	_	_
12	)	)	$(	_	_	11	-PUNCT-	_	_
13	.	.	$.	_	_	11	-PUNCT-	_	_

1	Fortuna	Fortuna	NE	_	_	17	SUBJ	_	_
2	Düsseldorf	Düsseldorf	NE	_	_	1	APP	_	_
3	(	(	$(	_	_	4	-PUNCT-	_	_
4	1:1	1:1	CARD	_	_	2	APP	_	_
5	gegen	gegen	APPR	_	_	4	PP	_	_
6	Chemnitz	Chemnitz	NE	_	_	5	PN	_	_
7	)	)	$(	_	_	6	-PUNCT-	_	_
8	und	und	KON	_	_	4	KON	_	_
9	der	der	ART	_	_	10	DET	_	_
10	MSV	MSV	NN	_	_	8	CJ	_	_
11	Duisburg	Duisburg	NE	_	_	10	APP	_	_
12	(	(	$(	_	_	13	-PUNCT-	_	_
13	0:0	0:0	CARD	_	_	11	APP	_	_
14	bei	bei	APPR	_	_	13	PP	_	_
15	Leipzig	Leipzig	NE	_	_	14	PN	_	_
16	)	)	$(	_	_	15	-PUNCT-	_	_
17	blieben	bleiben	VVFIN	_	_	0	ROOT	_	_
18	ohne	ohne	APPR	_	_	17	OBJP	_	_
19	Sieg	Sieg	NN	_	_	18	PN	_	_
20	.	.	$.	_	_	19	-PUNCT-	_	_

