1	Was	was	PWS	_	_	6	OBJA	_	(2
2	konnte	können%aux	VMFIN	_	_	0	ROOT	_	_
3	die	die	ART	_	_	4	DET	_	_
4	Freilassung	Freilassung	NN	_	_	13	OBJA	_	_
5	der	der	ART	_	_	11	DET	_	(6
6	drei	drei	CARD	_	_	11	ATTR	_	_
7	seit	seit	APPR	_	_	10	PP	_	_
8	einem	ein	ART	_	_	9	DET	_	_
9	Monat	Monat	NN	_	_	7	PN	_	_
10	gefangenen	gefangen	ADJA	_	_	11	ATTR	_	_
11	US-Soldaten	US-Soldat	NN	_	_	4	GMOD	_	6)
12	nur	nur	ADV	_	_	13	ADV	_	_
13	erreichen	erreichen	VVINF	_	_	2	AUX	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	wenn	wenn	KOUS	_	_	25	KONJ	_	_
16	er	er	PPER	_	_	25	SUBJ	_	(1)
17	nicht	nicht	PTKNEG	_	_	25	ADV	_	_
18	als	als	KOKOM	_	_	25	KOM	_	_
19	Emissär	Emissär	NN	_	_	18	CJ	_	_
20	des	der	ART	_	_	22	DET	_	(5
21	Washingtoner	Washingtoner	ADJA	_	_	22	ATTR	_	_
22	Oberbefehlshabers	Oberbefehlshaber	NN	_	_	19	GMOD	_	5)
23	in	in	APPR	_	_	25	PP	_	_
24	Belgrad	Belgrad	NE	_	_	23	PN	_	(0)
25	erscheint	erscheinen	VVFIN	_	_	2	NEB	_	_
26	.	.	$.	_	_	25	-PUNCT-	_	_

1	Also	also	ADV	_	_	2	ADV	_	_
2	schlüpfte	schlüpfen	VVFIN	_	_	0	ROOT	_	_
3	der	der	ART	_	_	4	DET	_	(1
4	Clinton-Freund	Clinton-Freund	NN	_	_	2	SUBJ	_	1)
5	in	in	APPR	_	_	2	OBJP	_	_
6	seine	seine	PPOSAT	_	_	7	DET	_	(1)
7	Pastorenrobe	Pastorenrobe	NN	_	_	5	PN	_	_
8	und	und	KON	_	_	2	KON	_	_
9	bezeichnete	bezeichnen	VVFIN	_	_	8	CJ	_	_
10	sich	#refl	PRF	_	_	9	OBJA	_	(1)
11	als	als	KOKOM	_	_	9	KOM	_	_
12	"	"	$(	_	_	13	-PUNCT-	_	_
13	Pilger	Pilger	NN	_	_	11	CJ	_	_
14	im	in	APPRART	_	_	13	PP	_	_
15	Namen	Name	NN	_	_	14	PN	_	_
16	des	der	ART	_	_	17	DET	_	_
17	Friedens	Frieden	NN	_	_	15	GMOD	_	_
18	und	und	KON	_	_	17	KON	_	_
19	nicht	nicht	PTKNEG	_	_	21	ADV	_	_
20	der	die	ART	_	_	21	DET	_	_
21	Politik	Politik	NN	_	_	18	CJ	_	_
22	"	"	$(	_	_	21	-PUNCT-	_	_
23	.	.	$.	_	_	21	-PUNCT-	_	_

1	Er	er	PPER	_	_	2	SUBJ	_	(1)
2	brachte	mit#bringen	VVFIN	_	_	0	ROOT	_	_
3	Videos	Video	NN	_	_	2	OBJA	_	_
4	mit	mit	APPR	_	_	3	PP	_	_
5	Familiengrüßen	Familiengruß	NN	_	_	4	PN	_	_
6	und	und	KON	_	_	3	KON	_	_
7	Bibeln	Bibel	NN	_	_	6	CJ	_	_
8	für	für	APPR	_	_	2	PP	_	_
9	die	der	ART	_	_	11	DET	_	(6
10	inhaftierten	inhaftiert	ADJA	_	_	11	ATTR	_	_
11	Soldaten	Soldat	NN	_	_	8	PN	_	6)
12	mit	_	PTKVZ	_	_	2	AVZ	_	_
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	Jackson	Jackson	NE	_	_	3	SUBJ	_	(1
2	selbst	selbst	ADV	_	_	1	ADV	_	1)
3	hatte	haben%aux	VAFIN	_	_	0	ROOT	_	_
4	noch	noch	ADV	_	_	12	ADV	_	_
5	vor	vor	APPR	_	_	12	PP	_	_
6	seiner	seine	PPOSAT	_	_	7	DET	_	(1)
7	Abreise	Abreise	NN	_	_	5	PN	_	_
8	aus	aus	APPR	_	_	7	PP	_	_
9	Washington	Washington	NE	_	_	8	PN	_	(3)
10	die	die	ART	_	_	11	DET	_	_
11	Strategie	Strategie	NN	_	_	12	OBJA	_	_
12	benannt	benennen	VVPP	_	_	3	AUX	_	_
13	:	:	$.	_	_	12	-PUNCT-	_	_
14	Wenn	wenn	KOUS	_	_	21	KONJ	_	_
15	seine	seine	PPOSAT	_	_	16	DET	_	(1)|(7
16	Mission	Mission	NN	_	_	21	SUBJ	_	7)
17	von	von	APPR	_	_	20	PP	_	_
18	Präsident	Präsident	NN	_	_	17	PN	_	(5
19	Clinton	Clinton	NE	_	_	18	APP	_	5)
20	autorisiert	autorisieren	VVPP	_	_	21	AUX	_	_
21	wäre	sein%aux	VAFIN	_	_	30	NEB	_	_
22	,	,	$,	_	_	21	-PUNCT-	_	_
23	so	so	ADV	_	_	24	ADV	_	_
24	brauchte	brauchen	VVFIN	_	_	0	ROOT	_	_
25	er	er	PPER	_	_	24	SUBJ	_	(1)
26	sie	sie	PPER	_	_	30	OBJA	_	(7)
27	gar	gar	ADV	_	_	28	ADV	_	_
28	nicht	nicht	PTKNEG	_	_	30	ADV	_	_
29	erst	erst	ADV	_	_	30	ADV	_	_
30	anzutreten	an#treten	VVIZU	_	_	24	OBJI	_	_
31	.	.	$.	_	_	30	-PUNCT-	_	_

1	Gegenüber	gegenüber	APPR	_	_	3	PP	_	_
2	Miloevic	Milosevic	NE	_	_	1	PN	_	(8)
3	hielt	halten	VVFIN	_	_	0	ROOT	_	_
4	er	er	PPER	_	_	3	SUBJ	_	(1)
5	sich	#refl	PRF	_	_	3	OBJA	_	_
6	an	an	APPR	_	_	3	OBJP	_	_
7	die	die	ART	_	_	9	DET	_	_
8	wesentlichen	wesentlich	ADJA	_	_	9	ATTR	_	_
9	Nato-Forderungen	Nato-Forderung	NN	_	_	6	PN	_	_
10	nach	nach	APPR	_	_	9	PP	_	_
11	einem	ein	ART	_	_	12	DET	_	_
12	Abzug	Abzug	NN	_	_	10	PN	_	_
13	der	die	ART	_	_	15	DET	_	_
14	jugoslawischen	jugoslawisch	ADJA	_	_	15	ATTR	_	_
15	Truppen	Truppe	NN	_	_	12	GMOD	_	_
16	aus	aus	APPR	_	_	12	PP	_	_
17	dem	das	ART	_	_	18	DET	_	_
18	Kosovo	Kosovo	NE	_	_	16	PN	_	_
19	und	und	KON	_	_	12	KON	_	_
20	der	die	ART	_	_	21	DET	_	_
21	Rückkehr	Rückkehr	NN	_	_	19	CJ	_	_
22	der	der	ART	_	_	23	DET	_	_
23	Flüchtlinge	Flüchtling	NN	_	_	21	GMOD	_	_
24	unter	unter	APPR	_	_	12	PP	_	_
25	dem	der	ART	_	_	26	DET	_	_
26	Schutz	Schutz	NN	_	_	24	PN	_	_
27	einer	eine	ART	_	_	30	DET	_	_
28	bewaffneten	bewaffnet	ADJA	_	_	30	ATTR	_	_
29	internationalen	international	ADJA	_	_	30	ATTR	_	_
30	Truppe	Truppe	NN	_	_	26	GMOD	_	_
31	.	.	$.	_	_	30	-PUNCT-	_	_

1	Miloevic'	Milosevic	NE	_	_	2	GMOD	_	(8)
2	Wutausbrüche	Wutausbruch	NN	_	_	13	OBJA	_	_
3	,	,	$,	_	_	2	-PUNCT-	_	_
4	der	der	ART	_	_	5	DET	_	_
5	Westen	Westen	NN	_	_	6	SUBJ	_	_
6	behandle	behandeln	VVFIN	_	_	2	S	_	_
7	ihn	er	PPER	_	_	6	OBJA	_	(8)
8	als	als	KOKOM	_	_	6	KOM	_	_
9	"	"	$(	_	_	10	-PUNCT-	_	_
10	Satan	Satan	NN	_	_	8	CJ	_	_
11	"	"	$(	_	_	10	-PUNCT-	_	_
12	,	,	$,	_	_	10	-PUNCT-	_	_
13	konterte	kontern	VVFIN	_	_	0	ROOT	_	_
14	Jackson	Jackson	NE	_	_	13	SUBJ	_	(1)
15	mit	mit	APPR	_	_	13	PP	_	_
16	dem	der	ART	_	_	17	DET	_	_
17	Bibelvers	Bibelvers	NN	_	_	15	PN	_	_
18	vom	von	APPRART	_	_	17	PP	_	_
19	Löwen	Löwe	NN	_	_	18	PN	_	(9)
20	,	,	$,	_	_	19	-PUNCT-	_	_
21	der	der	PRELS	_	_	25	SUBJ	_	(9)
22	mit	mit	APPR	_	_	25	PP	_	_
23	dem	das	ART	_	_	24	DET	_	_
24	Lamm	Lamm	NN	_	_	22	PN	_	_
25	liege	liegen	VVFIN	_	_	19	REL	_	_
26	,	,	$,	_	_	25	-PUNCT-	_	_
27	sowie	sowie	KON	_	_	15	KON	_	_
28	mit	mit	APPR	_	_	27	CJ	_	_
29	der	die	ART	_	_	30	DET	_	_
30	Aufforderung	Aufforderung	NN	_	_	28	PN	_	_
31	zum	zu	APPRART	_	_	30	PP	_	_
32	gemeinsamen	gemeinsam	ADJA	_	_	33	ATTR	_	_
33	Gebet	Gebet	NN	_	_	31	PN	_	_
34	.	.	$.	_	_	33	-PUNCT-	_	_

1	Kaum	kaum	ADV	_	_	2	ADV	_	_
2	waren	sein%aux	VAFIN	_	_	12	NEB	_	_
3	die	der	ART	_	_	5	DET	_	(6
4	drei	drei	CARD	_	_	5	ATTR	_	_
5	GIs	GI	NN	_	_	2	SUBJ	_	6)
6	an	an	APPR	_	_	10	PP	_	_
7	die	die	ART	_	_	9	DET	_	_
8	amerikanische	amerikanisch	ADJA	_	_	9	ATTR	_	_
9	Kirchendelegation	Kirchendelegation	NN	_	_	6	PN	_	_
10	überstellt	überstellen	VVPP	_	_	2	AUX	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	klangen	klingen	VVFIN	_	_	0	ROOT	_	_
13	die	der	ART	_	_	14	DET	_	_
14	Töne	Ton	NN	_	_	12	SUBJ	_	_
15	aus	aus	APPR	_	_	14	PP	_	_
16	dem	das	ART	_	_	18	DET	_	_
17	Weißen	weiß	ADJA	_	_	18	ATTR	_	_
18	Haus	Haus	NN	_	_	15	PN	_	_
19	schon	schon	ADV	_	_	12	ADV	_	_
20	viel	viel	ADV	_	_	21	ADV	_	_
21	versöhnlicher	versöhnlicher	ADJD	_	_	12	PRED	_	_
22	:	:	$.	_	_	21	-PUNCT-	_	_
23	Man	man	PIS	_	_	24	SUBJ	_	_
24	begrüße	begrüßen	VVFIN	_	_	0	ROOT	_	_
25	die	die	ART	_	_	26	DET	_	_
26	Freilassung	Freilassung	NN	_	_	24	OBJA	_	_
27	der	der	ART	_	_	28	DET	_	(6
28	Soldaten	Soldat	NN	_	_	26	GMOD	_	6)
29	,	,	$,	_	_	28	-PUNCT-	_	_
30	und	und	KON	_	_	24	KON	_	_
31	über	über	APPR	_	_	46	PP	_	_
32	die	die	ART	_	_	34	DET	_	_
33	anfängliche	anfänglich	ADJA	_	_	34	ATTR	_	_
34	Distanz	Distanz	NN	_	_	31	PN	_	_
35	der	die	ART	_	_	36	DET	_	_
36	Clinton-Administration	Clinton-Administration	NN	_	_	34	GMOD	_	_
37	zu	zu	APPR	_	_	34	PP	_	_
38	Jacksons	Jackson	NE	_	_	39	GMOD	_	(1)
39	Vermittlungsbemühungen	Vermittlungsbemühung	NN	_	_	37	PN	_	_
40	wolle	wollen%aux	VMFIN	_	_	30	CJ	_	_
41	man	man	PIS	_	_	40	SUBJ	_	_
42	jetzt	jetzt	ADV	_	_	46	ADV	_	_
43	gar	gar	ADV	_	_	44	ADV	_	_
44	nicht	nicht	PTKNEG	_	_	46	ADV	_	_
45	mehr	mehr	ADV	_	_	44	ADV	_	_
46	diskutieren	diskutieren	VVINF	_	_	40	AUX	_	_
47	.	.	$.	_	_	46	-PUNCT-	_	_

