1	Als	als	KOKOM	_	_	29	KOM	_	_
14	jedoch	jedoch	ADV	_	_	13	KON	_	_
15	vor	vor	APPR	_	_	14	KON	_	_
16	der	die	ART	_	_	18	DET	_	_
17	politischen	politisch	ADJA	_	_	18	ATTR	_	_
18	Sommerpause	Sommerpause	NN	_	_	15	PN	_	_
19	"	"	$(	_	_	18	-PUNCT-	_	_
20	eine	eine	ART	_	_	22	DET	_	_
21	endgültige	endgültig	ADJA	_	_	22	ATTR	_	_
22	Entscheidung	Entscheidung	NN	_	_	23	OBJA	_	_
23	geben	geben	VVINF	_	_	5	AUX	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

