1	Als	als	KOKOM	_	_	3	KOM	_	_
15	Bild-"Zeitung"	Bild-"Zeitung"	NN	_	_	13	PN	_	_
16	angesiedelt	an#siedeln	VVPP	_	_	8	-UNKNOWN-	_	_
17	-	-	$(	_	_	16	-PUNCT-	_	_
18	irgendeine	irgendeine	PIAT	_	_	19	DET	_	_
19	Exklusivmeldung	Exklusivmeldung	NN	_	_	23	OBJA	_	_
20	in	in	APPR	_	_	23	PP	_	_
21	die	die	ART	_	_	22	DET	_	_
22	Welt	Welt	NN	_	_	20	PN	_	_
23	hinaustrommelte	hinaus#trommeln	VVFIN	_	_	3	NEB	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

1	Dank	dank	APPR	_	_	4	PP	_	_
2	des	das	ART	_	_	3	DET	_	_
3	Dauer-Tamtams	Dauer-Tamtam	NN	_	_	1	PN	_	_
4	erfuhren	erfahren	VVFIN	_	_	0	ROOT	_	_
5	wir	wir	PPER	_	_	4	SUBJ	_	_
6	alles	alles	PIS	_	_	4	OBJA	_	_
7	,	,	$,	_	_	6	-PUNCT-	_	_
8	beispielsweise	beispielsweise	ADV	_	_	4	ADV	_	_
9	auch	auch	ADV	_	_	6	ADV	_	_
10	,	,	$,	_	_	9	-PUNCT-	_	_
11	daß	daß	KOUS	_	_	24	KONJ	_	_
12	Volker	Volker	NE	_	_	24	SUBJ	_	(1
13	Lange	Lange	NE	_	_	12	APP	_	1)
14	beim	bei	APPRART	_	_	23	PP	_	_
15	morgenlichen	morgendlich	ADJA	_	_	16	ATTR	_	_
16	Seilspringen	Seilspringen	NN	_	_	14	PN	_	_
17	"	"	$(	_	_	18	-PUNCT-	_	_
18	direkt	direkt	ADJD	_	_	19	ADV	_	_
19	in	in	APPR	_	_	23	PP	_	_
20	den	der	ART	_	_	21	DET	_	_
21	Garten	Garten	NN	_	_	19	PN	_	_
22	"	"	$(	_	_	21	-PUNCT-	_	_
23	schauen	schauen	VVINF	_	_	24	AUX	_	_
24	kann	können%aux	VMFIN	_	_	9	-UNKNOWN-	_	_
25	.	.	$.	_	_	24	-PUNCT-	_	_

1	Vielleicht	vielleicht	ADV	_	_	2	ADV	_	_
2	sollte	sollen%aux	VMFIN	_	_	0	ROOT	_	_
3	der	der	ART	_	_	5	DET	_	(1
4	designierte	designiert	ADJA	_	_	5	ATTR	_	_
5	Vize-Präsident	Vize-Präsident	NN	_	_	2	SUBJ	_	1)
6	lieber	lieber	ADV	_	_	36	ADV	_	_
7	einmal	einmal	ADV	_	_	36	ADV	_	_
8	einen	ein	ART	_	_	10	DET	_	_
9	intensiveren	intensiver	ADJA	_	_	10	ATTR	_	_
10	Blick	Blick	NN	_	_	36	OBJA	_	_
11	auf	auf	APPR	_	_	36	OBJP	_	_
12	die	die	ART	_	_	13	DET	_	_
13	Zuschauerzahlen	Zuschauerzahl	NN	_	_	11	PN	_	_
14	des	das	ART	_	_	16	DET	_	_
15	ersten	erst	ADJA	_	_	16	ATTR	_	_
16	Heimspiels	Heimspiel	NN	_	_	13	GMOD	_	_
17	unter	unter	APPR	_	_	13	PP	_	_
18	dem	der	ART	_	_	20	DET	_	(2
19	neuen	neu	ADJA	_	_	20	ATTR	_	_
20	Präsidenten	Präsident	NN	_	_	17	PN	_	_
21	Uwe	Uwe	NE	_	_	20	APP	_	_
22	Seeler	Seeler	NE	_	_	21	APP	_	2)
23	und	und	KON	_	_	22	KON	_	_
24	-	-	$(	_	_	23	-PUNCT-	_	_
25	fast	fast	ADV	_	_	26	ADV	_	_
26	hätten	haben%aux	VAFIN	_	_	23	PAR	_	_
27	wir	wir	PPER	_	_	26	SUBJ	_	_
28	es	es	PPER	_	_	29	OBJA	_	_
29	vergessen	vergessen	VVPP	_	_	26	AUX	_	_
30	-	-	$(	_	_	29	-PUNCT-	_	_
31	dem	der	ART	_	_	33	DET	_	_
32	frischernannten	frischernannt	ADJA	_	_	33	ATTR	_	_
33	Chefcoach	Chefcoach	NN	_	_	23	CJ	_	_
34	Felix	Felix	NE	_	_	33	APP	_	_
35	Magath	Magath	NE	_	_	34	APP	_	_
36	werfen	werfen	VVINF	_	_	2	AUX	_	_
37	.	.	$.	_	_	36	-PUNCT-	_	_

1	Fast	fast	ADV	_	_	2	ADV	_	_
2	26.000	26.000	CARD	_	_	3	SUBJ	_	_
3	sind	sein	VAFIN	_	_	0	ROOT	_	_
4	für	für	APPR	_	_	13	PP	_	_
5	den	der	ART	_	_	6	DET	_	(3
6	Aufwand	Aufwand	NN	_	_	4	PN	_	3)
7	,	,	$,	_	_	6	-PUNCT-	_	_
8	der	der	PRELS	_	_	10	SUBJ	_	(3)
9	betrieben	betreiben	VVPP	_	_	10	AUX	_	_
10	wurde	werden%passiv	VAFIN	_	_	6	REL	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	zu	zu	PTKA	_	_	13	ADV	_	_
13	wenig	wenig	ADV	_	_	3	PRED	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	zumal	zumal	KOUS	_	_	23	KONJ	_	_
16	das	das	ART	_	_	17	DET	_	_
17	Wetter	Wetter	NN	_	_	23	SUBJ	_	_
18	gut	gut	ADJD	_	_	23	PRED	_	_
19	und	und	KON	_	_	23	KON	_	_
20	kein	kein	PIAT	_	_	22	DET	_	_
21	langer	lang	ADJA	_	_	22	ATTR	_	_
22	Samstag	Samstag	NN	_	_	19	CJ	_	_
23	war	sein	VAFIN	_	_	3	NEB	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

1	Das	das	PDS	_	_	2	SUBJ	_	_
2	muß	müssen%aux	VMFIN	_	_	0	ROOT	_	_
3	die	der	ART	_	_	4	DET	_	_
4	Kaderfunktionäre	Kaderfunktionär	NN	_	_	8	OBJA	_	_
5	der	die	ART	_	_	7	DET	_	_
6	Seelerschen	Seelersch	ADJA	_	_	7	ATTR	_	_
7	Einheizfront	Einheizfront	NN	_	_	4	GMOD	_	_
8	verdrießen	verdrießen	VVINF	_	_	2	AUX	_	_
9	,	,	$,	_	_	8	-PUNCT-	_	_
10	zudem	zudem	PROP	_	_	19	PP	_	_
11	auch	auch	ADV	_	_	19	ADV	_	_
12	die	die	ART	_	_	13	DET	_	_
13	Stimmung	Stimmung	NN	_	_	19	SUBJ	_	_
14	im	in	APPRART	_	_	13	PP	_	_
15	Volksparkstadion	Volksparkstadion	NN	_	_	14	PN	_	_
16	nicht	nicht	PTKNEG	_	_	19	ADV	_	_
17	eben	eben	ADV	_	_	19	ADV	_	_
18	ekstatisch	ekstatisch	ADJD	_	_	19	PRED	_	_
19	war	sein	VAFIN	_	_	2	NEB	_	_
20	.	.	$.	_	_	19	-PUNCT-	_	_

1	Euphorie	Euphorie	NN	_	_	9	OBJA	_	_
2	kann	können%aux	VMFIN	_	_	0	ROOT	_	_
3	man	man	PIS	_	_	2	SUBJ	_	_
4	halt	halt	ADV	_	_	9	ADV	_	_
5	nicht	nicht	PTKNEG	_	_	9	ADV	_	_
6	von	von	APPR	_	_	9	PP	_	_
7	oben	oben	ADV	_	_	6	ADV	_	_
8	herab	herab	ADV	_	_	6	ADV	_	_
9	verordnen	verordnen	VVINF	_	_	2	AUX	_	_
10	.	.	$.	_	_	9	-PUNCT-	_	_

1	Diese	diese	PDAT	_	_	2	DET	_	_
2	Bilanz	Bilanz	NN	_	_	3	SUBJ	_	_
3	ist	sein%aux	VAFIN	_	_	0	ROOT	_	_
4	nicht	nicht	PTKNEG	_	_	6	ADV	_	_
5	zu	zu	PTKZU	_	_	6	PART	_	_
6	frisieren	frisieren	VVINF	_	_	3	AUX	_	_
7	.	.	$.	_	_	6	-PUNCT-	_	_

