1	Um	Um	KOUI	KOUI	_	8	konj	_	-
5	beläuft	belaufen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	sich	sie	PRO	PRF	3|_|_	5	obja	_	-
7	nach	nach	PREP	APPR	Dat	5	pp	_	-
8	Schätzungen	Schätzung	N	NN	Fem|Dat|Pl	7	pn	_	-
9	von	von	PREP	APPR	_	8	pp	_	-
10	Experten	Experte	N	NN	_|_|_	9	pn	_	-
11	auf	auf	PREP	APPR	Dat	9	kon	_	-
12	wenigstens	wenigstens	ADV	ADV	_	14	adv	_	-
13	240.000	240.000	CARD	CARD	_	14	attr	_	-
14	Mark	Mark	N	NN	_|Dat|Pl	11	pn	_	-
15	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Das	die	ART	ART	Def|Neut|_|Sg	3	det	_	-
3	Geld	Geld	N	NN	Neut|_|Sg	4	obja	_	-
4	haben	haben	V	VAFIN	1|Pl|Pres|_	9	s	_	-
5	wir	wir	PRO	PPER	1|Pl|_|Nom	4	subj	_	(7)
6	nicht	nicht	PTKNEG	PTKNEG	_	4	adv	_	-
7	"	"	$(	$(	_	0	root	_	-
8	,	,	$,	$,	_	0	root	_	-
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	-
10	die	die	ART	ART	Def|Fem|Nom|Sg	11	det	_	(20
11	Pfarrerin	Pfarrerin	N	NN	Fem|Nom|Sg	9	subj	_	-
12	der	die	ART	ART	Def|Fem|Gen|Sg	13	det	_	(6
13	Gedächtniskirche	Gedächtniskirche	N	NN	Fem|Gen|Sg	11	gmod	_	6)
14	,	,	$,	$,	_	0	root	_	-
15	Sylvia	Sylvia	N	NE	Fem|Nom|Sg	11	app	_	-
16	von	von	PREP	APPR	_	15	pp	_	-
17	Kekule	Kekule	N	NE	_|_|_	16	pn	_	-
18	,	,	$,	$,	_	0	root	_	-
19	zur	zu	PREP	APPRART	Dat	16	kon	_	-
20	taz	taz	N	NE	_|Dat|_	19	pn	_	20)
21	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Wir	wir	PRO	PPER	1|Pl|_|Nom	3	subj	_	(7)
3	sind	sein	V	VAFIN	1|Pl|Pres|Ind	0	root	_	-
4	froh	froh	ADV	ADJD	Pos|	3	pred	_	-
5	,	,	$,	$,	_	0	root	_	-
6	daß	daß	KOUS	KOUS	_	15	konj	_	-
7	wir	wir	PRO	PPER	1|Pl|_|Nom	15	subj	_	(7)
8	auf	auf	PREP	APPR	Acc	14	pp	_	-
9	diese	diese	ART	PDAT	Fem|Acc|Sg	11	det	_	-
10	ungewöhnliche	ungewöhnlich	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	11	attr	_	-
11	Art	Art	N	NN	Fem|Acc|Sg	8	pn	_	-
12	die	die	ART	ART	Def|Fem|_|Sg	13	det	_	(8
13	Renovierung	Renovierung	N	NN	Fem|_|Sg	14	obja	_	8)
14	bezahlen	bezahlen	V	VVINF	_	15	aux	_	-
15	können	können	V	VMFIN	1|Pl|Pres|_	3	objc	_	-
16	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Außerdem	Außerdem	PROAV	PROAV	_	3	pp	_	-
3	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
4	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	-
5	Gemeinde	Gemeinde	N	NN	Fem|Nom|Sg	3	subj	_	-
6	mit	mit	PREP	APPR	Dat	5	pp	_	-
7	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	-
8	Werbeagentur	Werbeagentur	N	NN	Fem|Dat|Sg	6	pn	_	-
9	noch	noch	ADV	ADV	_	18	adv	_	-
10	eine	eine	ART	ART	Indef|Fem|_|Sg	12	det	_	-
11	tägliche	täglich	ADJA	ADJA	Pos|Fem|_|Sg|_|	12	attr	_	-
12	Mieteinanhme	Mieteinanhme	N	NN	Fem|_|Sg	18	obja	_	-
13	für	für	PREP	APPR	Acc	18	pp	_	-
14	die	die	ART	ART	Def|Fem|Acc|Sg	15	det	_	-
15	Laufzeit	Laufzeit	N	NN	Fem|Acc|Sg	13	pn	_	-
16	der	die	ART	ART	Def|Fem|Gen|Sg	17	det	_	(9
17	Aktion	Aktion	N	NN	Fem|Gen|Sg	15	gmod	_	-
18	vereinbart	vereinbaren	V	VVPP	_	3	aux	_	-
19	,	,	$,	$,	_	0	root	_	-
20	während	während	PREP	APPR	Dat	25	pp	_	-
21	der	die	PRO	PRELS	Fem|Dat|Sg	20	pn	_	(9)
22	auch	auch	ADV	ADV	_	25	adv	_	-
23	die	die	ART	ART	Def|Fem|Nom|Sg	24	det	_	(8
24	Renovierung	Renovierung	N	NN	Fem|Nom|Sg	26	subj	_	8)
25	durchgeführt	durchführen	V	VVPP	_	26	aux	_	-
26	wird	werden	V	VAFIN	3|Sg|Pres|Ind	17	rel	_	9)
27	.	.	$.	$.	_	0	root	_	-

1	Das	die	ART	ART	Def|Neut|Nom|Sg	2	det	_	-
2	Motiv	Motiv	N	NN	Neut|Nom|Sg	7	subj	_	-
3	von	von	PREP	APPR	_	2	pp	_	-
4	L	L	N	NN	Neut|_|_	3	pn	_	-
5	'	'	$(	$(	_	0	root	_	-
6	Oreal	Oreal	N	NE	Neut|_|_	4	app	_	-
7	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
8	rund	rund	ADV	ADV	_	13	adv	_	-
9	30	30	CARD	CARD	_	10	attr	_	-
10	Tage	Tag	N	NN	Masc|_|Pl	13	zeit	_	-
11	am	an	PREP	APPRART	Dat	13	pp	_	-
12	Turm	Turm	N	NN	Masc|Dat|Sg	11	pn	_	-
13	prangen	prangen	V	VVINF	_	7	aux	_	-
14	,	,	$,	$,	_	0	root	_	-
15	danach	danach	PROAV	PROAV	_	16	pp	_	-
16	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	7	kon	_	-
17	es	es	PRO	PPER	3|Sg|Neut|Nom	16	subj	_	-
18	laut	laut	PREP	APPR	Dat	16	pp	_	-
19	Fubac	Fubac	N	NE	_|Dat|_	18	pn	_	(4)
20	für	für	PREP	APPR	Acc	0	root	_	-
21	die	die	ART	ART	Def|_|_|_	0	root	_	-
22	darüber	darüber	PROAV	PROAV	_	0	root	_	-
23	hinaus	hinaus	APZR	APZR	_	0	root	_	-
24	verbleibende	verbleibend	ADJA	ADJA	Pos|Fem|_|Sg|_|<PPRES	25	attr	_	-
25	Instandsetzungszeit	Instandsetzungszeit	N	NN	Fem|_|Sg	0	root	_	-
26	von	von	PREP	APPR	Dat	25	pp	_	-
27	etwa	etwa	ADV	ADV	_	29	adv	_	-
28	zwei	zwei	CARD	CARD	_	29	attr	_	-
29	Monaten	Monat	N	NN	Masc|Dat|Pl	26	pn	_	-
30	bereits	bereits	ADV	ADV	_	31	adv	_	-
31	weitere	weit	ADJA	ADJA	Comp|_|_|_|_|	32	attr	_	-
32	Werbeinteressenten	Werbeinteressenten	N	NN	_|_|_	25	app	_	-
33	geben	geben	V	VVINF	_	0	root	_	-
34	.	.	$.	$.	_	0	root	_	-

1	Bis	bis	PREP	APPR	Acc	4	pp	_	-
2	Sonntag	Sonntag	N	NN	_|Acc|Sg	1	pn	_	-
3	abend	abend	ADV	ADV	_	2	adv	_	-
4	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
5	allerdings	allerdings	ADV	ADV	_	4	adv	_	-
6	unklar	unklar	ADV	ADJD	Pos|	4	pred	_	-
7	,	,	$,	$,	_	0	root	_	-
8	ob	ob	KOUS	KOUS	_	22	konj	_	-
9	die	die	ART	ART	Def|Fem|Nom|Sg	10	det	_	-
10	Aufhängung	Aufhängung	N	NN	Fem|Nom|Sg	22	subj	_	-
11	des	die	ART	ART	Def|_|Gen|Sg	18	det	_	-
12	laut	laut	PREP	APPR	Dat	17	pp	_	-
13	Presseberichten	Pressebericht	N	NN	_|Dat|_	12	pn	_	-
14	rund	rund	ADV	ADV	_	13	adv	_	-
15	2.300	2.300	CARD	CARD	_	16	attr	_	-
16	Quadratmeter	Quadratmeter	N	NN	_|_|Pl	17	grad	_	-
17	großen	groß	ADJA	ADJA	Pos|_|Gen|Sg|_|	18	attr	_	-
18	Posters	Poster	N	NN	_|Gen|Sg	10	gmod	_	-
19	überhaupt	überhaupt	ADV	ADV	_	20	adv	_	-
20	genehmigt	genehmigen	V	VVPP	_	21	aux	_	-
21	werden	werden	V	VAINF	_	22	aux	_	-
22	würde	werden	V	VAFIN	3|Sg|Past|Subj	4	objc	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	(15
2	Charlottenburger	Charlottenburger	N	NN	Fem|Nom|Sg	13	subj	_	-
3	Baustadträtin	Baustadträtin	N	NN	Fem|Nom|Sg	2	app	_	-
4	Beate	Beate	N	NE	Neut|Nom|Sg	3	app	_	-
5	Profe	Profe	N	NE	Neut|Nom|Sg	4	app	_	15)
6	(	(	$(	$(	_	0	root	_	-
7	Bündnis	Bündnis	N	NN	Neut|Nom|Sg	5	app	_	-
8	90	90	CARD	CARD	_	11	attr	_	-
9	/	/	$(	$(	_	0	root	_	-
10	Die	die	ART	ART	Def|_|_|_	8	kon	_	-
11	Grünen	Grüne	N	NN	_|Nom|Pl	7	app	_	-
12	)	)	$(	$(	_	0	root	_	-
13	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
14	sich	sie	PRO	PRF	3|_|_	18	obja	_	-
15	gegen	gegen	PREP	APPR	Acc	18	pp	_	-
16	die	die	ART	ART	Def|Fem|Acc|Sg	17	det	_	-
17	Werbung	Werbung	N	NN	Fem|Acc|Sg	15	pn	_	-
18	ausgesprochen	aussprechen	V	VVPP	_	13	aux	_	-
19	,	,	$,	$,	_	0	root	_	-
20	da	da	KOUS	KOUS	_	33	konj	_	-
21	die	die	ART	ART	Def|Fem|Nom|Sg	22	det	_	(10
22	Gedächtniskirche	Gedächtniskirche	N	NN	Fem|Nom|Sg	33	subj	_	-
23	eine	eine	ART	ART	Indef|Fem|Nom|Sg	26	det	_	-
24	"	"	$(	$(	_	0	root	_	-
25	große	groß	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	26	attr	_	-
26	Bedeutung	Bedeutung	N	NN	Fem|Nom|Sg	22	app	_	-
27	für	für	PREP	APPR	Acc	26	pp	_	-
28	Charlottenburg	Charlottenburg	N	NN	Fem|Acc|Sg	27	pn	_	10)
29	und	und	KON	KON	_	28	kon	_	-
30	Berlin	Berlin	N	NE	_|Acc|Sg	29	cj	_	-
31	insgesamt	insgesamt	ADV	ADV	_	28	adv	_	-
32	"	"	$(	$(	_	0	root	_	-
33	habe	haben	V	VAFIN	3|Sg|Pres|Subj	13	neb	_	-
34	und	und	KON	KON	_	33	kon	_	-
35	sie	sie	PRO	PPER	3|_|_|_	41	obja	_	(10)
36	es	es	PRO	PPER	3|Sg|Neut|_	41	expl	_	-
37	"	"	$(	$(	_	0	root	_	-
38	äußerst	äußerst	ADV	ADV	_	39	adv	_	-
39	problematisch	problematisch	ADV	ADJD	Pos|	41	pred	_	-
40	"	"	$(	$(	_	0	root	_	-
41	fände	finden	V	VVFIN	_|Sg|Past|Subj	34	cj	_	-
42	,	,	$,	$,	_	0	root	_	-
43	den	die	ART	ART	Def|Masc|Acc|Sg	44	det	_	(11
44	Turm	Turm	N	NN	Masc|Acc|Sg	46	obja	_	11)
45	zu	zu	PTKZU	PTKZU	_	46	part	_	-
46	verhängen	verhängen	V	VVINF	_	41	obji	_	-
47	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Außerdem	Außerdem	PROAV	PROAV	_	3	pp	_	-
3	befürchte	befürchten	V	VVFIN	1|Sg|Pres|_	0	root	_	-
4	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(15)
5	einen	eine	ART	ART	Indef|Masc|Acc|Sg	7	det	_	-
6	gezielten	gezielt	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	7	attr	_	-
7	Tabubruch	Tabubruch	N	NN	Masc|Acc|Sg	3	obja	_	-
8	der	die	ART	ART	Def|_|Gen|_	9	det	_	(12
9	Werbewirtschaft	Werbewirtschaft	N	NN	_|Gen|_	7	gmod	_	12)
10	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|_	2	expl	_	-
2	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	ein	eine	ART	ART	Indef|Masc|Nom|Sg	4	det	_	-
4	Kampf	Kampf	N	NN	Masc|Nom|Sg	2	subj	_	-
5	los	los	PTKVZ	PTKVZ	_	2	avz	_	-
6	,	,	$,	$,	_	0	root	_	-
7	welche	welche	ART	PWAT	Fem|Nom|Sg	8	det	_	(13
8	Firma	Firma	N	NN	Fem|Nom|Sg	9	subj	_	13)
9	kann	können	V	VMFIN	3|Sg|Pres|Ind	2	objc	_	-
10	sich	sie	PRO	PRF	3|_|_	9	obja	_	-
11	an	an	PREP	APPR	Dat	0	root	_	-
12	welchem	welche	ART	PWAT	Neut|Dat|Sg	14	det	_	-
13	wichtigen	wichtig	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	14	attr	_	-
14	Gebäude	Gebäude	N	NN	Neut|Dat|Sg	11	pn	_	-
15	präsentieren	präsentieren	V	VVINF	_	0	root	_	-
16	"	"	$(	$(	_	0	root	_	-
17	,	,	$,	$,	_	0	root	_	-
18	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	-
19	sie	sie	PRO	PPER	3|Sg|Fem|Nom	18	subj	_	(13)
20	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(13)
2	befürchte	befürchten	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	daß	daß	KOUS	KOUS	_	14	konj	_	-
5	in	in	PREP	APPR	Dat	14	pp	_	-
6	nächster	nah	ADJA	ADJA	_|Fem|Dat|Sg|St|	7	attr	_	-
7	Zeit	Zeit	N	NN	Fem|Dat|Sg	5	pn	_	-
8	alle	alle	ART	PIDAT	Neut|Nom|Pl	10	det	_	-
9	möglichen	möglich	ADJA	ADJA	Pos|Neut|Nom|Pl|Wk|	10	attr	_	-
10	Gebäude	Gebäude	N	NN	Neut|Nom|Pl	14	subj	_	-
11	"	"	$(	$(	_	0	root	_	-
12	zugekleistert	zugekleistert	FM	FM	Neut|Nom|Pl	10	app	_	-
13	"	"	$(	$(	_	0	root	_	-
14	würden	werden	V	VAFIN	3|Pl|Past|Subj	2	objc	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	(14
2	Kirche	Kirche	N	NN	Fem|Nom|Sg	3	subj	_	14)
3	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	-
4	zudem	zudem	PROAV	PROAV	_	7	pp	_	-
5	für	für	PREP	APPR	Acc	7	pp	_	-
6	sich	sie	PRO	PRF	3|_|Acc	5	pn	_	-
7	beantworten	beantworten	V	VVINF	_	3	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	ob	ob	KOUS	KOUS	_	13	konj	_	-
10	es	es	PRO	PPER	3|Sg|Neut|_	13	expl	_	-
11	ihr	ihr	PRO	PPER	3|Sg|Fem|Dat	13	objd	_	(14)
12	gut	gut	ADV	ADJD	Pos|	13	adv	_	-
13	anstehe	anstehen	V	VVFIN	_|Sg|Pres|_	7	objc	_	-
14	,	,	$,	$,	_	0	root	_	-
15	sich	sie	PRO	PRF	3|_|_	21	obja	_	-
16	mit	mit	PREP	APPR	Dat	21	pp	_	-
17	einer	eine	ART	ART	Indef|Fem|Dat|Sg	19	det	_	-
18	x-beliebigen	x-beliebig	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	19	attr	_	-
19	Firma	Firma	N	NN	Fem|Dat|Sg	16	pn	_	-
20	zu	zu	PTKZU	PTKZU	_	21	part	_	-
21	präsentieren	präsentieren	V	VVINF	_	13	obji	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Profe	Profe	N	NE	_|Nom|Sg	2	subj	_	(15)
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	nach	nach	PREP	APPR	Dat	11	pp	_	-
4	eigenem	eigen	ADJA	ADJA	Pos|Neut|Dat|Sg|St|	5	attr	_	-
5	Bekunden	Bekunden	N	NN	Neut|Dat|Sg	3	pn	_	-
6	jedoch	jedoch	ADV	ADV	_	11	adv	_	-
7	ihre	ihre	ART	PPOSAT	Fem|_|Sg	8	det	_	(15)
8	Zustimmung	Zustimmung	N	NN	Fem|_|Sg	11	obja	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	11	adv	_	-
10	weiter	weiter	ADV	ADV	_	11	adv	_	-
11	verweigern	verweigern	V	VVINF	_	12	aux	_	-
12	wollen	wollen	V	VMINF	_	2	aux	_	-
13	,	,	$,	$,	_	0	root	_	-
14	da	da	KOUS	KOUS	_	23	konj	_	-
15	"	"	$(	$(	_	0	root	_	-
16	ich	ich	PRO	PPER	1|Sg|_|Nom	23	subj	_	(18)
17	mittlerweile	mittlerweile	ADV	ADV	_	23	adv	_	-
18	allein	allein	ADV	ADV	_	23	adv	_	-
19	auf	auf	PREP	APPR	Dat	23	objp	_	-
20	weiter	weit	ADJA	ADJA	Pos|Fem|Dat|Sg|St|	21	attr	_	-
21	Flur	Flur	N	NN	Fem|Dat|Sg	19	pn	_	-
22	"	"	$(	$(	_	0	root	_	-
23	stehe	stehen	V	VVFIN	1|Sg|Pres|_	2	neb	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Neben	neben	PREP	APPR	Dat	4	pp	_	-
