1	Wie	Wie	PWAV	PWAV	_	0	root	_	-
13	Linksextremismus	Linksextremismus	N	NN	_|Dat|Sg	12	app	_	-
14	und	und	KON	KON	_	9	kon	_	-
15	undogmatische	undogmatische	ADJA	ADJA	_|_|_|_|_	16	attr	_	-
16	Linke	Linke	N	NN	_|_|_	14	cj	_	-
17	registriert	registrieren	V	VVPP	_	5	aux	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|_|Sg	2	det	_	-
2	Verbindung	Verbindung	N	NN	Fem|_|Sg	11	obja	_	-
3	zur	zu	PREP	APPRART	Dat	2	pp	_	-
4	Szene	Szene	N	NN	Fem|Dat|Sg	3	pn	_	-
5	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(0
7	Verfassungsschutz	Verfassungsschutz	N	NN	Masc|Nom|Sg	5	subj	_	0)
8	durch	durch	PREP	APPR	Acc	11	pp	_	-
9	zwei	zwei	CARD	CARD	_	10	attr	_	(1
10	V-Leute	V-Leute	N	NN	_|Acc|Pl	8	pn	_	-
11	gehalten	halten	V	VVPP	_	5	aux	_	-
12	,	,	$,	$,	_	0	root	_	-
13	die	die	PRO	PRELS	_|Nom|Pl	25	subj	_	(1)
14	überwiegend	überwiegend	ADV	ADJD	_|_	22	adv	_	-
15	über	über	PREP	APPR	Acc	14	pp	_	-
16	das	die	ART	ART	Def|Neut|Acc|Sg	17	det	_	-
17	Sielwall-Haus	Sielwall-Haus	N	NN	Neut|Acc|Sg	15	pn	_	-
18	und	und	KON	KON	_	17	kon	_	-
19	das	die	ART	ART	Def|Neut|Acc|Sg	21	det	_	-
20	besetzte	besetzt	ADJA	ADJA	Pos|Neut|Acc|Sg|Wk|	21	attr	_	-
21	Haus	Haus	N	NN	Neut|Acc|Sg	18	cj	_	-
22	am	an	PREP	APPRART	Dat	25	pp	_	-
23	Buntentorsteinweg	Buntentorsteinweg	N	NN	Masc|Dat|Sg	22	pn	_	-
24	Kontakt	Kontakt	N	NN	Masc|_|Sg	25	obja	_	-
25	hatten	haben	V	VAFIN	3|Pl|Past|Ind	10	rel	_	1)
26	.	.	$.	$.	_	0	root	_	-

1	Dort	dort	ADV	ADV	_	2	adv	_	-
2	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	7	obja	_	-
4	auch	auch	ADV	ADV	_	7	adv	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	(2
6	Mann	Mann	N	NN	Masc|Nom|Sg	2	subj	_	-
7	aufgehalten	aufhalten	V	VVPP	_	2	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	der	die	PRO	PRELS	Masc|Nom|Sg	15	subj	_	(2)
10	jetzt	jetzt	ADV	ADV	_	14	adv	_	-
11	gegen	gegen	PREP	APPR	Acc	14	pp	_	-
12	den	die	ART	ART	Def|Masc|Acc|Sg	13	det	_	-
13	Lauschangriff	Lauschangriff	N	NN	Masc|Acc|Sg	11	pn	_	-
14	geklagt	klagen	V	VVPP	_	15	aux	_	-
15	hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	rel	_	2)
16	.	.	$.	$.	_	0	root	_	-

1	Interessant	interessant	ADV	ADJD	Pos|	2	pred	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	(3
4	Begründung	Begründung	N	NN	Fem|Nom|Sg	2	subj	_	-
5	,	,	$,	$,	_	0	root	_	-
6	die	die	PRO	PRELS	Fem|Nom|Sg	16	subj	_	(3)
7	Jachmann	Jachmann	N	NE	_|_|Sg	16	obja	_	(4)
8	gegenüber	gegenüber	PREP	APPR	Dat	16	pp	_	-
9	dem	die	ART	ART	Def|Neut|Dat|Sg	10	det	_	-
10	Gericht	Gericht	N	NN	Neut|Dat|Sg	8	pn	_	-
11	über	über	PREP	APPR	Acc	16	pp	_	-
12	die	die	ART	ART	Def|Fem|Acc|Sg	13	det	_	-
13	Notwendigkeit	Notwendigkeit	N	NN	Fem|Acc|Sg	11	pn	_	-
14	der	die	ART	ART	Def|Fem|Gen|Sg	15	det	_	-
15	Abhöraktion	Abhöraktion	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	auftischte	auftischen	V	VVFIN	3|Sg|Past|_	4	rel	_	3)
17	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|_|Nom|Pl	2	det	_	(1
2	V-Leute	V-Leute	N	NN	_|Nom|Pl	3	subj	_	1)
3	seien	sein	V	VAFIN	3|Pl|Pres|Subj	0	root	_	-
4	schon	schon	ADV	ADV	_	3	adv	_	-
5	lange	lange	ADV	ADJD	_	3	adv	_	-
6	zuverlässig	zuverlässig	ADV	ADJD	Pos|	3	adv	_	-
7	für	für	PREP	APPR	Acc	3	pp	_	-
8	den	die	ART	ART	Def|Masc|Acc|Sg	9	det	_	(5
9	VS	VS	N	NN	Masc|Acc|Sg	7	pn	_	5)
10	tätig	tätig	ADV	ADJD	Pos|	3	pred	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(1)
2	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	-
3	berichtet	berichten	V	VVPP	_	2	aux	_	-
4	,	,	$,	$,	_	0	root	_	-
5	daß	daß	KOUS	KOUS	_	0	root	_	-
6	die	die	ART	ART	Def|Fem|_|Sg	7	det	_	(11
7	Szene	Szene	N	NN	Fem|_|Sg	0	root	_	11)
8	sich	sie	PRO	PRF	3|_|_	14	obja	_	-
9	in	in	PREP	APPR	_	14	pp	_	-
10	kleinsten	klein	ADJA	ADJA	Sup|Fem|_|Pl|_|	11	attr	_	-
11	Einheiten	Einheit	N	NN	Fem|_|Pl	9	pn	_	-
12	als	als	KOKOM	KOKOM	_	14	kom	_	-
13	Wohngemeinschaften	Wohngemeinschaft	N	NN	Fem|_|Pl	12	cj	_	-
14	organisiert	organisieren	V	VVPP	_	15	aux	_	-
15	hätten	haben	V	VAFIN	_|Pl|Past|Subj	0	root	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Nach	nach	PREP	APPR	Dat	20	pp	_	-
2	dem	die	ART	ART	Def|Masc|Dat|Sg	3	det	_	-
3	Anschlag	Anschlag	N	NN	Masc|Dat|Sg	1	pn	_	-
4	auf	auf	PREP	APPR	Acc	3	pp	_	-
5	das	die	ART	ART	Def|Neut|Acc|Sg	6	det	_	-
6	AEG-Gebäude	AEG-Gebäude	N	NN	Neut|Acc|Sg	4	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	zu	zu	PREP	APPR	Dat	18	pp	_	-
9	der	die	PRO	PRELS	Fem|Dat|Sg	8	pn	_	-
10	sich	sie	PRO	PRF	3|_|_	18	obja	_	-
11	eine	eine	ART	ART	Indef|Fem|Nom|Sg	12	det	_	(6
12	Gruppe	Gruppe	N	NN	Fem|Nom|Sg	18	subj	_	-
13	"	"	$(	$(	_	0	root	_	-
14	Steve	Steve	N	NE	Fem|Nom|Sg	12	app	_	-
15	Biko	Biko	N	NE	Fem|Nom|Sg	14	app	_	6)
16	"	"	$(	$(	_	0	root	_	-
17	bekannt	bekannt	ADV	ADJD	Pos|	18	pred	_	-
18	hatte	haben	V	VAFIN	_|Sg|Past|Ind	6	rel	_	-
19	,	,	$,	$,	_	0	root	_	-
20	reichte	reichen	V	VVFIN	3|Sg|Past|_	0	root	_	-
21	dem	die	ART	ART	Def|_|Dat|Sg	22	det	_	(7
22	VS	VS	N	NN	_|Dat|Sg	20	objd	_	7)
23	dann	dann	ADV	ADV	_	20	adv	_	-
24	ein	eine	ART	ART	Indef|Neut|Nom|Sg	25	det	_	-
25	Buch	Buch	N	NN	Neut|Nom|Sg	20	subj	_	-
26	des	die	ART	ART	Def|Masc|Gen|Sg	28	det	_	-
27	südafrikanischen	südafrikanisch	ADJA	ADJA	Pos|Masc|Gen|Sg|_|	28	attr	_	-
28	Studentenführers	Studentenführer	N	NN	Masc|Gen|Sg	25	gmod	_	-
29	Biko	Biko	N	NE	Masc|Gen|Sg	28	app	_	-
30	im	in	PREP	APPRART	Dat	20	pp	_	-
31	Regal	Regal	N	NN	Neut|Dat|Sg	30	pn	_	-
32	des	die	ART	ART	Def|Masc|Gen|Sg	34	det	_	-
33	observierten	observiert	ADJA	ADJA	Pos|Masc|Gen|Sg|_|	34	attr	_	-
34	Mannes	Mann	N	NN	Masc|Gen|Sg	31	gmod	_	-
35	,	,	$,	$,	_	0	root	_	-
36	um	um	KOUI	KOUI	_	47	konj	_	-
37	den	die	ART	ART	Def|Masc|Acc|Sg	38	det	_	-
38	Verdacht	Verdacht	N	NN	Masc|Acc|Sg	47	obja	_	-
39	der	die	ART	ART	Def|Fem|Gen|Sg	40	det	_	-
40	Zugehörigkeit	Zugehörigkeit	N	NN	Fem|Gen|Sg	38	gmod	_	-
41	zur	zu	PREP	APPRART	Dat	40	pp	_	-
42	"	"	$(	$(	_	0	root	_	-
43	Autonomen	autonom	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	44	attr	_	-
44	Zelle	Zelle	N	NN	Fem|Dat|Sg	41	pn	_	-
45	"	"	$(	$(	_	0	root	_	-
46	zu	zu	PTKZU	PTKZU	_	47	part	_	-
47	erhärten	erhärten	V	VVINF	_	20	neb	_	-
48	.	.	$.	$.	_	0	root	_	-

1	Später	spät	ADV	ADJD	_|	2	adv	_	-
2	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	-
3	der	die	ART	ART	Def|Masc|Nom|Sg	4	det	_	(5
4	VS	VS	N	NN	Masc|Nom|Sg	2	subj	_	5)
5	feststellen	feststellen	V	VVINF	_	2	aux	_	-
6	,	,	$,	$,	_	0	root	_	-
7	daß	daß	KOUS	KOUS	_	19	konj	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	-
9	Beschäftigung	Beschäftigung	N	NN	Fem|Nom|Sg	19	subj	_	-
10	des	die	ART	ART	Def|_|Gen|Sg	11	det	_	(8
11	Verdächtigen	Verdächtige	N	NN	_|Gen|Sg	9	gmod	_	8)
12	mit	mit	PREP	APPR	Dat	19	pp	_	-
13	Stive	Stive	N	NE	_|Dat|_	12	pn	_	(6
14	Biko	Biko	N	NE	_|Dat|_	13	app	_	6)
15	auf	auf	PREP	APPR	_	19	objp	_	-
16	rein	rein	ADV	ADJD	Pos|	17	adv	_	-
17	musikalischen	musikalisch	ADJA	ADJA	Pos|Fem|_|Pl|_|	18	attr	_	-
18	Grundlagen	Grundlage	N	NN	Fem|_|Pl	15	pn	_	-
19	beruhe	beruhen	V	VVFIN	3|Sg|Pres|Subj	5	objc	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Verdachtsverschärfend	Verdachtsverschärfend	N	NN	Neut|_|Sg	0	root	_	-
2	wirkte	wirken	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	in	in	PREP	APPR	Dat	2	pp	_	-
5	den	die	ART	ART	Def|Neut|Dat|Pl	6	det	_	-
6	Augen	Auge	N	NN	Neut|Dat|Pl	4	pn	_	-
7	des	die	ART	ART	Def|_|Gen|Sg	8	det	_	(7
8	VS	VS	N	NN	_|Gen|Sg	6	gmod	_	7)
9	auch	auch	ADV	ADV	_	2	adv	_	-
10	die	die	ART	ART	Def|Fem|Nom|Sg	11	det	_	-
11	Teilnahme	Teilnahme	N	NN	Fem|Nom|Sg	2	subj	_	-
12	des	die	ART	ART	Def|_|Gen|Sg	13	det	_	(8
13	Verdächtigen	Verdächtige	N	NN	_|Gen|Sg	11	gmod	_	8)
14	an	an	PREP	APPR	Dat	11	pp	_	-
15	einer	eine	ART	ART	Indef|Fem|Dat|Sg	16	det	_	-
16	Pasästina-Demonstration	Pasästina-Demonstration	N	NN	Fem|Dat|Sg	14	pn	_	-
17	sowie	sowie	KON	KON	_	14	kon	_	-
18	an	an	PREP	APPR	Dat	17	cj	_	-
19	einer	eine	ART	ART	Indef|Fem|Dat|Sg	20	det	_	-
20	Solidaritätsdemo	Solidaritätsdemo	N	NN	Fem|Dat|Sg	18	pn	_	-
21	für	für	PREP	APPR	Acc	2	pp	_	-
22	die	die	ART	ART	Def|Neut|Acc|Pl	24	det	_	-
23	hungerstreikenden	hungerstreikend	ADJA	ADJA	Pos|Neut|Acc|Pl|Wk|<PPRES	24	attr	_	-
24	RAF-Mitglieder	RAF-Mitglied	N	NN	Neut|Acc|Pl	21	pn	_	-
25	1989	1989	CARD	CARD	_	24	app	_	-
26	aus	aus	PTKVZ	PTKVZ	_	2	avz	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Alle	alle	ART	PIDAT	_|Nom|Pl	2	det	_	(9
2	Informationen	Information	N	NN	_|Nom|Pl	13	subj	_	-
3	,	,	$,	$,	_	0	root	_	-
4	die	die	PRO	PRELS	_|Nom|Pl	11	subj	_	(9)
5	die	die	ART	ART	Def|_|_|Pl	6	det	_	(1
6	V-Leute	V-Leute	N	NN	_|_|Pl	10	obja	_	1)
7	an	an	PREP	APPR	_	10	pp	_	-
8	den	die	ART	ART	Def|_|_|_	9	det	_	-
9	VS	VS	N	NN	_|_|_	7	pn	_	-
10	weitergegeben	weitergeben	V	VVPP	_	11	aux	_	-
11	haben	haben	V	VAFIN	3|Pl|Pres|_	2	rel	_	9)
12	,	,	$,	$,	_	0	root	_	-
13	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
14	mündlich	mündlich	ADV	ADJD	Pos|	15	adv	_	-
15	abgeliefert	abliefern	V	VVPP	_	13	aux	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Masc|Nom|Pl	3	det	_	(10
2	beiden	beide	ART	PIDAT	Masc|Nom|Pl	3	attr	_	-
3	V-Männer	V-Mann	N	NN	Masc|Nom|Pl	11	subj	_	-
4	,	,	$,	$,	_	0	root	_	-
5	die	die	PRO	PRELS	Masc|Nom|Pl	9	subj	_	(10)
6	die	die	ART	ART	Def|Fem|_|Sg	7	det	_	(11
7	Szene	Szene	N	NN	Fem|_|Sg	8	obja	_	11)
8	ausspioniert	ausspionieren	V	VVPP	_	9	aux	_	-
9	haben	haben	V	VAFIN	3|Pl|Pres|_	3	rel	_	10)
10	,	,	$,	$,	_	0	root	_	-
11	kennen	kennen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
12	sich	sie	PRO	PRF	3|_|_	11	obja	_	-
13	nicht	nicht	PTKNEG	PTKNEG	_	11	adv	_	-
14	,	,	$,	$,	_	0	root	_	-
15	so	so	ADV	ADV	_	16	adv	_	(4
16	Jachmann	Jachmann	N	NE	_|_|Sg	0	root	_	4)
17	.	.	$.	$.	_	0	root	_	-

