1	Wie	Wie	PWAV	PWAV	_	2	adv	_	-
16	dann	dann	ADV	ADV	_	18	adv	_	-
17	reichsweit	reichsweit	ADV	ADJD	Pos|	18	adv	_	-
18	übernommen	übernehmen	V	VVPP	_	15	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Eine	eine	ART	ART	Indef|Fem|Nom|Sg	4	det	_	-
3	zentrale	zentral	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	_	-
4	Rolle	Rolle	N	NN	Fem|Nom|Sg	5	subj	_	-
5	spielte	spielen	V	VVFIN	3|Sg|Past|_	0	root	_	-
6	Hamburg	Hamburg	N	NE	_|_|Sg	5	obja	_	(0)
7	auch	auch	ADV	ADV	_	5	adv	_	-
8	mit	mit	PREP	APPR	Dat	5	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	-
10	Firma	Firma	N	NN	Fem|Dat|Sg	8	pn	_	-
11	"	"	$(	$(	_	0	root	_	-
12	Tesch	Tesch	N	NE	Fem|Dat|Sg	10	app	_	-
13	&	&	KON	KON	_	12	kon	_	-
14	Stabenow	Stabenow	N	NE	Fem|Dat|Sg	13	cj	_	-
15	"	"	$(	$(	_	0	root	_	-
16	als	als	KOKOM	KOKOM	_	5	kom	_	-
17	Lieferantin	Lieferantin	N	NN	Neut|_|_	16	cj	_	-
18	der	die	ART	ART	Def|Fem|Gen|Sg	19	det	_	-
19	Nazi-Mordwaffe	Nazi-Mordwaffe	N	NN	Fem|Gen|Sg	17	gmod	_	-
20	"	"	$(	$(	_	0	root	_	-
21	Zyklon	Zyklon	N	NN	Neut|_|_	17	app	_	-
22	B	B	N	NN	Neut|_|_	21	app	_	-
23	"	"	$(	$(	_	0	root	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|_|_|_	2	det	_	-
2	50.	50.	ADJA	ADJA	_|_|_	0	root	_	-

1	Jahrestag	Jahrestag	N	NN	_|Nom|Sg	7	subj	_	-
2	des	die	ART	ART	Def|Neut|Gen|Sg	3	det	_	-
3	Kriegsendes	Kriegsende	N	NN	Neut|Gen|Sg	1	gmod	_	-
4	am	an	PREP	APPRART	Dat	3	pp	_	-
5	8.	8.	ADJA	ADJA	_|Masc|Dat|Sg|_|	6	attr	_	-
6	Mai	Mai	N	NN	Masc|Dat|Sg	4	pn	_	-
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
8	Anlaß	Anlaß	N	NN	Masc|Nom|Sg	7	pred	_	-
9	für	für	PREP	APPR	Acc	8	pp	_	-
10	die	die	ART	ART	Def|Fem|Acc|Sg	11	det	_	(6
11	Tagung	Tagung	N	NN	Fem|Acc|Sg	9	pn	_	6)
12	;	;	$.	$.	_	0	root	_	-
13	absichtlich	absichtlich	ADV	ADJD	Pos|	14	adv	_	-
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
15	sich	sie	PRO	PRF	3|_|Dat	28	objd	_	-
16	die	die	ART	ART	Def|Fem|Nom|Sg	17	det	_	(5
17	HSG	HSG	N	NN	Fem|Nom|Sg	14	subj	_	5)
18	aber	aber	ADV	ADV	_	28	adv	_	-
19	nicht	nicht	PTKNEG	PTKNEG	_	28	adv	_	-
20	den	die	ART	ART	Def|_|_|_	26	det	_	-
21	"	"	$(	$(	_	0	root	_	-
22	unzähligen	unzählig	ADJA	ADJA	Pos|_|_|_|_|	26	attr	_	-
23	,	,	$,	$,	_	0	root	_	-
24	häufig	häufig	ADV	ADJD	Pos|	25	adv	_	-
25	ritualisierten	ritualisiert	ADJA	ADJA	Pos|_|_|_|_|	22	kon	_	-
26	Gedenkfeiern	Gedenkfeiern	N	NN	_|_|_	28	obja	_	-
27	"	"	$(	$(	_	0	root	_	-
28	angeschlossen	angeschlossen	V	VVPP	_	14	aux	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	(6
2	Tagung	Tagung	N	NN	Fem|Nom|Sg	3	subj	_	6)
3	beginnt	beginnen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	am	an	PREP	APPRART	Dat	3	pp	_	-
5	Samstag	Samstag	N	NN	_|Dat|Sg	4	pn	_	-
6	,	,	$,	$,	_	0	root	_	-
7	21.	21.	ADJA	ADJA	_|Masc|Dat|Sg|_|	8	attr	_	-
8	Oktober	Oktober	N	NN	Masc|Dat|Sg	5	app	_	-
9	,	,	$,	$,	_	0	root	_	-
10	mit	mit	PREP	APPR	Dat	3	pp	_	-
11	einem	eine	ART	ART	Indef|Neut|Dat|Sg	12	det	_	-
12	Referat	Referat	N	NN	Neut|Dat|Sg	10	pn	_	-
13	über	über	PREP	APPR	Acc	12	pp	_	-
14	Forschungspositionen	Forschungsposition	N	NN	Fem|Acc|Pl	13	pn	_	-
15	und	und	KON	KON	_	14	kon	_	-
16	Defizite	Defizit	N	NN	Neut|Acc|Pl	15	cj	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Workshops	Workshops	N	NN	_|Nom|Pl	20	subj	_	-
2	zu	zu	PREP	APPR	Dat	1	pp	_	-
3	Machtstrukturen	Machtstruktur	N	NN	Fem|Dat|Pl	2	pn	_	-
4	,	,	$,	$,	_	0	root	_	-
5	Verfolgung	Verfolgung	N	NN	Fem|Dat|Sg	3	kon	_	-
6	der	die	ART	ART	Def|Masc|Gen|Pl	7	det	_	-
7	Juden	Jude	N	NN	Masc|Gen|Pl	5	gmod	_	-
8	,	,	$,	$,	_	0	root	_	-
9	Bedeutung	Bedeutung	N	NN	Fem|Dat|Sg	5	kon	_	-
10	der	die	ART	ART	Def|Fem|Gen|Sg	11	det	_	-
11	Justiz	Justiz	N	NN	Fem|Gen|Sg	9	gmod	_	-
12	,	,	$,	$,	_	0	root	_	-
13	Rolle	Rolle	N	NN	_|Dat|_	9	kon	_	-
14	des	die	ART	ART	Def|Neut|Gen|Sg	15	det	_	-
15	Arbeitertums	Arbeitertum	N	NN	Neut|Gen|Sg	13	gmod	_	-
16	und	und	KON	KON	_	13	kon	_	-
17	Alltagsleben	Alltagsleben	N	NN	Neut|Dat|_	16	cj	_	-
18	in	in	PREP	APPR	_	17	pp	_	-
19	Hamburg	Hamburg	N	NE	_|_|Sg	18	pn	_	(0)
20	schließen	schließen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
21	sich	sie	PRO	PRF	3|_|_	20	obja	_	-
22	bis	bis	PREP	APPR	Acc	20	pp	_	-
23	Sonntag	Sonntag	N	NN	_|Acc|Sg	22	pn	_	-
24	abend	abend	ADV	ADV	_	23	adv	_	-
25	an	an	PTKVZ	PTKVZ	_	20	avz	_	-
26	.	.	$.	$.	_	0	root	_	-

