1	Gib	geben	V	VVIMP	Sg	0	root	_	-
23	großen	groß	ADJA	ADJA	Pos|_|_|_|Wk|	24	attr	_	-
24	Stars	Star	N	NN	_|_|_	21	pn	_	-
25	routiniert	routiniert	ADV	ADJD	Pos|	34	adv	_	-
26	und	und	KON	KON	_	25	kon	_	-
27	scheinbar	scheinbar	ADV	ADJD	Pos|	28	adv	_	-
28	teilnahmslos	teilnahmslos	ADV	ADJD	_	26	cj	_	-
29	für	für	PREP	APPR	Acc	34	objp	_	-
30	den	die	ART	ART	Def|Masc|Acc|Sg	31	det	_	-
31	Sound	Sound	N	NN	Masc|Acc|Sg	29	pn	_	-
32	und	und	KON	KON	_	31	kon	_	-
33	Drive	Drive	N	NN	Masc|Acc|Sg	32	cj	_	-
34	sorgen	sorgen	V	VVFIN	3|Pl|Pres|_	37	neb	_	-
35	,	,	$,	$,	_	0	root	_	-
36	der	die	PRO	PDS	Masc|Nom|Sg	37	subj	_	-
37	anmacht	anmachen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
38	.	.	$.	$.	_	0	root	_	-

1	Gänzlich	gänzlich	ADV	ADJD	Pos|	2	adv	_	-
2	ohne	ohne	PREP	APPR	Acc	4	pp	_	-
3	sidemen	sidemen	N	NE	_|Acc|_	2	pn	_	-
4	sorgte	sorgen	V	VVFIN	3|Sg|Past|_	0	root	_	-
5	das	die	ART	ART	Def|Neut|Nom|Sg	6	det	_	-
6	Paul	Paul	N	NE	Neut|Nom|Sg	4	subj	_	-
7	Motian	Motian	N	NE	Neut|Nom|Sg	6	app	_	-
8	Trio	Trio	N	NN	Neut|Nom|Sg	7	app	_	-
9	am	an	PREP	APPRART	Dat	4	pp	_	-
10	sonst	sonst	ADV	ADV	_	11	adv	_	-
11	flauen	flau	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	12	attr	_	-
12	Montagabend	Montagabend	N	NN	Masc|Dat|Sg	9	pn	_	-
13	für	für	PREP	APPR	Acc	4	objp	_	-
14	ein	eine	ART	ART	Indef|Neut|Acc|Sg	16	det	_	-
15	volles	voll	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	16	attr	_	-
16	Haus	Haus	N	NN	Neut|Acc|Sg	13	pn	_	-
17	-	-	$(	$(	_	0	root	_	-
18	ECM-lastige	ECM-lastig	ADJA	ADJA	Pos|_|Nom|_|_|	19	attr	_	-
19	Monk-Homage	Monk-Homage	N	NN	_|Nom|_	0	root	_	-
20	mit	mit	PREP	APPR	Dat	19	pp	_	-
21	Bill	Bill	N	NE	Masc|Dat|Sg	20	pn	_	(5
22	Frisell	Frisell	N	NE	Masc|Dat|Sg	21	app	_	5)
23	und	und	KON	KON	_	22	kon	_	-
24	dem	die	ART	ART	Def|Masc|Dat|Sg	26	det	_	-
25	heimlichen	heimlich	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	26	attr	_	-
26	Star	Star	N	NN	Masc|Dat|Sg	23	cj	_	-
27	des	die	ART	ART	Def|_|Gen|Sg	28	det	_	-
28	Festvals	Festvals	N	NN	_|Gen|Sg	26	gmod	_	-
29	Joe	Joe	N	NE	_|Gen|Sg	28	app	_	-
30	Lovano	Lovano	N	NE	_|Gen|Sg	29	app	_	-
31	,	,	$,	$,	_	0	root	_	-
32	der	die	ART	ART	Def|Masc|Nom|Sg	34	det	_	-
33	vielgefragte	vielgefragt	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	34	attr	_	-
34	New	New	N	NE	Masc|Nom|Sg	19	app	_	-
35	Yorker	Yorker	ADJA	ADJA	Pos|Neut|Nom|Sg|_|	36	attr	_	-
36	Tenorist	Tenorist	N	NN	Neut|Nom|Sg	34	app	_	-
37	um	um	PREP	APPR	Acc	36	pp	_	-
38	die	die	ART	ART	Def|_|_|Pl	39	det	_	-
39	vierzig	vierzig	CARD	CARD	_|_|_	37	pn	_	-
40	.	.	$.	$.	_	0	root	_	-

1	Manchmal	manchmal	ADV	ADV	_	2	adv	_	-
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	man	man	PRO	PIS	_|Nom|Sg	2	subj	_	-
4	ihn	er	PRO	PPER	3|Sg|Masc|Acc	2	obja	_	(1)
5	binnen	binnen	PREP	APPR	_	2	pp	_	-
6	einer	eine	ART	ART	Indef|Fem|_|Sg	7	det	_	-
7	BigApple	BigApple	N	NN	Fem|_|Sg	5	pn	_	-
8	Woche	Woche	N	NN	Fem|_|Sg	7	app	_	-
9	im	in	PREP	APPRART	Dat	2	pp	_	-
10	Vanguard-Orchestra	Vanguard-Orchestra	N	NN	Fem|_|Sg	9	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	in	in	PREP	APPR	Dat	2	pp	_	-
13	der	die	ART	ART	Def|Fem|Dat|Sg	14	det	_	-
14	Knitting	Knitting	N	NE	Fem|Dat|Sg	12	pn	_	-
15	Factory	Factory	N	NE	Fem|Dat|Sg	14	app	_	-
16	mit	mit	PREP	APPR	Dat	15	pp	_	-
17	Motian	Motian	N	NE	_|Dat|_	16	pn	_	-
18	/	/	$(	$(	_	0	root	_	-
19	Frisell	Frisell	N	NE	_|Dat|_	17	kon	_	(5)
20	,	,	$,	$,	_	0	root	_	-
21	im	in	PREP	APPRART	Dat	2	pp	_	-
22	Blue	Blue	FM	FM	_|Dat|_	21	pn	_	-
23	Note	Note	FM	FM	_|Dat|_	22	app	_	-
24	mit	mit	PREP	APPR	Dat	2	pp	_	-
25	John	John	N	NE	_|Dat|Sg	24	pn	_	-
26	Scofield	Scofield	N	NE	_|Dat|Sg	25	app	_	-
27	,	,	$,	$,	_	0	root	_	-
28	Kenny	Kenny	N	NE	_|Dat|Sg	26	app	_	-
29	Werner	Werner	N	NE	_|Dat|Sg	28	app	_	-
30	oder	oder	KON	KON	_	29	kon	_	-
31	John	John	N	NE	_|Dat|Sg	30	cj	_	-
32	Abercrombie	Abercrombie	N	NE	_|Dat|Sg	31	app	_	-
33	,	,	$,	$,	_	0	root	_	-
34	im	in	PREP	APPRART	Dat	2	pp	_	-
35	Sweet	Sweet	N	NN	_|Dat|_	34	pn	_	-
36	Basil	Basil	N	NE	Masc|Dat|Sg	35	app	_	-
37	mit	mit	PREP	APPR	Dat	2	pp	_	-
38	Charlie	Charlie	N	NE	_|Dat|_	37	pn	_	-
39	Haden	Haden	N	NE	_|Dat|_	38	app	_	-
40	'	'	$(	$(	_	0	root	_	-
41	s	s	PRO	PPER	Fem|_|Sg	0	root	_	-
42	Liberation	Liberation	N	NN	Fem|_|Sg	41	app	_	-
43	Orchestra	Orchestra	N	NN	Fem|_|Sg	42	app	_	-
44	oder	oder	KON	KON	_	0	root	_	-
45	im	in	PREP	APPRART	Dat	44	cj	_	-
46	Visiones	Visiones	N	NN	_|Dat|_	45	pn	_	-
47	mit	mit	PREP	APPR	Dat	46	pp	_	-
48	eigener	eigen	ADJA	ADJA	Pos|Fem|Dat|Sg|St|	49	attr	_	-
49	Gruppe	Gruppe	N	NN	Fem|Dat|Sg	47	pn	_	-
50	erleben	erleben	V	VVINF	_	0	root	_	-
51	.	.	$.	$.	_	0	root	_	-

1	Kein	keine	ART	PIAT	Neut|_|Sg	2	det	_	-
2	Skalenfetischist	Skalenfetischist	N	NN	Neut|_|Sg	0	root	_	-
3	oder	oder	KON	KON	_	2	kon	_	-
4	Akkordflicker	Akkordflicker	N	NN	Masc|_|_	3	cj	_	-
5	,	,	$,	$,	_	0	root	_	-
6	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	-
8	Saxophonkoloß	Saxophonkoloß	N	NN	Masc|Nom|Sg	6	subj	_	-
9	mit	mit	PREP	APPR	Dat	6	pp	_	-
10	dem	die	ART	ART	Def|Masc|Dat|Sg	12	det	_	-
11	warmen	warm	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	12	attr	_	-
12	Ton	Ton	N	NN	Masc|Dat|Sg	9	pn	_	-
13	bescheiden	bescheiden	ADV	ADJD	Pos|	20	adv	_	-
14	in	in	PREP	APPR	Acc	20	objp	_	-
15	die	die	ART	ART	Def|_|Acc|_	17	det	_	-
16	linke	link	ADJA	ADJA	Pos|_|Acc|_|_|	17	attr	_	-
17	Ecke	Eck	N	NN	_|Acc|_	14	pn	_	-
18	der	die	ART	ART	Def|_|Gen|_	19	det	_	-
19	Quasibühne	Quasibühne	N	NN	_|Gen|_	17	gmod	_	-
20	gedrängt	drängen	V	VVPP	_	6	neb	_	-
21	und	und	KON	KON	_	6	kon	_	-
22	bläst	blasen	V	VVFIN	_|Sg|Pres|Ind	21	cj	_	-
23	den	die	ART	ART	Def|Masc|Acc|Sg	24	det	_	-
24	Club	Club	N	NN	Masc|Acc|Sg	22	obja	_	-
25	down	down	ADV	ADJD	Pos|	22	adv	_	-
26	:	\:	$.	$.	_	0	root	_	-
27	A	A	FM	FM	_	0	root	_	-
28	musicians	musicians	FM	FM	_	27	app	_	-
29	music	music	FM	FM	_	28	app	_	-
30	!	!	$.	$.	_	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Irgendwie	irgendwie	ADV	ADV	_	3	adv	_	-
3	finden	finden	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	die	die	ART	ART	Def|Masc|Nom|Pl	6	det	_	-
5	jungen	jung	ADJA	ADJA	Pos|Masc|Nom|Pl|Wk|	6	attr	_	-
6	Techniker	Techniker	N	NN	Masc|Nom|Pl	3	subj	_	-
7	keinen	keine	ART	PIAT	Masc|Acc|Sg	9	det	_	-
8	eigenen	eigen	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	_	-
9	Ton	Ton	N	NN	Masc|Acc|Sg	3	obja	_	-
10	und	und	KON	KON	_	3	kon	_	-
11	spielen	spielen	V	VVFIN	_|Pl|Pres|_	10	cj	_	-
12	ohne	ohne	PREP	APPR	Acc	11	pp	_	-
13	Ausdruck	Ausdruck	N	NN	Masc|Acc|Sg	12	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(6)
2	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	-
3	diesen	diese	ART	PDAT	Masc|Acc|Sg	4	det	_	-
4	Abgrund	Abgrund	N	NN	Masc|Acc|Sg	5	obja	_	-
5	überwinden	überwinden	V	VVINF	_	2	aux	_	-
6	,	,	$,	$,	_	0	root	_	-
7	in	in	PREP	APPR	Acc	12	objp	_	-
8	die	die	ART	ART	Def|_|Acc|Pl	9	det	_	-
9	Tiefen	Tiefe	N	NN	_|Acc|Pl	7	pn	_	-
10	meines	meine	ART	PPOSAT	Neut|Gen|Sg	11	det	_	(6)
11	Instruments	Instrument	N	NN	Neut|Gen|Sg	9	gmod	_	-
12	vordringen	vordringen	V	VVINF	_	5	kon	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|_|Nom|_	4	det	_	-
4	Message	Message	N	NN	_|Nom|_	2	pred	_	-
5	von	von	PREP	APPR	_	4	pp	_	-
6	Rollins	Rollins	N	NE	_|_|_	5	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	Stitt	Stitt	N	NE	_|_|_	6	kon	_	-
9	,	,	$,	$,	_	0	root	_	-
10	Trane	Trane	N	NE	_|_|_	8	kon	_	(35)
11	und	und	KON	KON	_	10	kon	_	-
12	Rahsaan	Rahsaan	N	NE	_|_|_	11	cj	_	-
13	:	\:	$.	$.	_	0	root	_	-
14	Expression	Expression	N	NN	Neut|_|Sg	0	root	_	-
15	.	.	$.	$.	_	0	root	_	-

1	«	«	$(	$(	_	0	root	_	-
2	Im	in	PREP	APPRART	Dat	11	pp	_	-
3	Outfit	Outfit	N	NN	Neut|Dat|Sg	2	pn	_	-
4	eines	eine	ART	ART	Indef|_|Gen|Sg	5	det	_	-
5	New	New	N	NE	_|Gen|Sg	3	gmod	_	-
6	Yorker	Yorker	ADJA	ADJA	Pos|Masc|Gen|Sg|_|	7	attr	_	-
7	Taxifahrers	Taxifahrer	N	NN	Masc|Gen|Sg	5	gmod	_	-
8	aus	aus	PREP	APPR	Dat	7	pp	_	-
9	East	East	N	NE	_|Dat|_	8	pn	_	-
10	Harlem	Harlem	N	NE	_|Dat|_	9	app	_	-
11	machte	machen	V	VVFIN	3|Sg|Past|_	0	root	_	-
12	der	die	ART	ART	Def|Masc|Nom|Sg	13	det	_	(8
13	Altsaxophonist	Altsaxophonist	N	NN	Masc|Nom|Sg	11	subj	_	-
14	Paquito	Paquito	N	NE	Masc|Nom|Sg	13	app	_	8)
15	D	D	N	NN	Neut|Nom|_	11	pred	_	-
16	'	'	$(	$(	_	0	root	_	-
17	Rivera	Rivera	N	NE	Neut|Nom|_	15	app	_	-
18	einen	eine	ART	ART	Indef|Masc|Acc|Sg	19	det	_	-
19	Tourneestop	Tourneestop	N	NN	Masc|Acc|Sg	11	obja	_	-
20	im	in	PREP	APPRART	Dat	19	pp	_	-
21	Kellerclub	Kellerclub	N	NN	Masc|Dat|Sg	20	pn	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Mit	mit	PREP	APPR	Dat	0	root	_	-
2	dem	die	ART	ART	Def|Masc|Dat|Sg	4	det	_	-
3	routinierten	routiniert	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	4	attr	_	-
4	Blick	Blick	N	NN	Masc|Dat|Sg	1	pn	_	-
5	auf	auf	PREP	APPR	Acc	4	pp	_	-
6	die	die	ART	ART	Def|Fem|Acc|Sg	7	det	_	-
7	Uhr	Uhr	N	NN	Fem|Acc|Sg	5	pn	_	-
8	,	,	$,	$,	_	0	root	_	-
9	»	»	$(	$(	_	0	root	_	-
10	es	es	PRO	PPER	3|Sg|Neut|Nom	11	subj	_	-
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
12	1.30	1.30	CARD	CARD	_	13	attr	_	-
13	h	h	N	NN	_|_|Pl	11	obja	_	-
14	und	und	KON	KON	_	11	kon	_	-
15	der	die	ART	ART	Def|Masc|Nom|Sg	16	det	_	(7
16	Flug	Flug	N	NN	Masc|Nom|Sg	20	subj	_	-
17	zum	zu	PREP	APPRART	Dat	16	pp	_	-
18	nächsten	nah	ADJA	ADJA	_|Neut|Dat|Sg|Wk|	19	attr	_	(16
19	Festival	Festival	N	NN	Neut|Dat|Sg	17	pn	_	7)|16)
20	startet	starten	V	VVFIN	3|Sg|Pres|Ind	14	cj	_	-
21	bereits	bereits	ADV	ADV	_	20	adv	_	-
22	in	in	PREP	APPR	_	20	pp	_	-
23	5	5	CARD	CARD	_	24	attr	_	-
24	Stunden	Stunde	N	NN	Fem|_|Pl	22	pn	_	-
25	«	«	$(	$(	_	0	root	_	-
26	-	-	$(	$(	_	0	root	_	-
27	energiegeladen	energiegeladen	ADV	ADJD	Pos|	31	adv	_	-
28	,	,	$,	$,	_	0	root	_	-
29	unaufhörlich	unaufhörlich	ADV	ADJD	Pos|	30	adv	_	-
30	gute	gut	ADJA	ADJA	Pos|_|_|_|_|	27	kon	_	-
31	Laune	Laune	N	NN	Fem|_|Sg	32	obja	_	-
32	verbreitend	verbreiten	ADV	ADJD	_|<PPRES	0	root	_	-
33	,	,	$,	$,	_	0	root	_	-
34	selbst	selbst	ADV	ADV	_	42	adv	_	-
35	wenn	wenn	KOUS	KOUS	_	40	konj	_	-
36	seine	seine	ART	PPOSAT	Masc|Nom|Pl	37	det	_	(7)
37	Witze	Witz	N	NN	Masc|Nom|Pl	40	subj	_	-
38	kaum	kaum	ADV	ADV	_	40	adv	_	-
39	Eckkneipenniveau	Eckkneipenniveau	N	NN	Neut|_|Sg	40	obja	_	-
40	erreichen	erreichen	V	VVFIN	3|Pl|Pres|_	42	neb	_	-
41	,	,	$,	$,	_	0	root	_	-
42	lädt	laden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
43	Paquito	Paquito	N	NE	_|Nom|Sg	42	subj	_	(8)
44	in	in	PREP	APPR	Dat	42	pp	_	-
45	der	die	ART	ART	Def|Fem|Dat|Sg	46	det	_	-
46	Tradition	Tradition	N	NN	Fem|Dat|Sg	44	pn	_	-
47	der	die	ART	ART	Def|Fem|Gen|Sg	48	det	_	-
48	Afro-Cuban-Entertainment-Schule	Afro-Cuban-Entertainment-Schule	N	NN	Fem|Gen|Sg	46	gmod	_	-
49	seines	seine	ART	PPOSAT	Masc|Gen|Sg	50	det	_	(8)
50	Altmeisters	Altmeister	N	NN	Masc|Gen|Sg	48	gmod	_	-
51	Dizzy	Dizzy	N	NE	Masc|Gen|Sg	50	app	_	-
52	Gillespie	Gillespie	N	NE	Masc|Gen|Sg	51	app	_	-
53	zum	zu	PREP	APPRART	Dat	42	objp	_	-
54	Abend	Abend	N	NN	Masc|Dat|Sg	53	pn	_	-
55	der	die	ART	ART	Def|Fem|Gen|Sg	57	det	_	-
56	offenen	offen	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	57	attr	_	-
57	Tür	Tür	N	NN	Fem|Gen|Sg	54	gmod	_	-
58	:	\:	$.	$.	_	0	root	_	-
59	pure	pur	ADJA	ADJA	Pos|_|_|Sg|_|	60	attr	_	-
60	Kommunikation	Kommunikation	N	NN	_|_|Sg	0	root	_	-
61	der	die	ART	ART	Def|_|_|_	63	det	_	-
62	wirksamen	wirksam	ADJA	ADJA	Pos|_|Gen|_|Wk|	63	attr	_	-
63	Art.	Art.	N	NN	_|Gen|_	60	gmod	_	-

1	Im	in	PREP	APPRART	Dat	3	pp	_	-
2	Gepäck	Gepäck	N	NN	Neut|Dat|Sg	1	pn	_	-
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	er	er	PRO	PPER	3|Sg|Masc|Nom	3	subj	_	(8)
5	den	die	ART	ART	Def|Masc|_|_	7	det	_	(9
6	22jährigen	22jährig	ADJA	ADJA	Pos|Masc|_|_|_|	7	attr	_	-
7	Pianisten	Pianist	N	NN	Masc|_|_	3	obja	_	-
8	Ed	Ed	N	NE	_|Acc|Sg	7	app	_	-
9	Simon	Simon	N	NE	Masc|Acc|Sg	8	app	_	9)
10	,	,	$,	$,	_	0	root	_	-
11	der	die	PRO	PRELS	Masc|Nom|Sg	15	subj	_	(9)
12	einem	eine	ART	ART	Indef|_|Dat|Sg	14	det	_	-
13	verliebten	verliebt	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	14	attr	_	-
14	Jungen	Junge	N	NN	_|Dat|Sg	15	objd	_	-
15	gleicht	gleichen	V	VVFIN	3|Sg|Pres|Ind	9	rel	_	-
16	und	und	KON	KON	_	8	kon	_	-
17	mit	mit	PREP	APPR	Dat	24	pp	_	-
18	flüchtigen	flüchtig	ADJA	ADJA	Pos|_|Dat|_|_|	19	attr	_	-
19	Seitenblicken	Seitenblick	N	NN	_|Dat|_	17	pn	_	-
20	auf	auf	PREP	APPR	_	19	pp	_	-
21	seinen	seine	ART	PPOSAT	Masc|_|Sg	22	det	_	(9)
22	Mentor	Mentor	N	NN	Masc|_|Sg	20	pn	_	-
23	den	die	ART	ART	Def|Masc|Acc|Sg	24	det	_	-
24	Club	Club	N	NN	Masc|Acc|Sg	16	cj	_	-
25	zum	zu	PREP	APPRART	_|Dat	0	root	_	-
26	brodeln	brodeln	V	VVINF	_	0	root	_	-
27	bringt	bringen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
28	.	.	$.	$.	_	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(10)
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
4	sehr	sehr	ADV	ADV	_	5	adv	_	-
5	jung	jung	ADV	ADJD	Pos|	3	pred	_	-
6	und	und	KON	KON	_	3	kon	_	-
7	glaube	glauben	V	VVFIN	_|Sg|Pres|_	6	cj	_	-
8	,	,	$,	$,	_	0	root	_	-
9	daß	daß	KOUS	KOUS	_	15	konj	_	-
10	ich	ich	PRO	PPER	1|Sg|_|Nom	15	subj	_	(10)
11	mich	ich	PRO	PRF	1|Sg|Acc	14	obja	_	-
12	noch	noch	ADV	ADV	_	14	adv	_	-
13	selbst	selbst	ADV	ADV	_	14	adv	_	-
14	finden	finden	V	VVINF	_	15	aux	_	-
15	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	60	subjc	_	-
16	«	«	$(	$(	_	0	root	_	-
17	,	,	$,	$,	_	0	root	_	-
18	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	15	par	_	-
19	der	die	ART	ART	Def|Masc|Nom|Sg	21	det	_	(13
20	introvertierte	introvertiert	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	21	attr	_	-
21	Tastenromantiker	Tastenromantiker	N	NN	Masc|Nom|Sg	18	subj	_	-
22	venezuelanischer	venezuelanisch	ADJA	ADJA	Pos|Fem|Gen|Sg|St|	23	attr	_	(11
23	Herkunft	Herkunft	N	NN	Fem|Gen|Sg	21	gmod	_	-
24	,	,	$,	$,	_	0	root	_	-
25	der	die	PRO	PRELS	Fem|Dat|Sg	37	objd	_	(11)
26	zugleich	zugleich	ADV	ADV	_	37	adv	_	-
27	Mitglied	Mitglied	N	NN	Neut|Nom|Sg	37	subj	_	-
28	von	von	PREP	APPR	_	27	pp	_	-
29	Bobby	Bobby	N	NE	_|_|_	28	pn	_	-
30	Watson	Watson	N	NE	_|_|_	29	app	_	-
31	'	'	$(	$(	_	0	root	_	-
32	s	s	PRO	PPER	_|_|_|Nom	37	pred	_	-
33	Post-Motown	Post-Motown	N	NE	_|Nom|_	32	app	_	-
34	Bop	Bop	N	NE	_|Nom|_	33	app	_	-
35	Band	Band	FM	FM	_|Nom|_	34	app	_	-
36	Horizon	Horizon	FM	FM	_|Nom|_	35	app	_	-
37	ist	sein	V	VAFIN	3|Sg|Pres|Ind	23	rel	_	-
38	,	,	$,	$,	_	0	root	_	-
39	Herbie	Herbie	N	NE	Masc|_|_	41	obja	_	-
40	Mann	Mann	N	NN	Masc|_|_	39	app	_	-
