1	Mach	machen	V	VVIMP	Sg	0	root	_	-
10	würde	werden	V	VAFIN	3|Sg|Past|Subj	17	objc	_	-
11	,	,	$,	$,	_	0	root	_	-
12	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	-
13	die	die	ART	ART	Def|Fem|Nom|Sg	15	det	_	-
14	ehemalige	ehemalig	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	15	attr	_	-
15	Kinderladenleiterin	Kinderladenleiterin	N	NN	Fem|Nom|Sg	12	subj	_	-
16	nicht	nicht	PTKNEG	PTKNEG	_	17	adv	_	-
17	gedacht	denken	V	VVPP	_	12	aux	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Pl	2	det	_	(2
2	Arbeitsmarktzahlen	Arbeitsmarktzahl	N	NN	Fem|Nom|Pl	14	subj	_	-
3	,	,	$,	$,	_	0	root	_	-
4	die	die	PRO	PRELS	Fem|Nom|Pl	12	subj	_	(2)
5	heute	heute	ADV	ADV	_	11	adv	_	-
6	von	von	PREP	APPR	_	11	pp	_	-
7	der	die	ART	ART	Def|Fem|_|Sg	8	det	_	-
8	Bundesanstalt	Bundesanstalt	N	NN	Fem|_|Sg	6	pn	_	-
9	für	für	PREP	APPR	Acc	8	pp	_	-
10	Arbeit	Arbeit	N	NN	Fem|Acc|Sg	9	pn	_	-
11	bekanntgegeben	bekanntgeben	V	VVPP	_	12	aux	_	-
12	werden	werden	V	VAFIN	3|Pl|Pres|_	2	rel	_	2)
13	,	,	$,	$,	_	0	root	_	-
14	mögen	mögen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
15	einen	eine	ART	ART	Indef|Masc|Acc|Sg	17	det	_	-
16	positiven	positiv	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	17	attr	_	-
17	Trend	Trend	N	NN	Masc|Acc|Sg	18	obja	_	-
18	signalisieren	signalisieren	V	VVINF	_	14	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Doch	doch	KON	KON	_	0	root	_	-
2	der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
3	Jobkampf	Jobkampf	N	NN	Masc|Nom|Sg	8	subj	_	-
4	für	für	PREP	APPR	Acc	3	pp	_	-
5	Bewerber	Bewerber	N	NN	Masc|Acc|_	4	pn	_	-
6	ab	ab	PREP	APPR	Dat	5	pp	_	-
7	40	40	CARD	CARD	_	6	pn	_	-
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	-
9	härter	hart	ADV	ADJD	Comp|	10	pred	_	-
10	geworden	werden	V	VAPP	_	8	aux	_	-
11	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Das	die	ART	ART	Def|Neut|Nom|Sg	3	det	_	(5
3	Alter	Alter	N	NN	Neut|Nom|Sg	4	subj	_	5)
4	entwickelt	entwickeln	V	VVFIN	3|Sg|Pres|Ind	15	s	_	-
5	sich	sie	PRO	PRF	3|_|_	4	obja	_	-
6	zu	zu	PREP	APPR	Dat	4	pp	_	-
7	einem	eine	ART	ART	Indef|Neut|Dat|Sg	9	det	_	-
8	großen	groß	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	9	attr	_	-
9	Hindernis	Hindernis	N	NN	Neut|Dat|Sg	6	pn	_	-
10	bei	bei	PREP	APPR	Dat	4	pp	_	-
11	der	die	ART	ART	Def|Fem|Dat|Sg	12	det	_	-
12	Jobsuche	Jobsuche	N	NN	Fem|Dat|Sg	10	pn	_	-
13	"	"	$(	$(	_	0	root	_	-
14	,	,	$,	$,	_	0	root	_	-
15	erklärt	erklären	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
16	Barbara	Barbara	N	NE	_|Nom|Sg	15	subj	_	(4
17	Koller	Koller	N	NE	_|Nom|Sg	16	app	_	4)
18	vom	von	PREP	APPRART	Dat	15	pp	_	-
19	Nürnberger	Nürnberger	ADJA	ADJA	Pos|Neut|Dat|Sg|_|	20	attr	_	-
20	Institut	Institut	N	NN	Neut|Dat|Sg	18	pn	_	-
21	für	für	PREP	APPR	Acc	20	pp	_	-
22	Arbeitsmarkt-	Arbeitsmarkt-	TRUNC	TRUNC	Fem|_|Sg	21	pn	_	-
23	und	und	KON	KON	_	22	kon	_	-
24	Berufsforschung	Berufsforschung	N	NN	Fem|_|Sg	23	cj	_	-
25	(	(	$(	$(	_	0	root	_	-
26	IAB	IAB	N	NE	Fem|_|Sg	24	app	_	-
27	)	)	$(	$(	_	0	root	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Nicht	nicht	PTKNEG	PTKNEG	_	3	adv	_	-
2	nur	nur	ADV	ADV	_	1	adv	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	ältere	alt	ADJA	ADJA	Comp|Masc|Nom|Pl|St|	5	attr	_	-
5	Mitarbeiter	Mitarbeiter	N	NN	Masc|Nom|Pl	3	subj	_	-
6	meist	meist	ADV	ADV	_	3	adv	_	-
7	teurer	teuer	ADV	ADJD	Comp|	3	pred	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Personalchefs	Personalchef	N	NN	Masc|Nom|Pl	2	subj	_	-
2	unterstellen	unterstellen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	den	die	ART	ART	Def|_|Dat|Pl	4	det	_	(3
4	Jüngeren	Jüngere	N	NN	_|Dat|Pl	2	objd	_	-
5	schlankweg	schlankweg	N	NE	_|Dat|Pl	4	app	_	3)
6	,	,	$,	$,	_	0	root	_	-
7	sie	sie	PRO	PPER	3|Pl|_|Nom	8	subj	_	(3)
8	stürzten	stürzen	V	VVFIN	3|Pl|Past|_	2	s	_	-
9	sich	sie	PRO	PRF	3|_|_	8	obja	_	-
10	mit	mit	PREP	APPR	Dat	8	pp	_	-
11	größerer	groß	ADJA	ADJA	Comp|Fem|Dat|Sg|St|	12	attr	_	-
12	Begeisterung	Begeisterung	N	NN	Fem|Dat|Sg	10	pn	_	-
13	und	und	KON	KON	_	12	kon	_	-
14	kreativeren	kreativ	ADJA	ADJA	Comp|Fem|Dat|Pl|_|	15	attr	_	-
15	Ideen	Idee	N	NN	Fem|Dat|Pl	13	cj	_	-
16	in	in	PREP	APPR	Acc	8	objp	_	-
17	die	die	ART	ART	Def|Fem|Acc|Sg	18	det	_	-
18	Überstundenwoche	Überstundenwoche	N	NN	Fem|Acc|Sg	16	pn	_	-
19	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Es	es	PRO	PPER	3|Sg|Neut|Nom	3	subj	_	-
3	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	eigentlich	eigentlich	ADV	ADV	_	6	adv	_	-
5	keine	keine	ART	PIAT	Fem|_|Sg	6	det	_	-
6	Einstellung	Einstellung	N	NN	Fem|_|Sg	3	obja	_	-
7	gegen	gegen	PREP	APPR	Acc	3	pp	_	-
8	Ältere	Ältere	N	NN	_|Acc|_	7	pn	_	(9)
9	,	,	$,	$,	_	0	root	_	-
10	aber	aber	KON	KON	_	0	root	_	-
11	eine	eine	ART	ART	Indef|Fem|_|Sg	10	cj	_	-
12	für	für	PREP	APPR	Acc	0	root	_	-
13	Jüngere	Jüngere	N	NN	_|Acc|_	12	pn	_	(6)
14	"	"	$(	$(	_	0	root	_	-
15	,	,	$,	$,	_	0	root	_	-
16	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
17	Koller	Koller	N	NN	Masc|Nom|Sg	16	subj	_	(4)
18	festgestellt	feststellen	V	VVPP	_	16	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	das	die	PRO	PDS	Neut|Nom|Sg	3	subj	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	-
4	das	die	ART	ART	Def|Neut|Nom|Sg	5	det	_	-
5	Problem	Problem	N	NN	Neut|Nom|Sg	3	pred	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	7	pp	_	-
2	Rahmen	Rahmen	N	NN	_|Dat|_	1	pn	_	-
3	einer	eine	ART	ART	Indef|Fem|Gen|Sg	6	det	_	-
4	noch	noch	ADV	ADV	_	5	adv	_	-
5	unveröffentlichten	unveröffentlicht	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	6	attr	_	-
6	Studie	Studie	N	NN	Fem|Gen|Sg	2	gmod	_	-
7	befragte	befragen	V	VVFIN	3|Sg|Past|_	0	root	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	-
9	IAB-Forscherin	IAB-Forscherin	N	NN	Fem|Nom|Sg	7	subj	_	-
10	150	150	CARD	CARD	_	11	attr	_	-
11	Personalverantwortliche	Personalverantwortliche	N	NN	_|_|Pl	12	grad	_	-
12	danach	danach	PROAV	PROAV	_	7	pp	_	-
13	,	,	$,	$,	_	0	root	_	-
14	welche	welche	ART	PWAT	_|_|_	15	det	_	-
15	Rolle	Rolle	N	NN	_|_|_	20	obja	_	-
16	das	die	ART	ART	Def|Neut|Nom|Sg	17	det	_	(5
17	Alter	Alter	N	NN	Neut|Nom|Sg	20	subj	_	5)
18	bei	bei	PREP	APPR	Dat	20	pp	_	-
19	Neueinstellungen	Neueinstellung	N	NN	Fem|Dat|Pl	18	pn	_	-
20	spiele	spielen	V	VVFIN	3|Sg|Pres|Subj	7	objc	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Antwort	Antwort	N	NN	Fem|Nom|Sg	3	subj	_	-
3	lautete	lauten	V	VVFIN	3|Sg|Past|_	0	root	_	-
4	wie	wie	KOKOM	KOKOM	_	3	kom	_	-
5	bei	bei	PREP	APPR	Dat	4	cj	_	-
6	Radio	Radio	N	NN	Neut|Dat|Sg	5	pn	_	-
7	Eriwan	Eriwan	N	NE	Neut|Dat|Sg	6	app	_	-
8	:	\:	$.	$.	_	0	root	_	-
9	Im	in	PREP	APPRART	Dat	11	pp	_	-
10	Prinzip	Prinzip	N	NN	Neut|Dat|Sg	9	pn	_	-
11	keine	keine	PRO	PIS	_|_|_	0	root	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	3	koord	_	-
2	man	man	PRO	PIS	_|Nom|Sg	3	subj	_	-
3	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
4	eben	eben	ADV	ADV	_	3	adv	_	-
5	schon	schon	ADV	ADV	_	3	adv	_	-
6	so	so	ADV	ADV	_	7	adv	_	-
7	viele	viele	ART	PIDAT	_|_|_	8	det	_	-
8	Ältere	Ältere	N	NN	_|_|_	3	obja	_	-
9	und	und	KON	KON	_	3	kon	_	-
10	bevorzuge	bevorzugen	V	VVFIN	_|Sg|Pres|_	9	cj	_	-
11	daher	daher	PROAV	PROAV	_	10	pp	_	-
12	Jüngere	Jüngere	N	NN	_|_|_	10	obja	_	(6)
13	,	,	$,	$,	_	0	root	_	-
14	um	um	KOUI	KOUI	_	0	root	_	-
15	die	die	ART	ART	Def|Fem|Nom|Sg	16	det	_	-
16	Altersstruktur	Altersstruktur	N	NN	Fem|Nom|Sg	17	subj	_	-
17	ausgewogen	auswiegen	V	VVPP	_	0	root	_	-
18	zu	zu	PTKZU	PTKZU	_	19	part	_	-
19	halten	halten	V	VVINF	_	0	root	_	-
20	,	,	$,	$,	_	0	root	_	-
21	erklären	erklären	V	VVFIN	3|Pl|Pres|_	0	root	_	-
22	einige	einige	ART	PIAT	Masc|Nom|Pl	23	det	_	(8
23	Personalchefs	Personalchef	N	NN	Masc|Nom|Pl	21	subj	_	8)
24	.	.	$.	$.	_	0	root	_	-

1	Oder	oder	KON	KON	_	3	koord	_	-
2	man	man	PRO	PIS	_|Nom|Sg	3	subj	_	-
3	sei	sein	V	VAFIN	3|Sg|Pres|Subj	19	s	_	-
4	eben	eben	ADV	ADV	_	3	adv	_	-
5	ein	eine	ART	ART	Indef|Neut|Nom|Sg	8	det	_	-
6	"	"	$(	$(	_	0	root	_	-
7	junges	jung	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	8	attr	_	-
8	Team	Team	N	NN	Neut|Nom|Sg	3	pred	_	-
9	"	"	$(	$(	_	0	root	_	-
10	und	und	KON	KON	_	3	kon	_	-
11	brauche	brauchen	V	VVFIN	_|Sg|Pres|_	10	cj	_	-
12	daher	daher	PROAV	PROAV	_	11	pp	_	-
13	alterspassende	alterspassend	ADJA	ADJA	Pos|Masc|_|Pl|St|_	17	attr	_	-
14	,	,	$,	$,	_	0	root	_	-
15	jüngere	jung	ADJA	ADJA	Comp|_|_|_|_|	13	kon	_	-
16	neue	neu	ADJA	ADJA	Pos|Masc|_|Pl|St|	17	attr	_	-
17	Kollegen	Kollege	N	NN	Masc|_|Pl	11	obja	_	-
18	,	,	$,	$,	_	0	root	_	-
19	sagen	sagen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
20	wiederum	wiederum	ADV	ADV	_	19	adv	_	-
21	andere	andere	PRO	PIS	_|Nom|Pl	19	subj	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Anteil	Anteil	N	NN	Masc|Nom|Sg	0	root	_	-
3	der	die	ART	ART	Def|_|_|_	0	root	_	-
4	40-	40-	TRUNC	TRUNC	_	0	root	_	-
5	bis	bis	PREP	APPR	Acc	13	pp	_	-
6	55jährigen	55jährige	N	NN	_|Acc|_	5	pn	_	-
7	unter	unter	PREP	APPR	_	6	pp	_	-
8	den	die	ART	ART	Def|Masc|_|_	10	det	_	-
9	arbeitslosen	arbeitslos	ADJA	ADJA	Pos|Masc|_|_|_|	10	attr	_	-
10	Hochschulabsolventen	Hochschulabsolvent	N	NN	Masc|_|_	7	pn	_	-
11	im	in	PREP	APPRART	Dat	10	pp	_	-
12	Westen	Weste	N	NN	_|Dat|_	11	pn	_	-
13	stieg	steigen	V	VVFIN	_|Sg|Past|Ind	0	root	_	-
14	von	von	PREP	APPR	_	13	pp	_	-
15	26	26	CARD	CARD	_	16	attr	_	-
16	Prozent	Prozent	N	NN	Neut|_|Pl	14	pn	_	-
17	im	in	PREP	APPRART	Dat	13	pp	_	-
18	Jahre	Jahr	N	NN	Neut|Dat|Sg	17	pn	_	-
19	1992	1992	CARD	CARD	_	18	app	_	-
20	auf	auf	PREP	APPR	_	13	pp	_	-
21	36	36	CARD	CARD	_	22	attr	_	-
22	Prozent	Prozent	N	NN	Neut|_|Pl	20	pn	_	-
23	im	in	PREP	APPRART	Dat	13	pp	_	-
24	Jahre	Jahr	N	NN	Neut|Dat|Sg	23	pn	_	-
25	1998	1998	CARD	CARD	_	24	app	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Anteil	Anteil	N	NN	Masc|Nom|Sg	7	subj	_	-
3	der	die	ART	ART	Def|Fem|Gen|Pl	6	det	_	-
4	jüngeren	jung	ADJA	ADJA	Comp|Fem|Gen|Pl|Wk|	6	attr	_	-
5	studierten	studiert	ADJA	ADJA	Pos|Fem|Gen|Pl|Wk|	6	attr	_	-
6	JobsucherInnen	JobsucherIn	N	NN	Fem|Gen|Pl	2	gmod	_	-
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
8	hingegen	hingegen	ADV	ADV	_	9	adv	_	-
9	gesunken	sinken	V	VVPP	_	7	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	7	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	-
3	Outplacement-Beratung	Outplacement-Beratung	N	NN	Fem|Dat|Sg	1	pn	_	-
4	der	die	ART	ART	Def|Fem|Gen|Sg	5	det	_	-
5	Personalberatungsfirma	Personalberatungsfirma	N	NN	Fem|Gen|Sg	3	gmod	_	-
6	Rundstedt	Rundstedt	N	NE	Fem|Gen|Sg	5	app	_	-
7	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
8	das	die	ART	ART	Def|Neut|Nom|Sg	9	det	_	-
9	Durchschnittsalter	Durchschnittsalter	N	NN	Neut|Nom|Sg	7	subj	_	-
10	der	die	ART	ART	Def|Fem|Gen|Pl	11	det	_	-
11	KlientInnen	KlientIn	N	NN	Fem|Gen|Pl	9	gmod	_	-
12	inzwischen	inzwischen	ADV	ADV	_	7	adv	_	-
13	bei	bei	PREP	APPR	Dat	7	objp	_	-
14	rund	rund	ADV	ADV	_	16	adv	_	-
15	45	45	CARD	CARD	_	16	attr	_	-
16	Jahren	Jahr	N	NN	Neut|Dat|Pl	13	pn	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	5	konj	_	-
2	eine	eine	ART	ART	Indef|Fem|Nom|Sg	3	det	_	-
3	Firma	Firma	N	NN	Fem|Nom|Sg	5	subj	_	-
4	pleite	pleite	ADV	ADJD	Pos|	5	pred	_	-
5	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	oder	oder	KON	KON	_	5	kon	_	-
7	umstrukturiert	umstrukturieren	V	VVPP	_	16	neb	_	-
8	-	-	$(	$(	_	0	root	_	-
9	und	und	KON	KON	_	7	par	_	-
10	das	die	PRO	PDS	Neut|Nom|Sg	11	subj	_	-
11	passiert	passieren	V	VVFIN	3|Sg|Pres|Ind	9	cj	_	-
12	immer	immer	ADV	ADV	_	13	adv	_	-
13	häufiger	häufig	ADV	ADJD	Comp|	11	adv	_	-
14	-	-	$(	$(	_	0	root	_	-
15	,	,	$,	$,	_	0	root	_	-
16	finden	finden	V	VVFIN	3|Pl|Pres|_	6	cj	_	-
17	sich	sie	PRO	PRF	3|_|_	16	obja	_	-
18	die	die	ART	ART	Def|_|_|_	19	det	_	-
19	40jährigen	40jährig	ADJA	ADJA	_|_|Pl	16	subj	_	-
20	plötzlich	plötzlich	ADV	ADJD	Pos|	16	adv	_	-
21	auf	auf	PREP	APPR	Dat	16	pp	_	-
22	einem	eine	ART	ART	Indef|Masc|Dat|Sg	24	det	_	-
23	knallharten	knallhart	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	24	attr	_	-
24	Arbeitsmarkt	Arbeitsmarkt	N	NN	Masc|Dat|Sg	21	pn	_	-
25	in	in	PREP	APPR	_	16	pp	_	-
26	Konkurrenz	Konkurrenz	N	NN	Fem|_|Sg	25	pn	_	-
27	mit	mit	PREP	APPR	Dat	16	pp	_	-
28	30jährigen	30jährig	ADJA	ADJA	Pos|_|Dat|_|_|	27	pn	_	-
29	wieder	wieder	ADV	ADV	_	16	adv	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Tür	Tür	N	NN	Fem|Nom|Sg	5	subj	_	-
3	zu	zu	PREP	APPR	Dat	2	pp	_	-
4	Großunternehmen	Großunternehmen	N	NN	Neut|Dat|_	3	pn	_	-
5	bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	dann	dann	ADV	ADV	_	5	adv	_	-
7	meist	meist	ADV	ADV	_	5	adv	_	-
8	verschlossen	verschlossen	ADV	ADJD	Pos|	5	pred	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	5	pp	_	-
2	Siemens	Siemens	N	NE	_|Dat|Sg	1	pn	_	-
3	in	in	PREP	APPR	_	2	pp	_	-
4	Berlin	Berlin	N	NE	_|_|Sg	3	pn	_	(7)
5	waren	sein	V	VAFIN	_|Pl|Past|Ind	0	root	_	-
6	von	von	PREP	APPR	Dat	5	pp	_	-
7	den	die	ART	ART	Def|Fem|Dat|Pl	9	det	_	-
8	12.000	12.000	CARD	CARD	_	9	attr	_	-
9	Neueinstellungen	Neueinstellung	N	NN	Fem|Dat|Pl	6	pn	_	-
10	im	in	PREP	APPRART	Dat	5	pp	_	-
11	vergangenen	vergangen	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	12	attr	_	-
12	Jahr	Jahr	N	NN	Neut|Dat|Sg	10	pn	_	-
13	weniger	weniger	ADV	ADV	_	14	adv	_	-
14	als	als	KOKOM	KOKOM	_	5	kom	_	-
15	zehn	zehn	CARD	CARD	_	14	cj	_	-
16	Prozent	Prozent	N	NN	Neut|Nom|Sg	5	subj	_	-
17	älter	alt	ADV	ADJD	Comp|	5	pred	_	-
18	als	als	KOKOM	KOKOM	_	17	kom	_	-
19	40	40	CARD	CARD	_	20	attr	_	-
20	Jahre	Jahr	N	NN	Neut|_|Pl	18	cj	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Das	die	ART	ART	Def|Neut|Nom|Sg	2	det	_	-
2	Durchschnittsalter	Durchschnittsalter	N	NN	Neut|Nom|Sg	5	subj	_	-
3	der	die	ART	ART	Def|Masc|Gen|Pl	4	det	_	-
4	Neuzugänge	Neuzugang	N	NN	Masc|Gen|Pl	2	gmod	_	-
5	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	unter	unter	PREP	APPR	_	5	objp	_	-
7	30	30	CARD	CARD	_	6	pn	_	-
8	,	,	$,	$,	_	0	root	_	-
9	berichtet	berichten	V	VVFIN	_|_|Pres|_	5	kon	_	-
10	Siemens-Sprecher	Siemens-Sprecher	N	NN	Masc|Dat|Sg	9	objd	_	-
