1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
1	Als	Als	KOKOM	KOKOM	_	13	kom	_	-
2	des	die	ART	ART	Def|_|Gen|Sg	3	det	_	-
3	Ministers	Minister	N	NN	Fem|Gen|Sg	1	cj	_	-
4	Stimme	Stimme	N	NN	Fem|Gen|Sg	3	app	_	-
5	am	an	PREP	APPRART	Dat	4	pp	_	-
6	Montag	Montag	N	NN	Masc|Dat|Sg	5	pn	_	-
7	morgen	morgen	ADV	ADV	_	6	adv	_	-
8	beim	bei	PREP	APPRART	Dat	6	pp	_	-
9	Deutschlandfunk	Deutschlandfunk	N	NN	Masc|Dat|Sg	8	pn	_	-
10	über	über	PREP	APPR	Acc	9	pp	_	-
11	den	die	ART	ART	Def|Masc|Acc|Sg	12	det	_	-
12	Äther	Äther	N	NN	Masc|Acc|Sg	10	pn	_	-
13	ging	gehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	-
14	,	,	$,	$,	_	0	root	_	-
15	klangen	klingen	V	VVFIN	3|Pl|Past|Ind	13	kon	_	-
16	die	die	ART	ART	Def|Masc|Nom|Pl	17	det	_	-
17	Töne	Ton	N	NN	Masc|Nom|Pl	15	pred	_	-
18	ganz	ganz	ADV	ADV	_	19	adv	_	-
19	anders	anders	ADV	ADV	_	17	adv	_	-
20	:	\:	$.	$.	_	0	root	_	-
21	"	"	$(	$(	_	0	root	_	-
22	Ich	ich	PRO	PPER	1|Sg|_|Nom	23	subj	_	(9)
23	glaube	glauben	V	VVFIN	1|Sg|Pres|_	0	root	_	-
24	,	,	$,	$,	_	0	root	_	-
25	Deutschland	Deutschland	N	NE	Neut|Nom|Sg	26	subj	_	(1)
26	wird	werden	V	VAFIN	3|Sg|Pres|Ind	23	s	_	-
27	nicht	nicht	PTKNEG	PTKNEG	_	29	adv	_	-
28	damit	damit	PROAV	PROAV	_	29	pp	_	-
29	überfordert	überfordern	V	VVPP	_	26	aux	_	-
30	,	,	$,	$,	_	0	root	_	-
31	wenn	wenn	KOUS	KOUS	_	36	konj	_	-
32	das	die	ART	ART	Def|Neut|Nom|Sg	33	det	_	-
33	Kontingent	Kontingent	N	NN	Neut|Nom|Sg	36	subj	_	-
34	jetzt	jetzt	ADV	ADV	_	35	adv	_	-
35	verdoppelt	verdoppeln	V	VVPP	_	36	aux	_	-
36	wird	werden	V	VAFIN	3|Sg|Pres|Ind	26	neb	_	-
37	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	20.000	20.000	CARD	CARD	_	6	subj	_	-
3	statt	statt	PREP	APPR	_	2	pp	_	-
4	10.000	10.000	CARD	CARD	_	5	attr	_	-
5	Menschen	Mensch	N	NN	Masc|_|Pl	3	pn	_	-
6	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	-
7	hier	hier	ADV	ADV	_	9	adv	_	-
8	Zuflucht	Zuflucht	N	NN	Fem|_|Sg	9	obja	_	-
9	finden	finden	V	VVINF	_	6	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	(2
2	Konter	Konter	N	NN	Masc|Nom|Sg	6	subj	_	-
3	aus	aus	PREP	APPR	Dat	2	pp	_	-
4	den	die	ART	ART	Def|Fem|Dat|Pl	5	det	_	-
5	Länderhauptstädten	Länderhauptstadt	N	NN	Fem|Dat|Pl	3	pn	_	2)
6	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
7	prompt	prompt	ADV	ADJD	Pos|	6	adv	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	als	als	KOKOM	KOKOM	_	11	kom	_	-
10	erstes	erst	ADJA	ADJA	_|Neut|_|Sg|St|	9	cj	_	-
11	von	von	PREP	APPR	_	8	cj	_	-
12	Baden-Württembergs	Baden-Württemberg	N	NE	_|Gen|Sg	13	gmod	_	-
13	Innenminister	Innenminister	N	NN	Masc|_|_	11	pn	_	-
14	Thomas	Thomas	N	NE	Masc|_|_	13	app	_	-
15	Schäuble	Schäuble	N	NE	Masc|_|_	14	app	_	-
16	(	(	$(	$(	_	0	root	_	-
17	CDU	CDU	N	NE	Masc|_|_	15	app	_	-
18	)	)	$(	$(	_	0	root	_	-
19	:	\:	$.	$.	_	0	root	_	-
20	Er	er	PRO	PPER	3|Sg|Masc|Nom	21	subj	_	(2)
21	lehnte	lehnen	V	VVFIN	3|Sg|Past|_	0	root	_	-
22	Schilys	Schilys	N	NE	_|Gen|_	23	gmod	_	(7)
23	Vorschlag	Vorschlag	N	NN	Masc|_|Sg	21	obja	_	-
24	ab	ab	PTKVZ	PTKVZ	_	21	avz	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Sein	seine	ART	PPOSAT	Masc|Nom|Sg	2	det	_	(2)|(3
2	Amtskollege	Amtskollege	N	NN	Masc|Nom|Sg	10	subj	_	-
3	Günther	Günther	N	NE	Masc|Nom|Sg	2	app	_	-
4	Beckstein	Beckstein	N	NE	Masc|Nom|Sg	3	app	_	3)
5	(	(	$(	$(	_	0	root	_	-
6	CSU	CSU	N	NE	Masc|Nom|Sg	4	app	_	-
7	)	)	$(	$(	_	0	root	_	-
8	aus	aus	PREP	APPR	Dat	2	pp	_	-
9	Bayern	Bayern	N	NE	Neut|Dat|Sg	8	pn	_	-
10	baut	bauen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
11	bereits	bereits	ADV	ADV	_	10	adv	_	-
12	seit	seit	PREP	APPR	Dat	10	pp	_	-
13	Tagen	Tag	N	NN	_|Dat|_	12	pn	_	-
14	an	an	PREP	APPR	_	10	pp	_	-
15	Barrikaden	Barrikade	N	NN	Fem|_|Pl	14	pn	_	-
16	gegen	gegen	PREP	APPR	Acc	15	pp	_	-
17	einen	eine	ART	ART	Indef|Masc|Acc|Sg	20	det	_	-
18	drohenden	drohend	ADJA	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	20	attr	_	-
19	"	"	$(	$(	_	0	root	_	-
20	Flüchtlingszustrom	Flüchtlingszustrom	N	NE	Masc|Acc|Sg	16	pn	_	-
21	"	"	$(	$(	_	0	root	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Unterstützung	Unterstützung	N	NN	Fem|Nom|Sg	2	subj	_	-
2	erhielt	erhalten	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	Beckstein	Beckstein	N	NN	_|_|Sg	2	obja	_	(3)
4	von	von	PREP	APPR	Dat	2	pp	_	-
5	seinem	seine	ART	PPOSAT	Masc|Dat|Sg	6	det	_	(3)
6	Ministerpräsidenten	Ministerpräsident	N	NN	Masc|Dat|Sg	4	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	Edmund	Edmund	N	NE	Masc|Dat|Sg	6	app	_	-
9	Stoiber	Stoiber	N	NE	_|Dat|Sg	8	app	_	-
10	:	\:	$.	$.	_	0	root	_	-
11	"	"	$(	$(	_	0	root	_	-
12	Wenn	wenn	KOUS	KOUS	_	20	konj	_	-
13	10.000	10.000	CARD	CARD	_	20	subj	_	-
14	von	von	PREP	APPR	_	20	pp	_	-
15	13.000	13.000	CARD	CARD	_	17	attr	_	-
16	ausgeflogenen	ausgeflogen	ADJA	ADJA	Pos|Masc|_|Pl|_|	17	attr	_	-
17	Albanern	Albaner	N	NN	Masc|_|Pl	14	pn	_	-
18	nach	nach	PREP	APPR	Dat	14	kon	_	-
19	Deutschland	Deutschland	N	NE	Neut|Dat|Sg	18	pn	_	(1)
20	kommen	kommen	V	VVFIN	3|Pl|Pres|_	22	neb	_	-
21	,	,	$,	$,	_	0	root	_	-
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
23	es	es	PRO	PPER	3|Sg|Neut|Nom	22	subj	_	-
24	mit	mit	PREP	APPR	Dat	22	pp	_	-
25	der	die	ART	ART	Def|Fem|Dat|Sg	28	det	_	-
26	humanitären	humanitär	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	28	attr	_	-
27	europäischen	europäisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	28	attr	_	-
28	Solidarität	Solidarität	N	NN	Fem|Dat|Sg	24	pn	_	-
29	nicht	nicht	PTKNEG	PTKNEG	_	22	adv	_	-
30	weit	weit	ADV	ADJD	Pos|	22	adv	_	-
31	her	her	PTKVZ	PTKVZ	_	22	avz	_	-
32	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Die	die	ART	ART	Def|_|Nom|Pl	3	det	_	(8
3	Bundesländer	Bundesland	N	NN	_|Nom|Pl	4	subj	_	8)
4	fürchten	fürchten	V	VVFIN	3|Pl|Pres|_	0	root	_	-
5	vor	vor	PREP	APPR	Dat	4	pp	_	-
6	allem	alle	PRO	PIS	_|Dat|Sg	5	pn	_	-
7	die	die	ART	ART	Def|Fem|_|Sg	9	det	_	-
8	finanzielle	finanziell	ADJA	ADJA	Pos|Fem|_|Sg|_|	9	attr	_	-
9	Belastung	Belastung	N	NN	Fem|_|Sg	4	obja	_	-
10	durch	durch	PREP	APPR	Acc	9	pp	_	-
11	die	die	ART	ART	Def|Fem|Acc|Sg	12	det	_	-
12	Unterbringung	Unterbringung	N	NN	Fem|Acc|Sg	10	pn	_	-
13	der	die	ART	ART	Def|Masc|Gen|Pl	14	det	_	(4
14	Flüchtlinge	Flüchtling	N	NN	Masc|Gen|Pl	12	gmod	_	4)
15	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	4	pp	_	-
2	vergangenen	vergangen	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	3	attr	_	-
3	Freitag	Freitag	N	NN	_|Dat|Sg	1	pn	_	-
4	glaubten	glauben	V	VVFIN	3|Pl|Past|_	0	root	_	-
5	sich	sie	PRO	PRF	3|_|_	4	obja	_	-
6	die	die	ART	ART	Def|Masc|Nom|Pl	7	det	_	-
7	Hardliner	Hardliner	N	NN	Masc|Nom|Pl	4	subj	_	-
8	in	in	PREP	APPR	Dat	11	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	-
10	Innenministerkonferenz	Innenministerkonferenz	N	NN	Fem|Dat|Sg	8	pn	_	-
11	durchgesetzt	durchsetzen	V	VVPP	_	13	aux	_	-
12	zu	zu	PTKZU	PTKZU	_	13	part	_	-
13	haben	haben	V	VAINF	_	4	obji	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	5	pp	_	-
2	einer	eine	ART	ART	Indef|Fem|Dat|Sg	4	det	_	-
3	telefonischen	telefonisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	_	-
4	Schaltkonferenz	Schaltkonferenz	N	NN	Fem|Dat|Sg	1	pn	_	-
5	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
6	festgeklopft	festklopfen	V	VVPP	_	5	aux	_	-
7	,	,	$,	$,	_	0	root	_	-
8	für	für	PREP	APPR	Acc	13	pp	_	-
9	die	die	ART	ART	Def|Fem|Acc|Sg	10	det	_	-
10	Aufnahme	Aufnahme	N	NN	Fem|Acc|Sg	8	pn	_	-
11	weiterer	weit	ADJA	ADJA	Comp|_|Gen|_|St|	12	attr	_	-
12	Kosovo-Albaner	Kosovo-Albaner	N	NN	_|Gen|_	10	gmod	_	-
13	müßten	müssen	V	VMFIN	3|Pl|Past|Subj	5	kon	_	-
14	"	"	$(	$(	_	0	root	_	-
15	stets	stets	ADV	ADV	_	18	adv	_	-
16	besondere	besondere	ADJA	ADJA	_|Masc|Nom|Pl|_	17	attr	_	-
17	Umstände	Umstand	N	NN	Masc|Nom|Pl	13	subj	_	-
18	vorliegen	vorliegen	V	VVINF	_	13	aux	_	-
19	"	"	$(	$(	_	0	root	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Dabei	Dabei	PROAV	PROAV	_	2	pp	_	-
2	müßten	müssen	V	VMFIN	3|Pl|Past|Subj	0	root	_	-
3	die	die	ART	ART	Def|Masc|Nom|Pl	4	det	_	-
4	Gründe	Grund	N	NN	Masc|Nom|Pl	2	subj	_	-
5	,	,	$,	$,	_	0	root	_	-
6	so	so	ADV	ADV	_	10	adv	_	-
7	die	die	ART	ART	Def|Fem|_|Sg	10	det	_	-
8	wenig	wenig	ADV	ADV	_	9	adv	_	-
9	einfühlsame	einfühlsame	ADJA	ADJA	_|Fem|_|Sg|_	10	attr	_	-
10	Formulierung	Formulierung	N	NN	Fem|_|Sg	4	par	_	-
11	,	,	$,	$,	_	0	root	_	-
12	"	"	$(	$(	_	0	root	_	-
13	über	über	PREP	APPR	Acc	17	objp	_	-
14	das	die	ART	ART	Def|Neut|Acc|Sg	16	det	_	-
15	allgemeine	allgemein	ADJA	ADJA	Pos|Neut|Acc|Sg|Wk|	16	attr	_	-
16	Vertreibungsschicksal	Vertreibungsschicksal	N	NN	Neut|Acc|Sg	13	pn	_	-
17	hinausgehen	hinausgehen	V	VVINF	_	2	aux	_	-
18	und	und	KON	KON	_	2	kon	_	-
19	eine	eine	ART	ART	Indef|Fem|Nom|Sg	21	det	_	(9
20	besondere	besondere	ADJA	ADJA	_|Fem|Nom|Sg|_	21	attr	_	-
21	Härte	Härte	N	NN	Fem|Nom|Sg	22	subj	_	9)
22	darstellen	darstellen	V	VVFIN	_|Sg|_|_	18	cj	_	-
23	"	"	$(	$(	_	0	root	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Daß	daß	KOUS	KOUS	_	9	konj	_	-
2	Schily	Schily	N	NE	_|Nom|Sg	9	subj	_	(0)
3	sich	sie	PRO	PRF	3|_|_	8	obja	_	-
4	übers	über	PREP	APPRART	Acc	8	pp	_	-
5	Wochenende	Wochenende	N	NN	Neut|Acc|Sg	4	pn	_	-
6	eines	eine	ART	ART	Indef|_|Gen|Sg	7	det	_	-
7	besseren	gut	ADJA	ADJA	_|Gen|Sg	5	gmod	_	-
8	besonnen	besinnen	V	VVPP	_	9	aux	_	-
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	16	objc	_	-
10	,	,	$,	$,	_	0	root	_	-
11	dürfte	dürfen	V	VMFIN	_|Sg|Past|Subj	0	root	_	-
12	an	an	PREP	APPR	Dat	16	objp	_	-
13	den	die	ART	ART	Def|Neut|Dat|Pl	15	det	_	(5
14	beiden	beide	ART	PIDAT	Neut|Dat|Pl	15	attr	_	-
15	Gesprächen	Gespräch	N	NN	Neut|Dat|Pl	12	pn	_	-
16	gelegen	liegen	V	VVPP	_	17	aux	_	-
17	haben	haben	V	VAINF	_	11	aux	_	-
18	,	,	$,	$,	_	0	root	_	-
19	die	die	PRO	PRELS	Neut|_|Pl	34	obja	_	(5)
20	er	er	PRO	PPER	3|Sg|Masc|Nom	34	subj	_	(0)
21	am	an	PREP	APPRART	Dat	34	pp	_	-
22	Sonntag	Sonntag	N	NN	_|Dat|Sg	21	pn	_	-
23	mit	mit	PREP	APPR	Dat	34	pp	_	-
24	UN-Flüchtlingskommissarin	UN-Flüchtlingskommissarin	N	NN	_|Dat|Sg	23	pn	_	(6
25	Sadako	Sadako	N	NE	_|Dat|Sg	24	app	_	-
26	Ogata	Ogata	N	NE	_|Dat|Sg	25	app	_	6)
27	und	und	KON	KON	_	23	kon	_	-
28	mit	mit	PREP	APPR	Dat	27	cj	_	-
29	dem	die	ART	ART	Def|Masc|Dat|Sg	31	det	_	-
30	makedonischen	makedonisch	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	31	attr	_	-
31	Innenminister	Innenminister	N	NN	Masc|Dat|Sg	28	pn	_	-
32	Pavle	Pavle	N	NE	Masc|Dat|Sg	31	app	_	-
33	Trajanov	Trajanov	N	NE	Masc|Dat|Sg	32	app	_	-
34	führte	führen	V	VVFIN	3|Sg|Past|_	15	rel	_	5)
35	.	.	$.	$.	_	0	root	_	-

1	Ogata	Ogata	N	NE	_|Nom|Sg	2	subj	_	(6)
2	beklagte	beklagen	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	insbesondere	insbesondere	ADV	ADV	_	2	adv	_	-
4	,	,	$,	$,	_	0	root	_	-
5	wie	wie	PWAV	PWAV	_	6	adv	_	-
6	zögerlich	zögerlich	ADV	ADJD	Pos|	18	adv	_	-
7	die	die	ART	ART	Def|Fem|Nom|Sg	8	det	_	-
8	Verteilung	Verteilung	N	NN	Fem|Nom|Sg	18	subj	_	-
9	der	die	ART	ART	Def|Masc|Gen|Pl	10	det	_	-
10	Flüchtlinge	Flüchtling	N	NN	Masc|Gen|Pl	8	gmod	_	-
11	aus	aus	PREP	APPR	Dat	10	pp	_	-
12	den	die	ART	ART	Def|Neut|Dat|Pl	14	det	_	-
13	makedonischen	makedonisch	ADJA	ADJA	Pos|Neut|Dat|Pl|_|	14	attr	_	-
14	Lagern	Lager	N	NN	Neut|Dat|Pl	11	pn	_	-
15	auf	auf	PREP	APPR	Dat	11	kon	_	-
16	Drittstaaten	Drittstaat	N	NN	Masc|Dat|Pl	15	pn	_	-
17	vonstatten	vonstatten	PROAV	PROAV	_	18	pp	_	-
18	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Daß	daß	KOUS	KOUS	_	9	konj	_	-
2	Schilys	Schilys	N	NE	_|Gen|_	4	gmod	_	(7)
3	plötzliche	plötzlich	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	_	-
4	Großzügigkeit	Großzügigkeit	N	NN	Fem|Nom|Sg	9	subj	_	-
5	einige	einige	PRO	PIS	_|_|_	8	obja	_	-
6	seiner	seine	ART	PPOSAT	Masc|Gen|Pl	7	det	_	(7)
7	Länderkollegen	Länderkollege	N	NN	Masc|Gen|Pl	5	gmod	_	-
8	verärgern	verärgern	V	VVINF	_	9	aux	_	-
9	würde	werden	V	VAFIN	3|Sg|Past|Subj	11	objc	_	-
10	,	,	$,	$,	_	0	root	_	-
11	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
12	nicht	nicht	PTKNEG	PTKNEG	_	11	adv	_	-
13	überraschend	überraschend	ADV	ADJD	_|_	11	pred	_	-
14	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Das	die	PRO	PDS	Neut|Nom|Sg	3	subj	_	-
3	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	11	s	_	-
4	auch	auch	ADV	ADV	_	7	adv	_	-
5	alles	alle	PRO	PIS	_|_|Sg	7	adv	_	-
6	immer	immer	ADV	ADV	_	7	adv	_	-
7	vermittelt	vermitteln	V	VVPP	_	8	aux	_	-
8	werden	werden	V	VAINF	_	3	aux	_	-
9	"	"	$(	$(	_	0	root	_	-
10	,	,	$,	$,	_	0	root	_	-
11	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
12	es	es	PRO	PPER	3|Sg|Neut|Nom	11	subj	_	-
13	etwas	etwas	ADV	ADV	_	14	adv	_	-
14	kleinlaut	kleinlaut	ADV	ADJD	Pos|	11	adv	_	-
15	von	von	PREP	APPR	_	11	pp	_	-
16	der	die	ART	ART	Def|Fem|_|Sg	17	det	_	-
17	Leitungsebene	Leitungsebene	N	NN	Fem|_|Sg	15	pn	_	-
18	des	die	ART	ART	Def|Neut|Gen|Sg	19	det	_	-
19	Schily-Ministeriums	Schily-Ministerium	N	NN	Neut|Gen|Sg	17	gmod	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	4	pp	_	-
2	den	die	ART	ART	Def|_|Dat|Pl	3	det	_	(8
3	Bundesländern	Bundesland	N	NN	_|Dat|Pl	1	pn	_	8)
4	gebe	geben	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
5	es	es	PRO	PPER	3|Sg|Neut|Nom	4	subj	_	-
6	nicht	nicht	PTKNEG	PTKNEG	_	4	adv	_	-
7	zuletzt	zuletzt	ADV	ADV	_	9	adv	_	-
8	die	die	ART	ART	Def|Fem|_|Sg	9	det	_	-
9	Befürchtung	Befürchtung	N	NN	Fem|_|Sg	4	obja	_	-
10	,	,	$,	$,	_	0	root	_	-
11	mit	mit	PREP	APPR	Dat	17	pp	_	-
12	der	die	ART	ART	Def|Fem|Dat|Sg	13	det	_	-
13	Erhöhung	Erhöhung	N	NN	Fem|Dat|Sg	11	pn	_	-
14	des	die	ART	ART	Def|_|Gen|Sg	16	det	_	-
15	deutschen	deutsch	ADJA	ADJA	Pos|_|Gen|Sg|_|	16	attr	_	-
16	Kontingents	Kontingents	N	NN	_|Gen|Sg	13	gmod	_	-
17	sinke	sinken	V	VVFIN	3|Sg|Pres|Subj	4	kon	_	-
18	der	die	ART	ART	Def|Masc|Nom|Sg	19	det	_	-
19	Zwang	Zwang	N	NN	Masc|Nom|Sg	17	subj	_	-
