1	Am	Am	PTKA	PTKA	_	2	adv	_	-
1	Nur	nur	ADV	ADV	_	2	adv	_	-
2	wenige	wenige	PRO	PIS	_|Nom|Pl	7	subj	_	-
3	dieser	diese	ART	PDAT	Neut|Gen|Pl	6	det	_	-
4	exotisch	exotisch	ADV	ADJD	Pos|	5	adv	_	-
5	anmutenden	anmutend	ADJA	ADJA	Pos|Neut|Gen|Pl|Wk|<PPRES	6	attr	_	-
6	Gebilde	Gebilde	N	NN	Neut|Gen|Pl	2	gmod	_	-
7	taugen	taugen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
8	uneingeschränkt	uneingeschränkt	ADV	ADJD	Pos|	7	adv	_	-
9	für	für	PREP	APPR	Acc	7	objp	_	-
10	den	die	ART	ART	Def|Masc|Acc|Sg	11	det	_	-
11	Stadtverkehr	Stadtverkehr	N	NN	Masc|Acc|Sg	9	pn	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
3	denn	denn	ADV	ADV	_	2	adv	_	-
4	,	,	$,	$,	_	0	root	_	-
5	das	die	ART	ART	Def|Neut|Nom|Sg	6	det	_	-
6	Hauptanliegen	Hauptanliegen	N	NN	Neut|Nom|Sg	7	subj	_	-
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	-
8	es	es	PRO	PPER	3|Sg|Neut|Nom	7	pred	_	-
9	,	,	$,	$,	_	0	root	_	-
10	Aufmerksamkeit	Aufmerksamkeit	N	NN	Fem|_|Sg	12	obja	_	-
11	zu	zu	PTKZU	PTKZU	_	12	part	_	-
12	erregen	erregen	V	VVINF	_	7	obji	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	5	pp	_	-
2	Dschungel	Dschungel	N	NN	_|Dat|Sg	1	pn	_	-
3	der	die	ART	ART	Def|Fem|Gen|Sg	4	det	_	-
4	Großstadt	Großstadt	N	NN	Fem|Gen|Sg	2	gmod	_	-
5	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	ein	eine	ART	ART	Indef|Neut|Nom|Sg	7	det	_	-
7	Liegerad	Liegerad	N	NN	Neut|Nom|Sg	5	subj	_	-
8	stärker	stark	ADV	ADJD	Comp|	5	adv	_	-
9	auf	auf	PTKVZ	PTKVZ	_	5	avz	_	-
10	als	als	KOKOM	KOKOM	_	5	kom	_	-
11	ein	eine	ART	ART	Indef|_|_|Sg	12	det	_	-
12	Porsche	Porsche	N	NE	_|_|Sg	10	cj	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Verständlich	verständlich	ADV	ADJD	Pos|	0	root	_	-
2	-	-	$(	$(	_	0	root	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	es	es	PRO	PPER	3|Sg|Neut|Nom	3	subj	_	-
5	doch	doch	ADV	ADV	_	3	adv	_	-
6	nach	nach	PREP	APPR	Dat	3	pp	_	-
7	landläufiger	landläufig	ADJA	ADJA	Pos|Fem|Dat|Sg|St|	8	attr	_	-
8	Meinung	Meinung	N	NN	Fem|Dat|Sg	6	pn	_	-
9	eher	eher	ADV	ADV	_	3	adv	_	-
10	ein	eine	ART	ART	Indef|_|Nom|Sg	11	det	_	-
11	Long-Distance-Bike	Long-Distance-Bike	N	NN	_|Nom|Sg	3	pred	_	-
12	,	,	$,	$,	_	0	root	_	-
13	gemacht	machen	V	VVPP	_	0	root	_	-
14	für	für	PREP	APPR	Acc	0	root	_	-
15	die	die	ART	ART	Def|_|Acc|Pl	17	det	_	-
16	endlosen	endlos	ADJA	ADJA	Pos|_|Acc|Pl|Wk|	17	attr	_	-
17	Pisten	Pisten	N	NN	_|Acc|Pl	14	pn	_	-
18	abseits	abseits	ADV	ADJD	_	20	adv	_	-
19	des	die	ART	ART	Def|Masc|Gen|Sg	20	det	_	-
20	Autoverkehrs	Autoverkehr	N	NN	Masc|Gen|Sg	17	gmod	_	-
21	und	und	KON	KON	_	14	kon	_	-
22	nicht	nicht	PTKNEG	PTKNEG	_	23	adv	_	-
23	für	für	PREP	APPR	Acc	21	cj	_	-
24	die	die	ART	ART	Def|Fem|Acc|Sg	25	det	_	-
25	City	City	N	NN	Fem|Acc|Sg	23	pn	_	-
26	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	0	root	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	-
3	Tat	Tat	N	NN	Fem|Dat|Sg	1	pn	_	-
4	:	\:	$.	$.	_	0	root	_	-
5	Wer	wer	PRO	PWS	_|Nom|Sg	15	subj	_	-
6	von	von	PREP	APPR	_	15	pp	_	-
7	Tagesetappen	Tagesetappe	N	NN	Fem|_|Pl	6	pn	_	-
8	von	von	PREP	APPR	_	15	pp	_	-
9	200	200	CARD	CARD	_	10	attr	_	-
10	Kilometern	Kilometer	N	NN	_|_|Pl	8	pn	_	-
11	und	und	KON	KON	_	10	kon	_	-
12	mehr	mehr	PRO	PIS	_|_|Pl	11	cj	_	-
13	bislang	bislang	ADV	ADV	_	15	adv	_	-
14	nur	nur	ADV	ADV	_	15	adv	_	-
15	träumte	träumen	V	VVFIN	3|Sg|Past|_	17	subjc	_	-
16	,	,	$,	$,	_	0	root	_	-
17	könnte	können	V	VMFIN	_|Sg|Past|Subj	0	root	_	-
18	diese	diese	ART	PDAT	Fem|_|Pl	19	det	_	-
19	Distanzen	Distanz	N	NN	Fem|_|Pl	26	obja	_	-
20	mit	mit	PREP	APPR	Dat	26	pp	_	-
21	einem	eine	ART	ART	Indef|Masc|Dat|Sg	22	det	_	-
22	Lieger	Lieger	N	NN	Masc|Dat|Sg	20	pn	_	-
23	ohne	ohne	PREP	APPR	Acc	26	pp	_	-
24	größere	groß	ADJA	ADJA	Comp|_|Acc|_|_|	25	attr	_	-
25	Mühen	Mühe	N	NN	_|Acc|_	23	pn	_	-
26	schaffen	schaffen	V	VVINF	_	17	aux	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Mit	mit	PREP	APPR	Dat	0	root	_	-
2	dem	die	ART	ART	Def|_|Dat|Sg	4	det	_	-
3	netten	nett	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	4	attr	_	-
4	Nebeneffekt	Nebeneffekt	N	NN	_|Dat|Sg	1	pn	_	-
5	,	,	$,	$,	_	0	root	_	-
6	daß	daß	KOUS	KOUS	_	15	konj	_	-
7	am	an	PREP	APPRART	Dat	15	pp	_	-
8	Ende	Ende	N	NN	Neut|Dat|Sg	7	pn	_	-
9	einer	eine	ART	ART	Indef|Fem|Gen|Sg	10	det	_	-
10	Tour	Tour	N	NN	Fem|Gen|Sg	8	gmod	_	-
11	weder	weder	KON	KON	_	12	kon	_	-
12	Sitzfleisch	Sitzfleisch	N	NN	Neut|Nom|Sg	15	subj	_	-
13	noch	noch	KON	KON	_	12	kon	_	-
14	Hände	Hand	N	NN	Fem|Nom|Pl	13	cj	_	-
15	schmerzen	schmerzen	V	VVFIN	_|Pl|Pres|_	4	objc	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	6	det	_	-
3	erste	erst	ADJA	ADJA	_|Fem|Nom|Sg|_|	6	attr	_	-
4	und	und	KON	KON	_	3	kon	_	-
5	wichtigste	wichtig	ADJA	ADJA	Sup|_|Nom|_|_|	4	cj	_	-
6	Grundwahrheit	Grundwahrheit	N	NN	Fem|Nom|Sg	7	subj	_	-
7	lautet	lauten	V	VVFIN	_|_|Pres|_	1	cj	_	-
8	:	\:	$.	$.	_	0	root	_	-
9	Liegefahrräder	Liegefahrrad	N	NN	Neut|Nom|Pl	10	subj	_	(1)
10	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
11	ungemein	ungemein	ADV	ADV	_	12	adv	_	-
12	bequem	bequem	ADV	ADJD	Pos|	10	pred	_	-
13	!	!	$.	$.	_	0	root	_	-

1	Von	von	PREP	APPR	_	10	pp	_	-
2	der	die	ART	ART	Def|Fem|_|Sg	3	det	_	-
3	Leichtigkeit	Leichtigkeit	N	NN	Fem|_|Sg	1	pn	_	-
4	des	die	ART	ART	Def|Neut|Gen|Sg	5	det	_	-
5	Seins	Sein	N	NN	Neut|Gen|Sg	3	gmod	_	-
6	zur	zu	PREP	APPRART	Dat	1	kon	_	-
7	Leichtigkeit	Leichtigkeit	N	NN	Fem|Dat|Sg	6	pn	_	-
8	des	die	ART	ART	Def|Neut|Gen|Sg	9	det	_	-
9	Radelns	Radeln	N	NN	Neut|Gen|Sg	7	gmod	_	-
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
11	für	für	PREP	APPR	Acc	10	pp	_	-
12	Liegeradfahrer	Liegeradfahrer	N	NN	Masc|Acc|_	11	pn	_	(7)
13	nur	nur	ADV	ADV	_	10	adv	_	-
14	ein	eine	ART	ART	Indef|Masc|Nom|Sg	16	det	_	-
15	kleiner	klein	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	16	attr	_	-
16	Schritt	Schritt	N	NN	Masc|Nom|Sg	10	subj	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Ungemach	Ungemach	N	NE	_|Nom|Sg	2	subj	_	-
2	droht	drohen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	ihnen	sie	PRO	PPER	3|Pl|_|Dat	2	objd	_	(1)
4	jedoch	jedoch	ADV	ADV	_	2	adv	_	-
5	im	in	PREP	APPRART	Dat	2	pp	_	-
6	Stadtverkehr	Stadtverkehr	N	NN	Masc|Dat|Sg	5	pn	_	-
7	:	\:	$.	$.	_	0	root	_	-
8	Die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	-
9	Gefahr	Gefahr	N	NN	Fem|Nom|Sg	22	subj	_	-
10	,	,	$,	$,	_	0	root	_	-
11	auf	auf	PREP	APPR	Dat	18	pp	_	-
12	dem	die	ART	ART	Def|Neut|Dat|Sg	14	det	_	(15
13	flachen	flach	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	14	attr	_	-
14	Velo	Velo	N	NN	Neut|Dat|Sg	11	pn	_	-
15	von	von	PREP	APPR	_	14	pp	_	-
16	anderen	anderen	ADJA	ADJA	_|Masc|_|_|_	17	attr	_	-
17	Verkehrsteilnehmern	Verkehrsteilnehmer	N	NN	Masc|_|_	15	pn	_	15)
18	übersehen	übersehen	V	VVPP	_	20	aux	_	-
19	zu	zu	PTKZU	PTKZU	_	20	part	_	-
20	werden	werden	V	VAINF	_	9	obji	_	-
21	,	,	$,	$,	_	0	root	_	-
22	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
23	erheblich	erheblich	ADV	ADJD	Pos|	22	pred	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Bordsteinkanten	Bordsteinkante	N	NN	_|Nom|Pl	2	subj	_	-
2	stellen	stellen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	in	in	PREP	APPR	Dat	2	pp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
5	Regel	Regel	N	NN	Fem|Dat|Sg	3	pn	_	-
6	unüberwindbare	unüberwindbar	ADJA	ADJA	Pos|_|_|_|_|	7	attr	_	-
7	Hindernisse	Hindernis	N	NN	_|_|_	2	obja	_	-
8	dar	dar	PTKVZ	PTKVZ	_	2	avz	_	-
9	,	,	$,	$,	_	0	root	_	-
10	und	und	KON	KON	_	2	kon	_	-
11	auf	auf	PREP	APPR	_	13	pp	_	-
12	Kopfsteinpflaster	Kopfsteinpflaster	N	NN	Neut|_|_	11	pn	_	-
13	fühlt	fühlen	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	-
14	man	man	PRO	PIS	_|Nom|Sg	13	subj	_	-
15	sich	sie	PRO	PRF	3|_|_	13	obja	_	-
16	auf	auf	PREP	APPR	Dat	13	pp	_	-
17	einem	eine	ART	ART	Indef|_|Dat|Sg	19	det	_	-
18	ungefederten	ungefederten	ADJA	ADJA	_	19	attr	_	-
19	Bike	Bike	N	NN	_|Dat|Sg	16	pn	_	-
20	wie	wie	KOKOM	KOKOM	_	13	kom	_	-
21	auf	auf	PREP	APPR	Dat	20	cj	_	-
22	einem	eine	ART	ART	Indef|Neut|Dat|Sg	23	det	_	-
23	Rüttelsieb	Rüttelsieb	N	NN	Neut|Dat|Sg	21	pn	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Doch	doch	KON	KON	_	0	root	_	-
2	neuerdings	neuerdings	ADV	ADV	_	3	adv	_	-
3	werden	werden	V	VAFIN	3|Pl|Pres|_	1	cj	_	-
4	den	die	ART	ART	Def|Masc|Dat|Pl	5	det	_	-
5	Liegeradfans	Liegeradfan	N	NN	Masc|Dat|Pl	7	objd	_	-
6	Alternativen	Alternative	N	NN	_|Nom|Pl	3	subj	_	-
7	angeboten	anbieten	V	VVPP	_	3	aux	_	-
8	:	\:	$.	$.	_	0	root	_	-
9	Liegeräder	Liegerad	N	NN	Neut|_|Pl	0	root	_	(2)
10	,	,	$,	$,	_	0	root	_	-
11	die	die	PRO	PRELS	_|_|_	0	root	_	(2)
12	eigentlich	eigentlich	ADV	ADV	_	16	adv	_	-
13	gar	gar	ADV	ADV	_	14	adv	_	-
14	keine	keine	ART	PIAT	_|Nom|Pl	16	subj	_	-
15	mehr	mehr	PRO	PIS	_|Nom|_	16	pred	_	-
16	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
17	,	,	$,	$,	_	0	root	_	-
18	allenfalls	allenfalls	ADV	ADV	_	20	adv	_	-
19	einen	eine	ART	ART	Indef|Masc|Acc|Sg	20	det	_	-
20	Kompromiß	Kompromiß	N	NN	Masc|Acc|Sg	21	obja	_	-
21	darstellen	darstellen	V	VVINF	_	0	root	_	-
22	und	und	KON	KON	_	21	kon	_	-
23	eher	eher	ADV	ADV	_	28	adv	_	-
24	in	in	PREP	APPR	Acc	28	objp	_	-
25	die	die	ART	ART	Def|_|_|_	26	det	_	-
26	Abteilung	Abteilung	N	NN	Neut|Acc|Sg	24	pn	_	-
27	Sesselfahrrad	Sesselfahrrad	N	NN	Neut|Acc|Sg	26	app	_	-
28	gehören	gehören	V	VVINF	_	22	cj	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Da	Da	KOUS	KOUS	_	7	konj	_	-
2	es	es	PRO	PPER	3|Sg|Neut|Nom	7	subj	_	-
3	die	die	PRO	PDS	_|_|_	7	obja	_	-
4	aber	aber	ADV	ADV	_	3	adv	_	-
5	offiziell	offiziell	ADV	ADJD	Pos|	7	adv	_	-
6	nicht	nicht	PTKNEG	PTKNEG	_	7	adv	_	-
7	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	9	neb	_	-
8	,	,	$,	$,	_	0	root	_	-
9	heißen	heißen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
10	sie	sie	PRO	PPER	3|Pl|_|Nom	9	subj	_	(2)
11	City-Komfortrad	City-Komfortrad	N	NN	Neut|Nom|Sg	9	pred	_	(13)
12	,	,	$,	$,	_	0	root	_	-
13	Bevo-Bike	Bevo-Bike	N	NE	Neut|Nom|Sg	24	subj	_	-
14	oder	oder	KON	KON	_	13	kon	_	-
15	Flux	Flux	N	NE	Neut|Nom|Sg	14	cj	_	(9
16	V	V	CARD	CARD	_	17	attr	_	-
17	200	200	CARD	CARD	_|_|Sg	15	app	_	9)
18	-	-	$(	$(	_	0	root	_	-
19	und	und	KON	KON	_	17	kon	_	-
20	so	so	ADV	ADV	_	21	adv	_	-
21	manches	manche	PRO	PIS	_|_|Sg	19	cj	_	-
22	dieser	diese	ART	PDAT	_|Gen|_	23	det	_	-
23	Modelle	Modell	N	NN	_|Gen|_	21	gmod	_	-
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	s	_	-
25	schon	schon	ADV	ADV	_	33	adv	_	-
26	für	für	PREP	APPR	Acc	33	pp	_	-
27	etwas	etwas	ADV	ADV	_	28	adv	_	-
28	mehr	mehr	ADV	ADV	_	29	adv	_	-
29	als	als	KOKOM	KOKOM	_	26	kom	_	-
30	2.000	2.000	CARD	CARD	_	31	attr	_	-
31	Mark	Mark	N	NN	_|_|Pl	29	cj	_	-
32	zu	zu	PTKZU	PTKZU	_	33	part	_	-
33	haben	haben	V	VAINF	_	24	aux	_	-
34	!	!	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Masc|Nom|Sg	2	det	_	-
2	Preis	Preis	N	NN	Masc|Nom|Sg	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
5	echte	echt	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	_	-
6	Liegeradfahrer	Liegeradfahrer	N	NN	Masc|Nom|Sg	8	subj	_	-
7	aufhorchen	aufhorchen	V	VVINF	_	8	obji	_	-
8	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	,	,	$,	$,	_	0	root	_	-
10	schließlich	schließlich	ADV	ADV	_	11	adv	_	-
11	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	-
12	die	die	ART	ART	Def|_|_|_	13	part	_	-
13	meisten	meiste	PRO	PIS	_|Nom|Pl	11	subj	_	-
14	unter	unter	PREP	APPR	Dat	24	pp	_	-
15	ihnen	sie	PRO	PPER	3|Pl|_|Dat	14	pn	_	(2)
16	für	für	PREP	APPR	Acc	24	pp	_	-
17	ihre	ihre	ART	PPOSAT	Neut|Acc|Pl	19	det	_	(2)
18	wundervollen	wundervoll	ADJA	ADJA	Pos|Neut|Acc|Pl|Wk|	19	attr	_	-
19	Gefährte	Gefährt	N	NN	Neut|Acc|Pl	16	pn	_	-
20	3.000	3.000	CARD	CARD	_	21	attr	_	-
21	Mark	Mark	N	NN	_|Acc|Pl	19	app	_	-
22	und	und	KON	KON	_	16	kon	_	-
23	mehr	mehr	ADV	ADV	_	22	cj	_	-
24	ausgegeben	ausgeben	V	VVPP	_	11	aux	_	-
25	-	-	$(	$(	_	0	root	_	-
26	die	die	ART	ART	Def|Fem|Nom|Pl	27	det	_	-
27	Grenzen	Grenze	N	NN	Fem|Nom|Pl	30	subj	_	-
28	nach	nach	PREP	APPR	Dat	27	pp	_	-
29	oben	oben	ADV	ADV	_	28	adv	_	-
30	sind	sein	V	VAFIN	3|Pl|Pres|Ind	11	kon	_	-
31	offen	offen	ADV	ADJD	Pos|	30	pred	_	-
32	.	.	$.	$.	_	0	root	_	-

1	Über	über	PREP	APPR	_	3	pp	_	-
2	Geschmack	Geschmack	N	NN	Masc|_|Sg	1	pn	_	-
3	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
4	man	man	PRO	PIS	_|Nom|Sg	3	subj	_	-
5	ja	ja	ADV	ADV	_	8	adv	_	-
6	bekanntlich	bekanntlich	ADV	ADV	_	8	adv	_	-
7	nicht	nicht	PTKNEG	PTKNEG	_	8	adv	_	-
8	streiten	streiten	V	VVINF	_	3	aux	_	-
9	,	,	$,	$,	_	0	root	_	-
10	aber	aber	KON	KON	_	3	kon	_	-
11	City-Komforträder	City-Komfortrad	N	NN	Neut|Nom|Pl	12	subj	_	-
12	sind	sein	V	VAFIN	3|Pl|Pres|Ind	10	cj	_	-
13	häßlich	häßlich	ADV	ADJD	Pos|	12	pred	_	-
14	!	!	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Masc|Nom|Sg	3	det	_	-
2	gestandener	gestanden	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	-
3	Liegeradfahrer	Liegeradfahrer	N	NN	Masc|Nom|Sg	6	subj	_	-
4	wie	wie	KOKOM	KOKOM	_	3	kom	_	-
5	ich	ich	PRO	PPER	1|Sg|_|Nom	4	cj	_	(3)
6	schaut	schauen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	bei	bei	PREP	APPR	Dat	6	pp	_	-
8	solch	solch	ART	PIDAT	Neut|Dat|Sg	10	det	_	-
9	einem	eine	ART	ART	Indef|Neut|Dat|Sg	10	det	_	-
10	Velo	Velo	N	NN	Neut|Dat|Sg	7	pn	_	-
11	weg	weg	PTKVZ	PTKVZ	_	6	avz	_	-
12	und	und	KON	KON	_	0	root	_	-
13	nicht	nicht	PTKNEG	PTKNEG	_	0	root	_	-
14	hin	hin	PTKVZ	PTKVZ	_	0	root	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Darum	Darum	PROAV	PROAV	_	2	pp	_	-
