1	Wie	Wie	PWAV	PWAV	_	6	adv	_	-
3	liegen	liegen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	aber	aber	ADV	ADV	_	3	adv	_	-
5	immer	immer	ADV	ADV	_	6	adv	_	-
6	noch	noch	ADV	ADV	_	3	adv	_	-
7	fünf	fünf	CARD	CARD	_	10	attr	_	-
8	bis	bis	PREP	APPR	Acc	7	pp	_	-
9	zwanzig	zwanzig	CARD	CARD	_	8	pn	_	-
10	Prozent	Prozent	N	NN	Neut|_|Pl	11	grad	_	-
11	unter	unter	PREP	APPR	Dat	3	objp	_	-
12	dem	die	ART	ART	Def|Masc|Dat|Sg	13	det	_	-
13	Stand	Stand	N	NN	Masc|Dat|Sg	11	pn	_	-
14	der	die	ART	ART	Def|Fem|Gen|Sg	15	det	_	-
15	Vorwoche	Vorwoche	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	(1
2	Deutsche	deutsch	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	-
3	Aktienindex	Aktienindex	N	NN	Masc|Nom|Sg	5	subj	_	-
4	Dax	Dax	N	NE	Masc|Nom|Sg	3	app	_	1)
5	stieg	steigen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
6	gestern	gestern	ADV	ADV	_	5	adv	_	-
7	um	um	PREP	APPR	_	5	pp	_	-
8	6,3	6,3	CARD	CARD	_	9	attr	_	-
9	Prozent	Prozent	N	NN	Neut|_|Pl	7	pn	_	-
10	auf	auf	PREP	APPR	Acc	5	pp	_	-
11	3.791,81	3.791,81	CARD	CARD	_	12	attr	_	-
12	Punkte	Punkt	N	NN	Masc|Acc|Pl	10	pn	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	3	pp	_	-
2	Dienstag	Dienstag	N	NN	_|Dat|Sg	1	pn	_	-
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	5	det	_	(1
5	Dax	Dax	N	NE	Masc|Nom|Sg	3	subj	_	1)
6	um	um	PREP	APPR	_	11	pp	_	-
7	acht	acht	CARD	CARD	_	8	attr	_	-
8	Prozent	Prozent	N	NN	Neut|_|Pl	6	pn	_	-
9	nach	nach	PREP	APPR	Dat	11	pp	_	-
10	unten	unten	ADV	ADV	_	9	adv	_	-
11	gerauscht	rauschen	V	VVPP	_	3	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Damit	Damit	PROAV	PROAV	_	2	pp	_	-
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	Frankfurt	Frankfurt	N	NE	Neut|Nom|Sg	2	subj	_	(7)
4	wieder	wieder	ADV	ADV	_	13	adv	_	-
5	einmal	einmal	ADV	ADV	_	13	adv	_	-
6	die	die	ART	ART	Def|Fem|_|Pl	7	det	_	-
7	Vorgaben	Vorgabe	N	NN	Fem|_|Pl	13	obja	_	-
8	aus	aus	PREP	APPR	Dat	13	pp	_	-
9	New	New	N	NE	Masc|Dat|Sg	8	pn	_	-
10	York	York	N	NE	Masc|Dat|Sg	9	app	_	-
11	und	und	KON	KON	_	10	kon	_	-
12	Asien	Asien	N	NE	Neut|Dat|Sg	11	cj	_	-
13	nachgeäfft	nachäffen	V	VVPP	_	2	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	(15
2	Wall	Wall	N	NE	Fem|Nom|Sg	4	subj	_	-
3	Street	Street	N	NE	Fem|Nom|Sg	2	app	_	15)
4	legte	legen	V	VVFIN	3|Sg|Past|_	0	root	_	-
5	Dienstag	Dienstag	N	NN	_|_|Sg	4	obja	_	-
6	abend	abend	ADV	ADV	_	5	adv	_	-
7	mit	mit	PREP	APPR	Dat	4	pp	_	-
8	einem	eine	ART	ART	Indef|Masc|Dat|Sg	9	det	_	-
9	Anstieg	Anstieg	N	NN	Masc|Dat|Sg	7	pn	_	-
10	um	um	PREP	APPR	_	4	pp	_	-
11	4,7	4,7	CARD	CARD	_	12	attr	_	-
12	Prozent	Prozent	N	NN	Neut|_|Pl	10	pn	_	-
13	vor	vor	PTKVZ	PTKVZ	_	4	avz	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	3	pp	_	-
2	Montag	Montag	N	NN	Masc|Dat|Sg	1	pn	_	-
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
5	dortige	dortig	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	6	attr	_	-
6	Dow-Jones-Index	Dow-Jones-Index	N	NN	Masc|Nom|Sg	3	subj	_	-
7	um	um	PREP	APPR	_	10	pp	_	-
8	sieben	sieben	CARD	CARD	_	9	attr	_	-
9	Prozent	Prozent	N	NN	Neut|_|Pl	7	pn	_	-
10	gefallen	fallen	V	VVPP	_	3	aux	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Punktemäßig	punktemäßig	ADV	ADJD	Pos|	2	pred	_	-
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
3	die	die	ART	ART	Def|Masc|Nom|Pl	4	det	_	(2
4	Kurse	Kurs	N	NN	Masc|Nom|Pl	2	subj	_	2)
5	bei	bei	PREP	APPR	Dat	2	pp	_	-
6	ihrem	ihre	ART	PPOSAT	Neut|Dat|Sg	7	det	_	(2)
7	Pendeln	Pendel	N	NN	Neut|Dat|Sg	5	pn	_	-
8	über	über	PREP	APPR	Dat	2	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	(3
10	7.000er-Marke	7.000er-Mark	N	NN	Fem|Dat|Sg	8	pn	_	3)
11	in	in	PREP	APPR	Dat	0	root	_	-
12	der	die	PRO	PRELS	Fem|Dat|Sg	11	pn	_	(3)
13	über	über	PREP	APPR	Dat	18	pp	_	-
14	100jährigen	100jährig	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	15	attr	_	-
15	Geschichte	Geschichte	N	NN	_|Dat|Sg	13	pn	_	-
16	der	die	ART	ART	Def|_|Gen|_	17	det	_	-
17	New	New	N	NE	_|Gen|_	15	gmod	_	-
18	Yorker	Yorker	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	19	attr	_	-
19	Börse	Börse	N	NN	Fem|Nom|Sg	30	subj	_	-
20	noch	noch	ADV	ADV	_	30	adv	_	-
21	nie	nie	ADV	ADV	_	30	adv	_	-
22	so	so	ADV	ADV	_	23	adv	_	-
23	stark	stark	ADV	ADJD	Pos|	30	adv	_	-
24	in	in	PREP	APPR	Acc	30	objp	_	-
25	die	die	ART	ART	Def|Fem|Acc|Sg	26	det	_	(4
26	Höhe	Höhe	N	NN	Fem|Acc|Sg	24	pn	_	-
27	oder	oder	KON	KON	_	26	kon	_	-
28	die	die	ART	ART	Def|_|Acc|_	29	det	_	-
29	Tiefe	Tiefe	N	NN	_|Acc|_	27	cj	_	4)
30	gegangen	gehen	V	VVPP	_	0	root	_	-
31	wie	wie	KOKOM	KOKOM	_	0	root	_	-
32	an	an	PREP	APPR	Dat	31	cj	_	-
33	diesen	diese	ART	PDAT	Masc|Dat|Pl	35	det	_	-
34	beiden	beide	ART	PIDAT	Masc|Dat|Pl	35	attr	_	-
35	Tagen	Tag	N	NN	Masc|Dat|Pl	32	pn	_	-
36	.	.	$.	$.	_	0	root	_	-

1	Dabei	Dabei	PROAV	PROAV	_	2	pp	_	-
2	wechselten	wechseln	V	VVFIN	3|Pl|Past|_	0	root	_	-
3	sage	sage	N	NE	_|Nom|Pl	2	subj	_	-
4	und	und	KON	KON	_	2	kon	_	-
5	schreibe	schreiben	V	VVFIN	_|Sg|Pres|_	4	cj	_	-
6	eine	eine	ART	ART	Indef|Fem|_|Sg	7	det	_	(13
7	Milliarde	Milliarde	N	NN	Fem|_|Pl	5	obja	_	-
8	Aktien	Aktie	N	NN	Fem|_|Pl	7	app	_	13)
9	den	die	ART	ART	Def|Masc|Acc|Sg	10	det	_	-
10	Besitzer	Besitzer	N	NN	Masc|Acc|Sg	0	root	_	-
11	-	-	$(	$(	_	0	root	_	-
12	ein	eine	ART	ART	Indef|Masc|Nom|Sg	13	det	_	-
13	Umsatzrekord	Umsatzrekord	N	NN	Masc|Nom|Sg	0	root	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Hang-Seng-Aktienindex	Hang-Seng-Aktienindex	N	NN	Masc|Nom|Sg	5	subj	_	-
3	in	in	PREP	APPR	_	2	pp	_	-
4	Hongkong	Hongkong	N	NE	Neut|_|Sg	3	pn	_	(6)
5	kletterte	klettern	V	VVFIN	3|Sg|Past|_	0	root	_	-
6	nach	nach	PREP	APPR	Dat	5	pp	_	-
7	über	über	ADV	ADV	_	9	adv	_	-
8	dreißig	dreißig	CARD	CARD	_	9	attr	_	-
9	Prozent	Prozent	N	NN	Masc|Dat|Pl	6	pn	_	-
10	Verlust	Verlust	N	NN	Masc|Dat|Sg	9	app	_	-
11	gestern	gestern	ADV	ADV	_	6	adv	_	-
12	wieder	wieder	ADV	ADV	_	5	adv	_	-
13	um	um	PREP	APPR	Acc	5	pp	_	-
14	ebenfalls	ebenfalls	ADV	ADV	_	15	adv	_	-
15	rekordverdächtige	rekordverdächtig	ADJA	ADJA	Pos|Neut|Acc|Pl|St|	17	attr	_	-
16	18,8	18,8	CARD	CARD	_	17	attr	_	-
17	Prozent	Prozent	N	NN	Neut|Acc|Pl	13	pn	_	-
18	in	in	PREP	APPR	Acc	5	pp	_	-
19	die	die	ART	ART	Def|Fem|Acc|Sg	20	det	_	(4
20	Höhe	Höhe	N	NN	Fem|Acc|Sg	18	pn	_	4)
21	.	.	$.	$.	_	0	root	_	-

1	Einige	einige	ART	PIAT	Neut|Nom|Pl	2	det	_	(5
2	Unternehmen	Unternehmen	N	NN	Neut|Nom|Pl	3	subj	_	5)
3	trieben	treiben	V	VVFIN	3|Pl|Past|_	0	root	_	-
4	ihre	ihre	ART	PPOSAT	Masc|_|Pl	6	det	_	(5)
5	eigenen	eigen	ADJA	ADJA	Pos|Masc|_|Pl|Wk|	6	attr	_	-
6	Kurse	Kurs	N	NN	Masc|_|Pl	3	obja	_	-
7	hoch	hoch	ADV	ADJD	Pos|	3	adv	_	-
8	,	,	$,	$,	_	0	root	_	-
9	indem	indem	KOUS	KOUS	_	13	konj	_	-
10	sie	sie	PRO	PPER	3|Pl|_|Nom	13	subj	_	(5)
11	selbst	selbst	ADV	ADV	_	13	adv	_	-
12	Aktien	Aktie	N	NN	Fem|_|Pl	13	obja	_	-
13	kauften	kaufen	V	VVFIN	3|Pl|Past|_	3	neb	_	-
14	.	.	$.	$.	_	0	root	_	-

1	IBM	IBM	N	NE	Masc|Nom|Sg	9	subj	_	-
2	,	,	$,	$,	_	0	root	_	-
3	der	die	ART	ART	Def|Masc|Nom|Sg	5	det	_	-
4	größte	groß	ADJA	ADJA	Sup|Masc|Nom|Sg|Wk|	5	attr	_	-
5	Computerkonzern	Computerkonzern	N	NN	Masc|Nom|Sg	1	app	_	-
6	der	die	ART	ART	Def|Fem|Gen|Sg	7	det	_	-
7	Welt	Welt	N	NN	Fem|Gen|Sg	5	gmod	_	-
8	,	,	$,	$,	_	0	root	_	-
9	kündigte	kündigen	V	VVFIN	3|Sg|Past|_	0	root	_	-
10	zwecks	zwecks	PREP	APPR	_	9	pp	_	-
11	Kurspflege	Kurspflege	N	NN	Fem|_|Sg	10	pn	_	-
12	an	an	PTKVZ	PTKVZ	_	9	avz	_	-
13	,	,	$,	$,	_	0	root	_	-
14	für	für	PREP	APPR	Acc	21	pp	_	-
15	3,5	3,5	CARD	CARD	_	16	attr	_	-
16	Milliarden	Milliarde	N	NN	Masc|Acc|Pl	14	pn	_	-
17	Dollar	Dollar	N	NN	Masc|Acc|_	16	app	_	-
18	eigene	eigen	ADJA	ADJA	Pos|Fem|_|Pl|St|	19	attr	_	-
19	Aktien	Aktie	N	NN	Fem|_|Pl	21	obja	_	-
20	zu	zu	PTKZU	PTKZU	_	21	part	_	-
21	kaufen	kaufen	V	VVINF	_	9	obji	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Ähnliches	Ähnliches	N	NN	Neut|_|Sg	13	obja	_	-
2	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
3	schon	schon	ADV	ADV	_	13	adv	_	-
4	einige	einige	ART	PIAT	Neut|Nom|Pl	6	det	_	-
5	chinesische	chinesisch	ADJA	ADJA	Pos|Neut|Nom|Pl|St|	6	attr	_	-
6	Staatsunternehmen	Staatsunternehmen	N	NN	Neut|Nom|Pl	2	subj	_	-
7	in	in	PREP	APPR	_	13	pp	_	-
8	Hongkong	Hongkong	N	NE	Neut|_|Sg	7	pn	_	(6)
9	in	in	PREP	APPR	Dat	13	pp	_	-
10	den	die	ART	ART	Def|Masc|Dat|Pl	12	det	_	-
11	letzten	letzte	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	12	attr	_	-
12	Tagen	Tag	N	NN	Masc|Dat|Pl	9	pn	_	-
13	versucht	versuchen	V	VVPP	_	2	aux	_	-
14	,	,	$,	$,	_	0	root	_	-
15	allerdings	allerdings	ADV	ADV	_	16	adv	_	-
16	mit	mit	PREP	APPR	Dat	13	pp	_	-
17	weniger	wenige	ART	PIAT	Masc|Nom|Sg	18	det	_	-
18	Erfolg	Erfolg	N	NN	Masc|Nom|Sg	16	pn	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Nach	nach	PREP	APPR	Dat	7	pp	_	-
2	Angaben	Angabe	N	NN	Fem|Dat|Pl	1	pn	_	-
3	der	die	ART	ART	Def|Masc|Gen|Pl	4	det	_	-
4	Börsenhändler	Börsenhändler	N	NN	Masc|Gen|Pl	2	gmod	_	-
5	in	in	PREP	APPR	_	4	pp	_	-
6	Frankfurt	Frankfurt	N	NE	Neut|_|Sg	5	pn	_	(7)
7	nutzten	nutzen	V	VVFIN	3|Pl|Past|_	0	root	_	-
8	vor	vor	PREP	APPR	Dat	7	pp	_	-
9	allem	alle	PRO	PIS	_|Dat|Sg	8	pn	_	-
10	Kleinanleger	Kleinanleger	N	NN	Masc|Nom|Pl	7	subj	_	(8)
11	die	die	ART	ART	Def|Masc|_|Pl	13	det	_	-
12	gefallenen	gefallt	ADJA	ADJA	Pos|Masc|_|Pl|Wk|	13	attr	_	-
13	Kurse	Kurs	N	NN	Masc|_|Pl	7	obja	_	-
14	,	,	$,	$,	_	0	root	_	-
15	um	um	KOUI	KOUI	_	20	konj	_	-
16	vermeintlich	vermeintlich	ADV	ADJD	Pos|	17	adv	_	-
17	billige	billig	ADJA	ADJA	Pos|Fem|_|Pl|St|	18	attr	_	-
18	Aktien	Aktie	N	NN	Fem|_|Pl	20	obja	_	-
19	zu	zu	PTKZU	PTKZU	_	20	part	_	-
20	kaufen	kaufen	V	VVINF	_	7	neb	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Da	da	ADV	ADV	_	2	adv	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	jedoch	jedoch	ADV	ADV	_	5	adv	_	-
4	Vorsicht	Vorsicht	N	NN	Fem|Nom|Sg	2	subj	_	-
5	angesagt	ansagen	V	VVPP	_	2	aux	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	Die	die	ART	ART	Def|Masc|Nom|Pl	8	det	_	-
8	Großanleger	Großanleger	N	NN	Masc|Nom|Pl	9	subj	_	-
9	hielten	halten	V	VVFIN	3|Pl|Past|_	0	root	_	-
10	sich	sie	PRO	PRF	3|_|_	9	obja	_	-
11	noch	noch	ADV	ADV	_	9	adv	_	-
12	auffallend	auffallen	ADV	ADJD	_|<PPRES	9	adv	_	-
13	zurück	zurück	PTKVZ	PTKVZ	_	9	avz	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Masc|Nom|Pl	2	det	_	-
2	Umsätze	Umsatz	N	NN	Masc|Nom|Pl	3	subj	_	-
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
4	allgemein	allgemein	ADV	ADJD	Pos|	3	adv	_	-
5	in	in	PREP	APPR	_	3	pp	_	-
6	Deutschland	Deutschland	N	NE	Neut|_|Sg	5	pn	_	(10)
7	niedrig	niedrig	ADV	ADJD	Pos|	3	pred	_	-
8	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	7	pp	_	-
2	den	die	ART	ART	Def|Masc|Dat|Pl	3	det	_	-
3	Tagen	Tag	N	NN	Masc|Dat|Pl	1	pn	_	-
4	nach	nach	PREP	APPR	Dat	3	pp	_	-
5	einem	eine	ART	ART	Indef|Masc|Dat|Sg	6	det	_	(11
6	Crash	Crash	N	NN	Masc|Dat|Sg	4	pn	_	11)
7	schwingen	schwingen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
8	die	die	ART	ART	Def|Masc|Nom|Pl	9	det	_	(2
9	Kurse	Kurs	N	NN	Masc|Nom|Pl	7	subj	_	2)
10	häufig	häufig	ADV	ADJD	Pos|	7	adv	_	-
11	hin	hin	ADV	ADV	_	7	adv	_	-
12	und	und	KON	KON	_	0	root	_	-
13	her	her	PTKVZ	PTKVZ	_	0	root	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	also	also	ADV	ADV	_	9	adv	_	-
4	noch	noch	ADV	ADV	_	9	adv	_	-
5	mehrmals	mehrmals	ADV	ADV	_	9	adv	_	-
6	zu	zu	PREP	APPR	Dat	9	objp	_	-
7	kleineren	klein	ADJA	ADJA	Comp|Masc|Dat|Pl|_|	8	attr	_	-
8	Einbrüchen	Einbruch	N	NN	Masc|Dat|Pl	6	pn	_	-
9	kommen	kommen	V	VVINF	_	2	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Deshalb	Deshalb	PROAV	PROAV	_	4	pp	_	-
2	auch	auch	ADV	ADV	_	4	adv	_	-
3	die	die	ART	ART	Def|Fem|_|Sg	4	det	_	-
4	Zurückhaltung	Zurückhaltung	N	NN	Fem|_|Sg	0	root	_	-
5	der	die	ART	ART	Def|Neut|Gen|Pl	7	det	_	(9
6	großen	groß	ADJA	ADJA	Pos|Neut|Gen|Pl|Wk|	7	attr	_	-
7	Tiere	Tier	N	NN	Neut|Gen|Pl	4	gmod	_	9)
8	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(9)
2	warten	warten	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	ab	ab	PTKVZ	PTKVZ	_	2	avz	_	-
4	,	,	$,	$,	_	0	root	_	-
5	bis	bis	KOUS	KOUS	_	10	konj	_	-
6	sich	sie	PRO	PRF	3|_|_	9	obja	_	-
7	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	-
8	Markt	Markt	N	NN	Masc|Nom|Sg	10	subj	_	-
9	geglättet	glätten	V	VVPP	_	10	aux	_	-
10	hat	haben	V	VAFIN	3|Sg|Pres|Ind	2	neb	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Masc|Nom|Pl	2	det	_	-
2	Börsenanalysten	Börsenanalyst	N	NN	Masc|Nom|Pl	8	subj	_	-
3	der	die	ART	ART	Def|Fem|Gen|Sg	5	det	_	-
4	niederländischen	niederländisch	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	5	attr	_	-
5	ABN	ABN	N	NE	Fem|Gen|Sg	2	gmod	_	-
6	Amro	Amro	N	NE	Fem|Gen|Sg	5	app	_	-
7	Bank	Bank	N	NN	Fem|Gen|Sg	6	app	_	-
8	rieten	raten	V	VVFIN	3|Pl|Past|_	0	root	_	-
9	ebenfalls	ebenfalls	ADV	ADV	_	8	adv	_	-
10	zur	zu	PREP	APPRART	Dat	8	objp	_	-
11	Ruhe	Ruhe	N	NN	Fem|Dat|Sg	10	pn	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Krise	Krise	N	NN	Fem|Nom|Sg	7	subj	_	-
3	an	an	PREP	APPR	Dat	2	pp	_	-
4	den	die	ART	ART	Def|Masc|Dat|Pl	6	det	_	-
5	asiatischen	asiatisch	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	6	attr	_	-
6	Finanzmärkten	Finanzmarkt	N	NN	Masc|Dat|Pl	3	pn	_	-
7	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
8	noch	noch	ADV	ADV	_	9	adv	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	7	adv	_	-
10	vorbei	vorbei	PTKVZ	PTKVZ	_	7	avz	_	-
11	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	_	3	pp	_	-
2	Deutschland	Deutschland	N	NE	Neut|_|Sg	1	pn	_	(10)
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	sich	sie	PRO	PRF	3|_|_	12	obja	_	-
5	aber	aber	ADV	ADV	_	12	adv	_	-
6	durch	durch	PREP	APPR	Acc	12	pp	_	-
7	den	die	ART	ART	Def|Masc|Acc|Sg	8	det	_	(11
8	Crash	Crash	N	NN	Masc|Acc|Sg	6	pn	_	11)
9	nichts	nichts	PRO	PIS	_|Nom|Sg	3	subj	_	-
10	zum	zu	PREP	APPRART	Dat	12	pp	_	-
11	Negativen	Negativ	N	NN	_|Dat|_	10	pn	_	-
12	verändert	verändern	V	VVPP	_	3	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	US-Wirtschaft	US-Wirtschaft	N	NN	Fem|Nom|Sg	5	subj	_	-
3	und	und	KON	KON	_	2	kon	_	-
4	Japan	Japan	N	NE	Neut|Nom|Sg	3	cj	_	-
5	seien	sein	V	VAFIN	_|Pl|Pres|Subj	0	root	_	-
6	wesentlich	wesentlich	ADV	ADJD	Pos|	7	adv	_	-
7	stärker	stark	ADV	ADJD	Comp|	13	adv	_	-
8	von	von	PREP	APPR	Dat	13	pp	_	-
9	den	die	ART	ART	Def|Fem|Dat|Pl	10	det	_	-
10	Turbulenzen	Turbulenz	N	NN	Fem|Dat|Pl	8	pn	_	-
11	in	in	PREP	APPR	_	13	pp	_	-
12	Südostasien	Südostasien	N	NE	_|_|_	11	pn	_	-
13	betroffen	betreffen	V	VVPP	_	5	aux	_	-
14	als	als	KOKOM	KOKOM	_	13	kom	_	-
15	deutsche	deutsch	ADJA	ADJA	Pos|Fem|_|Pl|St|	16	attr	_	-
16	Firmen	Firma	N	NN	Fem|_|Pl	14	cj	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Wie	Wie	PWAV	PWAV	_	7	adv	_	-
2	es	es	PRO	PPER	3|Sg|Neut|Nom	7	subj	_	-
3	in	in	PREP	APPR	Dat	7	pp	_	-
4	den	die	ART	ART	Def|Masc|Dat|Pl	6	det	_	-
5	nächsten	nah	ADJA	ADJA	_|Masc|Dat|Pl|_|	6	attr	_	-
