1	Während	während	KOUS	KOUS	_	0	root	_	-
9	beim	bei	PREP	APPRART	Dat	5	pp	_	-
10	VfL	VfL	N	NN	_|Dat|_	9	pn	_	-
11	Osnabrück	Osnabrück	N	NN	_|Dat|_	10	app	_	-
12	und	und	KON	KON	_	5	kon	_	-
13	darf	dürfen	V	VMFIN	_|Sg|Pres|Ind	12	cj	_	-
14	sich	sie	PRO	PRF	3|_|_	18	obja	_	-
15	jetzt	jetzt	ADV	ADV	_	18	adv	_	-
16	der	die	ART	ART	Def|Fem|Gen|Sg	17	det	_	-
17	Tabellenführung	Tabellenführung	N	NN	Fem|Gen|Sg	18	objg	_	-
18	erfreuen	erfreuen	V	VVINF	_	13	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Wir	wir	PRO	PPER	1|Pl|_|Nom	3	subj	_	-
3	sind	sein	V	VAFIN	1|Pl|Pres|Ind	10	s	_	-
4	halt	halt	ADV	ADV	_	3	adv	_	-
5	am	an	PREP	APPRART	Dat	3	pp	_	-
6	Boden	Boden	N	NN	Masc|Dat|Sg	5	pn	_	-
7	gut	gut	ADV	ADJD	Pos|	3	pred	_	-
8	"	"	$(	$(	_	0	root	_	-
9	,	,	$,	$,	_	0	root	_	-
10	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	-
11	Wolfsburgs	Wolfsburg	N	NE	Neut|Gen|Sg	12	gmod	_	(0)
12	Trainer	Trainer	N	NN	Masc|Nom|Sg	10	subj	_	-
13	,	,	$,	$,	_	0	root	_	-
14	der	die	ART	ART	Def|Masc|Nom|Sg	15	det	_	-
15	Ex-Werderaner	Ex-Werderaner	N	NN	Masc|Nom|Sg	12	app	_	-
16	Uwe	Uwe	N	NE	Masc|Nom|Sg	15	app	_	-
17	Erkenbrecher	Erkenbrecher	N	NE	Masc|Nom|Sg	16	app	_	-
18	,	,	$,	$,	_	0	root	_	-
19	der	die	PRO	PRELS	Fem|Dat|Sg	29	objd	_	-
20	sich	sie	PRO	PRF	3|_|_	29	obja	_	-
21	mit	mit	PREP	APPR	Dat	29	pp	_	-
22	Unterstützung	Unterstützung	N	NN	Fem|Dat|Sg	21	pn	_	-
23	des	die	ART	ART	Def|Neut|Gen|Sg	24	det	_	-
24	VW-Werks	VW-Werk	N	NN	Neut|Gen|Sg	22	gmod	_	-
25	für	für	PREP	APPR	Acc	22	pp	_	-
26	die	die	ART	ART	Def|Fem|Acc|Sg	27	det	_	-
27	Saison	Saison	N	NN	Fem|Acc|Sg	25	pn	_	-
28	einiges	einige	PRO	PIS	Neut|Nom|Sg	30	subj	_	-
29	vorgenommen	vornehmen	V	VVPP	_	30	aux	_	-
30	hat	haben	V	VAFIN	3|Sg|Pres|Ind	17	rel	_	-
31	.	.	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	4	adv	_	-
2	der	die	ART	ART	Def|Masc|Nom|Sg	4	det	_	-
3	zweite	zweit	ADJA	ADJA	_|Masc|Nom|Sg|Wk|	4	attr	_	-
4	Aufsteiger	Aufsteiger	N	NN	Masc|Nom|Sg	0	root	_	-
5	,	,	$,	$,	_	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	-
7	Wuppertaler	Wuppertaler	ADJA	ADJA	Pos|Masc|Nom|Sg|_|	8	attr	_	-
8	SV	SV	N	NN	Masc|Nom|Sg	9	subj	_	-
9	nutzte	nutzen	V	VVFIN	3|Sg|Past|_	0	root	_	-
10	den	die	ART	ART	Def|Masc|Acc|Sg	11	det	_	-
11	Schwung	Schwung	N	NN	Masc|Acc|Sg	9	obja	_	-
12	der	die	ART	ART	Def|Fem|Gen|Sg	14	det	_	-
13	ersten	erst	ADJA	ADJA	_|Fem|Gen|Sg|Wk|	14	attr	_	-
14	Woche	Woche	N	NN	Fem|Gen|Sg	11	gmod	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Masc|_|Pl	2	det	_	-
2	Gegner	Gegner	N	NN	Masc|_|Pl	0	root	_	-
3	aus	aus	PREP	APPR	Dat	2	pp	_	-
4	Mainz	Mainz	N	NE	Neut|Dat|Sg	3	pn	_	-
5	0	0	CARD	CARD	_	4	app	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	5	5	CARD	CARD	_	8	subj	_	-
8	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
9	im	in	PREP	APPRART	Dat	8	pp	_	-
10	Zoostadion	Zoostadion	N	NN	Neut|Dat|Sg	9	pn	_	-
11	beim	bei	PREP	APPRART	Dat	8	pp	_	-
12	1	1	CARD	CARD	_	11	pn	_	-
13	:	\:	$.	$.	_	0	root	_	-
14	3	3	CARD	CARD	_	0	root	_	-
15	überhaupt	überhaupt	ADV	ADV	_	16	adv	_	-
16	keine	keine	ART	PIAT	Fem|_|Sg	17	det	_	-
17	Chance	Chance	N	NN	Fem|_|Sg	0	root	_	-
18	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	4	pp	_	-
2	guter	gut	ADJA	ADJA	Pos|Fem|Dat|Sg|St|	3	attr	_	-
3	Verfassung	Verfassung	N	NN	Fem|Dat|Sg	1	pn	_	-
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	auch	auch	ADV	ADV	_	13	adv	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	-
7	Fast-Erstliga-Aufsteiger	Fast-Erstliga-Aufsteiger	N	NN	Masc|Nom|Sg	4	subj	_	-
8	VfB	VfB	N	NE	_|Nom|Sg	7	app	_	-
9	Oldenburg	Oldenburg	N	NE	_|Nom|Sg	8	app	_	-
10	aus	aus	PREP	APPR	Dat	13	objp	_	-
11	der	die	ART	ART	Def|Fem|Dat|Sg	12	det	_	-
12	Sommerpause	Sommerpause	N	NN	Fem|Dat|Sg	10	pn	_	-
13	gekommen	kommen	V	VVPP	_	4	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Beim	bei	PREP	APPRART	Dat	0	root	_	-
2	2	2	CARD	CARD	_	1	pn	_	-
3	:	\:	$.	$.	_	0	root	_	-
4	2	2	CARD	CARD	_	7	objd	_	-
5	in	in	PREP	APPR	_	4	pp	_	-
6	Freiburg	Freiburg	N	NE	_|_|Sg	5	pn	_	-
7	gingen	gehen	V	VVFIN	3|Pl|Past|_	0	root	_	-
8	die	die	ART	ART	Def|_|Nom|Pl	9	det	_	-
9	Oldenburger	Oldenburger	N	NN	_|Nom|Pl	7	subj	_	-
10	zweimal	zweimal	ADV	ADV	_	7	adv	_	-
11	in	in	PREP	APPR	_	7	pp	_	-
12	Führung	Führung	N	NN	Fem|_|Sg	11	pn	_	-
13	,	,	$,	$,	_	0	root	_	-
14	konnten	können	V	VMFIN	_|Pl|Past|Ind	7	kon	_	-
15	dann	dann	ADV	ADV	_	19	adv	_	-
16	aber	aber	ADV	ADV	_	19	adv	_	-
17	doch	doch	ADV	ADV	_	19	adv	_	-
18	zufrieden	zufrieden	ADV	ADJD	Pos|	19	pred	_	-
19	sein	sein	V	VAINF	_	14	aux	_	-
20	,	,	$,	$,	_	0	root	_	-
21	das	die	ART	ART	Def|Neut|_|Sg	22	det	_	-
22	Unentschieden	Unentschieden	N	NN	Neut|_|Sg	23	obja	_	-
23	gerettet	retten	V	VVPP	_	25	aux	_	-
24	zu	zu	PTKZU	PTKZU	_	25	part	_	-
25	haben	haben	V	VAINF	_	19	obji	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Hängengeblieben	Hängengebliebe	N	NN	Neut|Nom|Sg	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	dagegen	dagegen	PROAV	PROAV	_	2	pp	_	-
4	zunächst	zunächst	ADV	ADV	_	2	adv	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
6	SV	SV	N	NN	Masc|Nom|Sg	2	pred	_	-
7	Meppen	Meppen	N	NE	Neut|Nom|Sg	6	app	_	-
8	,	,	$,	$,	_	0	root	_	-
9	und	und	KON	KON	_	0	root	_	-
10	zwar	zwar	ADV	ADV	_	11	adv	_	-
11	in	in	PREP	APPR	Dat	9	cj	_	-
12	den	die	ART	ART	Def|_|Dat|Pl	13	det	_	-
13	Startlöchern	Startloch	N	NN	_|Dat|Pl	11	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Mit	mit	PREP	APPR	Dat	0	root	_	-
2	0	0	CARD	CARD	_	1	pn	_	-
3	:	\:	$.	$.	_	0	root	_	-
4	1	1	CARD	CARD	_	5	subj	_	-
5	verloren	verlieren	V	VVFIN	3|Pl|Past|Ind	0	root	_	-
6	die	die	ART	ART	Def|_|_|Pl	7	det	_	-
7	Emsländer	Emsland	N	NN	_|_|Pl	5	obja	_	-
8	nach	nach	PREP	APPR	Dat	5	pp	_	-
9	beiderseitig	beiderseitig	ADV	ADJD	Pos|	10	adv	_	-
10	miesem	mies	ADJA	ADJA	Pos|Neut|Dat|Sg|St|	11	attr	_	-
11	Spiel	Spiel	N	NN	Neut|Dat|Sg	8	pn	_	-
12	bei	bei	PREP	APPR	Dat	5	pp	_	-
13	Eintracht	Eintracht	N	NN	Fem|Dat|Sg	12	pn	_	-
14	Braunschweig	Braunschweig	N	NE	Neut|Dat|Sg	13	app	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Von	von	PREP	APPR	Dat	4	pp	_	-
2	den	die	ART	ART	Def|Masc|Dat|Pl	3	det	_	-
3	Bundesligaabsteigern	Bundesligaabsteiger	N	NN	Masc|Dat|Pl	1	pn	_	-
4	gewann	gewinnen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
5	einzig	einzig	ADV	ADJD	Pos|	4	adv	_	-
6	Hansa	Hansa	N	NE	Neut|Nom|Sg	4	subj	_	-
7	Rostock	Rostock	N	NE	Neut|Nom|Sg	6	app	_	-
8	(	(	$(	$(	_	0	root	_	-
9	1	1	CARD	CARD	_	0	root	_	-
10	:	\:	$.	$.	_	0	root	_	-
11	0	0	CARD	CARD	_	0	root	_	-
12	gegen	gegen	PREP	APPR	Acc	11	pp	_	-
13	Remscheid	Remscheid	N	NE	Neut|Acc|Sg	12	pn	_	-
14	)	)	$(	$(	_	0	root	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Fortuna	Fortuna	N	NE	Neut|_|Sg	0	root	_	-
2	Düsseldorf	Düsseldorf	N	NE	Neut|_|Sg	1	app	_	-
3	(	(	$(	$(	_	0	root	_	-
4	1	1	CARD	CARD	_	0	root	_	-
5	:	\:	$.	$.	_	0	root	_	-
6	1	1	CARD	CARD	_	15	attr	_	-
7	gegen	gegen	PREP	APPR	Acc	6	pp	_	-
8	Chemnitz	Chemnitz	N	NE	_|_|Sg	7	pn	_	-
9	)	)	$(	$(	_	0	root	_	-
10	und	und	KON	KON	_	8	kon	_	-
11	der	die	ART	ART	Def|_|_|_	12	det	_	-
12	MSV	MSV	N	NN	_|_|_	10	cj	_	-
13	Duisburg	Duisburg	N	NE	_|_|Sg	12	app	_	-
14	(	(	$(	$(	_	0	root	_	-
15	0	0	CARD	CARD	_	0	root	_	-
16	:	\:	$.	$.	_	0	root	_	-
17	0	0	CARD	CARD	_	0	root	_	-
18	bei	bei	PREP	APPR	Dat	17	pp	_	-
19	Leipzig	Leipzig	N	NE	Neut|Dat|Sg	18	pn	_	-
20	)	)	$(	$(	_	0	root	_	-
21	blieben	bleiben	V	VVFIN	_|Pl|Past|_	0	root	_	-
22	ohne	ohne	PREP	APPR	Acc	21	objp	_	-
23	Sieg	Sieg	N	NN	Masc|Acc|Sg	22	pn	_	-
24	.	.	$.	$.	_	0	root	_	-

