1	Ja	ja	PTKANT	PTKANT	_	0	root	_	-
11	Werbung	Werbung	N	NN	Fem|_|Sg	12	obja	_	-
12	machen	machen	V	VVINF	_	9	aux	_	-
13	(	(	$(	$(	_	0	root	_	-
14	damit	damit	PROAV	PROAV	_	18	pp	_	-
15	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
16	bloß	bloß	ADV	ADV	_	18	adv	_	-
17	ein	eine	ART	ART	Indef|_|_|Sg	18	det	_	-
18	halbes	halb	ADJA	ADJA	Neut|_|Sg	29	subj	_	-
19	,	,	$,	$,	_	0	root	_	-
20	sondern	sondern	KON	KON	_	18	kon	_	-
21	womöglich	womöglich	ADV	ADV	_	22	adv	_	-
22	gar	gar	ADV	ADV	_	25	adv	_	-
23	ein	eine	ART	ART	Indef|Neut|_|Sg	25	det	_	-
24	ganzes	ganz	ADJA	ADJA	Pos|Neut|_|Sg|St|	25	attr	_	-
25	Prozent	Prozent	N	NN	Neut|_|Sg	20	cj	_	-
26	der	die	ART	ART	Def|_|Gen|_	28	det	_	-
27	deutschen	deutsch	ADJA	ADJA	Pos|_|Gen|_|Wk|	28	attr	_	-
28	Zuschauer	Zuschauer	N	NN	_|Gen|_	25	gmod	_	-
29	zuschaut	zuschauen	V	VVFIN	_|_|Pres|Ind	12	par	_	-
30	)	)	$(	$(	_	0	root	_	-
31	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Und	und	KON	KON	_	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	10	det	_	-
4	effektivste	effektiv	ADJA	ADJA	Sup|Fem|Nom|Sg|_|	10	attr	_	-
5	und	und	KON	KON	_	4	kon	_	-
6	auch	auch	ADV	ADV	_	7	adv	_	-
7	für	für	PREP	APPR	Acc	5	cj	_	-
8	uns	wir	PRO	PPER	1|Pl|_|Acc	7	pn	_	-
9	billigste	billig	ADJA	ADJA	Sup|Fem|Nom|Sg|_|	10	attr	_	-
10	Methode	Methode	N	NN	Fem|Nom|Sg	12	subj	_	-
11	dazu	dazu	PROAV	PROAV	_	10	pp	_	-
12	wäre	sein	V	VAFIN	_|Sg|Past|Subj	2	cj	_	-
13	,	,	$,	$,	_	0	root	_	-
14	daß	daß	KOUS	KOUS	_	24	konj	_	-
15	die	die	ART	ART	Def|Masc|Nom|Pl	17	det	_	(2
16	öffentlich-rechtlichen	öffentlich-rechtlich	ADJA	ADJA	Pos|Masc|Nom|Pl|Wk|	17	attr	_	-
17	Fernsehsender	Fernsehsender	N	NN	Masc|Nom|Pl	24	subj	_	2)
18	endlich	endlich	ADV	ADJD	Pos|	24	adv	_	-
19	auf	auf	PREP	APPR	Dat	24	pp	_	-
20	ihren	ihre	ART	PPOSAT	Masc|Dat|Pl	21	det	_	(2)
21	Kanälen	Kanal	N	NN	Masc|Dat|Pl	19	pn	_	-
22	die	die	ART	ART	Def|Neut|_|Pl	23	det	_	-
23	Arte-Programme	Arte-Programm	N	NN	Neut|_|Pl	24	obja	_	-
24	ankündigen	ankündigen	V	VVFIN	3|Pl|Pres|_	12	objc	_	-
25	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Was	was	PRO	PWS	Neut|Nom|Sg	11	subj	_	-
3	bundesweit	bundesweit	ADV	ADJD	Pos|	10	adv	_	-
4	im	in	PREP	APPRART	Dat	10	pp	_	-
5	Ersten	erst	ADJA	ADJA	_|_|Dat|_|_|	4	pn	_	-
6	und	und	KON	KON	_	5	kon	_	-
7	Zweiten	zweit	ADJA	ADJA	_|_|Dat|_|_|	6	cj	_	-
8	bislang	bislang	ADV	ADV	_	10	adv	_	-
9	komplett	komplett	ADV	ADJD	Pos|	10	adv	_	-
10	vermieden	vermeiden	V	VVPP	_	11	aux	_	-
11	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Nur	nur	ADV	ADV	_	2	adv	_	-
2	in	in	PREP	APPR	Acc	7	pp	_	-
3	die	die	ART	ART	Def|_|_|_	5	det	_	-
4	"	"	$(	$(	_	0	root	_	-
5	Dritten	dritt	ADJA	ADJA	_|_|Pl	2	pn	_	-
6	"	"	$(	$(	_	0	root	_	-
7	streut	streuen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	(11
9	ARD	ARD	N	NN	Fem|Nom|Sg	7	subj	_	11)
10	,	,	$,	$,	_	0	root	_	-
11	falls	falls	KOUS	KOUS	_	17	konj	_	-
12	mal	mal	ADV	ADV	_	17	adv	_	-
13	ein	eine	ART	ART	Indef|_|_|Sg	15	det	_	(4
14	paar	paar	ART	PIDAT	Fem|Nom|Pl	15	attr	_	-
15	Sekunden	Sekunda	N	NN	Fem|Nom|Pl	17	subj	_	4)
16	übrig	übrig	ADV	ADJD	Pos|	17	adv	_	-
17	sind	sein	V	VAFIN	3|Pl|Pres|Ind	7	neb	_	-
18	,	,	$,	$,	_	0	root	_	-
19	Arte-	Arte-	TRUNC	TRUNC	_	0	root	_	-
20	"	"	$(	$(	_	0	root	_	-
21	Monatstrailer	Monatstrailer	N	NE	_	0	root	_	(3)
22	"	"	$(	$(	_	0	root	_	-
23	ein	ein	PTKVZ	PTKVZ	_	0	root	_	-
24	-	-	$(	$(	_	0	root	_	-
25	allerdings	allerdings	ADV	ADV	_	33	adv	_	-
26	so	so	ADV	ADV	_	27	adv	_	-
27	beliebig	beliebig	ADV	ADJD	Pos|	33	adv	_	-
28	,	,	$,	$,	_	0	root	_	-
29	daß	daß	KOUS	KOUS	_	30	konj	_	-
30	praktisch	praktisch	ADV	ADJD	Pos|	33	neb	_	-
31	niemand	niemand	PRO	PIS	_|Nom|Sg	33	subj	_	-
32	jemanden	jemand	PRO	PIS	Masc|Acc|Sg	33	obja	_	-
33	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
34	,	,	$,	$,	_	0	root	_	-
35	der	die	PRO	PRELS	Masc|Nom|Sg	39	subj	_	(3)
36	sie	sie	PRO	PPER	3|_|_|_	38	obja	_	(4)
37	je	je	ADV	ADV	_	38	adv	_	-
38	gesehen	sehen	V	VVPP	_	39	aux	_	-
39	hat	haben	V	VAFIN	3|Sg|Pres|Ind	32	rel	_	-
40	.	.	$.	$.	_	0	root	_	-

1	Da	da	ADV	ADV	_	2	adv	_	-
2	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	10	obja	_	-
4	selbst	selbst	ADV	ADV	_	10	adv	_	-
5	Plog	Plog	N	NN	_|Nom|Sg	2	subj	_	(5)
6	an	an	PREP	APPR	Acc	10	objp	_	-
7	die	die	ART	ART	Def|Fem|Acc|Sg	9	det	_	-
8	eigene	eigen	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	9	attr	_	-
9	NDR-Chefnase	NDR-Chefnase	N	NN	Fem|Acc|Sg	6	pn	_	-
10	fassen	fassen	V	VVINF	_	2	aux	_	-
11	:	\:	$.	$.	_	0	root	_	-
12	Auf	auf	PREP	APPR	_	23	objp	_	-
13	N3	N3	N	NE	_|_|_	12	pn	_	-
14	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
15	erst	erst	ADV	ADV	_	23	adv	_	-
16	nach	nach	PREP	APPR	Dat	23	pp	_	-
17	Intensivrecherche	Intensivrecherche	N	NN	Fem|Dat|Sg	16	pn	_	-
18	mal	mal	ADV	ADV	_	23	adv	_	-
19	ein	eine	ART	ART	Indef|_|Nom|Sg	20	det	_	(7
20	Arte-Spot	Arte-Spot	N	NN	_|Nom|Sg	14	subj	_	7)
21	dingfest	dingfest	ADV	ADJD	Pos|	23	pred	_	-
22	zu	zu	PTKZU	PTKZU	_	23	part	_	-
23	machen	machen	V	VVINF	_	14	aux	_	-
24	:	\:	$.	$.	_	0	root	_	-
25	um	um	PREP	APPR	Acc	0	root	_	-
26	11.28	11.28	CARD	CARD	_	27	attr	_	-
27	Uhr	Uhr	N	NN	Fem|Acc|Sg	25	pn	_	-
28	an	an	PREP	APPR	Dat	27	pp	_	-
29	einem	eine	ART	ART	Indef|_|Dat|Sg	30	det	_	-
30	Donnerstag	Donnerstag	N	NN	_|Dat|Sg	28	pn	_	-
31	,	,	$,	$,	_	0	root	_	-
32	gestoppte	gestoppt	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	33	attr	_	-
33	Dauer	Dauer	N	NN	Fem|Acc|Sg	27	app	_	-
34	:	\:	$.	$.	_	0	root	_	-
35	42	42	CARD	CARD	_	36	attr	_	-
36	Sekunden	Sekunda	N	NN	Fem|_|Pl	0	root	_	-
37	,	,	$,	$,	_	0	root	_	-
38	die	die	ART	ART	Def|Fem|_|Sg	39	det	_	-
39	Hälfte	Hälfte	N	NN	Fem|_|Sg	0	root	_	-
40	davon	davon	PROAV	PROAV	_	39	pp	_	-
41	für	für	PREP	APPR	Acc	0	root	_	-
42	Arte-Sendungen	Arte-Sendung	N	NN	Fem|Acc|Pl	41	pn	_	(6
43	,	,	$,	$,	_	0	root	_	-
44	die	die	PRO	PRELS	Fem|Nom|Pl	47	subj	_	(6)
45	schon	schon	ADV	ADV	_	46	adv	_	-
46	gesendet	senden	V	VVPP	_	47	aux	_	-
47	waren	sein	V	VAFIN	3|Pl|Past|Ind	42	rel	_	6)
48	.	.	$.	$.	_	0	root	_	-

1	Ähnlich	ähnlich	ADV	ADJD	Pos|	2	adv	_	-
2	kryptisch	kryptisch	ADV	ADJD	Pos|	3	pred	_	-
3	scheint	scheinen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
4	auch	auch	ADV	ADV	_	3	adv	_	-
5	,	,	$,	$,	_	0	root	_	-
6	was	was	PRO	PRELS	Neut|_|Sg	0	root	_	-
7	von	von	PREP	APPR	_	0	root	_	-
8	Plogs	Plogs	N	NE	_|Gen|_	9	gmod	_	(8)
9	Botschaft	Botschaft	N	NN	_|_|Sg	7	pn	_	-
10	in	in	PREP	APPR	Dat	9	pp	_	-
11	den	die	ART	ART	Def|Neut|Dat|Pl	12	det	_	-
12	Ohren	Ohr	N	NN	Neut|Dat|Pl	10	pn	_	-
13	der	die	ART	ART	Def|Masc|Gen|Pl	15	det	_	-
14	verehrten	verehrt	ADJA	ADJA	Pos|Masc|Gen|Pl|Wk|	15	attr	_	-
15	Kollegen	Kollege	N	NN	Masc|Gen|Pl	12	gmod	_	-
16	hängenblieb	hängenblieb	N	NE	Masc|Gen|Pl	15	app	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Obwohl	obwohl	KOUS	KOUS	_	15	konj	_	-
2	sein	seine	ART	PPOSAT	Neut|Nom|Sg	3	det	_	(7)
3	Getrommel	Getrommel	N	NN	Neut|Nom|Sg	15	subj	_	-
4	von	von	PREP	APPR	_	3	pp	_	-
5	Hör	Hör	N	NE	_|_|_	4	pn	_	-
6	zu	zu	PREP	APPR	Dat	4	kon	_	-
7	bis	bis	PREP	APPR	Acc	11	pp	_	-
8	zur	zu	PREP	APPRART	Dat	7	pp	_	-
9	Schwäbischen	schwäbisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	10	attr	_	-
10	Zeitung	Zeitung	N	NN	Fem|Dat|Sg	8	pn	_	-
11	flächendeckend	flächendeckend	ADV	ADJD	Pos|_	6	pn	_	-
12	aus	aus	PREP	APPR	Dat	15	pp	_	-
13	dem	die	ART	ART	Def|Masc|Dat|Sg	14	det	_	-
14	Blätterwald	Blätterwald	N	NN	Masc|Dat|Sg	12	pn	_	-
15	zurückschallte	zurückschallen	V	VVFIN	3|Sg|Past|_	17	neb	_	-
16	,	,	$,	$,	_	0	root	_	-
17	fehlte	fehlen	V	VVFIN	3|Sg|Past|_	0	root	_	-
18	das	die	ART	ART	Def|Neut|Nom|Sg	19	det	_	-
19	Thema	Thema	N	NN	Neut|Nom|Sg	17	subj	_	-
20	in	in	PREP	APPR	Dat	17	pp	_	-
21	den	die	ART	ART	Def|Fem|Dat|Pl	22	det	_	-
22	Mitteilungen	Mitteilung	N	NN	Fem|Dat|Pl	20	pn	_	-
23	der	die	ART	ART	Def|Masc|Gen|Pl	24	det	_	-
24	Intendanten	Intendant	N	NN	Masc|Gen|Pl	22	gmod	_	-
25	von	von	PREP	APPR	_	24	pp	_	-
26	der	die	ART	ART	Def|Fem|_|Sg	28	det	_	-
27	jüngsten	jung	ADJA	ADJA	Sup|Fem|_|Sg|Wk|	28	attr	_	-
28	ARD-Hauptversammlung	ARD-Hauptversammlung	N	NN	Fem|_|Sg	25	pn	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Auf	auf	PREP	APPR	_	3	pp	_	-
2	Nachfrage	Nachfrage	N	NN	Fem|_|Sg	1	pn	_	-
3	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
5	amtierende	amtierend	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	6	attr	_	-
6	ARD-Vorsitzende	ARD-Vorsitzende	N	NN	Masc|Nom|Sg	3	subj	_	-
7	Peter	Peter	N	NE	Masc|Nom|Sg	6	app	_	-
8	Voß	Voß	N	NE	Masc|Nom|Sg	7	app	_	-
9	dann	dann	ADV	ADV	_	10	adv	_	-
10	wissen	wissen	V	VVINF	_	3	obji	_	-
11	:	\:	$.	$.	_	0	root	_	-
12	Doch	doch	KON	KON	_	16	koord	_	-
13	,	,	$,	$,	_	0	root	_	-
14	Plogs	Plogs	N	NE	_|Gen|_	15	gmod	_	(8)|(10
15	Vorstoß	Vorstoß	N	NN	Masc|Nom|Sg	16	subj	_	10)
16	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
17	zur	zu	PREP	APPRART	Dat	19	objp	_	-
18	Sprache	Sprache	N	NN	Fem|Dat|Sg	17	pn	_	(9)
19	gekommen	kommen	V	VVPP	_	16	aux	_	-
20	,	,	$,	$,	_	0	root	_	-
21	und	und	KON	KON	_	16	kon	_	-
22	man	man	PRO	PIS	_|Nom|Sg	23	subj	_	-
23	sei	sein	V	VAFIN	3|Sg|Pres|Subj	21	cj	_	-
24	bereit	bereit	ADV	ADJD	Pos|	23	pred	_	-
25	,	,	$,	$,	_	0	root	_	-
26	"	"	$(	$(	_	0	root	_	-
27	dem	die	PRO	PRELS	_|Dat|Sg	0	root	_	(9)
28	in	in	PREP	APPR	Dat	35	pp	_	-
29	der	die	ART	ART	Def|Fem|Dat|Sg	30	det	_	-
30	Sache	Sache	N	NN	Fem|Dat|Sg	28	pn	_	-
31	begründeten	begründet	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	32	attr	_	-
32	Begehren	Begehren	N	NN	Fem|Gen|Sg	30	gmod	_	-
33	Rechnung	Rechnung	N	NN	Fem|Gen|Sg	32	app	_	-
34	zu	zu	PTKZU	PTKZU	_	35	part	_	-
35	tragen	tragen	V	VVINF	_	0	root	_	-
36	"	"	$(	$(	_	0	root	_	-
37	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	ARD-Programmdirektor	ARD-Programmdirektor	N	NN	Masc|Nom|Sg	5	subj	_	-
3	Günter	Günter	N	NE	Masc|Nom|Sg	2	app	_	-
4	Struve	Struve	N	NE	Masc|Nom|Sg	3	app	_	-
5	beeilte	beeilen	V	VVFIN	3|Sg|Past|_	1	cj	_	-
6	sich	sie	PRO	PRF	3|_|_	5	obja	_	-
7	,	,	$,	$,	_	0	root	_	-
8	speziell	speziell	ADV	ADJD	Pos|	13	adv	_	-
9	auf	auf	PREP	APPR	Acc	13	objp	_	-
10	den	die	ART	ART	Def|Masc|Acc|Sg	11	det	_	-
11	Hörfunk	Hörfunk	N	NN	Masc|Acc|Sg	9	pn	_	-
12	zu	zu	PTKZU	PTKZU	_	13	part	_	-
13	deuten	deuten	V	VVINF	_	5	obji	_	-
14	,	,	$,	$,	_	0	root	_	-
15	wo	wo	PWAV	PWAV	_	21	adv	_	-
16	er	er	PRO	PPER	3|Sg|Masc|Nom	22	subj	_	(10)
17	selbst	selbst	ADV	ADV	_	16	adv	_	-
18	gar	gar	ADV	ADV	_	19	adv	_	-
19	nichts	nichts	PRO	PIS	_	21	obja	_	-
20	zu	zu	PTKZU	PTKZU	_	21	part	_	-
21	sagen	sagen	V	VVINF	_	22	aux	_	-
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	13	objc	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	4	pp	_	-
2	ARD-Fernsehen	ARD-Fernsehen	N	NN	Neut|Dat|Sg	1	pn	_	-
3	hingegen	hingegen	ADV	ADV	_	2	adv	_	-
4	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
5	er	er	PRO	PPER	3|Sg|Masc|Nom	4	subj	_	(10)
6	dem	die	ART	ART	Def|_|Dat|Sg	7	det	_	-
7	Werbebegehr	Werbebegehr	N	NN	_|Dat|Sg	13	objd	_	-
8	für	für	PREP	APPR	Acc	7	pp	_	-
9	das	die	ART	ART	Def|Neut|Acc|Sg	10	det	_	-
10	Arte-Programm	Arte-Programm	N	NN	Neut|Acc|Sg	8	pn	_	-
11	längst	längst	ADV	ADV	_	13	adv	_	-
12	Rechnung	Rechnung	N	NN	Fem|_|Sg	13	obja	_	-
13	tragen	tragen	V	VVINF	_	4	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	3	koord	_	-
2	man	man	PRO	PIS	_|Nom|Sg	3	subj	_	-
3	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	-
4	bedenken	bedenken	V	VVINF	_	3	aux	_	-
5	,	,	$,	$,	_	0	root	_	-
6	daß	daß	KOUS	KOUS	_	0	root	_	-
7	es	es	PRO	PPER	3|Sg|Neut|_	0	root	_	-
8	in	in	PREP	APPR	Dat	14	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	(11
10	ARD	ARD	N	NN	Fem|Dat|Sg	8	pn	_	11)
11	schon	schon	ADV	ADV	_	13	adv	_	-
12	zu	zu	PTKA	PTKA	_	13	adv	_	-
13	viele	viele	ART	PIDAT	_|_|_	14	det	_	-
14	Trailer	Trailer	N	NN	_|_|_	0	root	_	-
15	...	...	$.	$.	_	0	root	_	-

