1	Wie	Wie	PWAV	PWAV	_	4	adv	_	-
39	von	von	PREP	APPR	_	0	root	_	-
40	11	11	CARD	CARD	_	43	attr	_	-
41	-	-	$(	$(	_	0	root	_	-
42	16.30	16.30	CARD	CARD	_	40	kon	_	-
43	Uhr	Uhr	N	NN	Fem|_|Sg	39	pn	_	-
44	an	an	PTKVZ	PTKVZ	_	0	root	_	-
45	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Teilnahme	Teilnahme	N	NN	Fem|Nom|Sg	3	subj	_	-
3	kostet	kosen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	53	53	CARD	CARD	_	5	attr	_	-
5	Mark	Mark	N	NN	_|_|Pl	3	obja	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Anmeldungen	Anmeldung	N	NN	Fem|_|Pl	0	root	_	-
2	unter	unter	PREP	APPR	_	1	pp	_	-
3	Tel	Tel	N	NE	_|_|_	2	pn	_	(0)
4	.	.	$.	$.	_	0	root	_	-

1	:	\:	$.	$.	_	0	root	_	-
2	34	34	CARD	CARD	_	3	attr	_	-
3	97-21	97-21	FM	FM	_|_|Pl	0	root	_	-
4	75	75	CARD	CARD	_	3	app	_	-
5	oder	oder	KON	KON	_	3	kon	_	-
6	Fax	Fax	N	NN	Neut|_|Sg	5	cj	_	(1)
7	:	\:	$.	$.	_	0	root	_	-
8	34	34	CARD	CARD	_	9	attr	_	-
9	97-35	97-35	FM	FM	_|_|Pl	18	obja	_	-
10	22	22	CARD	CARD	_	9	app	_	-
11	Über	über	PREP	APPR	Acc	10	pp	_	-
12	die	die	ART	ART	Def|Fem|Acc|Pl	13	det	_	-
13	Ursachen	Ursache	N	NN	Fem|Acc|Pl	11	pn	_	-
14	und	und	KON	KON	_	13	kon	_	-
15	Auswirkungen	Auswirkung	N	NN	Fem|Acc|Pl	14	cj	_	-
16	von	von	PREP	APPR	_	15	pp	_	-
17	Eßstörungen	Eßstörungen	N	NN	_|_|_	16	pn	_	-
18	referiert	referieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
19	eine	eine	ART	ART	Indef|Fem|Nom|Sg	20	det	_	-
20	Mitarbeiterin	Mitarbeiterin	N	NN	Fem|Nom|Sg	18	subj	_	-
21	der	die	ART	ART	Def|_|_|_	23	det	_	-
22	"	"	$(	$(	_	0	root	_	-
23	Mädchen-	Mädchen-	TRUNC	TRUNC	Masc|Gen|Pl	20	gmod	_	-
24	und	und	KON	KON	_	23	kon	_	-
25	Frauenräume	Frauenraum	N	NN	Masc|_|Pl	24	cj	_	-
26	"	"	$(	$(	_	0	root	_	-
27	heute	heute	ADV	ADV	_	18	adv	_	-
28	um	um	PREP	APPR	_	18	pp	_	-
29	20	20	CARD	CARD	_	30	attr	_	-
30	Uhr	Uhr	N	NN	Fem|_|Sg	28	pn	_	-
31	in	in	PREP	APPR	Dat	18	pp	_	-
32	der	die	ART	ART	Def|Fem|Dat|Sg	33	det	_	-
33	Segeberger	Segeberger	N	NN	Fem|Dat|Sg	31	pn	_	-
34	Chaussee	Chaussee	N	NN	Fem|Dat|Sg	33	app	_	-
35	3	3	CARD	CARD	_	34	app	_	-
36	-	-	$(	$(	_	0	root	_	-
37	7.	7.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	Ab	ab	PREP	APPR	Dat	3	pp	_	-
2	heute	heute	ADV	ADV	_	1	adv	_	-
3	bietet	bieten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	-
5	Saga	Saga	N	NN	Fem|Nom|Sg	3	subj	_	-
6	ein	eine	ART	ART	Indef|Neut|_|Sg	9	det	_	-
7	wöchentliches	wöchentlich	ADJA	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	-
8	kostenloses	kostenlos	ADJA	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	-
9	Beachball-Training	Beachball-Training	N	NN	Neut|_|Sg	3	obja	_	-
10	für	für	PREP	APPR	Acc	3	pp	_	-
11	Jugendliche	Jugendliche	N	NN	_|Acc|_	10	pn	_	-
12	zwischen	zwischen	PREP	APPR	Dat	11	pp	_	-
13	12	12	CARD	CARD	_	16	attr	_	-
14	und	und	KON	KON	_	13	kon	_	-
15	17	17	CARD	CARD	_	14	cj	_	-
16	Jahren	Jahr	N	NN	Neut|Dat|Pl	12	pn	_	-
17	an	an	PTKVZ	PTKVZ	_	3	avz	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Immer	immer	ADV	ADV	_	2	adv	_	-
2	donnerstags	donnerstags	ADV	ADV	_	3	adv	_	-
3	15.30	15.30	CARD	CARD	_	6	attr	_	-
4	-	-	$(	$(	_	0	root	_	-
5	17.30	17.30	CARD	CARD	_	3	kon	_	-
6	Uhr	Uhr	N	NN	Fem|_|Sg	0	root	_	-
7	auf	auf	PREP	APPR	Dat	6	pp	_	-
8	dem	die	ART	ART	Def|Masc|Dat|Sg	9	det	_	-
9	Feld	Feld	N	NN	Masc|Dat|Sg	7	pn	_	-
10	Achtern	Achter	N	NN	Masc|Dat|Sg	9	app	_	-
11	Born	Born	N	NN	Masc|Dat|Sg	10	app	_	-
12	25	25	CARD	CARD	_	11	app	_	-
13	/	/	$(	$(	_	0	root	_	-
14	27	27	CARD	CARD	_	12	kon	_	-
15	in	in	PREP	APPR	_	14	pp	_	-
16	Osdorf	Osdorf	N	NE	Neut|_|Sg	15	pn	_	-
17	und	und	KON	KON	_	15	kon	_	-
18	freitags	freitags	ADV	ADV	_	19	adv	_	-
19	zur	zu	PREP	APPRART	Dat	17	cj	_	-
20	gleichen	gleich	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	21	attr	_	-
21	Zeit	Zeit	N	NN	Fem|Dat|Sg	19	pn	_	-
22	auf	auf	PREP	APPR	Dat	21	pp	_	-
23	dem	die	ART	ART	Def|Neut|Dat|Sg	24	det	_	-
24	Feld	Feld	N	NN	Neut|Dat|Sg	22	pn	_	-
25	Sonnenland	Sonnenland	N	NN	Neut|Dat|Sg	24	app	_	-
26	/	/	$(	$(	_	0	root	_	-
27	Ecke	Eck	N	NN	_|Dat|Sg	25	kon	_	-
28	an	an	PREP	APPR	Dat	25	pp	_	-
29	der	die	ART	ART	Def|Fem|Dat|Sg	31	det	_	-
30	Glinder	Glinder	ADJA	ADJA	Pos|Fem|Dat|Sg|_|	31	attr	_	-
31	Au	Au	N	NN	Fem|Dat|Sg	28	pn	_	-
32	.	.	$.	$.	_	0	root	_	-

1	Zum	zu	PREP	APPRART	Dat	8	objp	_	-
2	Thema	Thema	N	NN	Fem|_|Sg	1	pn	_	-
3	"	"	$(	$(	_	0	root	_	-
4	Ökonomisierung	ökonomisierenung	N	NN	Fem|Dat|Sg	2	app	_	-
5	der	die	ART	ART	Def|Fem|Gen|Sg	6	det	_	-
6	Sozialarbeit	Sozialarbeit	N	NN	Fem|Gen|Sg	4	gmod	_	-
7	"	"	$(	$(	_	0	root	_	-
8	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	es	es	PRO	PPER	3|Sg|Neut|Nom	8	subj	_	-
10	heute	heute	ADV	ADV	_	8	adv	_	-
11	einen	eine	ART	ART	Indef|Masc|Acc|Sg	12	det	_	-
12	Vortrag	Vortrag	N	NN	Masc|Acc|Sg	8	obja	_	-
13	an	an	PREP	APPR	Dat	8	pp	_	-
14	der	die	ART	ART	Def|Fem|Dat|Sg	16	det	_	-
15	Evangelischen	evangelisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	16	attr	_	-
16	Fachhochschule	Fachhochschule	N	NN	Fem|Dat|Sg	13	pn	_	-
17	für	für	PREP	APPR	Acc	16	pp	_	-
18	Sozialpädagogik	Sozialpädagogik	N	NN	Fem|Acc|Sg	17	pn	_	-
19	um	um	PREP	APPR	Acc	8	pp	_	-
20	18	18	CARD	CARD	_	21	attr	_	-
21	Uhr	Uhr	N	NN	Fem|Acc|Sg	19	pn	_	-
22	,	,	$,	$,	_	0	root	_	-
23	Horner	Horner	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	24	attr	_	-
24	Weg	Weg	N	NN	Masc|Acc|Sg	21	app	_	-
25	170	170	CARD	CARD	_	24	app	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	(2
2	Welt-Markt	Welt-Markt	N	NN	Masc|Nom|Sg	8	subj	_	-
3	in	in	PREP	APPR	Dat	2	pp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
5	Bundesstraße	Bundesstraße	N	NN	Fem|Dat|Sg	3	pn	_	-
6	28	28	CARD	CARD	_	7	attr	_	-
7	a	a	N	NN	_|Gen|Pl	5	gmod	_	2)
8	feiert	feiern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	am	an	PREP	APPRART	Dat	8	pp	_	-
10	Samstag	Samstag	N	NN	Masc|Dat|Sg	9	pn	_	-
11	(	(	$(	$(	_	0	root	_	-
12	8.	8.	ADJA	ADJA	_|Masc|Dat|Sg|_|	13	attr	_	-
13	Mai	Mai	N	NN	Masc|Dat|Sg	10	app	_	-
14	)	)	$(	$(	_	0	root	_	-
15	sein	seine	ART	PPOSAT	Neut|_|Sg	17	det	_	(2)
16	20jähriges	20jährig	ADJA	ADJA	Pos|Neut|_|Sg|St|	17	attr	_	-
17	Jubiläum	Jubiläum	N	NN	Neut|_|Sg	8	obja	_	-
18	mit	mit	PREP	APPR	Dat	0	root	_	-
19	einem	eine	ART	ART	Indef|_|Dat|Sg	0	root	_	-
20	Kakao-	Kakao-	TRUNC	TRUNC	_	0	root	_	-
21	statt	statt	PREP	APPR	Dat	0	root	_	-
22	Sektempfang	Sektempfang	N	NN	Masc|Dat|Sg	21	pn	_	-
23	.	.	$.	$.	_	0	root	_	-

