1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
4	kürzere	kurz	ADJA	ADJA	Comp|Fem|Nom|Pl|St|	5	attr	_	-
5	Arbeitszeiten	Arbeitszeit	N	NN	Fem|Nom|Pl	3	subj	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Dann	dann	ADV	ADV	_	2	adv	_	-
2	plädiert	plädieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	Rifkin	Rifkin	N	NN	_|Nom|Sg	2	subj	_	(0
4	für	für	PREP	APPR	Acc	3	pp	_	-
5	die	die	ART	ART	Def|_|Acc|_	8	det	_	-
6	"	"	$(	$(	_	0	root	_	-
7	negative	negativ	ADJA	ADJA	Pos|_|Acc|_|_|	8	attr	_	-
8	Einkommenssteuer	Einkommenssteuer	N	NN	_|Acc|_	4	pn	_	0)
9	"	"	$(	$(	_	0	root	_	-
10	im	in	PREP	APPRART	Dat	2	pp	_	-
11	Sinne	Sinn	N	NN	Masc|Dat|Sg	10	pn	_	-
12	Milton	Milton	N	NE	Masc|Dat|Sg	11	app	_	-
13	Friedmans	Friedmans	N	NE	Masc|Dat|Sg	12	app	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Dadurch	Dadurch	PROAV	PROAV	_	2	pp	_	-
2	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
3	Niedriglöhne	Niedriglohn	N	NN	Masc|Nom|Pl	2	subj	_	-
4	subventioniert	subventionieren	V	VVPP	_	2	aux	_	-
5	.	.	$.	$.	_	0	root	_	-

1	Vor	vor	PREP	APPR	Dat	4	pp	_	-
2	allem	alle	PRO	PIS	_|Dat|Sg	1	pn	_	-
3	aber	aber	ADV	ADV	_	1	adv	_	-
4	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
5	Rifkin	Rifkin	N	NN	_|Nom|Sg	4	subj	_	(0)
6	den	die	ART	ART	Def|Masc|Acc|Sg	9	det	_	(2
7	"	"	$(	$(	_	0	root	_	-
8	Dritten	dritt	ADJA	ADJA	_|Masc|Acc|Sg|_|	9	attr	_	-
9	Sektor	Sektor	N	NN	Masc|Acc|Sg	21	obja	_	-
10	"	"	$(	$(	_	0	root	_	-
11	,	,	$,	$,	_	0	root	_	-
12	also	also	ADV	ADV	_	15	adv	_	-
13	die	die	ART	ART	Def|Fem|Acc|Sg	15	det	_	-
14	gemeinnützige	gemeinnützig	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	15	attr	_	-
15	Arbeit	Arbeit	N	NN	Fem|Acc|Sg	9	app	_	-
16	im	in	PREP	APPRART	Dat	15	pp	_	-
17	allgemeinen	allgemein	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	18	attr	_	-
18	Sinne	Sinn	N	NN	Masc|Dat|Sg	16	pn	_	2)
19	,	,	$,	$,	_	0	root	_	-
20	global	global	ADV	ADJD	Pos|	21	adv	_	-
21	ausbauen	ausbauen	V	VVINF	_	4	aux	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Mitarbeit	Mitarbeit	N	NN	Fem|Nom|Sg	6	subj	_	-
3	in	in	PREP	APPR	Dat	2	pp	_	-
4	diesem	diese	ART	PDAT	Masc|Dat|Sg	5	det	_	(2
5	Sektor	Sektor	N	NN	Masc|Dat|Sg	3	pn	_	2)
6	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	-
7	honoriert	honorieren	V	VVPP	_	8	aux	_	-
8	werden	werden	V	VAINF	_	6	aux	_	-
9	,	,	$,	$,	_	0	root	_	-
10	so	so	ADV	ADV	_	11	konj	_	-
11	daß	daß	KOUS	KOUS	_	23	konj	_	-
12	tätige	tätig	ADJA	ADJA	Pos|_|Nom|Pl|St|	14	attr	_	-
13	"	"	$(	$(	_	0	root	_	-
14	Arbeitslose	Arbeitslose	N	NN	_|Nom|Pl	23	subj	_	-
15	"	"	$(	$(	_	0	root	_	-
16	in	in	PREP	APPR	Dat	23	pp	_	-
17	diesem	diese	ART	PDAT	Masc|Dat|Sg	18	det	_	-
18	Bereich	Bereich	N	NN	Masc|Dat|Sg	16	pn	_	-
19	ein	eine	ART	ART	Indef|Neut|_|Sg	21	det	_	-
20	"	"	$(	$(	_	0	root	_	-
21	Sozialeinkommen	Sozialeinkommen	N	NN	Neut|_|Sg	23	obja	_	-
22	"	"	$(	$(	_	0	root	_	-
23	erhalten	erhalten	V	VVFIN	3|Pl|Pres|_	6	neb	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
2	Dritte	dritt	ADJA	ADJA	_|Masc|Nom|Sg|Wk|	3	attr	_	-
3	Sektor	Sektor	N	NN	Masc|Nom|Sg	4	subj	_	-
4	solle	sollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	-
5	eine	eine	ART	ART	Indef|Fem|_|Sg	7	det	_	-
6	ähnliche	ähnlich	ADJA	ADJA	Pos|Fem|_|Sg|_|	7	attr	_	-
7	Abstufung	Abstufung	N	NN	Fem|_|Sg	12	obja	_	-
8	nach	nach	PREP	APPR	Dat	12	pp	_	-
9	Qualifikation	Qualifikation	N	NN	Fem|Dat|Sg	8	pn	_	-
10	und	und	KON	KON	_	9	kon	_	-
11	Einkommen	Einkommen	N	NN	Neut|Dat|_	10	cj	_	-
12	einführen	einführen	V	VVINF	_	4	aux	_	-
13	wie	wie	KOKOM	KOKOM	_	12	kom	_	-
14	die	die	ART	ART	Def|Fem|_|Sg	15	det	_	-
15	Wirtschaft	Wirtschaft	N	NN	Fem|_|Sg	13	cj	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Durch	durch	PREP	APPR	Acc	0	root	_	-
2	die	die	ART	ART	Def|_|_|_	0	root	_	-
3	(	(	$(	$(	_	0	root	_	-
4	immer	immer	ADV	ADV	_	5	adv	_	-
5	nur	nur	ADV	ADV	_	6	adv	_	-
6	freiwillige	freiwillig	ADJA	ADJA	Pos|_|_|_|_|	0	root	_	-
7	!	!	$.	$.	_	0	root	_	-

1	)	)	$(	$(	_	0	root	_	-
2	Tätigkeit	Tätigkeit	N	NN	Fem|_|Sg	0	root	_	-
3	im	in	PREP	APPRART	Dat	6	pp	_	-
4	gemeinnützigen	gemeinnützig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	5	attr	_	-
5	Sektor	Sektor	N	NN	Masc|Dat|Sg	3	pn	_	-
6	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
7	"	"	$(	$(	_	0	root	_	-
8	das	die	ART	ART	Def|Neut|Nom|Sg	9	det	_	(3
9	Ende	Ende	N	NN	Neut|Nom|Sg	6	subj	_	-
10	der	die	ART	ART	Def|Fem|Gen|Sg	11	det	_	(1
11	Arbeit	Arbeit	N	NN	Fem|Gen|Sg	9	gmod	_	1)|3)
12	"	"	$(	$(	_	0	root	_	-
13	dann	dann	ADV	ADV	_	18	adv	_	-
14	doch	doch	ADV	ADV	_	18	adv	_	-
15	in	in	PREP	APPR	Acc	18	objp	_	-
16	eine	eine	ART	ART	Indef|Fem|Acc|Sg	17	det	_	-
17	Zukunft	Zukunft	N	NN	Fem|Acc|Sg	15	pn	_	-
18	münden	münden	V	VVINF	_	6	aux	_	-
19	:	\:	$.	$.	_	0	root	_	-
20	"	"	$(	$(	_	0	root	_	-
21	Zu	zu	PREP	APPR	Dat	0	root	_	-
22	einer	eine	ART	ART	Indef|Fem|Dat|Sg	23	det	_	-
23	Wiedergeburt	Wiedergeburt	N	NN	Fem|Dat|Sg	21	pn	_	-
24	unserer	unsre	ART	PPOSAT	Fem|Gen|Sg	25	det	_	-
25	Menschlichkeit	Menschlichkeit	N	NN	Fem|Gen|Sg	23	gmod	_	-
26	"	"	$(	$(	_	0	root	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Davon	Davon	PROAV	PROAV	_	2	pp	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	im	in	PREP	APPRART	Dat	8	pp	_	-
4	Moment	Moment	N	NN	_|Dat|Sg	3	pn	_	-
5	allerdings	allerdings	ADV	ADV	_	8	adv	_	-
6	nichts	nichts	PRO	PIS	_|Nom|Sg	2	subj	_	-
7	zu	zu	PTKZU	PTKZU	_	8	part	_	-
8	merken	merken	V	VVINF	_	2	aux	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	-
3	Zeit	Zeit	N	NN	Fem|Nom|Sg	1	subj	_	-
4	also	also	ADV	ADV	_	3	adv	_	-
5	Rifkins	Rifkins	N	NE	Fem|Nom|Sg	3	app	_	-
6	Utopie	Utopie	N	NN	Fem|_|Sg	7	obja	_	-
7	überholt	überholen	V	VVPP	_	1	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	oder	oder	KON	KON	_	1	kon	_	-
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	cj	_	-
11	die	die	ART	ART	Def|Fem|Nom|Sg	12	det	_	-
12	Zeit	Zeit	N	NN	Fem|Nom|Sg	10	subj	_	-
13	noch	noch	ADV	ADV	_	14	adv	_	-
14	nicht	nicht	PTKNEG	PTKNEG	_	10	adv	_	-
15	reif	reif	ADV	ADJD	Pos|	10	pred	_	-
16	dafür	dafür	PROAV	PROAV	_	10	pp	_	-
17	?	?	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	-
4	Frage	Frage	N	NN	Fem|Nom|Sg	2	pred	_	-
5	.	.	$.	$.	_	0	root	_	-

1	Jeremy	Jeremy	N	NE	_	0	root	_	(0
2	Rifkin	Rifkin	N	NE	_	1	app	_	0)
3	:	\:	$.	$.	_	0	root	_	-
4	"	"	$(	$(	_	0	root	_	-
5	Das	die	ART	ART	Def|Neut|_|Sg	6	det	_	(3
6	Ende	Ende	N	NN	Neut|_|Sg	0	root	_	-
7	der	die	ART	ART	Def|Fem|Gen|Sg	8	det	_	(1
8	Arbeit	Arbeit	N	NN	Fem|Gen|Sg	6	gmod	_	1)|3)
9	und	und	KON	KON	_	6	kon	_	-
10	ihre	ihre	ART	PPOSAT	Fem|_|Sg	11	det	_	(1)
11	Zukunft	Zukunft	N	NN	Fem|_|Sg	9	cj	_	-
12	"	"	$(	$(	_	0	root	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Nachw	Nachw	N	NE	_	0	root	_	-
2	.	.	$.	$.	_	0	root	_	-

1	v.	v.	N	NE	_	0	root	_	-
2	Martin	Martin	N	NE	_	1	app	_	-
3	Kempe	Kempe	N	NE	_	2	app	_	-
4	.	.	$.	$.	_	0	root	_	-

