1	Bravo	Bravo	FM	FM	_|Nom|Sg	2	subj	_	-
24	Das	die	ART	ART	Def|Neut|_|Sg	31	det	_	-
25	von	von	PREP	APPR	Dat	30	pp	_	-
26	ihm	er	PRO	PPER	3|Sg|_|Dat	25	pn	_	(3)
27	in	in	PREP	APPR	_	30	pp	_	-
28	Burdas	Burdas	N	NE	_|Gen|_	29	gmod	_	-
29	Tiefgarage	Tiefgarage	N	NN	Fem|_|Sg	27	pn	_	-
30	geortete	geortet	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	31	attr	_	-
31	Parkplatzschild	Parkplatzschild	N	NN	Masc|Nom|Sg	36	subj	_	-
32	"	"	$(	$(	_	0	root	_	-
33	Medienmann	Medienmann	N	NN	Masc|Nom|_	31	app	_	-
34	97	97	CARD	CARD	_	33	app	_	-
35	"	"	$(	$(	_	0	root	_	-
36	schmückte	schmücken	V	VVFIN	3|Sg|Past|_	0	root	_	-
37	nicht	nicht	PTKNEG	PTKNEG	_	36	adv	_	-
38	meinen	meinen	V	VVFIN	_|Pl|Pres|_	36	s	_	-
39	,	,	$,	$,	_	0	root	_	-
40	sondern	sondern	KON	KON	_	0	root	_	-
41	den	die	ART	ART	Def|Masc|Acc|Sg	42	det	_	-
42	Parkplatz	Parkplatz	N	NN	Masc|Acc|Sg	40	cj	_	-
43	des	die	ART	ART	Def|Masc|Gen|Sg	44	det	_	-
44	Ex-Verlagsleiters	Ex-Verlagsleiter	N	NN	Masc|Gen|Sg	42	gmod	_	-
45	Claus-Dieter	Claus-Dieter	N	NE	Masc|Gen|Sg	44	app	_	-
46	Grabner	Grabner	N	NE	Masc|Gen|Sg	45	app	_	-
47	bei	bei	PREP	APPR	Dat	44	pp	_	-
48	Bauer	Bauer	N	NE	_|Dat|Sg	47	pn	_	-
49	.	.	$.	$.	_	0	root	_	-

1	Anlaß	Anlaß	N	NN	Masc|Nom|Sg	2	subj	_	-
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	der	die	ART	ART	Def|Masc|Nom|Sg	4	det	_	-
4	Erhalt	Erhalt	N	NN	Masc|Nom|Sg	2	pred	_	-
5	des	die	ART	ART	Def|Masc|Gen|Sg	6	det	_	-
6	Echo-Preises	Echo-Preis	N	NN	Masc|Gen|Sg	4	gmod	_	-
7	-	-	$(	$(	_	0	root	_	-
8	ein	eine	ART	ART	Indef|Neut|_|Sg	10	det	_	-
9	humoriges	humorig	ADJA	ADJA	Pos|Neut|_|Sg|St|	10	attr	_	-
10	Präsent	Präsent	N	NN	Neut|_|Sg	0	root	_	-
11	der	die	ART	ART	Def|Masc|Gen|Pl	12	det	_	-
12	Kollegen	Kollege	N	NN	Masc|Gen|Pl	10	gmod	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(4)
2	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	-
3	mit	mit	PREP	APPR	Dat	10	objp	_	-
4	Schild	Schild	N	NN	_|Dat|Sg	3	pn	_	-
5	und	und	KON	KON	_	4	kon	_	-
6	Auszeichnung	Auszeichnung	N	NN	Fem|Dat|Sg	5	cj	_	-
7	nur	nur	ADV	ADV	_	10	adv	_	-
8	insofern	insofern	ADV	ADV	_	10	adv	_	-
9	zu	zu	PTKZU	PTKZU	_	10	part	_	-
10	tun	tun	V	VVINF	_	2	aux	_	-
11	,	,	$,	$,	_	0	root	_	-
12	als	als	KOKOM	KOKOM	_	0	root	_	-
13	daß	daß	KOUS	KOUS	_	19	konj	_	-
14	sich	sie	PRO	PRF	3|_|_	19	obja	_	-
15	mein	meine	ART	PPOSAT	Masc|Nom|Sg	16	det	_	(4)
16	Parkplatz	Parkplatz	N	NN	Masc|Nom|Sg	19	subj	_	-
17	gleich	gleich	ADV	ADJD	Pos|	19	adv	_	-
18	gegenüber	gegenüber	PTKVZ	PTKVZ	_	19	avz	_	-
19	befindet	befinden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
20	.	.	$.	$.	_	0	root	_	-

