1	Als	Als	KOKOM	KOKOM	_	29	kom	_	-
23	Verfügung	Verfügung	N	NN	Fem|Dat|Sg	22	pn	_	(6)
24	stellen	stellen	V	VVINF	_	3	aux	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Masc|Nom|Sg	3	det	_	(7
2	privater	privat	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	-
3	Investor	Investor	N	NN	Masc|Nom|Sg	16	subj	_	-
4	,	,	$,	$,	_	0	root	_	-
5	der	die	PRO	PRELS	Masc|Nom|Sg	14	subj	_	(7)
6	den	die	ART	ART	Def|Masc|Acc|Sg	7	det	_	-
7	Restbetrag	Restbetrag	N	NN	Masc|Acc|Sg	13	obja	_	-
8	von	von	PREP	APPR	_	7	pp	_	-
9	annähernd	annähern	ADV	ADJD	_|<PPRES	10	adv	_	-
10	400	400	CARD	CARD	_	11	attr	_	-
11	Millionen	Million	N	NN	_|_|Sg	8	pn	_	-
12	Mark	Mark	N	NN	_|_|Sg	11	app	_	-
13	übernehmen	übernehmen	V	VVINF	_	14	aux	_	-
14	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	3	rel	_	7)
15	,	,	$,	$,	_	0	root	_	-
16	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
17	noch	noch	ADV	ADV	_	18	adv	_	-
18	gesucht	suchen	V	VVPP	_	16	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Zahl	Zahl	N	NN	Fem|Nom|Sg	5	subj	_	-
3	der	die	ART	ART	Def|Masc|Gen|Pl	4	det	_	-
4	Zweifler	Zweifler	N	NN	Masc|Gen|Pl	2	gmod	_	-
5	wächst	wachsen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	,	,	$,	$,	_	0	root	_	-
7	daß	daß	KOUS	KOUS	_	13	konj	_	-
8	sich	sie	PRO	PRF	3|_|_	12	obja	_	-
9	überhaupt	überhaupt	ADV	ADV	_	12	adv	_	-
10	ein	eine	ART	ART	Indef|Masc|Nom|Sg	11	det	_	(8
11	Investor	Investor	N	NN	Masc|Nom|Sg	13	subj	_	-
12	finden	finden	V	VVINF	_	13	aux	_	-
13	wird	werden	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	-
14	,	,	$,	$,	_	0	root	_	-
15	der	die	PRO	PRELS	Masc|Nom|Sg	20	subj	_	(8)
16	eine	eine	ART	ART	Indef|Fem|_|Sg	18	det	_	-
17	solche	solche	ART	PIDAT	Fem|_|Sg	18	attr	_	-
18	Summe	Summe	N	NN	Fem|_|Sg	19	obja	_	-
19	aufbringen	aufbringen	V	VVINF	_	20	aux	_	-
20	kann	können	V	VMFIN	3|Sg|Pres|Ind	11	rel	_	8)
21	.	.	$.	$.	_	0	root	_	-

1	Nach	nach	PREP	APPR	Dat	5	pp	_	-
2	Ansicht	Ansicht	N	NN	Fem|Dat|Sg	1	pn	_	-
3	von	von	PREP	APPR	_	2	pp	_	-
4	Strieder	Strieder	N	NE	_|_|_	3	pn	_	(0)
5	werde	werden	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
6	es	es	PRO	PPER	3|Sg|Neut|Nom	5	subj	_	-
7	"	"	$(	$(	_	0	root	_	-
8	noch	noch	ADV	ADV	_	23	adv	_	-
9	in	in	PREP	APPR	Dat	23	pp	_	-
10	diesem	diese	ART	PDAT	Neut|Dat|Sg	11	det	_	-
11	Jahr	Jahr	N	NN	Neut|Dat|Sg	9	pn	_	-
12	,	,	$,	$,	_	0	root	_	-
13	nicht	nicht	PTKNEG	PTKNEG	_	14	adv	_	-
14	jedoch	jedoch	ADV	ADV	_	9	kon	_	-
15	vor	vor	PREP	APPR	Dat	23	pp	_	-
16	der	die	ART	ART	Def|Fem|Dat|Sg	18	det	_	-
17	politischen	politisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	18	attr	_	-
18	Sommerpause	Sommerpause	N	NN	Fem|Dat|Sg	15	pn	_	-
19	"	"	$(	$(	_	0	root	_	-
20	eine	eine	ART	ART	Indef|Fem|_|Sg	22	det	_	-
21	endgültige	endgültig	ADJA	ADJA	Pos|Fem|_|Sg|_|	22	attr	_	-
22	Entscheidung	Entscheidung	N	NN	Fem|_|Sg	23	obja	_	-
23	geben	geben	V	VVINF	_	5	aux	_	-
24	.	.	$.	$.	_	0	root	_	-

