1	Wem	wer	PRO	PWS	_|Dat|Sg	5	objd	_	-
20	miteinander	miteinander	ADV	ADV	_	21	adv	_	-
21	vertauschen	vertauschen	V	VVINF	_	15	aux	_	-
22	,	,	$,	$,	_	0	root	_	-
23	sog.	sog.	FM	FM	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	angereicherte	angereicherte	ADJA	ADJA	_|Masc|_|Pl|_	3	attr	_	(1
3	Arbeitsplätze	Arbeitsplatz	N	NN	Masc|_|Pl	5	obja	_	1)
4	"	"	$(	$(	_	0	root	_	-
5	machen	machen	V	VVINF	_	0	root	_	-
6	-	-	$(	$(	_	0	root	_	-
7	ebenfalls	ebenfalls	ADV	ADV	_	8	adv	_	-
8	laut	laut	PREP	APPR	Dat	5	pp	_	-
9	Dr.	Dr.	N	NN	Masc|Dat|Sg	8	pn	_	-
10	Schreck	Schreck	N	NN	Masc|Dat|Sg	9	app	_	-
11	-	-	$(	$(	_	0	root	_	-
12	eine	eine	ART	ART	Indef|Fem|_|Sg	14	det	_	-
13	höhere	hoch	ADJA	ADJA	Comp|Fem|_|Sg|_|	14	attr	_	-
14	Arbeitsleistung	Arbeitsleistung	N	NN	Fem|_|Sg	0	root	_	-
15	ausschließlich	ausschließlich	ADV	ADV	_	27	adv	_	-
16	durch	durch	PREP	APPR	Acc	27	pp	_	-
17	ihre	ihre	ART	PPOSAT	Fem|Acc|Sg	19	det	_	(1)
18	psychologische	psychologisch	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	19	attr	_	-
19	Wirkung	Wirkung	N	NN	Fem|Acc|Sg	16	pn	_	-
20	auf	auf	PREP	APPR	Acc	19	pp	_	-
21	die	die	ART	ART	Def|Fem|Acc|Sg	22	det	_	-
22	Arbeiter	Arbeiter	N	NN	Fem|Acc|Sg	20	pn	_	-
23	-	-	$(	$(	_	0	root	_	-
24	Stichwort	Stichwort	N	NN	Fem|Acc|Sg	22	app	_	-
25	Arbeitszufriedenheit	Arbeitszufriedenheit	N	NN	Fem|Acc|Sg	24	app	_	-
26	-	-	$(	$(	_	0	root	_	-
27	möglich	möglich	ADV	ADJD	Pos|	0	root	_	-
28	,	,	$,	$,	_	0	root	_	-
29	und	und	KON	KON	_	27	kon	_	-
30	nicht	nicht	PTKNEG	PTKNEG	_	32	adv	_	-
31	etwa	etwa	ADV	ADV	_	32	adv	_	-
32	durch	durch	PREP	APPR	Acc	29	cj	_	-
33	die	die	ART	ART	Def|Fem|Acc|Sg	35	det	_	-
34	effizientere	effizient	ADJA	ADJA	Comp|Fem|Acc|Sg|_|	35	attr	_	-
35	Technologie	Technologie	N	NN	Fem|Acc|Sg	32	pn	_	-
36	.	.	$.	$.	_	0	root	_	-

1	Solche	solche	ART	PIDAT	Fem|Nom|Pl	2	det	_	(2
2	Aussagen	Aussage	N	NN	Fem|Nom|Pl	3	subj	_	2)
3	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	-
4	eigentlich	eigentlich	ADV	ADV	_	10	adv	_	-
5	nur	nur	ADV	ADV	_	10	adv	_	-
6	von	von	PREP	APPR	_	10	objp	_	-
7	Apparatschiks	Apparatschiks	N	NN	_|_|_	6	pn	_	-
8	des	die	ART	ART	Def|Masc|Gen|Sg	9	det	_	-
9	Konzerns	Konzern	N	NN	Masc|Gen|Sg	7	gmod	_	-
10	gemacht	machen	V	VVPP	_	11	aux	_	-
11	werden	werden	V	VAINF	_	3	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Ihnen	sie	PRO	PPER	3|Pl|_|Dat	2	objd	_	(2)
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|_	29	expl	_	-
4	zeitlebens	zeitlebens	ADV	ADV	_	29	adv	_	-
5	ein	eine	ART	ART	Indef|Neut|_|Sg	7	det	_	-
6	heiliges	heilig	ADJA	ADJA	Pos|Neut|_|Sg|St|	7	attr	_	-
7	Bedürfnis	Bedürfnis	N	NN	Neut|_|Sg	29	obja	_	-
8	,	,	$,	$,	_	0	root	_	-
9	die	die	ART	ART	Def|Fem|_|Sg	10	det	_	-
10	Tatsache	Tatsache	N	NN	Fem|_|Sg	7	app	_	-
11	,	,	$,	$,	_	0	root	_	-
12	daß	daß	KOUS	KOUS	_	23	konj	_	-
13	Produktionsarbeitsplätze	Produktionsarbeitsplatz	N	NN	Masc|Nom|Pl	23	subj	_	-
14	in	in	PREP	APPR	Dat	22	pp	_	-
15	der	die	ART	ART	Def|Fem|Dat|Sg	16	det	_	-
16	Automobilindustrie	Automobilindustrie	N	NN	Fem|Dat|Sg	14	pn	_	-
17	immer	immer	ADV	ADV	_	14	adv	_	-
18	zu	zu	PREP	APPR	Dat	22	objp	_	-
19	den	die	ART	ART	Def|Masc|Dat|Pl	21	det	_	-
20	miesesten	mies	ADJA	ADJA	Sup|Masc|Dat|Pl|_|	21	attr	_	-
21	Jobs	Job	N	NN	Masc|Dat|Pl	18	pn	_	-
22	gehören	gehören	V	VVINF	_	23	aux	_	-
23	werden	werden	V	VAFIN	3|Pl|Pres|_	10	objc	_	-
24	,	,	$,	$,	_	0	root	_	-
25	die	die	ART	ART	Def|Fem|Nom|Pl	27	det	_	-
26	moderne	modern	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	27	attr	_	-
27	Industriegesellschaften	Industriegesellschaft	N	NN	Fem|Nom|Pl	30	subj	_	-
28	zu	zu	PTKZU	PTKZU	_	29	part	_	-
29	vergeben	vergeben	V	VVINF	_	30	aux	_	-
30	haben	haben	V	VAFIN	3|Pl|Pres|_	0	root	_	-
31	,	,	$,	$,	_	0	root	_	-
32	ideologisch	ideologisch	ADV	ADJD	Pos|	34	adv	_	-
33	zu	zu	PTKZU	PTKZU	_	34	part	_	-
34	verschleiern	verschleiern	V	VVINF	_	29	obji	_	-
35	.	.	$.	$.	_	0	root	_	-

1	Vermutlich	vermutlich	ADV	ADV	_	2	adv	_	-
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	-
4	deutsche	deutsch	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	-
5	Automobilindustrie	Automobilindustrie	N	NN	Fem|Nom|Sg	2	subj	_	-
6	trotz	trotz	PREP	APPR	Gen	2	pp	_	-
7	gesunkenen	gesunken	ADJA	ADJA	Pos|Masc|Gen|Sg|_|	8	attr	_	-
8	Personalbedarfs	Personalbedarf	N	NN	Masc|Gen|Sg	6	pn	_	-
9	,	,	$,	$,	_	0	root	_	-
10	eines	eine	ART	ART	Indef|Masc|Gen|Sg	11	det	_	-
11	Tages	Tag	N	NN	Masc|Gen|Sg	0	root	_	-
12	so	so	ADV	ADV	_	13	adv	_	-
13	etwas	etwas	PRO	PIS	_	0	root	_	-
14	wie	wie	KOKOM	KOKOM	_	13	kom	_	-
15	Nachwuchsprobleme	Nachwuchsproblem	N	NN	Neut|_|Pl	14	cj	_	-
16	haben	haben	V	VAINF	_	0	root	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Welcher	welche	ART	PWAT	Masc|Nom|Sg	2	det	_	(3
2	Jugendliche	Jugendliche	N	NN	Masc|Nom|Sg	3	subj	_	3)
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	denn	denn	ADV	ADV	_	3	adv	_	-
5	heute	heute	ADV	ADV	_	3	adv	_	-
6	noch	noch	ADV	ADV	_	3	adv	_	-
7	bereit	bereit	ADV	ADJD	Pos|	3	pred	_	-
8	,	,	$,	$,	_	0	root	_	-
9	sich	sie	PRO	PRF	3|_|_	0	root	_	-
10	selber	selber	ADV	ADV	_	12	adv	_	-
11	langfristig	langfristig	ADV	ADJD	Pos|	12	adv	_	-
12	zum	zu	PREP	APPRART	Dat	0	root	_	-
13	Anhängsel	Anhängsel	N	NN	_|Dat|_	12	pn	_	-
14	eines	eine	ART	ART	Indef|_|Gen|Sg	0	root	_	-
15	ihm	er	PRO	PPER	3|Sg|_|Dat	20	objd	_	(3)
16	selber	selber	ADV	ADV	_	15	adv	_	-
17	übergeordneten	übergeordnet	ADJA	ADJA	Pos|Neut|Gen|Sg|_|	18	attr	_	-
18	Maschinensystems	Maschinensystem	N	NN	Neut|Gen|Sg	20	objg	_	-
19	zu	zu	PTKZU	PTKZU	_	20	part	_	-
20	machen	machen	V	VVINF	_	0	root	_	-
21	?	?	$.	$.	_	0	root	_	-

