1	Als	Als	KOUS	KOUS	_	15	konj	_	-
7	Täter	Täter	N	NN	Masc|Acc|Sg	5	obja	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	Direktor	Direktor	N	NN	Masc|Nom|Sg	4	subj	_	(2
3	Lienert	Lienert	N	NE	Masc|Nom|Sg	2	app	_	2)
4	steht	stehen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	-
5	vor	vor	PREP	APPR	Dat	4	objp	_	-
6	einem	eine	ART	ART	Indef|Neut|Dat|Sg	7	det	_	-
7	Rätsel	Rätsel	N	NN	Neut|Dat|Sg	5	pn	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Viele	viele	PRO	PIS	_|Nom|Pl	2	subj	_	-
2	kommen	kommen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	in	in	PREP	APPR	Acc	2	objp	_	-
4	Frage	Frage	N	NN	Fem|Acc|Sg	3	pn	_	-
5	,	,	$,	$,	_	0	root	_	-
6	allein	allein	ADV	ADV	_	9	adv	_	-
7	die	die	ART	ART	Def|Masc|Acc|Pl	9	det	_	-
8	80	80	CARD	CARD	_	9	attr	_	-
9	Kollegen	Kollege	N	NN	Masc|Acc|Pl	4	kon	_	-
10	,	,	$,	$,	_	0	root	_	-
11	dann	dann	ADV	ADV	_	13	adv	_	-
12	die	die	ART	ART	Def|Masc|Acc|Pl	13	det	_	-
13	Freunde	Freund	N	NN	Masc|Acc|Pl	9	kon	_	-
14	der	die	ART	ART	Def|Fem|Gen|Sg	15	det	_	-
15	Musikschule	Musikschule	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	und	und	KON	KON	_	13	kon	_	-
17	die	die	ART	ART	Def|Masc|Acc|Pl	18	det	_	-
18	Gäste	Gast	N	NN	Masc|Acc|Pl	16	cj	_	-
19	aus	aus	PREP	APPR	Dat	18	pp	_	-
20	der	die	ART	ART	Def|Fem|Dat|Sg	21	det	_	-
21	Volkshochschule	Volkshochschule	N	NN	Fem|Dat|Sg	19	pn	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Nur	nur	ADV	ADV	_	3	adv	_	-
2	seine	seine	ART	PPOSAT	Masc|Nom|Pl	3	det	_	(2)
3	Gymnasiasten	Gymnasiast	N	NN	Masc|Nom|Pl	4	subj	_	-
4	scheinen	scheinen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
5	fein	fein	ADV	ADJD	Pos|	4	adv	_	-
6	raus	raus	PTKVZ	PTKVZ	_	4	avz	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	-
2	bemerkten	bemerken	V	VVFIN	3|Pl|Past|_	0	root	_	-
3	als	als	KOKOM	KOKOM	_	2	kom	_	-
4	letzte	letzte	ADJA	ADJA	Pos|_|_|_|_|	3	cj	_	-
5	das	die	ART	ART	Def|Neut|_|Sg	6	det	_	-
6	Fehlen	Fehl	N	NN	Neut|_|Sg	2	obja	_	-
7	der	die	ART	ART	Def|Neut|Gen|Pl	8	det	_	-
8	Kreuze	Kreuz	N	NN	Neut|Gen|Pl	6	gmod	_	-
9	.	.	$.	$.	_	0	root	_	-

