1	Was	was	PRO	PWS	Neut|_|Sg	0	root	_	-
1	Nur	nur	ADV	ADV	_	2	adv	_	-
2	in	in	PREP	APPR	Acc	9	objp	_	-
3	den	die	ART	ART	Def|Masc|Acc|Sg	4	det	_	-
4	Osten	Osten	N	NN	Masc|Acc|Sg	2	pn	_	-
5	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
6	jetzt	jetzt	ADV	ADV	_	9	adv	_	-
7	keiner	keine	PRO	PIS	Masc|Nom|Sg	5	subj	_	-
8	mehr	mehr	ADV	ADV	_	7	adv	_	-
9	gehen	gehen	V	VVINF	_	5	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	anders	anders	ADV	ADV	_	7	adv	_	-
3	als	als	KOKOM	KOKOM	_	2	kom	_	-
4	vor	vor	PREP	APPR	Dat	3	cj	_	-
5	vier	vier	CARD	CARD	_	6	attr	_	-
6	Jahren	Jahr	N	NN	Neut|Dat|Pl	4	pn	_	-
7	wurde	werden	V	VAFIN	3|Sg|Past|Ind	1	cj	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	-
9	Räumung	Räumung	N	NN	Fem|Nom|Sg	7	subj	_	-
10	begünstigt	begünstigt	ADV	ADJD	Pos|	7	pred	_	-
11	durch	durch	PREP	APPR	Acc	7	pp	_	-
12	die	die	ART	ART	Def|Fem|Acc|Sg	14	det	_	-
13	offenkundige	offenkundig	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	14	attr	_	-
14	Schwäche	Schwäche	N	NN	Fem|Acc|Sg	11	pn	_	-
15	der	die	ART	ART	Def|Fem|Gen|Pl	17	det	_	-
16	vielen	viele	ART	PIDAT	Fem|Gen|Pl	17	attr	_	-
17	Initiativen	Initiative	N	NN	Fem|Gen|Pl	14	gmod	_	-
18	,	,	$,	$,	_	0	root	_	-
19	für	für	PREP	APPR	Acc	26	objp	_	-
20	eine	eine	ART	ART	Indef|Fem|Acc|Sg	22	det	_	-
21	massive	massiv	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	22	attr	_	-
22	Unterstützung	Unterstützung	N	NN	Fem|Acc|Sg	19	pn	_	-
23	der	die	ART	ART	Def|Fem|Gen|Sg	24	det	_	-
24	Besetzung	Besetzung	N	NN	Fem|Gen|Sg	22	gmod	_	-
25	zu	zu	PTKZU	PTKZU	_	26	part	_	-
26	sorgen	sorgen	V	VVINF	_	17	obji	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	5	pp	_	-
2	Schlagschatten	Schlagschatten	N	NN	_|Dat|_	1	pn	_	-
3	der	die	ART	ART	Def|Fem|Gen|Sg	4	det	_	-
4	Urlaubszeit	Urlaubszeit	N	NN	Fem|Gen|Sg	2	gmod	_	-
5	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(6
7	Senat	Senat	N	NN	Masc|Nom|Sg	5	subj	_	6)
8	zuschlagen	zuschlagen	V	VVINF	_	5	obji	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Befriedet	befrieden	V	VVPP	_	2	aux	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	(2
4	Oberbaumbrücke	Oberbaumbrücke	N	NN	Fem|Nom|Sg	2	subj	_	2)
5	damit	damit	PROAV	PROAV	_	1	pp	_	-
6	längst	längst	ADV	ADV	_	1	adv	_	-
7	nicht	nicht	PTKNEG	PTKNEG	_	1	adv	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	3	pp	_	-
2	Brückenbau	Brückenbau	N	NN	Masc|Dat|Sg	1	pn	_	-
3	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
4	sich	sie	PRO	PRF	3|_|_	7	obja	_	-
5	gewalttätige	gewalttätig	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	6	attr	_	(3
6	Phantasien	Phantasie	N	NN	Fem|Nom|Pl	3	subj	_	3)
7	entzünden	entzünden	V	VVINF	_	3	aux	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	die	die	ART	ART	Def|Fem|_|Sg	11	det	_	-
10	ständige	ständig	ADJA	ADJA	Pos|Fem|_|Sg|_|	11	attr	_	-
11	Präsenz	Präsenz	N	NN	Fem|_|Sg	14	obja	_	-
12	der	die	ART	ART	Def|Fem|Gen|Sg	13	det	_	-
13	Polizei	Polizei	N	NN	Fem|Gen|Sg	11	gmod	_	-
14	erzwingen	erzwingen	V	VVINF	_	8	cj	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Den	die	ART	ART	Def|Masc|Dat|Pl	2	det	_	-
2	Beamten	Beamter	N	NN	Masc|Dat|Pl	3	objd	_	-
3	tut	tun	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	man	man	PRO	PIS	_|Nom|Sg	3	subj	_	-
5	damit	damit	PROAV	PROAV	_	4	pp	_	-
6	keinen	keine	ART	PIAT	Masc|_|_	7	det	_	-
7	Gefallen	Gefallen	N	NN	Masc|_|_	3	obja	_	-
8	;	;	$.	$.	_	0	root	_	-
9	sie	sie	PRO	PPER	3|Pl|_|Nom	10	subj	_	(3)
10	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
11	wieder	wieder	ADV	ADV	_	15	adv	_	-
12	einmal	einmal	ADV	ADV	_	15	adv	_	-
13	zu	zu	PREP	APPR	Dat	15	pp	_	-
14	Prügelknaben	Prügelknabe	N	NN	Masc|Dat|_	13	pn	_	-
15	mißbraucht	mißbrauchen	V	VVPP	_	10	aux	_	-
16	,	,	$,	$,	_	0	root	_	-
17	weil	weil	KOUS	KOUS	_	24	konj	_	-
18	die	die	ART	ART	Def|Fem|Nom|Sg	19	det	_	-
19	Politik	Politik	N	NN	Fem|Nom|Sg	24	subj	_	-
20	nicht	nicht	PTKNEG	PTKNEG	_	24	adv	_	-
21	zu	zu	PREP	APPR	Dat	24	objp	_	-
22	friedensfähigen	friedensfähig	ADJA	ADJA	Pos|Fem|Dat|Pl|_|	23	attr	_	-
23	Lösungen	Lösung	N	NN	Fem|Dat|Pl	21	pn	_	-
24	findet	finden	V	VVFIN	3|Sg|Pres|Ind	10	neb	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Protest	Protest	N	NN	Masc|Nom|Sg	3	subj	_	-
3	mag	mögen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
4	den	die	ART	ART	Def|Masc|Acc|Sg	5	det	_	-
5	Bau	Bau	N	NN	Masc|Acc|Sg	9	obja	_	-
6	des	die	ART	ART	Def|Masc|Gen|Sg	7	det	_	-
7	Innenstadtrings	Innenstadtring	N	NN	Masc|Gen|Sg	5	gmod	_	-
8	nicht	nicht	PTKNEG	PTKNEG	_	9	adv	_	-
9	verhindern	verhindern	V	VVINF	_	10	aux	_	-
10	können	können	V	VMINF	_	3	aux	_	-
11	,	,	$,	$,	_	0	root	_	-
12	dennoch	dennoch	ADV	ADV	_	13	adv	_	-
13	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	kon	_	-
14	der	die	ART	ART	Def|Fem|Dat|Sg	17	det	_	-
15	am	an	PREP	APPRART	Dat	17	pp	_	-
16	Nadelöhr	Nadelöhr	N	NN	Neut|Dat|Sg	15	pn	_	-
17	Oberbaumbrücke	Oberbaumbrücke	N	NN	Fem|Dat|Sg	26	objd	_	-
18	exemplarisch	exemplarisch	ADV	ADJD	Pos|	19	adv	_	-
19	aufgebrochene	aufgebrochen	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	20	attr	_	-
20	Streit	Streit	N	NN	Masc|Nom|Sg	13	subj	_	-
21	um	um	PREP	APPR	Acc	20	pp	_	-
22	ein	eine	ART	ART	Indef|Neut|Acc|Sg	25	det	_	-
23	menschenverträgliches	menschenverträglich	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	25	attr	_	-
24	urbanes	urban	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	25	attr	_	-
25	Leben	Leben	N	NN	Neut|Acc|Sg	21	pn	_	-
26	weitergehen	weitergehen	V	VVINF	_	13	aux	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Ring	Ring	N	NN	Masc|Nom|Sg	3	subj	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	eben	eben	ADV	ADV	_	3	adv	_	-
5	nicht	nicht	PTKNEG	PTKNEG	_	3	adv	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	-
7	letzte	letzte	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	8	attr	_	-
8	Sündenfall	Sündenfall	N	NN	Masc|Nom|Sg	3	pred	_	-
9	,	,	$,	$,	_	0	root	_	-
10	das	die	ART	ART	Def|Neut|Nom|Sg	12	det	_	-
11	notwendige	notwendig	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	12	attr	_	-
12	Übel	Übel	N	NN	Neut|Nom|Sg	8	app	_	-
13	,	,	$,	$,	_	0	root	_	-
14	um	um	KOUI	KOUI	_	20	konj	_	-
15	die	die	ART	ART	Def|Neut|_|Pl	16	det	_	(4
16	Autos	Auto	N	NN	Neut|_|Pl	20	obja	_	4)
17	von	von	PREP	APPR	_	20	pp	_	-
18	der	die	ART	ART	Def|Fem|_|Sg	19	det	_	-
19	Innenstadt	Innenstadt	N	NN	Fem|_|Sg	17	pn	_	-
20	fernzuhalten	fernhalten	V	VVIZU	_	3	neb	_	-
21	,	,	$,	$,	_	0	root	_	-
22	damit	damit	KOUS	KOUS	_	28	konj	_	-
23	dort	dort	ADV	ADV	_	26	adv	_	-
24	80	80	CARD	CARD	_	25	attr	_	-
25	Prozent	Prozent	N	NN	Neut|_|Pl	26	grad	_	-
26	öffentlicher	öffentlich	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	27	attr	_	-
27	Nahverkehr	Nahverkehr	N	NN	Masc|Nom|Sg	28	subj	_	-
28	stattfindet	stattfindet	V	VVFIN	_|Sg|_|_	20	neb	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	vielmehr	vielmehr	ADV	ADV	_	2	adv	_	-
4	,	,	$,	$,	_	0	root	_	-
5	je	je	ADV	ADV	_	6	adv	_	-
6	nach	nach	PREP	APPR	Dat	2	pp	_	-
7	politischem	politisch	ADJA	ADJA	Pos|_|Dat|Sg|St|	8	attr	_	-
8	Standort	Standort	N	NN	_|Dat|Sg	6	pn	_	-
9	der	die	ART	ART	Def|Neut|Gen|Pl	10	det	_	-
10	Senatsmitglieder	Senatsmitglied	N	NN	Neut|Gen|Pl	8	gmod	_	-
11	,	,	$,	$,	_	0	root	_	-
12	die	die	ART	ART	Def|Fem|Nom|Sg	14	det	_	-
13	letzte	letzte	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	14	attr	_	-
14	Illusion	Illusion	N	NN	Fem|Nom|Sg	2	pred	_	-
15	oder	oder	KON	KON	_	14	kon	_	-
16	nicht	nicht	PTKNEG	PTKNEG	_	20	adv	_	-
17	einmal	einmal	ADV	ADV	_	16	adv	_	-
18	die	die	ART	ART	Def|Fem|Nom|Sg	20	det	_	-
19	vorletzte	vorletzte	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	20	attr	_	-
20	Lüge	Lüge	N	NN	Fem|Nom|Sg	15	cj	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Ihnen	sie	PRO	PPER	3|Pl|_|Dat	2	objd	_	(4)
2	gemein	gemein	ADV	ADJD	Pos|	3	pred	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	daß	daß	KOUS	KOUS	_	24	konj	_	-
6	die	die	ART	ART	Def|Fem|Nom|Sg	7	det	_	-
7	Realität	Realität	N	NN	Fem|Nom|Sg	24	subj	_	-
8	anderer	anderer	ADJA	ADJA	_|Fem|Nom|Pl|_	9	attr	_	-
9	Städte	Stadt	N	NN	Fem|Nom|Pl	7	app	_	-
10	,	,	$,	$,	_	0	root	_	-
11	die	die	PRO	PRELS	Fem|Nom|Pl	18	subj	_	(5)
12	an	an	PREP	APPR	Dat	18	pp	_	-
13	ihrem	ihre	ART	PPOSAT	Masc|Dat|Sg	17	det	_	(5)
14	von	von	PREP	APPR	Dat	16	pp	_	-
15	Innenstadtringen	Innenstadtring	N	NN	_|Dat|_	14	pn	_	-
16	induzierten	induziert	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	17	attr	_	-
17	Verkehr	Verkehr	N	NN	Masc|Dat|Sg	12	pn	_	-
18	ersticken	ersticken	V	VVFIN	3|Pl|Pres|_	9	rel	_	-
19	,	,	$,	$,	_	0	root	_	-
20	in	in	PREP	APPR	_	23	pp	_	-
21	Berlin	Berlin	N	NE	_|_|Sg	20	pn	_	(0)
22	beharrlich	beharrlich	ADV	ADJD	Pos|	23	adv	_	-
23	verleugnet	verleugnen	V	VVPP	_	24	aux	_	-
24	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	objc	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Aus	aus	PREP	APPR	Dat	9	pp	_	-
2	dem	die	ART	ART	Def|_|Dat|Sg	3	det	_	-
3	Ort	Ort	N	NN	_|Dat|Sg	1	pn	_	-
4	,	,	$,	$,	_	0	root	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
6	Ost	Ost	N	NN	Masc|Nom|Sg	3	kon	_	-
7	und	und	KON	KON	_	6	kon	_	-
8	West	West	N	NN	Masc|Dat|Sg	7	cj	_	-
9	endlich	endlich	ADV	ADJD	Pos|	10	adv	_	-
10	wieder	wieder	ADV	ADV	_	11	adv	_	-
11	verbindet	verbinden	V	VVFIN	_|_|Pres|_	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	eine	eine	ART	ART	Indef|Fem|_|Sg	14	det	_	-
14	Brücke	Brücke	N	NN	Fem|_|Sg	18	obja	_	-
15	der	die	ART	ART	Def|Fem|Gen|Sg	16	det	_	-
16	Vernunft	Vernunft	N	NN	Fem|Gen|Sg	14	gmod	_	-
17	zu	zu	PTKZU	PTKZU	_	18	part	_	-
18	machen	machen	V	VVINF	_	11	subjc	_	-
19	,	,	$,	$,	_	0	root	_	-
20	weigert	weigern	V	VVFIN	_|_|Pres|_	11	kon	_	-
21	sich	sie	PRO	PRF	3|_|_	20	obja	_	-
22	der	die	ART	ART	Def|Masc|Nom|Sg	23	det	_	(6
23	Senat	Senat	N	NN	Masc|Nom|Sg	0	root	_	6)
24	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Hoffnung	Hoffnung	N	NN	Fem|Nom|Sg	6	subj	_	-
3	auf	auf	PREP	APPR	Acc	2	pp	_	-
4	historische	historisch	ADJA	ADJA	Pos|Fem|Acc|Pl|St|	5	attr	_	-
5	Umwälzungen	Umwälzung	N	NN	Fem|Acc|Pl	3	pn	_	-
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	derzeit	derzeit	ADV	ADV	_	6	adv	_	-
8	wohl	wohl	ADV	ADV	_	6	adv	_	-
9	vergebens	vergebens	ADV	ADV	_	6	adv	_	-
10	:	\:	$.	$.	_	0	root	_	-
11	Am	an	PREP	APPRART	Dat	13	pp	_	-
12	Kubat-Dreieck	Kubat-Dreieck	N	NN	Neut|Dat|Sg	11	pn	_	(7)
13	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
14	die	die	ART	ART	Def|Fem|Nom|Sg	16	det	_	-
15	geplante	geplant	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	16	attr	_	-
16	Westtangente	Westtangente	N	NN	Fem|Nom|Sg	13	subj	_	-
17	vom	von	PREP	APPRART	Dat	19	pp	_	-
18	Mauerfall	Mauerfall	N	NN	Masc|Dat|Sg	17	pn	_	-
19	überholt	überholen	V	VVPP	_	13	aux	_	-
20	-	-	$(	$(	_	0	root	_	-
21	den	die	ART	ART	Def|Masc|Acc|Sg	23	det	_	-
22	jetzigen	jetzig	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	23	attr	_	-
23	Senat	Senat	N	NN	Masc|Acc|Sg	29	obja	_	-
24	müssen	müssen	V	VMFIN	3|Pl|Pres|_	13	kon	_	-
25	die	die	ART	ART	Def|_|_|_	26	det	_	-
26	Berliner	Berliner	ADJA	ADJA	_|_|_	24	subj	_	-
27	schon	schon	ADV	ADV	_	29	adv	_	-
28	selber	selber	ADV	ADV	_	29	adv	_	-
29	abwählen	abwählen	V	VVINF	_	24	aux	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Gerd	Gerd	N	NE	_|_|Sg	0	root	_	-
2	Nowakowski	Nowakowski	N	NE	_|_|Sg	1	app	_	-

