1	Bitte	Bitte	ITJ	ITJ	_	0	root	_	-
7	erst	erst	ADV	ADV	_	11	adv	_	-
8	einmal	einmal	ADV	ADV	_	11	adv	_	-
9	die	die	ART	ART	Def|Fem|_|Pl	11	det	_	-
10	räumlichen	räumlich	ADJA	ADJA	Pos|Fem|_|Pl|Wk|	11	attr	_	-
11	Gegebenheiten	Gegebenheit	N	NN	Fem|_|Pl	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
14	sechs	sechs	CARD	CARD	_	16	attr	_	-
15	zusätzliche	zusätzlich	ADJA	ADJA	Pos|Masc|Nom|Pl|St|	16	attr	_	-
16	Arbeitsbereiche	Arbeitsbereich	N	NN	Masc|Nom|Pl	13	subj	_	-
17	an	an	PREP	APPR	Dat	22	pp	_	-
18	der	die	ART	ART	Def|Fem|Dat|Sg	19	det	_	(0
19	TUHH	TUHH	N	NN	Fem|Dat|Sg	17	pn	_	0)
20	ihren	ihre	ART	PPOSAT	Masc|_|Sg	21	det	_	(0)
21	Platz	Platz	N	NN	Masc|_|Sg	22	obja	_	-
22	finden	finden	V	VVINF	_	13	aux	_	-
23	-	-	$(	$(	_	0	root	_	-
24	inklusive	inklusive	PREP	APPR	Dat	22	pp	_	-
25	ausreichend	ausreichend	ADV	ADJD	_|_	26	adv	_	-
26	Personal	Personal	N	NN	Neut|Dat|Sg	24	pn	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Jeder	jede	ART	PIDAT	Masc|Nom|Sg	3	det	_	-
2	neue	neu	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	-
3	Arbeitsbereich	Arbeitsbereich	N	NN	Masc|Nom|Sg	4	subj	_	-
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	von	von	PREP	APPR	_	12	pp	_	-
6	zwei	zwei	CARD	CARD	_	7	attr	_	-
7	Professoren	Professor	N	NN	_|_|Pl	5	pn	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	drei	drei	CARD	CARD	_	11	attr	_	-
10	wissenschaftlichen	wissenschaftlich	ADJA	ADJA	Pos|Masc|_|Pl|_|	11	attr	_	-
11	Mitarbeitern	Mitarbeiter	N	NN	Masc|_|Pl	8	cj	_	-
12	betreut	betreuen	V	VVPP	_	4	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	3	subj	_	-
2	alles	alle	PRO	PIS	Neut|Nom|Sg	1	app	_	-
3	finanziert	finanzieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	die	die	ART	ART	Def|Fem|_|Sg	5	det	_	-
5	Hansestadt	Hansestadt	N	NN	Fem|_|Sg	3	obja	_	-
6	mit	mit	PREP	APPR	Dat	3	pp	_	-
7	3,6	3,6	CARD	CARD	_	8	attr	_	-
8	Millionen	Million	N	NN	_|Dat|Sg	6	pn	_	-
9	Mark	Mark	N	NN	_|Dat|Sg	8	app	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|_|Pl	5	det	_	-
2	zusätzlich	zusätzlich	ADV	ADJD	Pos|	3	adv	_	-
3	benötigten	benötigt	ADJA	ADJA	Pos|Fem|_|Pl|Wk|	5	attr	_	-
4	6	6	CARD	CARD	_	5	attr	_	-
5	Millionen	Million	N	NN	Fem|_|Pl	14	obja	_	-
6	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
7	die	die	ART	ART	Def|Fem|Nom|Sg	8	det	_	-
8	TU	TU	N	NN	Fem|Nom|Sg	6	subj	_	-
9	durch	durch	PREP	APPR	Acc	14	pp	_	-
10	"	"	$(	$(	_	0	root	_	-
11	Umstrukturierungen	Umstrukturierung	N	NN	Fem|Acc|Pl	9	pn	_	-
12	"	"	$(	$(	_	0	root	_	-
13	selbst	selbst	ADV	ADV	_	9	adv	_	-
14	erwirtschaften	erwirtschaften	V	VVINF	_	6	aux	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Daß	daß	KOUS	KOUS	_	14	konj	_	-
2	bei	bei	PREP	APPR	Dat	13	pp	_	-
3	Stiefkindern	Stiefkind	N	NN	_|Dat|_	2	pn	_	-
4	der	die	ART	ART	Def|Fem|Gen|Sg	5	det	_	-
5	Bildungspolitik	Bildungspolitik	N	NN	Fem|Gen|Sg	3	gmod	_	-
6	angesichts	angesichts	PREP	APPR	Gen	13	pp	_	-
7	solch	solch	ART	PIDAT	Fem|Gen|Pl	9	det	_	-
8	großzügiger	großzügig	ADJA	ADJA	Pos|Fem|Gen|Pl|St|	9	attr	_	-
9	Gaben	Gabe	N	NN	Fem|Gen|Pl	6	pn	_	-
10	sowas	sowas	PRO	PIS	_|Nom|Sg	14	subj	_	-
11	wie	wie	KOKOM	KOKOM	_	13	kom	_	-
12	Neid	Neid	N	NN	Masc|_|Sg	11	cj	_	-
13	aufkommen	aufkommen	V	VVINF	_	14	aux	_	-
14	könnte	können	V	VMFIN	3|Sg|Past|Subj	20	objc	_	-
15	,	,	$,	$,	_	0	root	_	-
16	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
17	auch	auch	ADV	ADV	_	20	adv	_	-
18	der	die	ART	ART	Def|Masc|Nom|Sg	19	det	_	-
19	Wissenschaftssenator	Wissenschaftssenator	N	NN	Masc|Nom|Sg	16	subj	_	-
20	nachvollziehen	nachvollziehen	V	VVINF	_	16	aux	_	-
21	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Wir	wir	PRO	PPER	1|Pl|_|Nom	3	subj	_	(1)
3	machen	machen	V	VVFIN	1|Pl|Pres|_	0	root	_	-
4	hier	hier	ADV	ADV	_	3	adv	_	-
5	jedoch	jedoch	ADV	ADV	_	3	adv	_	-
6	keine	keine	ART	PIAT	Fem|_|Sg	7	det	_	-
7	Politik	Politik	N	NN	Fem|_|Sg	3	obja	_	-
8	auf	auf	PREP	APPR	Dat	3	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	-
10	Basis	Basis	N	NN	Fem|Dat|Sg	8	pn	_	-
11	von	von	PREP	APPR	_	10	pp	_	-
12	Neidkomplexen	Neidkomplex	N	NN	_|_|_	11	pn	_	-
13	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Es	es	PRO	PPER	3|Sg|Neut|_	13	expl	_	-
3	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	-
4	vielmehr	vielmehr	ADV	ADV	_	3	adv	_	-
5	richtig	richtig	ADV	ADJD	Pos|	3	pred	_	-
6	,	,	$,	$,	_	0	root	_	-
7	die	die	ART	ART	Def|Fem|_|Sg	8	det	_	-
8	Universität	Universität	N	NN	Fem|_|Sg	13	obja	_	-
9	an	an	PREP	APPR	_	13	pp	_	-
10	einigen	einige	ART	PIAT	_|_|_	11	det	_	-
11	Stellen	Stelle	N	NN	_|_|_	9	pn	_	-
12	zu	zu	PTKZU	PTKZU	_	13	part	_	-
13	verkleinern	verkleinern	V	VVINF	_	3	subjc	_	-
14	,	,	$,	$,	_	0	root	_	-
15	an	an	PREP	APPR	_	18	pp	_	-
16	anderen	andere	PRO	PIS	_|_|_	15	pn	_	-
17	jedoch	jedoch	ADV	ADV	_	18	adv	_	-
18	auszubauen	ausbauen	V	VVIZU	_	13	kon	_	-
19	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Was	was	PRO	PWS	Neut|_|Sg	11	obja	_	-
3	wir	wir	PRO	PPER	1|Pl|_|Nom	11	subj	_	(1)
4	heute	heute	ADV	ADV	_	11	adv	_	-
5	in	in	PREP	APPR	Acc	11	objp	_	-
6	tüchtige	tüchtig	ADJA	ADJA	Pos|Masc|Acc|Pl|St|	7	attr	_	-
7	Ingenieure	Ingenieur	N	NN	Masc|Acc|Pl	5	pn	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	innovative	innovativ	ADJA	ADJA	Pos|Neut|Acc|Pl|St|	10	attr	_	-
10	Produkte	Produkt	N	NN	Neut|Acc|Pl	8	cj	_	-
11	investieren	investieren	V	VVFIN	1|Pl|Pres|_	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	davon	davon	PROAV	PROAV	_	14	pp	_	-
14	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
15	morgen	morgen	ADV	ADV	_	18	adv	_	-
16	eine	eine	ART	ART	Indef|Fem|Nom|Sg	17	det	_	-
17	Stadt	Stadt	N	NN	Fem|Nom|Sg	14	subj	_	-
18	leben	leben	V	VVINF	_	14	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Das	die	PRO	PDS	Neut|_|Sg	8	obja	_	-
3	müßten	müssen	V	VMFIN	3|Pl|Past|Subj	0	root	_	-
4	schließlich	schließlich	ADV	ADV	_	8	adv	_	-
5	auch	auch	ADV	ADV	_	8	adv	_	-
6	neidische	neidisch	ADJA	ADJA	Pos|Masc|Nom|Pl|St|	7	attr	_	(2
7	Geisteswissenschaftler	Geisteswissenschaftler	N	NN	Masc|Nom|Pl	3	subj	_	2)
8	anerkennen	anerkennen	V	VVINF	_	3	aux	_	-
9	-	-	$(	$(	_	0	root	_	-
10	zu	zu	PREP	APPR	Dat	17	objp	_	-
11	denen	die	PRO	PRELS	_|Dat|Pl	10	pn	_	(2)
12	Hajen	Hajen	N	NE	_|Nom|Sg	17	subj	_	(3)
13	auch	auch	ADV	ADV	_	17	adv	_	-
14	Juristen	Jurist	N	NN	Masc|_|_	17	obja	_	-
15	und	und	KON	KON	_	14	kon	_	-
16	Ökonomen	Ökonom	N	NN	Masc|_|_	15	cj	_	-
17	zählt	zählen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Deren	die	ART	PDAT	_|Gen|_	0	root	_	-
2	"	"	$(	$(	_	0	root	_	-
3	Dienstleitung	Dienstleitung	N	NN	Fem|Nom|Sg	5	subj	_	-
4	"	"	$(	$(	_	0	root	_	-
5	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
6	nur	nur	ADV	ADV	_	9	adv	_	-
7	in	in	PREP	APPR	_	9	pp	_	-
8	Regionen	Region	N	NN	_|_|Pl	7	pn	_	(4
9	gefragt	fragen	V	VVPP	_	5	aux	_	-
10	,	,	$,	$,	_	0	root	_	-
11	in	in	PREP	APPR	Dat	14	pp	_	-
12	denen	die	PRO	PRELS	_|Dat|Pl	11	pn	_	(4)
13	ausreichend	ausreichend	ADV	ADJD	_|_	14	adv	_	-
14	geforscht	forschen	V	VVPP	_	17	aux	_	-
15	und	und	KON	KON	_	14	kon	_	-
16	produziert	produzieren	V	VVPP	_	15	cj	_	-
17	werde	werden	V	VAFIN	_|Sg|Pres|_	8	rel	_	4)
18	.	.	$.	$.	_	0	root	_	-

1	Wie	Wie	PWAV	PWAV	_	2	adv	_	-
2	prächtig	prächtig	ADV	ADJD	Pos|	13	adv	_	-
3	die	die	ART	ART	Def|Masc|Nom|Pl	4	det	_	(5
4	Nachwuchsingenieure	Nachwuchsingenieur	N	NN	Masc|Nom|Pl	13	subj	_	5)
5	schon	schon	ADV	ADV	_	13	adv	_	-
6	während	während	PREP	APPR	Gen	13	pp	_	-
7	ihres	ihre	ART	PPOSAT	Neut|Gen|Sg	8	det	_	(5)
8	Studiums	Studium	N	NN	Neut|Gen|Sg	6	pn	_	-
9	mit	mit	PREP	APPR	Dat	13	pp	_	-
10	den	die	ART	ART	Def|Neut|Dat|Pl	12	det	_	-
11	regionalen	regional	ADJA	ADJA	Pos|Neut|Dat|Pl|_|	12	attr	_	-
12	Wirtschaftsunternehmen	Wirtschaftsunternehmen	N	NN	Neut|Dat|Pl	9	pn	_	-
13	kooperieren	kooperieren	V	VVFIN	3|Pl|Pres|_	15	objc	_	-
14	,	,	$,	$,	_	0	root	_	-
15	zeigt	zeigen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
16	die	die	ART	ART	Def|Fem|Nom|Sg	19	det	_	-
17	erfolgreiche	erfolgreich	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	19	attr	_	-
18	"	"	$(	$(	_	0	root	_	-
19	Drittmittelwerbung	Drittmittelwerbung	N	NN	Fem|Nom|Sg	15	subj	_	-
20	"	"	$(	$(	_	0	root	_	-
21	der	die	ART	ART	Def|_|Gen|_	22	det	_	-
22	TUHH	TUHH	N	NN	_|Gen|_	19	gmod	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Fem|Dat|Sg	2	det	_	-
2	Gesamt-etat	Gesamt-etat	N	NN	Fem|Dat|Sg	5	objd	_	-
3	der	die	ART	ART	Def|Fem|Gen|Sg	4	det	_	-
4	Hochschule	Hochschule	N	NN	Fem|Gen|Sg	2	gmod	_	-
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
6	im	in	PREP	APPRART	Dat	5	pp	_	-
7	vergangenen	vergangen	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	8	attr	_	-
8	Jahr	Jahr	N	NN	Neut|Dat|Sg	6	pn	_	-
9	rund	rund	ADV	ADV	_	5	adv	_	-
10	80	80	CARD	CARD	_	11	attr	_	-
11	Millionen	Million	N	NN	_|Nom|Sg	5	subj	_	-
12	Mark	Mark	N	NN	_|Nom|Sg	11	app	_	-
13	schwer	schwer	ADV	ADJD	Pos|	5	pred	_	-
14	,	,	$,	$,	_	0	root	_	-
15	knapp	knapp	ADV	ADJD	Pos|	17	adv	_	-
16	32	32	CARD	CARD	_	17	attr	_	-
17	Millionen	Million	N	NN	Fem|_|Pl	18	obja	_	-
18	stiftete	stiften	V	VVFIN	3|Sg|Past|_	5	kon	_	-
19	die	die	ART	ART	Def|Fem|Nom|Sg	20	det	_	-
20	Industrie	Industrie	N	NN	Fem|Nom|Sg	18	subj	_	-
21	als	als	KOKOM	KOKOM	_	18	kom	_	-
22	Forschungszuwendung	Forschungszuwendung	N	NN	Fem|_|Sg	21	cj	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Besonders	besonders	ADV	ADV	_	2	adv	_	-
2	vorbildlich	vorbildlich	ADV	ADJD	Pos|	3	adv	_	-
3	funktioniere	funktionieren	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
4	dabei	dabei	PROAV	PROAV	_	3	pp	_	-
5	seit	seit	PREP	APPR	Dat	3	pp	_	-
6	langem	lang	ADJA	ADJA	Pos|_|Dat|Sg|St|	5	pn	_	-
7	der	die	ART	ART	Def|Masc|Nom|Sg	9	det	_	-
8	"	"	$(	$(	_	0	root	_	-
9	Transfer	Transfer	N	NN	Masc|Nom|Sg	3	subj	_	-
10	"	"	$(	$(	_	0	root	_	-
11	mit	mit	PREP	APPR	Dat	3	pp	_	-
12	der	die	ART	ART	Def|Fem|Dat|Sg	13	det	_	-
13	Deutschen	Deutsche	N	NN	Fem|Dat|Sg	11	pn	_	-
14	Airbus	Airbus	N	NE	Masc|Dat|Sg	13	app	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Allerdings	allerdings	ADV	ADV	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	räumte	räumen	V	VVFIN	3|Sg|Past|_	0	root	_	-
4	Hajen	Hajen	N	NE	_|Nom|Sg	3	subj	_	(3)
5	ein	ein	PTKVZ	PTKVZ	_	3	avz	_	-
6	,	,	$,	$,	_	0	root	_	-
7	sei	sein	V	VAFIN	_|Sg|Pres|Subj	3	kon	_	-
8	er	er	PRO	PPER	3|Sg|Masc|Nom	7	pred	_	(3)
9	ein	eine	ART	ART	Indef|_|_|Sg	0	root	_	-
10	bißchen	bißchen	ADV	ADV	_	11	adv	_	-
11	ängstlich	ängstlich	ADV	ADJD	Pos|	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	ob	ob	KOUS	KOUS	_	26	konj	_	-
14	den	die	ART	ART	Def|_|Dat|Pl	15	det	_	-
15	Studierenden	Studierende	N	NN	_|Dat|Pl	26	objd	_	-
16	auch	auch	ADV	ADV	_	26	adv	_	-
17	in	in	PREP	APPR	_	26	pp	_	-
18	Zukunft	Zukunft	N	NN	Fem|_|Sg	17	pn	_	-
19	dort	dort	ADV	ADV	_	17	adv	_	-
20	noch	noch	ADV	ADV	_	26	adv	_	-
21	genügend	genügend	ADV	ADJD	_|_	26	adv	_	-
22	kompetente	kompetent	ADJA	ADJA	Pos|Masc|Nom|Pl|St|	23	attr	_	-
23	Ansprechpartner	Ansprechpartner	N	NN	Masc|Nom|Pl	26	subj	_	-
24	zur	zu	PREP	APPRART	Dat	26	objp	_	-
25	Verfügung	Verfügung	N	NN	Fem|Dat|Sg	24	pn	_	-
26	stehen	stehen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
27	.	.	$.	$.	_	0	root	_	-

