1	Es	es	PRO	PPER	3|Sg|Neut|_	7	expl	_	-
7	in	in	PREP	APPR	Acc	2	objp	_	-
8	das	die	ART	ART	Def|Neut|Acc|Sg	9	det	_	(7
9	Kosovo	Kosovo	N	NE	Neut|Acc|Sg	7	pn	_	7)
10	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	(8
2	Krieg	Krieg	N	NN	Masc|Nom|Sg	3	subj	_	8)
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	sie	sie	PRO	PPER	3|_|_|_	5	obja	_	(5)
5	verändert	verändern	V	VVPP	_	3	aux	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Jeden	jede	ART	PIDAT	_|_|Sg	2	det	_	-
2	Tag	Tag	N	NN	_|_|Sg	8	obja	_	-
3	aufstehen	aufstehen	V	VVINF	_	8	obji	_	-
4	und	und	KON	KON	_	3	kon	_	-
5	zur	zu	PREP	APPRART	Dat	7	objp	_	-
6	Arbeit	Arbeit	N	NN	Fem|Dat|Sg	5	pn	_	-
7	gehen	gehen	V	VVINF	_	4	cj	_	-
8	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	sie	sie	PRO	PPER	3|Sg|Fem|Nom	8	subj	_	(5)
10	als	als	KOKOM	KOKOM	_	8	kom	_	-
11	Zeitverschwendung	Zeitverschwendung	N	NN	Fem|_|Sg	10	cj	_	-
12	an	an	PTKVZ	PTKVZ	_	8	avz	_	-
13	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(5)
3	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	-
4	helfen	helfen	V	VVINF	_	3	aux	_	-
5	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Zur	zu	PREP	APPRART	Dat	4	pp	_	-
3	Zeit	Zeit	N	NN	Fem|Dat|Sg	2	pn	_	(9)
4	bemüht	bemühen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	sie	sie	PRO	PPER	3|Sg|Fem|Nom	4	subj	_	(5)
6	sich	sie	PRO	PRF	3|_|_	4	obja	_	-
7	um	um	PREP	APPR	Acc	4	objp	_	-
8	einen	eine	ART	ART	Indef|Masc|Acc|Sg	9	det	_	-
9	Job	Job	N	NN	Masc|Acc|Sg	7	pn	_	-
10	bei	bei	PREP	APPR	Dat	9	pp	_	-
11	einer	eine	ART	ART	Indef|Fem|Dat|Sg	12	det	_	-
12	Hilfsorganisation	Hilfsorganisation	N	NN	Fem|Dat|Sg	10	pn	_	-
13	,	,	$,	$,	_	0	root	_	-
14	die	die	ART	ART	Def|Fem|Nom|Sg	15	det	_	-
15	Vertriebene	Vertriebene	N	NN	Fem|Nom|Sg	19	subj	_	-
16	in	in	PREP	APPR	Dat	15	pp	_	-
17	einem	eine	ART	ART	Indef|Neut|Dat|Sg	18	det	_	-
18	Flüchtlingslager	Flüchtlingslager	N	NN	Neut|Dat|Sg	16	pn	_	-
19	betreut	betreuen	V	VVFIN	3|Sg|Pres|Ind	4	kon	_	-
20	.	.	$.	$.	_	0	root	_	-

