1	Es	es	PRO	PPER	3|Sg|Neut|_	15	expl	_	-
8	Verhältnisse	Verhältnis	N	NN	Neut|_|_	6	app	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	:	\:	$.	$.	_	0	root	_	-
3	Wer	wer	PRO	PWS	_|Nom|Sg	12	subj	_	-
4	für	für	PREP	APPR	Acc	12	pp	_	-
5	einen	eine	ART	ART	Indef|Masc|Acc|Sg	6	det	_	-
6	Moment	Moment	N	NN	Masc|Acc|Sg	4	pn	_	-
7	die	die	ART	ART	Def|Fem|_|Sg	8	det	_	-
8	Perspektive	Perspektive	N	NN	Fem|_|Sg	12	obja	_	-
9	der	die	ART	ART	Def|Fem|Gen|Sg	11	det	_	-
10	gewohnten	gewohnt	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	11	attr	_	-
11	Mauschelpolitik	Mauschelpolitik	N	NN	Fem|Gen|Sg	8	gmod	_	-
12	verläßt	verlassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
13	,	,	$,	$,	_	0	root	_	-
14	dem	die	PRO	PDS	_|Dat|Sg	15	objd	_	-
15	versiegt	versiegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
16	der	die	ART	ART	Def|Masc|Nom|Sg	17	det	_	-
17	Respekt	Respekt	N	NN	Masc|Nom|Sg	15	subj	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Was	was	PRO	PWS	Neut|Nom|Sg	2	pred	_	-
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
4	für	für	PREP	APPR	Acc	2	pp	_	-
5	ein	eine	ART	ART	Indef|Masc|Nom|Sg	6	det	_	(1
6	Plan	Plan	N	NN	Masc|Nom|Sg	4	pn	_	1)
7	,	,	$,	$,	_	0	root	_	-
8	nach	nach	PREP	APPR	Dat	0	root	_	-
9	dem	die	PRO	PRELS	_|Dat|Sg	8	pn	_	(1)
10	die	die	ART	ART	Def|Masc|_|Pl	11	det	_	-
11	Gewinne	Gewinn	N	NN	Masc|_|Pl	13	obja	_	-
12	städtisch	städtisch	ADV	ADJD	Pos|	13	adv	_	-
13	abgesichert	absichern	V	VVPP	_	20	aux	_	-
14	in	in	PREP	APPR	Acc	20	pp	_	-
15	die	die	ART	ART	Def|Fem|Acc|Pl	16	det	_	-
16	Taschen	Tasche	N	NN	Fem|Acc|Pl	14	pn	_	-
17	der	die	ART	ART	Def|Fem|Gen|Pl	19	det	_	-
18	pirvateb	pirvateb	ADJA	ADJA	_|Fem|Gen|Pl|_	19	attr	_	-
19	BetreiberInnen	BetreiberIn	N	NN	Fem|Gen|Pl	16	gmod	_	-
20	fließen	fließen	V	VVINF	_	0	root	_	-
21	,	,	$,	$,	_	0	root	_	-
22	wobei	wobei	PWAV	PWAV	_	23	adv	_	-
23	gleichzeitig	gleichzeitig	ADV	ADJD	Pos|	30	adv	_	-
24	die	die	ART	ART	Def|Fem|Nom|Sg	25	det	_	-
25	Stadt	Stadt	N	NN	Fem|Nom|Sg	31	subj	_	-
26	horrende	horrend	ADJA	ADJA	Pos|_|_|_|_|	27	attr	_	-
27	Personalkosten	Personalkosten	N	NN	_|_|_	30	obja	_	-
28	am	an	PREP	APPRART	Dat	30	pp	_	-
29	Bein	Bein	N	NN	Neut|Dat|Sg	28	pn	_	-
30	behalten	behalten	V	VVINF	_	31	aux	_	-
31	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	-
32	?	?	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	so	so	ADV	ADV	_	4	adv	_	-
4	offensichtlicher	offensichtlich	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	-
5	Humbug	Humbug	N	NN	Masc|Nom|Sg	2	pred	_	-
6	,	,	$,	$,	_	0	root	_	-
7	daß	daß	KOUS	KOUS	_	20	konj	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	13	det	_	(2
9	eben	eben	ADV	ADV	_	11	adv	_	-
10	noch	noch	ADV	ADV	_	11	adv	_	-
11	gelobte	gelobt	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	-
12	politische	politisch	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	-
13	Entscheidung	Entscheidung	N	NN	Fem|Nom|Sg	20	subj	_	2)
14	in	in	PREP	APPR	Acc	20	objp	_	-
15	ein	eine	ART	ART	Indef|Neut|Acc|Sg	19	det	_	-
16	ganz	ganz	ADV	ADV	_	17	adv	_	-
17	anderes	anderes	ADJA	ADJA	_|Neut|Acc|Sg|_	19	attr	_	-
18	politisches	politisch	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	19	attr	_	-
19	Licht	Licht	N	NN	Neut|Acc|Sg	14	pn	_	-
20	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Für	für	PREP	APPR	Acc	4	pp	_	-
2	Bremerhavener	Bremerhavener	ADJA	ADJA	Pos|Neut|Acc|Pl|_|	3	attr	_	-
3	Verhältnisse	Verhältnis	N	NN	Neut|Acc|Pl	1	pn	_	-
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
5	sie	sie	PRO	PPER	3|Sg|Fem|Nom	4	subj	_	(2)
6	mutig	mutig	ADV	ADJD	Pos|	4	pred	_	-
7	.	.	$.	$.	_	0	root	_	-

1	So	so	ADV	ADV	_	2	adv	_	-
2	niedrig	niedrig	ADV	ADJD	Pos|	3	pred	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	-
5	Bewertungslatte	Bewertungslatte	N	NN	Fem|Nom|Sg	3	subj	_	-
6	schon	schon	ADV	ADV	_	3	adv	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	aus	aus	PREP	APPR	Dat	7	pp	_	-
3	der	die	ART	ART	Def|Fem|Dat|Sg	4	det	_	-
4	Perspektive	Perspektive	N	NN	Fem|Dat|Sg	2	pn	_	-
5	der	die	ART	ART	Def|Fem|Gen|Sg	6	det	_	-
6	Vernunft	Vernunft	N	NN	Fem|Gen|Sg	4	gmod	_	-
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	(2
9	Entscheidung	Entscheidung	N	NN	Fem|Nom|Sg	7	subj	_	2)
10	lediglich	lediglich	ADV	ADV	_	7	adv	_	-
11	eines	eine	PRO	PIS	Neut|Nom|Sg	7	pred	_	-
12	:	\:	$.	$.	_	0	root	_	-
13	normal	normal	ADV	ADJD	Pos|	0	root	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Lerne	lernen	V	VVFIN	_|Sg|Pres|_	0	root	_	-
2	:	\:	$.	$.	_	0	root	_	-
3	So	so	ADV	ADV	_	4	adv	_	-
4	lange	lange	ADV	ADJD	_	7	adv	_	-
5	die	die	ART	ART	Def|Fem|Nom|Sg	7	det	_	-
6	Bremerhavener	Bremerhavener	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	7	attr	_	-
7	Realität	Realität	N	NN	Fem|Nom|Sg	9	subj	_	-
8	so	so	ADV	ADV	_	7	adv	_	-
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
10	,	,	$,	$,	_	0	root	_	-
11	so	so	ADV	ADV	_	12	adv	_	-
12	lange	lange	ADV	ADJD	_	13	adv	_	-
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	kon	_	-
14	Bremerhavener	Bremerhavener	ADJA	ADJA	Pos|Neut|Nom|Sg|_|	15	attr	_	-
15	Lob	Lob	N	NN	Neut|Nom|Sg	13	subj	_	-
16	billig	billig	ADV	ADJD	Pos|	13	pred	_	-
17	.	.	$.	$.	_	0	root	_	-

