1	Um	Um	KOUI	KOUI	_	12	konj	_	-
23	Polizeibeauftragter	Polizeibeauftragte	N	NN	Masc|Nom|Sg	27	subj	_	-
24	derzeit	derzeit	ADV	ADV	_	27	adv	_	-
25	nicht	nicht	PTKNEG	PTKNEG	_	27	adv	_	-
26	nötig	nötig	ADV	ADJD	Pos|	27	pred	_	-
27	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	objc	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	-
2	noch	noch	ADV	ADV	_	3	adv	_	-
3	nicht	nicht	PTKNEG	PTKNEG	_	4	adv	_	-
4	veröffentlichte	veröffentlicht	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	-
5	Senatsdrucksache	Senatsdrucksache	N	NN	Fem|Nom|Sg	6	subj	_	-
6	schlägt	schlagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	statt	statt	PREP	APPR	Gen	6	pp	_	-
8	dessen	die	PRO	PDS	_|Gen|Sg	7	pn	_	-
9	vor	vor	PTKVZ	PTKVZ	_	6	avz	_	-
10	,	,	$,	$,	_	0	root	_	-
11	bestehende	bestehend	ADJA	ADJA	Pos|Fem|_|Sg|_|<PPRES	12	attr	_	-
12	Kontrollinstanzen	Kontrollinstanzen	N	NN	Fem|_|Sg	21	obja	_	-
13	sowie	sowie	KON	KON	_	12	kon	_	-
14	die	die	ART	ART	Def|Fem|_|Sg	15	det	_	-
15	Einrichtung	Einrichtung	N	NN	Fem|_|Sg	13	cj	_	-
16	einer	eine	ART	ART	Indef|Fem|Gen|Sg	18	det	_	-
17	zentralen	zentral	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	18	attr	_	-
18	Beschwerdestelle	Beschwerdestelle	N	NN	Fem|Gen|Sg	15	gmod	_	-
19	beim	bei	PREP	APPRART	Dat	21	pp	_	-
20	Polizeipräsidenten	Polizeipräsident	N	NN	Masc|Dat|_	19	pn	_	-
21	auszubauen	ausbauen	V	VVIZU	_	6	obji	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Neue	neu	ADJA	ADJA	Pos|Neut|_|Pl|St|	2	attr	_	-
2	Ämter	Amt	N	NN	Neut|_|Pl	11	vok	_	-
3	,	,	$,	$,	_	0	root	_	-
4	eine	eine	ART	ART	Indef|Fem|_|Sg	6	det	_	-
5	"	"	$(	$(	_	0	root	_	-
6	Erhöhung	Erhöhung	N	NN	Fem|_|Sg	2	app	_	-
7	der	die	ART	ART	Def|_|Gen|_	8	det	_	-
8	Kontrolldichte	Kontrolldichte	N	NN	_|Gen|_	6	gmod	_	-
9	"	"	$(	$(	_	0	root	_	-
10	,	,	$,	$,	_	0	root	_	-
11	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	-
12	nicht	nicht	PTKNEG	PTKNEG	_	11	adv	_	-
13	effizienter	effizient	ADV	ADJD	Comp|	11	pred	_	-
14	,	,	$,	$,	_	0	root	_	-
15	sondern	sondern	KON	KON	_	11	kon	_	-
16	könnte	können	V	VMFIN	_|Sg|Past|Subj	15	cj	_	-
17	zu	zu	PREP	APPR	Dat	21	objp	_	-
18	"	"	$(	$(	_	0	root	_	-
19	Delegitimationsprozessen	Delegitimationsprozessen	N	NE	_|Dat|_	17	pn	_	-
20	"	"	$(	$(	_	0	root	_	-
21	führen	führen	V	VVINF	_	16	aux	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Außerdem	Außerdem	PROAV	PROAV	_	7	pp	_	-
2	,	,	$,	$,	_	0	root	_	-
3	befürchtet	befürchten	V	VVFIN	3|Sg|Pres|Ind	1	par	_	-
4	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	(0
5	Innenbehörde	Innenbehörde	N	NN	Fem|Nom|Sg	3	subj	_	0)
6	,	,	$,	$,	_	0	root	_	-
7	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	11	det	_	-
9	"	"	$(	$(	_	0	root	_	-
10	politische	politisch	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	11	attr	_	-
11	Instrumentalisierung	Instrumentalisierung	N	NN	Fem|Nom|Sg	7	subj	_	-
12	"	"	$(	$(	_	0	root	_	-
13	bei	bei	PREP	APPR	Dat	26	pp	_	-
14	den	die	ART	ART	Def|Masc|Dat|Pl	15	det	_	-
15	Polizisten	Polizist	N	NN	Masc|Dat|Pl	13	pn	_	-
16	zu	zu	PREP	APPR	Dat	26	objp	_	-
17	"	"	$(	$(	_	0	root	_	-
18	noch	noch	ADV	ADV	_	19	adv	_	-
19	mehr	mehr	ART	PIAT	Neut|Dat|Sg	20	det	_	-
20	Mißtrauen	Mißtrauen	N	NN	Neut|Dat|Sg	16	pn	_	-
21	"	"	$(	$(	_	0	root	_	-
22	und	und	KON	KON	_	20	kon	_	-
23	"	"	$(	$(	_	0	root	_	-
24	Abschottung	Abschottung	N	NN	Fem|Dat|Sg	22	cj	_	-
25	"	"	$(	$(	_	0	root	_	-
26	führen	führen	V	VVINF	_	7	aux	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Masc|Nom|Sg	2	det	_	(1
2	Polizeibeauftragter	Polizeibeauftragte	N	NN	Masc|Nom|Sg	21	subj	_	-
3	,	,	$,	$,	_	0	root	_	-
4	der	die	PRO	PRELS	Masc|Nom|Sg	10	subj	_	(1)
5	den	die	ART	ART	Def|Masc|Dat|Pl	6	det	_	-
6	Beamten	Beamter	N	NN	Masc|Dat|Pl	10	objd	_	-
7	auf	auf	PREP	APPR	Acc	10	pp	_	-
8	die	die	ART	ART	Def|Masc|Acc|Pl	9	det	_	-
9	Finger	Finger	N	NN	Masc|Acc|Pl	7	pn	_	-
10	guckt	gucken	V	VVFIN	3|Sg|Pres|Ind	2	rel	_	1)
11	und	und	KON	KON	_	10	kon	_	-
12	sich	sie	PRO	PRF	3|_|_	19	obja	_	-
13	zum	zu	PREP	APPRART	Dat	19	objp	_	-
14	Fürsprecher	Fürsprecher	N	NN	Masc|Dat|Sg	13	pn	_	-
15	von	von	PREP	APPR	Dat	14	pp	_	-
16	Opfern	Opfer	N	NN	Neut|Dat|_	15	pn	_	-
17	polizeilicher	polizeilich	ADJA	ADJA	Pos|Fem|Gen|Sg|St|	18	attr	_	-
18	Gewalt	Gewalt	N	NN	Fem|Gen|Sg	16	gmod	_	-
19	macht	machen	V	VVFIN	_|_|Pres|Ind	11	cj	_	-
20	,	,	$,	$,	_	0	root	_	-
21	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
22	zu	zu	PREP	APPR	Dat	29	objp	_	-
23	einer	eine	ART	ART	Indef|Fem|Dat|Sg	25	det	_	-
24	"	"	$(	$(	_	0	root	_	-
25	Stigmatisierung	stigmatisierenung	N	NN	Fem|Dat|Sg	22	pn	_	-
26	"	"	$(	$(	_	0	root	_	-
27	der	die	ART	ART	Def|Fem|Gen|Sg	28	det	_	(2
28	Polizei	Polizei	N	NN	Fem|Gen|Sg	25	gmod	_	2)
29	führen	führen	V	VVINF	_	21	aux	_	-
30	und	und	KON	KON	_	21	kon	_	-
31	als	als	KOKOM	KOKOM	_	35	kom	_	-
32	Ergebnis	Ergebnis	N	NN	Neut|_|Sg	31	cj	_	-
33	die	die	ART	ART	Def|Fem|_|Sg	35	det	_	-
34	öffentliche	öffentlich	ADJA	ADJA	Pos|Fem|_|Sg|_|	35	attr	_	-
35	Sicherheit	Sicherheit	N	NN	Fem|_|Sg	36	obja	_	-
36	gefährden	gefährden	V	VVFIN	_|Pl|Pres|_	30	cj	_	-
37	.	.	$.	$.	_	0	root	_	-

1	Aus	aus	PREP	APPR	Dat	3	pp	_	-
2	Statt-Partei-Kreisen	Statt-Partei-Kreis	N	NN	_|Dat|_	1	pn	_	-
3	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
4	allerdings	allerdings	ADV	ADV	_	7	adv	_	-
5	auch	auch	ADV	ADV	_	7	adv	_	-
6	zu	zu	PTKZU	PTKZU	_	7	part	_	-
7	erfahren	erfahren	V	VVINF	_	3	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	daß	daß	KOUS	KOUS	_	17	konj	_	-
10	damit	damit	PROAV	PROAV	_	16	pp	_	-
11	noch	noch	ADV	ADV	_	12	adv	_	-
12	nicht	nicht	PTKNEG	PTKNEG	_	16	adv	_	-
13	das	die	ART	ART	Def|Neut|Nom|Sg	15	det	_	-
14	letzte	letzte	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	15	attr	_	-
15	Wort	Wort	N	NN	Neut|Nom|Sg	17	subj	_	-
16	gefallen	fallen	V	VVPP	_	17	aux	_	-
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	7	objc	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	8	konj	_	-
2	der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
3	Antrag	Antrag	N	NN	Masc|Nom|Sg	8	subj	_	-
4	an	an	PREP	APPR	_	7	pp	_	-
5	den	die	ART	ART	Def|_|_|_	6	det	_	-
6	Innenausschuß	Innenausschuß	N	NN	_|_|_	4	pn	_	-
7	zurückverwiesen	zurückverwiesen	V	VVPP	_	8	aux	_	-
8	wird	werden	V	VAFIN	3|Sg|Pres|Ind	10	neb	_	-
9	,	,	$,	$,	_	0	root	_	-
10	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
11	eine	eine	ART	ART	Indef|Fem|Nom|Sg	13	det	_	-
12	weitere	weit	ADJA	ADJA	Comp|Fem|Nom|Sg|_|	13	attr	_	-
13	Expertenkommission	Expertenkommission	N	NN	Fem|Nom|Sg	10	subj	_	-
14	gehört	gehören	V	VVPP	_	15	aux	_	-
15	werden	werden	V	VAINF	_	10	aux	_	-
16	,	,	$,	$,	_	0	root	_	-
17	"	"	$(	$(	_	0	root	_	-
18	und	und	KON	KON	_	10	kon	_	-
19	da	da	ADV	ADV	_	20	adv	_	-
20	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	18	cj	_	-
21	es	es	PRO	PPER	3|Sg|Neut|Nom	20	subj	_	-
22	ganz	ganz	ADV	ADV	_	23	adv	_	-
23	auf	auf	PREP	APPR	Acc	20	objp	_	-
24	die	die	ART	ART	Def|Fem|Acc|Sg	25	det	_	-
25	Besetzung	Besetzung	N	NN	Fem|Acc|Sg	23	pn	_	-
26	an	an	PTKVZ	PTKVZ	_	20	avz	_	-
27	"	"	$(	$(	_	0	root	_	-
28	,	,	$,	$,	_	0	root	_	-
29	welcher	welche	ART	PWAT	Fem|Dat|Sg	30	det	_	-
30	Lösung	Lösung	N	NN	Fem|Dat|Sg	33	objd	_	-
31	man	man	PRO	PIS	_|Nom|Sg	34	subj	_	-
32	mehrheitlich	mehrheitlich	ADV	ADJD	Pos|	33	adv	_	-
33	zugeneigt	zuneigen	V	VVPP	_	34	aux	_	-
34	sei	sein	V	VAFIN	3|Sg|Pres|Subj	20	objc	_	-
35	,	,	$,	$,	_	0	root	_	-
36	so	so	ADV	ADV	_	37	adv	_	-
37	Statt-Sprecher	Statt-Sprecher	N	NN	Masc|_|_	0	root	_	-
38	Achim	Achim	N	NE	Masc|_|_	37	app	_	-
39	Reichert	Reichert	N	NE	Masc|_|_	38	app	_	-
40	.	.	$.	$.	_	0	root	_	-

1	Allerdings	allerdings	ADV	ADV	_	2	adv	_	-
2	sei	sein	V	VAFIN	_|Sg|Pres|Subj	0	root	_	-
3	Statt	statt	PREP	APPR	_	0	root	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	0	root	_	-
5	"	"	$(	$(	_	0	root	_	-
6	verliebt	verlieben	V	VVPP	_	0	root	_	-
7	in	in	PREP	APPR	Acc	0	root	_	-
8	einen	eine	ART	ART	Indef|Masc|Acc|Sg	9	det	_	-
9	Polizeibeauftragten	Polizeibeauftragte	N	NN	Masc|Acc|Sg	7	pn	_	-
10	"	"	$(	$(	_	0	root	_	-
11	und	und	KON	KON	_	0	root	_	-
12	könne	können	V	VMFIN	_|Sg|Pres|Subj	0	root	_	-
13	auch	auch	ADV	ADV	_	18	adv	_	-
14	andere	andere	ADJA	ADJA	_|Fem|_|Pl|_	16	attr	_	-
15	"	"	$(	$(	_	0	root	_	-
16	Problemlösungen	Problemlösung	N	NN	Fem|_|Pl	18	obja	_	-
17	"	"	$(	$(	_	0	root	_	-
18	akzeptieren	akzeptieren	V	VVINF	_	12	aux	_	-
19	,	,	$,	$,	_	0	root	_	-
20	beispielsweise	beispielsweise	ADV	ADV	_	22	adv	_	-
21	eine	eine	ART	ART	Indef|Fem|_|Sg	22	det	_	-
22	Kommission	Kommission	N	NN	Fem|_|Sg	0	root	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Entscheidung	Entscheidung	N	NN	Fem|Nom|Sg	6	subj	_	-
3	gegen	gegen	PREP	APPR	Acc	2	pp	_	-
4	einen	eine	ART	ART	Indef|Masc|Acc|Sg	5	det	_	-
5	Polizeibeauftragten	Polizeibeauftragte	N	NN	Masc|Acc|Sg	3	pn	_	-
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	allerdings	allerdings	ADV	ADV	_	6	adv	_	-
8	unter	unter	PREP	APPR	_	6	pp	_	-
9	Vorbehalt	Vorbehalt	N	NN	Masc|_|Sg	8	pn	_	-
10	:	\:	$.	$.	_	0	root	_	-
11	Sollte	sollen	V	VMFIN	3|Sg|Past|_	29	neb	_	-
12	der	die	ART	ART	Def|Masc|Nom|Sg	14	det	_	-
13	Parlamentarische	parlamentarisch	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	14	attr	_	-
14	Untersuchungsausschuß	Untersuchungsausschuß	N	NN	Masc|Nom|Sg	11	subj	_	-
15	(	(	$(	$(	_	0	root	_	-
16	PUA	PUA	N	NE	Masc|Nom|Sg	14	app	_	-
17	)	)	$(	$(	_	0	root	_	-
18	Polizei	Polizei	N	NN	Fem|_|Sg	27	obja	_	-
19	oder	oder	KON	KON	_	18	kon	_	-
20	die	die	ART	ART	Def|Fem|_|Sg	21	det	_	-
21	Staatsanwaltschaft	Staatsanwaltschaft	N	NN	Fem|_|Sg	19	cj	_	-
22	neue	neu	ADJA	ADJA	Pos|_|_|Pl|St|	23	attr	_	-
23	Erkenntnisse	Erkenntnis	N	NN	_|_|Pl	21	app	_	-
24	in	in	PREP	APPR	_	27	pp	_	-
25	Sachen	Sache	N	NN	Masc|_|_	24	pn	_	-
26	Prügelpolizisten	Prügelpolizist	N	NN	Masc|_|_	25	app	_	-
27	gewinnen	gewinnen	V	VVINF	_	11	aux	_	-
28	,	,	$,	$,	_	0	root	_	-
29	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
30	es	es	PRO	PPER	3|Sg|Neut|Nom	29	subj	_	-
31	mit	mit	PREP	APPR	Dat	37	pp	_	-
32	einem	eine	ART	ART	Indef|_|Dat|Sg	33	det	_	-
33	Polizeibeauftragten	Polizeibeauftragte	N	NN	_|Dat|Sg	31	pn	_	-
34	doch	doch	ADV	ADV	_	37	adv	_	-
35	noch	noch	ADV	ADV	_	37	adv	_	-
36	etwas	etwas	PRO	PIS	_|Nom|_	37	pred	_	-
37	werden	werden	V	VAINF	_	29	aux	_	-
38	.	.	$.	$.	_	0	root	_	-

