1	Eines	eine	PRO	PIS	Neut|Nom|Sg	8	subj	_	-
7	Erfolg	Erfolg	N	NN	Masc|Nom|Sg	5	pred	_	-
8	des	die	ART	ART	Def|Masc|Gen|Sg	10	det	_	-
9	Hamburger	Hamburger	ADJA	ADJA	Pos|Masc|Gen|Sg|_|	10	attr	_	-
10	Strafverteidigers	Strafverteidiger	N	NN	Masc|Gen|Sg	7	gmod	_	-
11	Gerhard	Gerhard	N	NE	Masc|Gen|Sg	10	app	_	-
12	Strate	Strate	N	NE	Masc|Gen|Sg	11	app	_	-
13	:	\:	$.	$.	_	0	root	_	-
14	Nach	nach	PREP	APPR	Dat	18	pp	_	-
15	einem	eine	ART	ART	Indef|Masc|Dat|Sg	17	det	_	-
16	zehnstufigen	zehnstufig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	17	attr	_	-
17	Instanzenweg	Instanzenweg	N	NN	Masc|Dat|Sg	14	pn	_	-
18	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
19	die	die	ART	ART	Def|Masc|Nom|Pl	21	det	_	-
20	Karlsruher	Karlsruher	ADJA	ADJA	Pos|Masc|Nom|Pl|_|	21	attr	_	-
21	Verfassungsrichter	Verfassungsrichter	N	NN	Masc|Nom|Pl	18	subj	_	-
22	im	in	PREP	APPRART	Dat	25	pp	_	-
23	Juli	Juli	N	NN	Masc|Dat|Sg	22	pn	_	-
24	1990	1990	CARD	CARD	_	23	app	_	-
25	angeordnet	anordnen	V	VVPP	_	18	aux	_	-
26	,	,	$,	$,	_	0	root	_	-
27	den	die	ART	ART	Def|Masc|Acc|Sg	28	det	_	(1
28	Mordfall	Mordfall	N	NN	Masc|Acc|Sg	33	obja	_	-
29	Erhard	Erhard	N	NE	Masc|Acc|Sg	28	app	_	-
30	Walther	Walther	N	NE	Masc|Acc|Sg	29	app	_	1)
31	erneut	erneut	ADV	ADJD	Pos|	33	adv	_	-
32	zu	zu	PTKZU	PTKZU	_	33	part	_	-
33	untersuchen	untersuchen	V	VVINF	_	25	obji	_	-
34	.	.	$.	$.	_	0	root	_	-

1	Jürgen	Jürgen	N	NE	_|Nom|Sg	3	subj	_	(0
2	Auer	Auer	N	NE	_|Nom|Sg	1	app	_	0)
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	1984	1984	CARD	CARD	_	7	zeit	_	-
5	für	für	PREP	APPR	Acc	7	pp	_	-
6	schuldig	schuldig	ADV	ADJD	Pos|	5	pn	_	-
7	befunden	befinden	V	VVPP	_	8	aux	_	-
8	worden	werden	V	VAPP	_	3	aux	_	-
9	,	,	$,	$,	_	0	root	_	-
10	im	in	PREP	APPRART	Dat	21	pp	_	-
11	November	November	N	NN	Masc|Dat|Sg	10	pn	_	-
12	1982	1982	CARD	CARD	_	11	app	_	-
13	gemeinsam	gemeinsam	ADV	ADJD	Pos|	14	adv	_	-
14	mit	mit	PREP	APPR	Dat	21	pp	_	-
15	einem	eine	ART	ART	Indef|_|Dat|Sg	17	det	_	-
16	italienischen	italienisch	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	17	attr	_	-
17	Bekannten	Bekannte	N	NN	_|Dat|Sg	14	pn	_	-
18	den	die	ART	ART	Def|Masc|_|_	19	det	_	(1
19	Kaufmann	Kaufmann	N	NN	Masc|_|_	21	obja	_	-
20	Walther	Walther	N	NE	Masc|_|_	19	app	_	1)
21	erschossen	erschießen	V	VVPP	_	23	aux	_	-
22	zu	zu	PTKZU	PTKZU	_	23	part	_	-
23	haben	haben	V	VAINF	_	7	obji	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Auer	Auer	N	NE	_|Nom|Sg	2	subj	_	(0)
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	den	die	ART	ART	Def|Masc|Acc|Sg	4	det	_	-
4	Mord	Mord	N	NN	Masc|Acc|Sg	5	obja	_	-
5	gestanden	gestehen	V	VVPP	_	2	aux	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|_|_|_	2	det	_	-
2	38jährige	38jährig	ADJA	ADJA	Masc|Nom|Sg	3	subj	_	-
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
4	damals	damals	ADV	ADV	_	3	adv	_	-
5	irrtümlich	irrtümlich	ADV	ADJD	Pos|	3	adv	_	-
6	davon	davon	PROAV	PROAV	_	3	objp	_	-
7	aus	aus	PTKVZ	PTKVZ	_	3	avz	_	-
8	,	,	$,	$,	_	0	root	_	-
9	an	an	PREP	APPR	_	11	pp	_	-
10	Krebs	Krebs	N	NN	Masc|_|Sg	9	pn	_	(2)
11	erkrankt	erkranken	V	VVPP	_	13	aux	_	-
12	zu	zu	PTKZU	PTKZU	_	13	part	_	-
13	sein	sein	V	VAINF	_	3	obji	_	-
14	und	und	KON	KON	_	3	kon	_	-
15	wollte	wollen	V	VMFIN	_|Sg|Past|_	14	cj	_	-
16	offenbar	offenbar	ADV	ADJD	Pos|	19	adv	_	-
17	seinen	seine	ART	PPOSAT	Masc|_|Sg	18	det	_	(2)
18	Freund	Freund	N	NN	Masc|_|Sg	19	obja	_	-
19	entlasten	entlasten	V	VVINF	_	15	aux	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Auer	Auer	N	NE	_|Nom|Sg	2	subj	_	(0)
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	das	die	ART	ART	Def|Neut|_|Sg	4	det	_	-
4	Geständnis	Geständnis	N	NN	Neut|_|Sg	2	obja	_	-
5	später	spät	ADV	ADJD	_|	2	adv	_	-
6	widerrufen	widerrufen	V	VVINF	_	0	root	_	-
7	,	,	$,	$,	_	0	root	_	-
8	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
9	aber	aber	ADV	ADV	_	11	adv	_	-
10	dennoch	dennoch	ADV	ADV	_	11	adv	_	-
11	verurteilt	verurteilen	V	VVPP	_	8	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Seit	seit	PREP	APPR	Dat	3	pp	_	-
2	1990	1990	CARD	CARD	_	1	pn	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	er	er	PRO	PPER	3|Sg|Masc|Nom	3	subj	_	(0)
5	gegen	gegen	PREP	APPR	Acc	3	pp	_	-
6	Kaution	Kaution	N	NN	Fem|Acc|Sg	5	pn	_	-
7	auf	auf	PREP	APPR	Dat	3	pp	_	-
8	freiem	frei	ADJA	ADJA	Pos|Masc|Dat|Sg|St|	9	attr	_	-
9	Fuß	Fuß	N	NN	Masc|Dat|Sg	7	pn	_	-
10	.	.	$.	$.	_	0	root	_	-

