1	Warum	Warum	PWAV	PWAV	_	7	adv	_	-
15	sich	sie	PRO	PRF	3|_|_	25	obja	_	-
16	nur	nur	ADV	ADV	_	25	adv	_	-
17	mühsam	mühsam	ADV	ADJD	Pos|	25	adv	_	-
18	durch	durch	PREP	APPR	Acc	25	pp	_	-
19	Kinderknäuel	Kinderknäuel	N	NN	_|Acc|_	18	pn	_	-
20	und	und	KON	KON	_	19	kon	_	-
21	Seniorenaufläufe	Seniorenauflauf	N	NN	Masc|Acc|Pl	20	cj	_	-
22	zum	zu	PREP	APPRART	Dat	25	pp	_	-
23	reservierten	reserviert	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	24	attr	_	-
24	Platz	Platz	N	NN	Masc|Dat|Sg	22	pn	_	-
25	durchschlagen	durchschlagen	V	VVINF	_	13	aux	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	wunderte	wundern	V	VVFIN	1|Sg|Past|_	0	root	_	-
3	mich	ich	PRO	PRF	1|Sg|Acc	2	obja	_	-
4	,	,	$,	$,	_	0	root	_	-
5	daß	daß	KOUS	KOUS	_	14	konj	_	-
6	alle	alle	ART	PIDAT	Fem|Nom|Pl	8	det	_	-
7	älteren	alt	ADJA	ADJA	Comp|Fem|Nom|Pl|Wk|	8	attr	_	-
8	Frauen	Frau	N	NN	Fem|Nom|Pl	14	subj	_	-
9	mit	mit	PREP	APPR	Dat	14	pp	_	-
10	kleinen	klein	ADJA	ADJA	Pos|Neut|Dat|Pl|_|	13	attr	_	(2
11	,	,	$,	$,	_	0	root	_	-
12	zutraulichen	zutraulich	ADJA	ADJA	Pos|_|Dat|_|_|	10	kon	_	-
13	Tieren	Tier	N	NN	Neut|Dat|Pl	9	pn	_	-
14	reisten	reisen	V	VVFIN	3|Pl|Past|_	2	objc	_	-
15	,	,	$,	$,	_	0	root	_	-
16	die	die	PRO	PRELS	Neut|Nom|Pl	21	subj	_	(2)
17	erst	erst	ADV	ADV	_	21	adv	_	-
18	auf	auf	PREP	APPR	Dat	21	pp	_	-
19	ihrem	ihre	ART	PPOSAT	Masc|Dat|Sg	20	det	_	(2)
20	Kopf	Kopf	N	NN	Masc|Dat|Sg	18	pn	_	-
21	hockten	hocken	V	VVFIN	3|Pl|Past|_	13	rel	_	2)
22	und	und	KON	KON	_	21	kon	_	-
23	dann	dann	ADV	ADV	_	29	adv	_	-
24	vor	vor	PREP	APPR	Dat	29	pp	_	-
25	ihnen	sie	PRO	PPER	3|Pl|_|Dat	24	pn	_	(2)
26	auf	auf	PREP	APPR	_	29	pp	_	-
27	den	die	ART	ART	Def|_|_|_	28	det	_	-
28	Tischen	Tisch	N	NN	_|_|_	26	pn	_	-
29	lagen	liegen	V	VVFIN	_|Pl|Past|Ind	22	cj	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Fem|Dat|Sg	4	det	_	(3
2	mir	ich	PRO	PPER	1|Sg|_|Dat	3	objd	_	(0)
3	gegenübersitzenden	gegenübersitzend	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|<PPRES	4	attr	_	-
4	Dame	Dame	N	NN	Fem|Dat|Sg	5	objd	_	3)
5	hüpfte	hüpfen	V	VVFIN	3|Sg|Past|_	0	root	_	-
6	ihr	ihre	ART	PPOSAT	Neut|Nom|Sg	8	det	_	(3)|(4
7	kreisrundes	kreisrund	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	8	attr	_	-
8	Tier	Tier	N	NN	Neut|Nom|Sg	5	subj	_	4)
9	aus	aus	PREP	APPR	Dat	5	pp	_	-
10	Polarfuchs	Polarfuchs	N	NN	Masc|Dat|Sg	9	pn	_	-
11	mehrfach	mehrfach	ADV	ADJD	Pos|	5	adv	_	-
12	von	von	PREP	APPR	_	5	pp	_	-
13	der	die	ART	ART	Def|Fem|_|Sg	14	det	_	-
14	Armlehne	Armlehne	N	NN	Fem|_|Sg	12	pn	_	-
15	auf	auf	PREP	APPR	Acc	12	kon	_	-
16	den	die	ART	ART	Def|Masc|Acc|Sg	17	det	_	-
17	Schoß	Schoß	N	NN	Masc|Acc|Sg	15	pn	_	-
18	,	,	$,	$,	_	0	root	_	-
19	so	so	ADV	ADV	_	5	adv	_	-
20	daß	daß	KOUS	KOUS	_	29	konj	_	-
21	sie	sie	PRO	PPER	3|_|_|_	29	obja	_	(4)
22	es	es	PRO	PPER	3|Sg|Neut|Nom	29	subj	_	-
23	schließlich	schließlich	ADV	ADV	_	29	adv	_	-
24	von	von	PREP	APPR	Dat	29	pp	_	-
25	München	München	N	NE	Neut|Dat|Sg	24	pn	_	-
26	bis	bis	PREP	APPR	Acc	24	kon	_	-
27	Garmisch	Garmisch	N	NE	_|Acc|_	26	pn	_	(5)
28	verzweifelt	verzweifelt	ADV	ADJD	Pos|	29	adv	_	-
29	festhielt	festhalten	V	VVFIN	3|Sg|Past|Ind	5	objc	_	-
30	,	,	$,	$,	_	0	root	_	-
31	während	während	KOUS	KOUS	_	39	konj	_	-
32	sie	sie	PRO	PPER	3|Sg|Fem|Nom	39	subj	_	(5)
33	mit	mit	PREP	APPR	Dat	39	pp	_	-
34	der	die	ART	ART	Def|Fem|Dat|Sg	36	det	_	-
35	anderen	anderen	ADJA	ADJA	_|Fem|Dat|Sg|_	36	attr	_	-
36	Hand	Hand	N	NN	Fem|Dat|Sg	33	pn	_	-
37	das	die	ART	ART	Def|Neut|_|Sg	38	det	_	(6
38	Lesebrillenetui	Lesebrillenetui	N	NN	Neut|_|Sg	39	obja	_	-
39	umklammerte	umklammern	V	VVFIN	3|Sg|Past|_	29	neb	_	-
40	,	,	$,	$,	_	0	root	_	-
41	das	die	PRO	PRELS	Neut|Nom|Sg	46	subj	_	(6)
42	offenbar	offenbar	ADV	ADJD	Pos|	45	adv	_	-
43	soeben	soeben	ADV	ADV	_	44	adv	_	-
44	rebellisch	rebellisch	ADV	ADJD	Pos|	45	pred	_	-
45	geworden	werden	V	VAPP	_	46	aux	_	-
46	war	sein	V	VAFIN	3|Sg|Past|Ind	38	rel	_	6)
47	.	.	$.	$.	_	0	root	_	-

1	Wegen	wegen	PREP	APPR	Gen	4	pp	_	-
2	ihres	ihre	ART	PPOSAT	Masc|Gen|Sg	3	det	_	(5)
3	Bewacherjobs	Bewacherjob	N	NN	Masc|Gen|Sg	1	pn	_	-
4	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
5	sie	sie	PRO	PPER	3|Sg|Fem|Nom	4	subj	_	(5)
6	sich	sie	PRO	PRF	3|_|_	4	obja	_	-
7	außerstande	außerstande	ADV	ADV	_	4	pred	_	-
8	,	,	$,	$,	_	0	root	_	-
9	weiter	weiter	ADV	ADV	_	14	adv	_	-
10	in	in	PREP	APPR	Dat	14	pp	_	-
11	ihrer	ihre	ART	PPOSAT	Fem|Dat|Sg	12	det	_	(5)|(7
12	Broschüre	Broschüre	N	NN	Fem|Dat|Sg	10	pn	_	7)
13	zu	zu	PTKZU	PTKZU	_	14	part	_	-
14	lesen	lesen	V	VVINF	_	4	obji	_	-
15	,	,	$,	$,	_	0	root	_	-
16	die	die	PRO	PRELS	_|_|_	0	root	_	(7)
17	den	die	ART	ART	Def|_|_|_	18	det	_	(9
18	Titel	Titel	N	NN	_|Acc|_	0	root	_	-
19	"	"	$(	$(	_	0	root	_	-
20	Heiraten	Heirat	N	NN	_|Acc|_	18	app	_	9)
21	-	-	$(	$(	_	0	root	_	-
22	für	für	PREP	APPR	Acc	27	pp	_	-
23	Christen	Christ	N	NN	Masc|Acc|_	22	pn	_	-
24	kein	keine	ART	PIAT	Neut|Nom|Sg	25	det	_	-
25	Problem	Problem	N	NN	Neut|Nom|Sg	27	subj	_	-
26	"	"	$(	$(	_	0	root	_	-
27	trug	tragen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Damit	damit	KOUS	KOUS	_	6	konj	_	-
2	sie	sie	PRO	PPER	3|Sg|Fem|Nom	6	subj	_	(5)
3	die	die	ART	ART	Def|Fem|_|Sg	4	det	_	-
4	Lektüre	Lektüre	N	NN	Fem|_|Sg	5	obja	_	-
5	fortsetzen	fortsetzen	V	VVINF	_	6	aux	_	-
6	konnte	können	V	VMFIN	3|Sg|Past|Ind	8	neb	_	-
7	,	,	$,	$,	_	0	root	_	-
8	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	-
9	ich	ich	PRO	PPER	1|Sg|_|Nom	8	subj	_	(0)
10	das	die	ART	ART	Def|Neut|_|Sg	11	det	_	-
11	Brillenetui	Brillenetui	N	NN	Neut|_|Sg	15	obja	_	-
12	mit	mit	PREP	APPR	Dat	15	pp	_	-
13	dem	die	ART	ART	Def|_|Dat|Sg	14	det	_	-
14	Fuchs	Fuchs	N	NE	_|Dat|Sg	12	pn	_	-
15	verehelichen	verehelichen	V	VVINF	_	8	aux	_	-
16	,	,	$,	$,	_	0	root	_	-
17	indem	indem	KOUS	KOUS	_	24	konj	_	-
18	ich	ich	PRO	PPER	1|Sg|_|Nom	24	subj	_	(0)
19	den	die	ART	ART	Def|_|_|_	20	part	_	-
20	einen	eine	PRO	PIS	_|_|_	21	grad	_	-
21	über	über	PREP	APPR	Acc	24	pp	_	-
22	das	die	ART	ART	Def|Neut|_|Sg	23	det	_	-
23	andere	andere	ADJA	ADJA	Neut|_|Sg	21	pn	_	-
24	stülpte	stülpen	V	VVFIN	1|Sg|Past|_	8	neb	_	-
25	,	,	$,	$,	_	0	root	_	-
26	aber	aber	KON	KON	_	24	kon	_	-
27	die	die	ART	ART	Def|Fem|Nom|Sg	28	det	_	-
28	Oma	Oma	N	NN	Fem|Nom|Sg	29	subj	_	-
29	machte	machen	V	VVFIN	3|Sg|Past|_	26	cj	_	-
30	ein	eine	ART	ART	Indef|Neut|_|Sg	32	det	_	-
31	solches	solche	ART	PIDAT	Neut|_|Sg	32	attr	_	-
32	Gezeter	Gezeter	N	NN	Neut|_|Sg	29	obja	_	-
33	,	,	$,	$,	_	0	root	_	-
34	ich	ich	PRO	PPER	1|Sg|_|Nom	35	subj	_	(0)
35	wolle	wollen	V	VMFIN	1|Sg|Pres|Subj	29	kon	_	-
36	ihr	ihr	PRO	PPER	3|Sg|Fem|Dat	39	objd	_	(5)
37	die	die	ART	ART	Def|Fem|_|Sg	38	det	_	-
38	Mütze	Mütze	N	NN	Fem|_|Sg	39	obja	_	-
39	klauen	klauen	V	VVINF	_	35	aux	_	-
40	(	(	$(	$(	_	0	root	_	-
41	"	"	$(	$(	_	0	root	_	-
42	bloß	bloß	ADV	ADV	_	43	adv	_	-
43	borgen	borgen	V	VVINF	_	0	root	_	-
44	,	,	$,	$,	_	0	root	_	-
45	für	für	PREP	APPR	Acc	49	pp	_	-
46	ein	eine	ART	ART	Indef|Neut|Acc|Sg	47	det	_	-
47	Experiment	Experiment	N	NN	Neut|Acc|Sg	45	pn	_	-
48	"	"	$(	$(	_	0	root	_	-
49	widersprach	widersprechen	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
50	ich	ich	PRO	PPER	1|Sg|_|Nom	49	subj	_	(0)
51	)	)	$(	$(	_	0	root	_	-
52	,	,	$,	$,	_	0	root	_	-
53	daß	daß	KOUS	KOUS	_	56	konj	_	-
54	ich	ich	PRO	PPER	1|Sg|_|Nom	56	subj	_	(0)
55	lieber	lieb	ADV	ADJD	Comp|	56	adv	_	-
56	ausstieg	aussteigen	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
57	,	,	$,	$,	_	0	root	_	-
58	zufällig	zufällig	ADV	ADJD	Pos|	59	adv	_	-
59	im	in	PREP	APPRART	Dat	56	pp	_	-
60	richtigen	richtig	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	61	attr	_	(10
61	Ort	Ort	N	NN	_|Dat|Sg	59	pn	_	10)
62	.	.	$.	$.	_	0	root	_	-

1	Vor	vor	PREP	APPR	Dat	4	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	(8
3	Kirche	Kirche	N	NN	Fem|Dat|Sg	1	pn	_	8)
4	fing	fangen	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
5	ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	(0)
6	das	die	ART	ART	Def|Neut|_|Sg	8	det	_	-
7	beklommene	beklimmt	ADJA	ADJA	Pos|Neut|_|Sg|Wk|	8	attr	_	-
8	Hochzeitspaar	Hochzeitspaar	N	NN	Neut|_|Sg	4	obja	_	-
9	ab	ab	PTKVZ	PTKVZ	_	4	avz	_	-
10	,	,	$,	$,	_	0	root	_	-
11	um	um	KOUI	KOUI	_	17	konj	_	-
12	ein	eine	ART	ART	Indef|Neut|_|Sg	13	det	_	-
13	Thema	Thema	N	NN	Neut|_|Sg	17	obja	_	-
14	ihrer	ihre	ART	PPOSAT	Fem|Gen|Sg	15	det	_	(8)
15	Wahl	Wahl	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	zu	zu	PTKZU	PTKZU	_	17	part	_	-
17	diskutieren	diskutieren	V	VVINF	_	4	neb	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(9)
2	durften	dürfen	V	VMFIN	3|Pl|Past|Ind	0	root	_	-
3	wählen	wählen	V	VVINF	_	2	aux	_	-
4	zwischen	zwischen	PTKVZ	PTKVZ	_	0	root	_	-
5	:	\:	$.	$.	_	0	root	_	-
6	a	a	FM	FM	_	0	root	_	-
7	)	)	$(	$(	_	0	root	_	-
8	wieso	wieso	ADV	ADV	_	9	adv	_	-
9	heiratet	heiraten	V	VVFIN	2|Pl|Pres|_	0	root	_	-
10	Ihr	ihr	PRO	PPER	2|Pl|_|Nom	9	subj	_	-
11	überhaupt	überhaupt	ADV	ADV	_	10	adv	_	-
12	,	,	$,	$,	_	0	root	_	-
13	b	b	N	NN	_|Nom|Pl	10	app	_	-
14	)	)	$(	$(	_	0	root	_	-
15	wieso	wieso	ADV	ADV	_	16	adv	_	-
16	gerade	gerade	ADV	ADV	_	17	adv	_	-
17	jetzt	jetzt	ADV	ADV	_	0	root	_	-
18	,	,	$,	$,	_	0	root	_	-
19	c	c	N	NN	_	0	root	_	-
20	)	)	$(	$(	_	0	root	_	-
21	wieso	wieso	ADV	ADV	_	22	adv	_	-
22	heiratest	heiraten	V	VVFIN	2|Sg|Pres|_	0	root	_	-
23	du	du	PRO	PPER	2|Sg|_|Nom	22	subj	_	(11)
24	ihn	er	PRO	PPER	3|Sg|Masc|Acc	22	obja	_	(10)
25	,	,	$,	$,	_	0	root	_	-
26	obwohl	obwohl	KOUS	KOUS	_	32	konj	_	-
27	du	du	PRO	PPER	2|Sg|_|Nom	32	subj	_	(11)
28	mir	ich	PRO	PPER	1|Sg|_|Dat	32	objd	_	(0)
29	noch	noch	ADV	ADV	_	32	adv	_	-
30	fünfzig	fünfzig	CARD	CARD	_	31	attr	_	-
31	Mark	Mark	N	NN	_|_|Pl	32	obja	_	-
32	schuldest	schulden	V	VVFIN	2|Sg|Pres|_	22	neb	_	-
33	,	,	$,	$,	_	0	root	_	-
34	d	d	FM	FM	_	0	root	_	-
35	)	)	$(	$(	_	0	root	_	-
36	wieso	wieso	ADV	ADV	_	37	adv	_	-
37	heiratest	heiraten	V	VVFIN	2|Sg|Pres|_	0	root	_	-
38	du	du	PRO	PPER	2|Sg|_|Nom	37	subj	_	(11)
39	sie	sie	PRO	PPER	3|_|_|_	37	obja	_	(10)
40	,	,	$,	$,	_	0	root	_	-
41	obwohl	obwohl	KOUS	KOUS	_	45	konj	_	-
42	sie	sie	PRO	PPER	3|Sg|Fem|Nom	45	subj	_	(10)
43	entsetzliche	entsetzlich	ADJA	ADJA	Pos|_|_|_|_|	44	attr	_	-
44	Schulden	Schuld	N	NN	_|_|_	45	obja	_	-
45	hat	haben	V	VAFIN	3|Sg|Pres|Ind	37	neb	_	-
46	.	.	$.	$.	_	0	root	_	-

1	Nachdem	nachdem	KOUS	KOUS	_	11	konj	_	-
2	ich	ich	PRO	PPER	1|Sg|_|Nom	11	subj	_	(0)
3	von	von	PREP	APPR	Dat	9	pp	_	-
4	den	die	ART	ART	Def|Fem|Dat|Pl	5	det	_	-
5	Brautjungfern	Brautjungfer	N	NN	Fem|Dat|Pl	3	pn	_	-
6	ohne	ohne	PREP	APPR	Acc	9	pp	_	-
7	weitere	weit	ADJA	ADJA	Comp|_|Acc|Sg|_|	8	attr	_	-
8	Diskussion	Diskussion	N	NN	_|Acc|Sg	6	pn	_	-
9	niedergetrampelt	niedertrampeln	V	VVPP	_	10	aux	_	-
10	worden	werden	V	VAPP	_	11	aux	_	-
11	war	sein	V	VAFIN	1|Sg|Past|Ind	13	neb	_	-
12	,	,	$,	$,	_	0	root	_	-
13	hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	-
14	ich	ich	PRO	PPER	1|Sg|_|Nom	13	subj	_	(0)
15	beinahe	beinahe	ADV	ADV	_	18	adv	_	-
16	die	die	ART	ART	Def|Fem|_|Sg	17	det	_	-
17	Zeremonie	Zeremonie	N	NN	Fem|_|Sg	18	obja	_	-
18	verpaßt	verpaßt	V	VVPP	_	13	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Während	während	PREP	APPR	Gen	5	pp	_	-
2	des	die	ART	ART	Def|Neut|Gen|Sg	4	det	_	-
3	feierlichen	feierlich	ADJA	ADJA	Pos|Neut|Gen|Sg|_|	4	attr	_	-
4	Rituals	Ritual	N	NN	Neut|Gen|Sg	1	pn	_	-
5	stellte	stellen	V	VVFIN	_|Sg|Past|_	0	root	_	-
6	sich	sie	PRO	PRF	3|_|_	5	obja	_	-
7	heraus	heraus	PTKVZ	PTKVZ	_	5	avz	_	-
8	,	,	$,	$,	_	0	root	_	-
9	daß	daß	KOUS	KOUS	_	19	konj	_	-
10	die	die	ART	ART	Def|_|_|Pl	11	det	_	(13
11	Brauteltern	Brautelter	N	NN	_|_|Pl	19	obja	_	13)
12	die	die	ART	ART	Def|Fem|Nom|Sg	13	det	_	(8
13	Kirche	Kirche	N	NN	Fem|Nom|Sg	19	subj	_	8)
14	gar	gar	ADV	ADV	_	15	adv	_	-
15	nicht	nicht	PTKNEG	PTKNEG	_	19	adv	_	-
16	von	von	PREP	APPR	Dat	19	pp	_	-
17	ihren	ihre	ART	PPOSAT	Masc|Dat|Pl	18	det	_	(8)
18	Vätern	Vater	N	NN	Masc|Dat|Pl	16	pn	_	-
19	ererbt	ererben	V	VVFIN	3|Sg|Pres|Ind	5	subjc	_	-
20	,	,	$,	$,	_	0	root	_	-
21	sondern	sondern	KON	KON	_	19	kon	_	-
22	nur	nur	ADV	ADV	_	26	adv	_	-
23	von	von	PREP	APPR	Dat	26	pp	_	-
24	den	die	ART	ART	Def|Masc|Dat|Pl	25	det	_	-
25	Katholiken	Katholik	N	NN	Masc|Dat|Pl	23	pn	_	-
26	geliehen	leihen	V	VVPP	_	27	aux	_	-
27	hatten	haben	V	VAFIN	_|Pl|Past|Ind	21	cj	_	-
28	,	,	$,	$,	_	0	root	_	-
29	obwohl	obwohl	KOUS	KOUS	_	33	konj	_	-
30	alle	alle	ART	PIDAT	_|Nom|Pl	31	det	_	-
31	Beteiligten	Beteiligte	N	NN	_|Nom|Pl	33	subj	_	-
32	Protestanten	Protestant	N	NN	Masc|Nom|Pl	33	pred	_	-
33	waren	sein	V	VAFIN	3|Pl|Past|Ind	27	neb	_	-
34	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	klang	klingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	nach	nach	PREP	APPR	Dat	2	pp	_	-
4	einem	eine	ART	ART	Indef|Masc|Dat|Sg	6	det	_	-
5	gottlosen	gottlos	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	6	attr	_	-
6	Handel	Handel	N	NN	Masc|Dat|Sg	3	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	und	und	KON	KON	_	2	kon	_	-
9	ich	ich	PRO	PPER	1|Sg|_|Nom	10	subj	_	(0)
10	konnte	können	V	VMFIN	1|Sg|Past|Ind	8	cj	_	-
11	erfreut	erfreut	ADV	ADJD	Pos|	12	adv	_	-
12	überlegen	überlegen	V	VVINF	_	10	aux	_	-
13	,	,	$,	$,	_	0	root	_	-
14	ob	ob	KOUS	KOUS	_	26	konj	_	-
15	unter	unter	PREP	APPR	Dat	24	pp	_	-
16	diesen	diese	ART	PDAT	Masc|Dat|Pl	17	det	_	-
17	Umständen	Umstand	N	NN	Masc|Dat|Pl	15	pn	_	-
