1	Oh	oh	ITJ	ITJ	_	0	root	_	-
2	verwies	verweisen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	ausgerechnet	ausgerechnet	ADV	ADV	_	2	adv	_	-
4	den	die	ART	ART	Def|Masc|Acc|Sg	5	det	_	-
5	Sohn	Sohn	N	NN	Masc|Acc|Sg	2	obja	_	-
6	von	von	PREP	APPR	Dat	5	pp	_	-
7	General	General	N	NN	Masc|Dat|Sg	6	pn	_	-
8	Omar	Omar	N	NE	Masc|Dat|Sg	7	app	_	-
9	Torrijoas	Torrijoas	N	NE	Masc|Dat|Sg	8	app	_	-
10	auf	auf	PREP	APPR	Acc	6	kon	_	-
11	den	die	ART	ART	Def|Masc|Acc|Sg	13	det	_	(3
12	zweiten	zweit	ADJA	ADJA	_|Masc|Acc|Sg|_|	13	attr	_	-
13	Rang	Rang	N	NN	Masc|Acc|Sg	10	pn	_	-
14	,	,	$,	$,	_	0	root	_	-
15	der	die	PRO	PRELS	Masc|Nom|Sg	25	subj	_	(3)
16	1968	1968	CARD	CARD	_	25	zeit	_	-
17	ihren	ihre	ART	PPOSAT	Masc|_|_	19	det	_	(2)
18	späteren	spät	ADJA	ADJA	_|Masc|_|_|_|	19	attr	_	-
19	Mann	Mann	N	NN	Masc|_|_	25	obja	_	-
20	zuletzt	zuletzt	ADV	ADV	_	25	adv	_	-
21	aus	aus	PREP	APPR	Dat	25	pp	_	-
22	dem	die	ART	ART	Def|Neut|Dat|Sg	23	det	_	-
23	Präsidentenamt	Präsidentenamt	N	NN	Neut|Dat|Sg	21	pn	_	-
24	geputscht	geputscht	N	NE	Neut|Dat|Sg	23	app	_	-
25	hatte	haben	V	VAFIN	3|Sg|Past|Ind	13	rel	_	3)
26	.	.	$.	$.	_	0	root	_	-

1	Bestand	Bestand	N	NN	Fem|_|Sg	25	vok	_	-
2	General	General	FM	FM	Fem|_|Sg	1	app	_	-
3	Torrijos	Torrijos	FM	FM	Fem|_|Sg	2	app	_	-
4	'	'	$(	$(	_	0	root	_	-
5	größte	groß	ADJA	ADJA	Sup|Fem|_|Sg|_|	6	attr	_	-
6	Tat	Tat	N	NN	Fem|_|Sg	3	app	_	-
7	darin	darin	PROAV	PROAV	_	6	pp	_	-
8	,	,	$,	$,	_	0	root	_	-
9	US-Präsident	US-Präsident	N	NN	Masc|Dat|Sg	20	objd	_	-
10	Jimmy	Jimmy	N	NE	Masc|Dat|Sg	9	app	_	-
11	Carter	Carter	N	NE	Masc|Dat|Sg	10	app	_	-
12	1977	1977	CARD	CARD	_	11	app	_	-
13	einen	eine	ART	ART	Indef|Masc|Acc|Sg	14	det	_	-
14	Vertrag	Vertrag	N	NN	Masc|Acc|Sg	20	obja	_	-
15	über	über	PREP	APPR	Acc	14	pp	_	-
16	die	die	ART	ART	Def|Fem|Acc|Sg	17	det	_	-
17	Rückgabe	Rückgabe	N	NN	Fem|Acc|Sg	15	pn	_	-
18	des	die	ART	ART	Def|Masc|Gen|Sg	19	det	_	-
19	Panamakanals	Panamakanal	N	NN	Masc|Gen|Sg	17	gmod	_	-
20	abgetrotzt	abtrotzen	V	VVPP	_	22	aux	_	-
21	zu	zu	PTKZU	PTKZU	_	22	part	_	-
22	haben	haben	V	VAINF	_	6	obji	_	-
23	,	,	$,	$,	_	0	root	_	-
24	so	so	ADV	ADV	_	25	adv	_	-
25	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
26	Moscoso	Moscoso	N	NE	_|Nom|Sg	25	subj	_	(2)
27	Ende	Ende	N	NN	Neut|_|Sg	37	zeit	_	-
28	des	die	ART	ART	Def|Neut|Gen|Sg	29	det	_	-
29	Jahres	Jahr	N	NN	Neut|Gen|Sg	27	gmod	_	-
30	als	als	KOKOM	KOKOM	_	37	kom	_	-
31	Präsidentin	Präsidentin	N	NN	Fem|_|Sg	30	cj	_	-
32	die	die	ART	ART	Def|Fem|_|Sg	33	det	_	-
33	Hoheit	Hoheit	N	NN	Fem|_|Sg	37	obja	_	-
34	über	über	PREP	APPR	Acc	33	pp	_	-
35	die	die	ART	ART	Def|Fem|Acc|Sg	36	det	_	-
36	Kanalzone	Kanalzone	N	NN	Fem|Acc|Sg	34	pn	_	-
37	übernehmen	übernehmen	V	VVINF	_	25	aux	_	-
38	.	.	$.	$.	_	0	root	_	-

1	Dann	dann	ADV	ADV	_	2	adv	_	-
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	der	die	ART	ART	Def|Masc|Nom|Sg	4	det	_	-
4	Staat	Staat	N	NN	Masc|Nom|Sg	2	subj	_	-
5	mit	mit	PREP	APPR	Dat	36	pp	_	-
6	heute	heute	ADV	ADV	_	8	adv	_	(4
7	2,8	2,8	CARD	CARD	_	8	attr	_	-
8	Millionen	Million	N	NN	Masc|Dat|_	5	pn	_	-
9	Einwohnern	Einwohner	N	NN	Masc|Dat|Sg	8	app	_	4)
10	,	,	$,	$,	_	0	root	_	-
11	der	die	PRO	PRELS	Masc|Nom|Sg	27	subj	_	(4)
12	seine	seine	ART	PPOSAT	Fem|_|Sg	13	det	_	(4)
13	Abspaltung	Abspaltung	N	NN	Fem|_|Sg	27	obja	_	-
14	von	von	PREP	APPR	Dat	13	pp	_	-
15	Kolumbien	Kolumbien	N	NE	Neut|Dat|Sg	14	pn	_	-
16	dem	die	ART	ART	Def|Neut|Dat|Sg	17	det	_	-
17	US-Interesse	US-Interesse	N	NN	Neut|Dat|Sg	27	objd	_	-
18	an	an	PREP	APPR	Dat	17	pp	_	-
19	der	die	ART	ART	Def|Fem|Dat|Sg	22	det	_	-
20	strategisch	strategisch	ADV	ADJD	Pos|	22	adv	_	-
21	wichtigen	wichtig	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	-
22	Wasserstraße	Wasserstraße	N	NN	Fem|Dat|Sg	18	pn	_	-
23	zwischen	zwischen	PREP	APPR	_	22	pp	_	-
24	Atlantik	Atlantik	N	NE	Masc|_|Sg	23	pn	_	-
25	und	und	KON	KON	_	24	kon	_	-
26	Pazifik	Pazifik	N	NN	Masc|_|Sg	25	cj	_	-
27	verdankt	verdanken	V	VVFIN	3|Sg|Pres|Ind	9	rel	_	-
28	,	,	$,	$,	_	0	root	_	-
29	erstmals	erstmals	ADV	ADV	_	9	adv	_	-
30	seit	seit	PREP	APPR	Dat	36	pp	_	-
31	seiner	seine	ART	PPOSAT	Fem|Dat|Sg	32	det	_	(4)
32	Gründung	Gründung	N	NN	Fem|Dat|Sg	30	pn	_	-
33	1903	1903	CARD	CARD	_	32	app	_	-
34	vollständig	vollständig	ADV	ADJD	Pos|	35	adv	_	-
35	souverän	souverän	ADV	ADJD	Pos|	36	pred	_	-
36	sein	sein	V	VAINF	_	2	aux	_	-
37	.	.	$.	$.	_	0	root	_	-

1	Moscoso	Moscoso	N	NE	_|Nom|Sg	2	subj	_	(2)
2	arbeitete	arbeiten	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	als	als	KOKOM	KOKOM	_	2	kom	_	-
4	kaufmännische	kaufmännisch	ADJA	ADJA	Pos|_|_|_|_|	5	attr	_	-
5	Angestellte	Angestellte	N	NN	_|_|_	3	cj	_	-
6	auf	auf	PREP	APPR	Dat	2	pp	_	-
7	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	-
8	Kaffeeplantage	Kaffeeplantage	N	NN	Fem|Dat|Sg	6	pn	_	-
9	des	die	ART	ART	Def|Masc|Gen|Sg	13	det	_	(1
10	45	45	CARD	CARD	_	11	attr	_	-
11	Jahre	Jahr	N	NN	Neut|_|Pl	12	grad	_	-
12	älteren	alt	ADJA	ADJA	Comp|Masc|Gen|Sg|_|	13	attr	_	-
13	Politikers	Politiker	N	NN	Masc|Gen|Sg	8	gmod	_	-
14	Arias	Arias	N	NE	Masc|Gen|Sg	13	app	_	1)
15	,	,	$,	$,	_	0	root	_	-
16	den	die	PRO	PRELS	Masc|Acc|Sg	19	obja	_	(1)
17	sie	sie	PRO	PPER	3|Sg|Fem|Nom	19	subj	_	(2)
18	1969	1969	CARD	CARD	_	19	zeit	_	-
19	heiratete	heiraten	V	VVFIN	3|Sg|Past|_	14	rel	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Nach	nach	PREP	APPR	Dat	13	pp	_	-
2	seinem	seine	ART	PPOSAT	Masc|Dat|Sg	3	det	_	(1)
3	Tod	Tod	N	NN	Masc|Dat|Sg	1	pn	_	-
4	1988	1988	CARD	CARD	_	3	app	_	-
5	im	in	PREP	APPRART	Dat	4	pp	_	-
6	Exil	Exil	N	NN	Neut|Dat|Sg	5	pn	_	-
7	und	und	KON	KON	_	6	kon	_	-
8	der	die	ART	ART	Def|Fem|Dat|Sg	9	det	_	(10
9	US-Invasion	US-Invasion	N	NN	Fem|Dat|Sg	7	cj	_	10)
10	in	in	PREP	APPR	_	6	pp	_	-
11	Panama	Panama	N	NE	Neut|_|Sg	10	pn	_	(0
12	1989	1989	CARD	CARD	_	11	app	_	0)
13	übernahm	übernehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
14	sie	sie	PRO	PPER	3|Sg|Fem|Nom	13	subj	_	(2)
15	von	von	PREP	APPR	Dat	13	pp	_	-
16	ihm	er	PRO	PPER	3|Sg|_|Dat	15	pn	_	(1)
17	nicht	nicht	PTKNEG	PTKNEG	_	20	adv	_	-
18	nur	nur	ADV	ADV	_	20	adv	_	-
19	die	die	ART	ART	Def|_|_|_	20	det	_	-
20	Plantage	Plantage	N	NN	_|_|_	13	obja	_	-
21	,	,	$,	$,	_	0	root	_	-
22	sondern	sondern	KON	KON	_	20	kon	_	-
23	auch	auch	ADV	ADV	_	22	cj	_	-
24	sein	seine	ART	PPOSAT	Neut|_|Sg	26	det	_	(1)
25	politisches	politisch	ADJA	ADJA	Pos|Neut|_|Sg|St|	26	attr	_	-
26	Erbe	Erbe	N	NN	Neut|_|Sg	22	cj	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Bereits	bereits	ADV	ADV	_	2	adv	_	-
2	bei	bei	PREP	APPR	Dat	9	pp	_	-
3	den	die	ART	ART	Def|Fem|Dat|Pl	5	det	_	-
4	letzten	letzte	ADJA	ADJA	Pos|Fem|Dat|Pl|_|	5	attr	_	-
5	Präsidentschaftswahlen	Präsidentschaftswahl	N	NN	Fem|Dat|Pl	2	pn	_	-
6	vor	vor	PREP	APPR	Dat	5	pp	_	-
7	fünf	fünf	CARD	CARD	_	8	attr	_	-
8	Jahren	Jahr	N	NN	Neut|Dat|Pl	6	pn	_	-
9	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
10	sie	sie	PRO	PPER	3|Sg|Fem|Nom	9	subj	_	(2)
11	überraschend	überraschend	ADV	ADJD	_|_	9	adv	_	-
12	auf	auf	PREP	APPR	Acc	9	objp	_	-
13	den	die	ART	ART	Def|Masc|Acc|Sg	15	det	_	-
14	zweiten	zweit	ADJA	ADJA	_|Masc|Acc|Sg|_|	15	attr	_	-
15	Platz	Platz	N	NN	Masc|Acc|Sg	12	pn	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Diesmal	diesmal	ADV	ADV	_	2	adv	_	-
2	gelang	gelingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
4	ihr	ihr	PRO	PPER	3|Sg|Fem|Dat	2	objd	_	(2)
5	,	,	$,	$,	_	0	root	_	-
6	einen	eine	ART	ART	Indef|Masc|Acc|Sg	7	det	_	-
7	Rückstand	Rückstand	N	NN	Masc|Acc|Sg	0	root	_	-
8	in	in	PREP	APPR	Dat	7	pp	_	-
9	den	die	ART	ART	Def|Fem|Dat|Pl	10	det	_	-
10	Umfragen	Umfrage	N	NN	Fem|Dat|Pl	8	pn	_	-
11	von	von	PREP	APPR	_	10	pp	_	-
12	18	18	CARD	CARD	_	13	attr	_	-
13	Prozent	Prozent	N	NN	Neut|_|Pl	11	pn	_	-
14	in	in	PREP	APPR	_	0	root	_	-
15	einen	eine	ART	ART	Indef|Masc|Acc|Sg	0	root	_	-
16	über	über	PREP	APPR	_	20	pp	_	-
17	sechsprozentigen	sechsprozentig	ADJA	ADJA	Pos|Masc|_|Sg|_|	18	attr	_	-
18	Vorsprung	Vorsprung	N	NN	Masc|_|Sg	16	pn	_	-
19	zu	zu	PTKZU	PTKZU	_	20	part	_	-
20	verwandeln	verwandeln	V	VVINF	_	0	root	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Während	während	KOUS	KOUS	_	10	konj	_	-
2	die	die	ART	ART	Def|Fem|_|Sg	3	det	_	(5
3	Opposition	Opposition	N	NN	Fem|_|Sg	10	obja	_	5)
4	ihr	ihre	ART	PPOSAT	_|_|Sg	5	det	_	(5)|(6
5	Unerfahrenheit	Unerfahrenheit	N	NN	_|Nom|Sg	10	subj	_	6)
6	und	und	KON	KON	_	5	kon	_	-
7	einen	eine	ART	ART	Indef|Masc|Acc|Sg	9	det	_	-
8	fehlenden	fehlend	ADJA	ADJA	Pos|Masc|Acc|Sg|_|<PPRES	9	attr	_	-
9	Universitätsabschluß	Universitätsabschluß	N	NN	Masc|Acc|Sg	6	cj	_	-
10	vorwarfen	vorwerfen	V	VVFIN	_|Pl|Past|Ind	12	neb	_	-
11	,	,	$,	$,	_	0	root	_	-
12	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
13	sie	sie	PRO	PPER	3|Sg|Fem|Nom	12	subj	_	(6)
14	vor	vor	PREP	APPR	Dat	12	pp	_	-
15	allem	alle	PRO	PIS	_|Dat|Sg	14	pn	_	-
16	das	die	ART	ART	Def|Neut|_|Sg	17	det	_	-
17	Andenken	Andenken	N	NN	Neut|_|Sg	12	obja	_	-
18	an	an	PREP	APPR	Acc	17	pp	_	-
19	"	"	$(	$(	_	0	root	_	-
20	die	die	ART	ART	Def|Fem|Acc|Sg	23	det	_	-
21	gute	gut	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	23	attr	_	-
22	alte	alt	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	23	attr	_	-
23	Zeit	Zeit	N	NN	Fem|Acc|Sg	18	pn	_	-
24	"	"	$(	$(	_	0	root	_	-
25	unter	unter	PREP	APPR	Dat	12	pp	_	-
26	ihrem	ihre	ART	PPOSAT	Masc|Dat|Sg	28	det	_	(6)|(7
27	verstorbenen	verstorben	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	28	attr	_	-
28	Mann	Mann	N	NN	Masc|Dat|Sg	25	pn	_	-
29	hoch	hoch	ADV	ADJD	Pos|	12	pred	_	-
30	,	,	$,	$,	_	0	root	_	-
31	der	die	PRO	PRELS	Masc|Nom|Sg	36	subj	_	(7)
32	im	in	PREP	APPRART	Dat	36	pp	_	-
33	Mittelpunkt	Mittelpunkt	N	NN	Masc|Dat|Sg	32	pn	_	-
34	ihres	ihre	ART	PPOSAT	Masc|Gen|Sg	35	det	_	(6)
35	Wahlkampfes	Wahlkampf	N	NN	Masc|Gen|Sg	33	gmod	_	-
36	stand	stehen	V	VVFIN	3|Sg|Past|Ind	28	rel	_	7)
37	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	6	pp	_	-
2	Sonntag	Sonntag	N	NN	_|Dat|Sg	1	pn	_	(8
3	vor	vor	PREP	APPR	Dat	2	pp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
5	Stimmabgabe	Stimmabgabe	N	NN	Fem|Dat|Sg	3	pn	_	8)
6	besuchte	besuchen	V	VVFIN	3|Sg|Past|_	0	root	_	-
7	sie	sie	PRO	PPER	3|Sg|Fem|Nom	6	subj	_	(6)
8	demonstrativ	demonstrativ	ADV	ADJD	Pos|	6	adv	_	-
9	sein	seine	ART	PPOSAT	Neut|_|Sg	10	det	_	(8)
10	Grab	Grab	N	NN	Neut|_|Sg	6	obja	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Als	Als	KOKOM	KOKOM	_	6	kom	_	-
2	Aufsteigerin	Aufsteigerin	N	NN	Fem|_|Sg	1	cj	_	-
3	aus	aus	PREP	APPR	Dat	2	pp	_	-
4	einfachen	einfach	ADJA	ADJA	Pos|_|Dat|_|_|	5	attr	_	-
5	Verhältnissen	Verhältnis	N	NN	_|Dat|_	3	pn	_	-
6	gelang	gelingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
7	es	es	PRO	PPER	3|Sg|Neut|Nom	6	subj	_	-
8	ihr	ihr	PRO	PPER	3|Sg|Fem|Dat	6	objd	_	(6)
9	,	,	$,	$,	_	0	root	_	-
10	Themen	Thema	N	NN	Neut|Dat|Pl	8	kon	_	-
11	wie	wie	KOKOM	KOKOM	_	10	kom	_	-
12	die	die	ART	ART	Def|Fem|_|Sg	13	det	_	-
13	Bekämpfung	Bekämpfung	N	NN	Fem|_|Sg	11	cj	_	-
14	von	von	PREP	APPR	_	13	pp	_	-
15	Korruption	Korruption	N	NN	_|_|Sg	14	pn	_	-
16	,	,	$,	$,	_	0	root	_	-
17	Armut	Armut	N	NN	Fem|Dat|Sg	10	kon	_	-
18	und	und	KON	KON	_	17	kon	_	-
19	Arbeitslosigkeit	Arbeitslosigkeit	N	NN	Fem|Dat|Sg	18	cj	_	-
20	populistisch	populistisch	ADV	ADJD	Pos|	21	adv	_	-
21	anzusprechen	ansprechen	V	VVIZU	_	6	obji	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Ideologisch	ideologisch	ADV	ADJD	Pos|	2	adv	_	-
2	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	(9
4	Kandidatin	Kandidatin	N	NN	Fem|Nom|Sg	2	subj	_	-
5	der	die	ART	ART	Def|Fem|Gen|Sg	9	det	_	-
6	tendenziell	tendenziell	ADV	ADJD	Pos|	7	adv	_	-
7	eher	eher	ADV	ADV	_	8	adv	_	-
8	konservativen	konservativ	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	9	attr	_	-
9	Partei	Partei	N	NN	Fem|Gen|Sg	4	gmod	_	9)
10	schwammig	schwammig	ADV	ADJD	Pos|	2	pred	_	-
11	und	und	KON	KON	_	2	kon	_	-
12	unterschied	unterscheiden	V	VVFIN	_|Sg|Past|Ind	11	cj	_	-
13	sich	sie	PRO	PRF	3|_|_	12	obja	_	-
14	darin	darin	PROAV	PROAV	_	12	pp	_	-
15	nicht	nicht	PTKNEG	PTKNEG	_	12	adv	_	-
16	von	von	PREP	APPR	Dat	12	objp	_	-
17	ihrem	ihre	ART	PPOSAT	Masc|Dat|Sg	19	det	_	(9)
18	größten	groß	ADJA	ADJA	Sup|Masc|Dat|Sg|Wk|	19	attr	_	-
19	Konkurrenten	Konkurrent	N	NN	Masc|Dat|Sg	16	pn	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Daß	daß	KOUS	KOUS	_	11	konj	_	-
2	die	die	ART	ART	Def|Fem|Nom|Pl	4	det	_	-
3	zweiten	zweit	ADJA	ADJA	_|Fem|Nom|Pl|Wk|	4	attr	_	-
4	Wahlen	Wahl	N	NN	Fem|Nom|Pl	11	subj	_	-
5	seit	seit	PREP	APPR	Dat	11	pp	_	-
6	der	die	ART	ART	Def|Fem|Dat|Sg	7	det	_	(10
7	US-Invasion	US-Invasion	N	NN	Fem|Dat|Sg	5	pn	_	10)
8	ohne	ohne	PREP	APPR	Acc	11	pp	_	-
9	größere	groß	ADJA	ADJA	Comp|Masc|Acc|Pl|St|	10	attr	_	-
10	Zwischenfälle	Zwischenfall	N	NN	Masc|Acc|Pl	8	pn	_	-
11	verliefen	verlaufen	V	VVFIN	3|Pl|Past|_	13	subjc	_	-
12	,	,	$,	$,	_	0	root	_	-
13	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
14	als	als	KOKOM	KOKOM	_	13	kom	_	-
15	Beweis	Beweis	N	NN	Masc|_|Sg	14	cj	_	-
16	für	für	PREP	APPR	Acc	15	pp	_	-
17	die	die	ART	ART	Def|Fem|Acc|Sg	18	det	_	-
18	Funktionsfähigkeit	Funktionsfähigkeit	N	NN	Fem|Acc|Sg	16	pn	_	-
19	der	die	ART	ART	Def|Fem|Gen|Sg	20	det	_	-
20	Demokratie	Demokratie	N	NN	Fem|Gen|Sg	18	gmod	_	-
21	in	in	PREP	APPR	_	13	pp	_	-
22	Panama	Panama	N	NE	Neut|_|Sg	21	pn	_	(0)
23	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Heute	heute	ADV	ADV	_	3	adv	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	alles	alle	PRO	PIS	Neut|Nom|Sg	3	subj	_	-
5	so	so	ADV	ADV	_	6	adv	_	-
6	ruhig	ruhig	ADV	ADJD	Pos|	3	adv	_	-
7	hier	hier	ADV	ADV	_	3	adv	_	-
8	"	"	$(	$(	_	0	root	_	-
9	,	,	$,	$,	_	0	root	_	-
10	kommentierte	kommentieren	V	VVFIN	3|Sg|Past|_	3	s	_	-
11	der	die	ART	ART	Def|Masc|Nom|Sg	12	det	_	(11
12	Salsamusiker	Salsamusiker	N	NE	Masc|Nom|Sg	10	subj	_	-
13	Ruben	Ruben	N	NE	Masc|Nom|Sg	12	app	_	-
14	Blades	Blades	N	NE	Masc|Nom|Sg	13	app	_	11)
15	,	,	$,	$,	_	0	root	_	-
16	der	die	PRO	PRELS	Masc|Nom|Sg	21	subj	_	(11)
17	schon	schon	ADV	ADV	_	20	adv	_	-
18	1994	1994	CARD	CARD	_	19	attr	_	(2
19	Moscoso	Moscoso	N	NN	_|Dat|Pl	20	objd	_	2)
20	unterlegen	unterliegen	V	VVPP	_	21	aux	_	-
21	war	sein	V	VAFIN	3|Sg|Past|Ind	14	rel	_	-
22	.	.	$.	$.	_	0	root	_	-

