1	Polizisten	Polizist	N	NN	Masc|_|Pl	17	vok	_	(0
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	bayerische	bayerisch	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	-
6	Art	Art	N	NN	Fem|Nom|Sg	4	pred	_	-
7	"	"	$(	$(	_	0	root	_	-
8	-	-	$(	$(	_	0	root	_	-
9	diese	diese	ART	PDAT	Fem|Nom|Sg	10	det	_	-
10	Charakterisierung	Charakterisierung	N	NN	Fem|Nom|Sg	18	subj	_	-
11	Bayerns	Bayern	N	NE	Neut|Gen|Sg	10	gmod	_	(2)
12	durch	durch	PREP	APPR	Acc	10	pp	_	-
13	den	die	ART	ART	Def|Masc|Acc|Sg	15	det	_	-
14	derzeitigen	derzeitigen	ADJA	ADJA	_|Masc|Acc|Sg|_	15	attr	_	-
15	CSU-Ministerpräsidenten	CSU-Ministerpräsident	N	NN	Masc|Acc|Sg	12	pn	_	-
16	Maximilian	Maximilian	N	NE	Masc|Acc|Sg	15	app	_	-
17	Streibl	Streibl	N	NE	Masc|Acc|Sg	16	app	_	-
18	entspricht	entsprechen	V	VVFIN	3|Sg|Pres|Ind	4	kon	_	-
19	sicher	sicher	ADV	ADJD	Pos|	18	adv	_	-
20	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
21	dem	die	ART	ART	Def|Masc|Dat|Sg	22	det	_	-
22	Mehrheitswillen	Mehrheitswille	N	NN	Masc|Dat|Sg	18	objd	_	-
23	der	die	ART	ART	Def|Masc|Gen|Pl	25	det	_	-
24	bayerischen	bayerisch	ADJA	ADJA	Pos|Masc|Gen|Pl|Wk|	25	attr	_	-
25	Bürger	Bürger	N	NN	Masc|Gen|Pl	22	gmod	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Dem	die	ART	ART	Def|Neut|Dat|Sg	2	det	_	-
2	Ansehen	Ansehen	N	NN	Neut|Dat|Sg	18	objd	_	-
3	Deutschlands	Deutschland	N	NE	Neut|Gen|Sg	2	gmod	_	-
4	als	als	KOKOM	KOKOM	_	3	kom	_	-
5	zivilisierter	zivilisiert	ADJA	ADJA	Pos|Fem|Gen|Sg|St|	6	attr	_	-
6	Demokratie	Demokratie	N	NN	Fem|_|Sg	4	cj	_	-
7	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
8	diese	diese	ART	PDAT	Fem|Nom|Sg	9	det	_	-
9	Einstellung	Einstellung	N	NN	Fem|Nom|Sg	7	subj	_	-
10	der	die	ART	ART	Def|_|_|_	12	det	_	-
11	bayerischen	bayerisch	ADJA	ADJA	Pos|_|_|_|_|	12	attr	_	-
12	Staats-	Staats-	TRUNC	TRUNC	Fem|_|Sg	9	gmod	_	-
13	und	und	KON	KON	_	12	kon	_	-
14	Parteiführung	Parteiführung	N	NN	Fem|_|Sg	13	cj	_	-
15	freilich	freilich	ADV	ADV	_	18	adv	_	-
16	schwer	schwer	ADV	ADJD	Pos|	18	adv	_	-
17	genug	genug	ADV	ADV	_	16	adv	_	-
18	geschadet	schaden	V	VVPP	_	7	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

