1	Um	Um	KOUI	KOUI	_	6	konj	_	-
13	die	die	ART	ART	Def|Fem|_|Sg	14	det	_	-
14	Pointe	Pointe	N	NN	Fem|_|Sg	0	root	_	-
15	(	(	$(	$(	_	0	root	_	-
16	?	?	$.	$.	_	0	root	_	-

1	)	)	$(	$(	_	0	root	_	-
2	zerstört	zerstören	V	VVFIN	_|_|Pres|Ind	0	root	_	-
3	und	und	KON	KON	_	0	root	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
5	Fernsehkritik	Fernsehkritik	N	NN	Fem|Dat|Sg	12	objd	_	-
6	möglicherweise	möglicherweise	ADV	ADV	_	12	adv	_	-
7	den	die	ART	ART	Def|Masc|Acc|Sg	8	det	_	-
8	Unterton	Unterton	N	NN	Masc|Acc|Sg	12	obja	_	-
9	der	die	ART	ART	Def|Fem|Gen|Sg	11	det	_	-
10	persönlichen	persönlich	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	11	attr	_	-
11	Abrechnung	Abrechnung	N	NN	Fem|Gen|Sg	8	gmod	_	-
12	genommen	nehmen	V	VVPP	_	3	cj	_	-
13	:	\:	$.	$.	_	0	root	_	-
14	Jeder	jede	PRO	PIS	Masc|Nom|Sg	15	subj	_	-
15	polemisiert	polemisieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
16	so	so	ADV	ADV	_	17	adv	_	-
17	elegant	elegant	ADV	ADJD	Pos|	15	adv	_	-
18	wie	wie	KOKOM	KOKOM	_	15	kom	_	-
19	er	er	PRO	PPER	3|Sg|Masc|Nom	18	cj	_	(1)
20	kann	können	V	VMFIN	_|Sg|Pres|Ind	0	root	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	noch	noch	ADV	ADV	_	5	adv	_	-
3	ein	eine	ART	ART	Indef|_|_|Sg	5	det	_	-
4	paar	paar	ART	PIDAT	Fem|_|Pl	5	attr	_	-
5	Kleinigkeiten	Kleinigkeit	N	NN	Fem|_|Pl	1	cj	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	Das	die	ART	ART	Def|Neut|Nom|Sg	9	det	_	(2
8	einzige	einzig	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	9	attr	_	-
9	Schwein	Schwein	N	NN	Neut|Nom|Sg	17	subj	_	-
10	,	,	$,	$,	_	0	root	_	-
11	das	die	PRO	PRELS	Neut|Nom|Sg	15	subj	_	(2)
12	in	in	PREP	APPR	Dat	15	pp	_	-
13	unserem	unsre	ART	PPOSAT	Neut|Dat|Sg	14	det	_	(3)
14	Video	Video	N	NN	Neut|Dat|Sg	12	pn	_	-
15	vorkommt	vorkommen	V	VVFIN	3|Sg|Pres|Ind	9	rel	_	2)
16	,	,	$,	$,	_	0	root	_	-
17	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
18	glaube	glauben	V	VVFIN	_|Sg|Pres|_	0	root	_	-
19	ich	ich	PRO	PPER	Masc|Nom|Sg	0	root	_	(2)
20	"	"	$(	$(	_	0	root	_	-
21	Eberhard	Eberhard	N	NE	Masc|_|Sg	19	app	_	-
22	"	"	$(	$(	_	0	root	_	-
23	und	und	KON	KON	_	0	root	_	-
24	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
25	ein	eine	ART	ART	Indef|Neut|Nom|Sg	28	det	_	(4
26	durchaus	durchaus	ADV	ADV	_	27	adv	_	-
27	sympathisches	sympathisch	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	28	attr	_	-
28	Tier	Tier	N	NN	Neut|Nom|Sg	24	subj	_	-
29	,	,	$,	$,	_	0	root	_	-
30	fleischig	fleischig	ADV	ADJD	Pos|	0	root	_	-
31	und	und	KON	KON	_	30	kon	_	-
32	fett	fett	ADV	ADJD	Pos|	31	cj	_	-
33	:	\:	$.	$.	_	0	root	_	-
34	Weder	weder	KON	KON	_	35	koord	_	-
35	wirkt	wirken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
36	"	"	$(	$(	_	0	root	_	-
37	Eberhard	Eberhard	N	NE	Masc|Nom|Sg	35	subj	_	-
38	"	"	$(	$(	_	0	root	_	-
39	,	,	$,	$,	_	0	root	_	-
40	das	die	PRO	PRELS	Neut|Nom|Sg	48	subj	_	(4)
41	einen	eine	ART	ART	Indef|Masc|Acc|Sg	43	det	_	-
42	roten	rot	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	43	attr	_	-
43	Teppich	Teppich	N	NN	Masc|Acc|Sg	48	obja	_	-
44	für	für	PREP	APPR	Acc	48	pp	_	-
45	die	die	ART	ART	Def|Fem|Acc|Sg	47	det	_	-
46	schwarze	schwarz	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	47	attr	_	-
47	Gefahr	Gefahr	N	NN	Fem|Acc|Sg	44	pn	_	-
48	ausrollt	ausrollen	V	VVFIN	3|Sg|Pres|Ind	28	rel	_	4)
49	,	,	$,	$,	_	0	root	_	-
50	wie	wie	PWAV	PWAV	_	0	root	_	-
51	ein	eine	ART	ART	Indef|Neut|_|Sg	52	det	_	-
52	System	System	N	NN	Neut|_|Sg	0	root	_	-
53	,	,	$,	$,	_	0	root	_	-
54	noch	noch	KON	KON	_	0	root	_	-
55	haben	haben	V	VAFIN	1|Pl|Pres|_	54	cj	_	-
56	wir	wir	PRO	PPER	1|Pl|_|Nom	55	subj	_	(3)
57	die	die	ART	ART	Def|_|_|_	58	det	_	(5
58	taz	taz	N	NN	_|_|_	68	obja	_	5)
59	mit	mit	PREP	APPR	Dat	68	pp	_	-
60	dem	die	ART	ART	Def|_|Dat|Sg	61	det	_	-
61	Ausbund	Ausbund	N	NN	_|Dat|Sg	59	pn	_	-
62	an	an	PREP	APPR	_	61	pp	_	-
63	Humor	Humor	N	NN	Masc|_|Sg	62	pn	_	-
64	und	und	KON	KON	_	63	kon	_	-
65	Gleichmut	Gleichmut	N	NN	Masc|_|Sg	64	cj	_	-
66	in	in	PREP	APPR	_	68	objp	_	-
67	Verbindung	Verbindung	N	NN	Fem|_|Sg	66	pn	_	-
68	gebracht	bringen	V	VVPP	_	55	aux	_	-
69	oder	oder	KON	KON	_	55	kon	_	-
70	in	in	PREP	APPR	_	72	objp	_	-
71	Verbindung	Verbindung	N	NN	Fem|_|Sg	70	pn	_	-
72	bringen	bringen	V	VVINF	_	73	aux	_	-
73	wollen	wollen	V	VMFIN	_|Pl|Pres|_	69	cj	_	-
74	.	.	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Neut|Nom|Sg	4	det	_	-
2	anderes	anderes	ADJA	ADJA	_|Neut|Nom|Sg|_	4	attr	_	-
3	"	"	$(	$(	_	0	root	_	-
4	Schweinesystem	Schweinesystem	N	NN	Neut|Nom|Sg	6	subj	_	-
5	"	"	$(	$(	_	0	root	_	-
6	taucht	tauchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	in	in	PREP	APPR	_	6	objp	_	-
8	"	"	$(	$(	_	0	root	_	-
9	Happy	Happy	FM	FM	Masc|_|Sg	7	pn	_	-
10	birthday	birthday	FM	FM	Masc|_|Sg	9	app	_	-
11	,	,	$,	$,	_	0	root	_	-
12	Haftbefehl	Haftbefehl	N	NN	Masc|_|Sg	10	app	_	-
13	!	!	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	nicht	nicht	PTKNEG	PTKNEG	_	0	root	_	-
3	auf	auf	PTKVZ	PTKVZ	_	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	in	in	PREP	APPR	Dat	0	root	_	-
6	meinem	meine	ART	PPOSAT	Masc|Dat|Sg	7	det	_	(6)
7	Wortschatz	Wortschatz	N	NN	Masc|Dat|Sg	5	pn	_	-
8	sowieso	sowieso	ADV	ADV	_	7	adv	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	5	adv	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Über	über	PREP	APPR	Acc	4	pp	_	-
2	die	die	ART	ART	Def|_|Acc|_	3	det	_	(5
3	taz	taz	N	NN	_|Acc|_	1	pn	_	5)
4	sagen	sagen	V	VVFIN	1|Pl|Pres|_	0	root	_	-
5	wir	wir	PRO	PPER	1|Pl|_|Nom	4	subj	_	(3)
6	lediglich	lediglich	ADV	ADV	_	4	adv	_	-
7	aus	aus	PTKVZ	PTKVZ	_	4	avz	_	-
8	,	,	$,	$,	_	0	root	_	-
9	daß	daß	KOUS	KOUS	_	17	konj	_	-
10	sie	sie	PRO	PPER	3|Sg|Fem|Nom	17	subj	_	(5)
11	früher	früh	ADV	ADJD	_|	17	adv	_	-
12	"	"	$(	$(	_	0	root	_	-
13	Teil	Teil	N	NN	_|Nom|Sg	17	pred	_	-
14	der	die	ART	ART	Def|Fem|Gen|Sg	15	det	_	-
15	Szene	Szene	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	"	"	$(	$(	_	0	root	_	-
17	war	sein	V	VAFIN	3|Sg|Past|Ind	4	objc	_	-
18	,	,	$,	$,	_	0	root	_	-
19	und	und	KON	KON	_	17	kon	_	-
20	daß	daß	KOUS	KOUS	_	25	konj	_	-
21	sie	sie	PRO	PPER	3|Sg|Fem|Nom	25	subj	_	(5)
22	"	"	$(	$(	_	0	root	_	-
23	ehemals	ehemals	ADV	ADV	_	25	adv	_	-
24	links	links	ADV	ADV	_	25	adv	_	-
25	war	sein	V	VAFIN	3|Sg|Past|Ind	19	cj	_	-
26	"	"	$(	$(	_	0	root	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(6)
2	finde	finden	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	daß	daß	KOUS	KOUS	_	11	konj	_	-
5	das	die	PRO	PDS	Neut|Nom|Sg	11	subj	_	-
6	eine	eine	ART	ART	Indef|Fem|Nom|Sg	10	det	_	-
7	zurückhaltende	zurückhaltend	ADJA	ADJA	Pos|Fem|Nom|Sg|_|_	10	attr	_	-
8	,	,	$,	$,	_	0	root	_	-
9	freundliche	freundlich	ADJA	ADJA	Pos|_|Nom|_|_|	7	kon	_	-
10	Charakterisierung	Charakterisierung	N	NN	Fem|Nom|Sg	11	pred	_	-
11	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	objc	_	-
12	-	-	$(	$(	_	0	root	_	-
13	da	da	KOUS	KOUS	_	0	root	_	-
14	ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	(6)
15	weder	weder	KON	KON	_	0	root	_	-
16	SPD	SPD	N	NE	_	0	root	_	(8)
17	,	,	$,	$,	_	0	root	_	-
18	noch	noch	KON	KON	_	0	root	_	-
19	Grüne	Grüne	N	NN	_|_|_	18	cj	_	-
20	,	,	$,	$,	_	0	root	_	-
21	noch	noch	KON	KON	_	0	root	_	-
22	Nato-Einsatz	Nato-Einsatz	N	NN	Masc|Nom|Sg	27	subj	_	(9)
23	in	in	PREP	APPR	_	27	objp	_	-
24	Bosnien	Bosnien	N	NN	Neut|_|Sg	23	pn	_	-
25	für	für	PREP	APPR	Acc	24	pp	_	-
26	links	links	ADV	ADV	_	25	adv	_	-
27	halte	halten	V	VVFIN	3|Sg|Pres|Subj	21	cj	_	-
28	,	,	$,	$,	_	0	root	_	-
29	habe	haben	V	VAFIN	1|Sg|Pres|_	27	par	_	-
30	ich	ich	PRO	PPER	1|Sg|_|Nom	29	subj	_	(6)
31	gedacht	denken	V	VVPP	_	29	aux	_	-
32	,	,	$,	$,	_	0	root	_	-
33	daß	daß	KOUS	KOUS	_	0	root	_	-
34	die	die	ART	ART	Def|_|_|_	35	det	_	(5
35	taz	taz	N	NE	_|_|_	0	root	_	-
36	auch	auch	ADV	ADV	_	35	adv	_	5)
37	das	die	ART	ART	Def|Neut|_|Sg	0	root	_	-
38	"	"	$(	$(	_	0	root	_	-
39	ehemals	ehemals	ADV	ADV	_	40	adv	_	-
40	links	links	ADV	ADV	_	43	adv	_	-
41	"	"	$(	$(	_	0	root	_	-
42	gut	gut	ADV	ADJD	Pos|	43	adv	_	-
43	verkraftet	verkraften	V	VVFIN	_|_|Pres|_	0	root	_	-
44	.	.	$.	$.	_	0	root	_	-

1	Sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	-
2	das	die	PRO	PDS	Neut|Nom|Sg	1	subj	_	-
3	falsch	falsch	ADV	ADJD	Pos|	4	pred	_	-
4	sein	sein	V	VAINF	_	1	aux	_	-
5	:	\:	$.	$.	_	0	root	_	-
6	Ich	ich	PRO	PPER	1|Sg|_|Nom	7	subj	_	(6)
7	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
8	kein	keine	ART	PIAT	Masc|Nom|Sg	9	det	_	-
9	Linienrichter	Linienrichter	N	NN	Masc|Nom|Sg	7	pred	_	-
10	,	,	$,	$,	_	0	root	_	-
11	und	und	KON	KON	_	7	kon	_	-
12	ihr	ihr	PRO	PPER	2|Pl|_|Nom	13	subj	_	-
13	gehört	gehören	V	VVFIN	2|Pl|Pres|Ind	11	cj	_	-
14	weiterhin	weiterhin	ADV	ADV	_	13	adv	_	-
15	dazu	dazu	PTKVZ	PTKVZ	_	13	avz	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Herzlich	herzlich	ADV	ADV	_	2	adv	_	-
2	willkommen	willkommen	ADV	ADJD	Pos|	4	adv	_	-
3	zurück	zurück	ADV	ADV	_	2	adv	_	-
4	im	in	PREP	APPRART	Dat	0	root	_	-
5	Klub	Klub	N	NN	Masc|Dat|Sg	4	pn	_	-
6	!	!	$.	$.	_	0	root	_	-

1	Mehr	mehr	ADV	ADV	_	2	adv	_	-
2	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(6)
4	dazu	dazu	PROAV	PROAV	_	8	pp	_	-
5	auch	auch	ADV	ADV	_	8	adv	_	-
6	gar	gar	ADV	ADV	_	7	adv	_	-
7	nicht	nicht	PTKNEG	PTKNEG	_	8	adv	_	-
8	sagen	sagen	V	VVINF	_	2	aux	_	-
9	,	,	$,	$,	_	0	root	_	-
10	weil	weil	KOUS	KOUS	_	29	konj	_	-
11	das	die	ART	ART	Def|Neut|Nom|Sg	12	det	_	-
12	Thema	Thema	N	NN	Neut|Nom|Sg	29	subj	_	-
13	des	die	ART	ART	Def|Neut|Gen|Sg	14	det	_	(7
14	Videos	Video	N	NN	Neut|Gen|Sg	12	gmod	_	-
15	eben	eben	ADV	ADV	_	18	adv	_	-
16	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
17	"	"	$(	$(	_	0	root	_	-
18	Linke	link	ADJA	ADJA	Pos|_|Nom|Pl|St|	19	attr	_	-
19	Medien	Media	N	NN	_|Nom|Pl	29	pred	_	-
20	,	,	$,	$,	_	0	root	_	-
21	was	was	PRO	PRELS	Neut|_|Sg	23	obja	_	(7)
22	sie	sie	PRO	PPER	3|Pl|_|Nom	23	subj	_	(8)
23	wollten	wollen	V	VMFIN	3|Pl|Past|_	14	rel	_	7)
24	,	,	$,	$,	_	0	root	_	-
25	was	was	PRO	PRELS	Neut|_|Sg	27	obja	_	(7)
26	sie	sie	PRO	PPER	3|Pl|_|Nom	27	subj	_	(8)
27	wurden	werden	V	VAFIN	3|Pl|Past|Ind	29	objc	_	-
28	"	"	$(	$(	_	0	root	_	-
29	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	neb	_	-
30	,	,	$,	$,	_	0	root	_	-
31	sondern	sondern	KON	KON	_	0	root	_	-
32	"	"	$(	$(	_	0	root	_	-
33	repressiver	repressiv	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	34	attr	_	-
34	Staat	Staat	N	NN	Masc|Nom|Sg	31	cj	_	-
35	,	,	$,	$,	_	0	root	_	-
36	was	was	PRO	PRELS	Neut|_|Sg	38	obja	_	(7)
37	er	er	PRO	PPER	3|Sg|Masc|Nom	38	subj	_	(9)
38	tut	tun	V	VVFIN	3|Sg|Pres|Ind	25	rel	_	-
39	und	und	KON	KON	_	38	kon	_	-
40	was	was	PRO	PWS	Neut|_|Sg	42	obja	_	-
41	er	er	PRO	PPER	3|Sg|Masc|Nom	42	subj	_	(9)
42	tat	tun	V	VVFIN	3|Sg|Past|Ind	39	cj	_	-
43	"	"	$(	$(	_	0	root	_	-
44	.	.	$.	$.	_	0	root	_	-

1	Für	für	PREP	APPR	Acc	6	pp	_	-
2	das	die	ART	ART	Def|Neut|Acc|Sg	3	det	_	-
3	Publikum	Publikum	N	NN	Neut|Acc|Sg	1	pn	_	-
4	von	von	PREP	APPR	_	3	pp	_	-
5	RTL	RTL	N	NE	_|_|_	4	pn	_	-
6	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
7	uns	wir	PRO	PPER	1|Pl|_|Dat	6	objd	_	(10)
8	das	die	PRO	PDS	Neut|Nom|Sg	6	subj	_	-
9	die	die	ART	ART	Def|Fem|Nom|Sg	13	det	_	-
10	erst	erst	ADV	ADV	_	13	adv	_	-
11	mal	mal	ADV	ADV	_	12	adv	_	-
12	interessante	interessant	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	-
13	Frage	Frage	N	NN	Fem|Nom|Sg	15	pred	_	-
14	zu	zu	PTKZU	PTKZU	_	15	part	_	-
15	sein	sein	V	VAINF	_	6	obji	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Andernfalls	andernfalls	ADV	ADV	_	2	adv	_	-
2	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	-
3	uns	wir	PRO	PPER	1|Pl|_|Dat	10	objd	_	(10)
4	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	(5
5	taz	taz	N	NE	Fem|Nom|Sg	2	subj	_	-
6	sicherlich	sicherlich	ADV	ADV	_	5	adv	_	-
7	"	"	$(	$(	_	0	root	_	-
8	Selbstbespiegelung	Selbstbespiegelung	N	NN	Fem|Nom|Sg	5	app	_	5)
9	"	"	$(	$(	_	0	root	_	-
10	vorgeworfen	vorwerfen	V	VVPP	_	2	aux	_	-
11	und	und	KON	KON	_	0	root	_	-
12	schlechtes	schlecht	ADJA	ADJA	Pos|Neut|_|Sg|St|	13	attr	_	-
13	Infotainment	Infotainment	N	NN	Neut|_|Sg	11	cj	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	(10)
2	dachten	denken	V	VVFIN	1|Pl|Past|Ind	0	root	_	-
3	Konzentration	Konzentration	N	NN	_|Nom|Sg	7	subj	_	-
4	auf	auf	PREP	APPR	Acc	3	pp	_	-
5	das	die	ART	ART	Def|Neut|Acc|Sg	6	det	_	-
6	Verfahren	Verfahren	N	NN	Neut|Acc|Sg	4	pn	_	-
7	sei	sein	V	VAFIN	3|Sg|Pres|Subj	2	s	_	-
8	auch	auch	ADV	ADV	_	7	adv	_	-
9	sinnvoll	sinnvoll	ADV	ADJD	Pos|	7	pred	_	-
10	,	,	$,	$,	_	0	root	_	-
11	weil	weil	KOUS	KOUS	_	35	konj	_	-
12	wir	wir	PRO	PPER	1|Pl|_|Nom	35	subj	_	(10)
13	in	in	PREP	APPR	Dat	34	pp	_	-
14	der	die	ART	ART	Def|Fem|Dat|Sg	16	det	_	-
15	bundesweiten	bundesweit	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	16	attr	_	-
16	taz-Ausgabe	taz-Ausgabe	N	NN	Fem|Dat|Sg	13	pn	_	-
17	noch	noch	ADV	ADV	_	34	adv	_	-
18	nie	nie	ADV	ADV	_	34	adv	_	-
19	einen	eine	ART	ART	Indef|Masc|Acc|Sg	22	det	_	-
20	so	so	ADV	ADV	_	21	adv	_	-
21	ausführlichen	ausführlich	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	22	attr	_	-
22	Bericht	Bericht	N	NN	Masc|Acc|Sg	34	obja	_	-
23	über	über	PREP	APPR	Acc	22	pp	_	-
24	die	die	ART	ART	Def|Fem|Acc|Pl	25	det	_	-
25	Verhaftungen	Verhaftung	N	NN	Fem|Acc|Pl	23	pn	_	-
26	,	,	$,	$,	_	0	root	_	-
27	die	die	ART	ART	Def|Fem|Acc|Sg	28	det	_	-
28	Soliarbeit	Soliarbeit	N	NN	Fem|Acc|Sg	25	kon	_	-
29	und	und	KON	KON	_	28	kon	_	-
30	die	die	ART	ART	Def|Fem|Acc|Sg	31	det	_	-
31	Geschichte	Geschichte	N	NN	Fem|Acc|Sg	29	cj	_	-
32	der	die	ART	ART	Def|Masc|Gen|Pl	33	det	_	-
33	Prozesse	Prozess	N	NN	Masc|Gen|Pl	31	gmod	_	-
34	gelesen	lesen	V	VVPP	_	35	aux	_	-
35	haben	haben	V	VAFIN	1|Pl|Pres|_	7	neb	_	-
36	,	,	$,	$,	_	0	root	_	-
37	wie	wie	KOKOM	KOKOM	_	0	root	_	-
38	in	in	PREP	APPR	Dat	37	cj	_	-
39	dieser	diese	ART	PDAT	Fem|Dat|Sg	40	det	_	-
40	Kritik	Kritik	N	NN	Fem|Dat|Sg	38	pn	_	-
41	unserer	unsre	ART	PPOSAT	Fem|Gen|Sg	42	det	_	(10)
42	Sendung	Sendung	N	NN	Fem|Gen|Sg	40	gmod	_	-
43	.	.	$.	$.	_	0	root	_	-

1	Tatsächlich	tatsächlich	ADV	ADJD	Pos|	2	adv	_	-
2	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(11)
4	aber	aber	ADV	ADV	_	2	adv	_	-
5	auch	auch	ADV	ADV	_	2	adv	_	-
6	,	,	$,	$,	_	0	root	_	-
7	daß	daß	KOUS	KOUS	_	10	konj	_	-
8	es	es	PRO	PPER	3|Sg|Neut|_	10	expl	_	-
9	interessant	interessant	ADV	ADJD	Pos|	10	pred	_	-
10	wäre	sein	V	VAFIN	_|Sg|Past|Subj	2	objc	_	-
11	zu	zu	PTKZU	PTKZU	_	12	part	_	-
12	diskutieren	diskutieren	V	VVINF	_	10	obji	_	-
13	,	,	$,	$,	_	0	root	_	-
14	warum	warum	PWAV	PWAV	_	24	adv	_	-
15	die	die	ART	ART	Def|Fem|Nom|Sg	16	det	_	-
16	Linke	Linke	N	NN	Fem|Nom|Sg	24	subj	_	-
17	heute	heute	ADV	ADV	_	24	adv	_	-
18	nur	nur	ADV	ADV	_	24	adv	_	-
19	noch	noch	ADV	ADV	_	24	adv	_	-
20	eine	eine	ART	ART	Indef|Fem|_|Sg	23	det	_	-
21	marginale	marginal	ADJA	ADJA	Pos|Fem|_|Sg|_|	23	attr	_	-
22	gesellschaftliche	gesellschaftlich	ADJA	ADJA	Pos|Fem|_|Sg|_|	23	attr	_	-
23	Rolle	Rolle	N	NN	Fem|_|Sg	24	obja	_	-
24	spielt	spielen	V	VVFIN	3|Sg|Pres|Ind	12	objc	_	-
25	und	und	KON	KON	_	24	kon	_	-
26	warum	warum	PWAV	PWAV	_	33	adv	_	-
27	die	die	ART	ART	Def|_|Nom|Pl	28	det	_	-
