1	Am	Am	PTKA	PTKA	_	2	adv	_	-
18	man	man	PRO	PIS	_|Nom|Sg	17	subj	_	-
19	vielleicht	vielleicht	ADV	ADV	_	17	adv	_	-
20	den	die	ART	ART	Def|Masc|_|_	21	det	_	-
21	Bogen	Bogen	N	NN	Masc|_|_	17	obja	_	-
22	gegen	gegen	PREP	APPR	Acc	17	pp	_	-
23	die	die	ART	ART	Def|Masc|Acc|Pl	24	det	_	-
24	Antifaschisten	Antifaschist	N	NN	Masc|Acc|Pl	22	pn	_	-
25	ein	eine	ART	ART	Indef|_|_|Sg	0	root	_	-
26	wenig	wenig	ADV	ADV	_	0	root	_	-
27	überspannt	überspannen	V	VVPP	_	0	root	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Doch	doch	KON	KON	_	0	root	_	-
2	letztlich	letztlich	ADV	ADV	_	3	adv	_	-
3	erkannte	erkennen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	-
4	das	die	ART	ART	Def|Neut|Nom|Sg	5	det	_	-
5	Gericht	Gericht	N	NN	Neut|Nom|Sg	3	subj	_	-
6	die	die	ART	ART	Def|Fem|_|Sg	8	det	_	-
7	grundsätzliche	grundsätzlich	ADJA	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	-
8	Bedeutung	Bedeutung	N	NN	Fem|_|Sg	3	obja	_	-
9	dieses	diese	ART	PDAT	Masc|Gen|Sg	10	det	_	-
10	Rechtsstreits	Rechtsstreit	N	NN	Masc|Gen|Sg	8	gmod	_	-
11	-	-	$(	$(	_	0	root	_	-
12	immerhin	immerhin	ADV	ADV	_	13	adv	_	-
13	waren	sein	V	VAFIN	3|Pl|Past|Ind	3	kon	_	-
14	die	die	ART	ART	Def|_|Nom|Pl	15	det	_	-
15	Verantwortlichen	Verantwortliche	N	NN	_|Nom|Pl	13	subj	_	-
16	allesamt	allesamt	ADV	ADV	_	18	adv	_	(0
17	"	"	$(	$(	_	0	root	_	-
18	Wessis	Wessi	N	NN	Masc|Nom|Pl	13	pred	_	-
19	"	"	$(	$(	_	0	root	_	-
20	,	,	$,	$,	_	0	root	_	-
21	die	die	PRO	PRELS	Masc|Nom|Pl	32	subj	_	(0)
22	ja	ja	ADV	ADV	_	31	adv	_	-
23	seit	seit	PREP	APPR	Dat	31	pp	_	-
24	fünf	fünf	CARD	CARD	_	25	attr	_	-
25	Jahren	Jahr	N	NN	Neut|Dat|Pl	23	pn	_	-
26	das	die	ART	ART	Def|Neut|_|Sg	27	det	_	-
27	Ruder	Ruder	N	NN	Neut|_|Sg	31	obja	_	-
28	in	in	PREP	APPR	Dat	31	pp	_	-
29	der	die	ART	ART	Def|Fem|Dat|Sg	30	det	_	-
30	Polizeiflotte	Polizeiflott	N	NN	Fem|Dat|Sg	28	pn	_	-
31	übernommen	übernehmen	V	VVPP	_	32	aux	_	-
32	haben	haben	V	VAFIN	3|Pl|Pres|_	18	rel	_	0)
33	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|_	2	expl	_	-
2	gelte	gelten	V	VVFIN	_|Sg|Pres|_	0	root	_	-
3	daher	daher	PROAV	PROAV	_	2	pp	_	-
4	grundsätzlich	grundsätzlich	ADV	ADJD	Pos|	2	adv	_	-
5	,	,	$,	$,	_	0	root	_	-
6	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	-
7	westlichen	westlich	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	8	attr	_	-
8	Vorgehensweise	Vorgehensweise	N	NN	Fem|Dat|Sg	22	objd	_	-
9	-	-	$(	$(	_	0	root	_	-
10	wo	wo	PWAV	PWAV	_	18	adv	_	-
11	Angriffe	Angriff	N	NN	Masc|Nom|Pl	18	subj	_	-
12	auf	auf	PREP	APPR	Acc	11	pp	_	-
13	das	die	ART	ART	Def|Neut|Acc|Sg	14	det	_	-
14	Demonstrationsrecht	Demonstrationsrecht	N	NN	Neut|Acc|Sg	12	pn	_	-
15	eine	eine	ART	ART	Indef|Fem|_|Sg	17	det	_	-
16	unschöne	unschön	ADJA	ADJA	Pos|Fem|_|Sg|_|	17	attr	_	-
17	Tradition	Tradition	N	NN	Fem|_|Sg	18	obja	_	-
18	haben	haben	V	VAFIN	3|Pl|Pres|_	8	par	_	-
19	-	-	$(	$(	_	0	root	_	-
20	Einheit	Einheit	N	NN	Fem|_|Sg	22	obja	_	-
21	zu	zu	PTKZU	PTKZU	_	22	part	_	-
22	gebieten	gebieten	V	VVINF	_	2	obji	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Deshalb	Deshalb	PROAV	PROAV	_	2	pp	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	das	die	ART	ART	Def|Neut|Nom|Sg	5	det	_	-
4	gestrige	gestrig	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	5	attr	_	-
5	Verfahren	Verfahren	N	NN	Neut|Nom|Sg	2	subj	_	-
6	ein	eine	ART	ART	Indef|Masc|Nom|Sg	8	det	_	-
7	wichtiger	wichtig	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	_	-
8	Markstein	Markstein	N	NN	Masc|Nom|Sg	2	pred	_	-
9	für	für	PREP	APPR	Acc	8	pp	_	-
10	das	die	ART	ART	Def|Neut|Acc|Sg	11	det	_	-
11	Bemühen	Bemühen	N	NN	Neut|Acc|Sg	9	pn	_	-
12	,	,	$,	$,	_	0	root	_	-
13	westliches	westlich	ADJA	ADJA	Pos|Neut|_|Sg|St|	14	attr	_	-
14	Handeln	Handeln	N	NN	Neut|_|Sg	18	obja	_	-
15	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
16	automatisch	automatisch	ADV	ADJD	Pos|	18	adv	_	-
17	zu	zu	PTKZU	PTKZU	_	18	part	_	-
18	übernehmen	übernehmen	V	VVINF	_	11	obji	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Zugleich	zugleich	ADV	ADV	_	2	adv	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
4	eine	eine	ART	ART	Indef|Fem|Nom|Sg	6	det	_	-
5	symbolische	symbolisch	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	-
6	Ohrfeige	Ohrfeige	N	NN	Fem|Nom|Sg	2	pred	_	-
7	für	für	PREP	APPR	Acc	6	pp	_	-
8	die	die	ART	ART	Def|Masc|Acc|Pl	10	det	_	-
9	"	"	$(	$(	_	0	root	_	-
10	Wessi	Wessi	N	NN	Masc|Acc|Pl	7	pn	_	-
11	"	"	$(	$(	_	0	root	_	-
12	-Einsatzführer	Einsatzführer	N	NN	Masc|Acc|_	10	app	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Vielleicht	vielleicht	ADV	ADV	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	vielleicht	vielleicht	ADV	ADV	_	12	adv	_	-
4	-	-	$(	$(	_	0	root	_	-
5	mensch	mensch	ADV	ADJD	_	6	adv	_	-
6	wird	werden	V	VAFIN	3|Sg|Pres|Ind	3	par	_	-
7	ja	ja	ADV	ADV	_	9	adv	_	-
8	noch	noch	ADV	ADV	_	9	adv	_	-
9	hoffen	hoffen	V	VVINF	_	10	aux	_	-
10	dürfen	dürfen	V	VMINF	_	6	aux	_	-
11	-	-	$(	$(	_	0	root	_	-
12	nach	nach	PREP	APPR	Dat	18	pp	_	-
13	all	all	ART	PIDAT	Masc|Dat|Pl	17	det	_	-
14	den	die	ART	ART	Def|Masc|Dat|Pl	17	det	_	-
15	zahlreichen	zahlreich	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	17	attr	_	-
16	verlorenen	verloren	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	17	attr	_	-
17	Prozessen	Prozess	N	NN	Masc|Dat|Pl	12	pn	_	-
18	tritt	treten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
19	nach	nach	PREP	APPR	Dat	18	pp	_	-
20	dieser	diese	ART	PDAT	Fem|Dat|Sg	22	det	_	-
21	erneuten	erneut	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	22	attr	_	-
22	Niederlage	Niederlage	N	NN	Fem|Dat|Sg	19	pn	_	-
23	auch	auch	ADV	ADV	_	18	adv	_	-
24	bei	bei	PREP	APPR	Dat	18	pp	_	-
25	Hamburgs	Hamburg	N	NE	Neut|Gen|Sg	26	gmod	_	-
26	Polizeiführern	Polizeiführer	N	NN	Masc|Dat|_	24	pn	_	-
27	endlich	endlich	ADV	ADJD	Pos|	18	adv	_	-
28	ein	eine	ART	ART	Indef|Masc|Nom|Sg	29	det	_	-
29	Lerneffekt	Lerneffekt	N	NN	Masc|Nom|Sg	18	subj	_	-
30	ein	ein	PTKVZ	PTKVZ	_	18	avz	_	-
31	:	\:	$.	$.	_	0	root	_	-
32	Den	die	ART	ART	Def|Fem|Dat|Pl	34	det	_	-
33	dummerhaftigen	dummerhaftigen	ADJA	ADJA	_|Fem|Dat|Pl|_	34	attr	_	-
34	Prognosen	Prognose	N	NN	Fem|Dat|Pl	0	root	_	-
35	des	die	ART	ART	Def|Masc|Gen|Sg	36	det	_	-
36	Staatsschutzes	Staatsschutz	N	NN	Masc|Gen|Sg	34	gmod	_	-
37	,	,	$,	$,	_	0	root	_	-
38	der	die	ART	ART	Def|_|_|_	0	root	_	-
39	allüberall	allüberall	ADJA	ADJA	_|Neut|_|Pl|_	40	attr	_	-
40	RAF-Umfelder	RAF-Umfeld	N	NN	Neut|_|Pl	41	obja	_	-
41	ausgemacht	ausmachen	V	VVPP	_	42	aux	_	-
42	haben	haben	V	VAINF	_	43	aux	_	-
43	will	wollen	V	VMFIN	_|Sg|Pres|Ind	0	root	_	-
44	-	-	$(	$(	_	0	root	_	-
45	nicht	nicht	PTKNEG	PTKNEG	_	49	adv	_	-
46	mehr	mehr	ADV	ADV	_	45	adv	_	-
47	bedingungslos	bedingungslos	ADV	ADJD	Pos|	49	adv	_	-
48	zu	zu	PTKZU	PTKZU	_	49	part	_	-
49	glauben	glauben	V	VVINF	_	0	root	_	-
50	.	.	$.	$.	_	0	root	_	-

