1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
18	lehnen	lehnen	V	VVFIN	1|Pl|Pres|_	0	root	_	-
19	wir	wir	PRO	PPER	1|Pl|_|Nom	18	subj	_	-
20	ab	ab	PTKVZ	PTKVZ	_	18	avz	_	-
21	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Mit	mit	PREP	APPR	Dat	0	root	_	-
3	Blick	Blick	N	NN	Masc|Dat|Sg	2	pn	_	-
4	auf	auf	PREP	APPR	Acc	3	pp	_	-
5	aktuelle	aktuell	ADJA	ADJA	Pos|Masc|Acc|Pl|St|	6	attr	_	-
6	Konflikte	Konflikt	N	NN	Masc|Acc|Pl	4	pn	_	-
7	wie	wie	KOKOM	KOKOM	_	0	root	_	-
8	den	die	ART	ART	Def|_|_|_	0	root	_	-
9	in	in	PREP	APPR	_	11	pp	_	-
10	Bosnien	Bosnien	N	NN	Neut|_|Sg	9	pn	_	-
11	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
12	aber	aber	ADV	ADV	_	23	adv	_	-
13	nun	nun	ADV	ADV	_	23	adv	_	-
14	zugleich	zugleich	ADV	ADV	_	23	adv	_	-
15	auf	auf	PREP	APPR	Acc	23	objp	_	-
16	"	"	$(	$(	_	0	root	_	-
17	das	die	ART	ART	Def|Neut|Acc|Sg	18	det	_	-
18	Dilemma	Dilemma	N	NN	Neut|Acc|Sg	15	pn	_	-
19	der	die	ART	ART	Def|Fem|Gen|Sg	21	det	_	-
20	internationalen	international	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	21	attr	_	-
21	Gemeinschaft	Gemeinschaft	N	NN	Fem|Gen|Sg	18	gmod	_	-
22	"	"	$(	$(	_	0	root	_	-
23	verwiesen	verweisen	V	VVPP	_	11	aux	_	-
24	:	\:	$.	$.	_	0	root	_	-
25	"	"	$(	$(	_	0	root	_	-
26	Aktives	aktiv	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	27	attr	_	-
27	Eingreifen	Eingreif	N	NN	Neut|Nom|Sg	32	subj	_	-
28	zur	zu	PREP	APPRART	Dat	27	pp	_	-
29	Bewahrung	Bewahrung	N	NN	Fem|Dat|Sg	28	pn	_	-
30	des	die	ART	ART	Def|Masc|Gen|Sg	31	det	_	-
31	Friedens	Friede	N	NN	Masc|Gen|Sg	29	gmod	_	-
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
33	nötig	nötig	ADV	ADJD	Pos|	32	pred	_	-
34	,	,	$,	$,	_	0	root	_	-
35	aber	aber	KON	KON	_	33	kon	_	-
36	nicht	nicht	PTKNEG	PTKNEG	_	38	adv	_	-
37	immer	immer	ADV	ADV	_	38	adv	_	-
38	erfolgreich	erfolgreich	ADV	ADJD	Pos|	39	adv	_	-
39	möglich	möglich	ADV	ADJD	Pos|	35	cj	_	-
40	.	.	$.	$.	_	0	root	_	-

1	Dauerhafter	dauerhaft	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	2	attr	_	-
2	Frieden	Frieda	N	NN	Masc|Nom|Sg	3	subj	_	-
3	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	sich	sie	PRO	PRF	3|_|_	7	obja	_	-
5	nicht	nicht	PTKNEG	PTKNEG	_	7	adv	_	-
6	militärisch	militärisch	ADV	ADJD	Pos|	7	adv	_	-
7	erzwingen	erzwingen	V	VVINF	_	3	obji	_	-
8	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	-
3	Formulierung	Formulierung	N	NN	Fem|Nom|Sg	4	subj	_	-
4	bietet	bieten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	Spielraum	Spielraum	N	NN	Masc|_|Sg	4	obja	_	-
6	für	für	PREP	APPR	Acc	5	pp	_	-
7	Koalitionsverhandlungen	Koalitionsverhandlung	N	NN	Fem|Acc|Pl	6	pn	_	(6)
8	.	.	$.	$.	_	0	root	_	-

1	Nach	Nach	ADV	ADV	_	4	adv	_	-
2	wie	wie	KOKOM	KOKOM	_	1	kom	_	-
3	vor	vor	ADV	ADV	_	2	cj	_	-
4	fordern	fordern	V	VVFIN	_|Pl|Pres|_	0	root	_	-
5	die	die	ART	ART	Def|Fem|_|Sg	6	det	_	-
6	Grünen	Grüne	N	NN	Fem|_|Sg	4	obja	_	-
7	eine	eine	ART	ART	Indef|Fem|_|Sg	10	det	_	-
8	"	"	$(	$(	_	0	root	_	-
9	grundlegende	grundlegend	ADJA	ADJA	Pos|Fem|_|Sg|_|_	10	attr	_	-
10	Neuorientierung	Neuorientierung	N	NN	Fem|_|Sg	6	app	_	-
11	"	"	$(	$(	_	0	root	_	-
12	der	die	ART	ART	Def|Fem|Gen|Sg	13	det	_	-
13	Sicherheitspolitik	Sicherheitspolitik	N	NN	Fem|Gen|Sg	10	gmod	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Militärbündnisse	Militärbündnis	N	NN	Neut|Nom|Pl	5	subj	_	-
2	und	und	KON	KON	_	1	kon	_	-
3	nationale	national	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	4	attr	_	-
4	Armeen	Armee	N	NN	Fem|Nom|Pl	2	cj	_	-
5	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	-
6	in	in	PREP	APPR	Dat	14	pp	_	-
7	einer	eine	ART	ART	Indef|Fem|_|Sg	10	det	_	-
8	"	"	$(	$(	_	0	root	_	-
9	gesamteuropäischen	gesamteuropäisch	ADJA	ADJA	Pos|_|_|_|_|	10	attr	_	-
10	Friedens-	Friedens-	TRUNC	TRUNC	Fem|_|Sg	6	pn	_	-
11	und	und	KON	KON	_	10	kon	_	-
12	Sicherheitsordnung	Sicherheitsordnung	N	NN	Fem|_|Sg	11	cj	_	(7
13	"	"	$(	$(	_	0	root	_	-
14	aufgelöst	auflösen	V	VVPP	_	15	aux	_	-
15	werden	werden	V	VAINF	_	5	aux	_	-
16	,	,	$,	$,	_	0	root	_	-
17	die	die	PRO	PRELS	Fem|Nom|Sg	22	subj	_	(7)
18	auch	auch	ADV	ADV	_	21	adv	_	-
19	die	die	ART	ART	Def|_|_|_	20	det	_	-
20	Nato	Nato	N	NE	_|_|_	21	obja	_	-
21	ablösen	ablösen	V	VVINF	_	22	aux	_	-
22	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	12	rel	_	7)
23	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	allerdings	allerdings	ADV	ADV	_	5	adv	_	-
4	schrittweise	schrittweise	ADV	ADJD	Pos|	5	adv	_	-
5	geschehen	geschehen	V	VVINF	_	2	aux	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	Das	die	ART	ART	Def|Neut|Nom|Sg	8	det	_	-
8	Projekt	Projekt	N	NN	Neut|Nom|Sg	9	subj	_	-
9	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
10	langfristig	langfristig	ADV	ADJD	Pos|	9	pred	_	-
11	und	und	KON	KON	_	9	kon	_	-
12	weise	weisen	V	VVFIN	_|Sg|Pres|_	11	cj	_	-
13	"	"	$(	$(	_	0	root	_	-
14	weit	weit	ADV	ADJD	Pos|	15	adv	_	-
15	über	über	PREP	APPR	Acc	12	pp	_	-
16	den	die	ART	ART	Def|Masc|Acc|Sg	17	det	_	-
17	Horizont	Horizont	N	NN	Masc|Acc|Sg	15	pn	_	-
18	einer	eine	ART	ART	Indef|Fem|Gen|Sg	19	det	_	-
19	Regierungsperiode	Regierungsperiode	N	NN	Fem|Gen|Sg	17	gmod	_	-
20	"	"	$(	$(	_	0	root	_	-
21	hinaus	hinaus	PTKVZ	PTKVZ	_	12	avz	_	-
22	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Friedenspolitische	friedenspolitisch	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	3	attr	_	-
3	Vorstellungen	Vorstellung	N	NN	Fem|Nom|Pl	4	subj	_	-
4	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	-
5	nur	nur	ADV	ADV	_	12	adv	_	-
6	im	in	PREP	APPRART	Dat	12	pp	_	-
7	Dialog	Dialog	N	NN	_|Dat|Sg	6	pn	_	-
8	mit	mit	PREP	APPR	Dat	7	pp	_	-
9	Freunden	Freund	N	NN	_|Dat|_	8	pn	_	-
10	und	und	KON	KON	_	9	kon	_	-
11	Partnern	Partner	N	NN	Masc|Dat|Pl	10	cj	_	-
12	umgesetzt	umsetzen	V	VVPP	_	13	aux	_	-
13	werden	werden	V	VAINF	_	4	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|Masc|Nom|Sg	3	det	_	-
2	einseitiger	einseitig	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	-
3	Austritt	Austritt	N	NN	Masc|Nom|Sg	8	subj	_	-
4	Deutschlands	Deutschland	N	NE	Neut|Gen|Sg	3	gmod	_	-
5	aus	aus	PREP	APPR	Dat	3	pp	_	-
6	der	die	ART	ART	Def|Fem|Dat|Sg	7	det	_	-
7	NATO	NATO	N	NE	Fem|Dat|Sg	5	pn	_	-
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
9	abzulehnen	ablehnen	V	VVIZU	_	8	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Auch	auch	ADV	ADV	_	3	adv	_	-
3	weiterhin	weiterhin	ADV	ADV	_	4	adv	_	-
4	halten	halten	V	VVFIN	3|Pl|Pres|_	0	root	_	-
5	die	die	ART	ART	Def|_|Nom|Pl	6	det	_	(8
6	Bündnisgrünen	Bündnisgrüne	N	NN	_|Nom|Pl	4	subj	_	8)
7	an	an	PREP	APPR	Dat	4	objp	_	-
8	ihrer	ihre	ART	PPOSAT	Fem|Dat|Sg	9	det	_	(8)
9	Forderung	Forderung	N	NN	Fem|Dat|Sg	7	pn	_	-
10	nach	nach	PREP	APPR	Dat	9	pp	_	-
11	Abschaffung	Abschaffung	N	NN	Fem|Dat|Sg	10	pn	_	-
12	der	die	ART	ART	Def|Fem|Gen|Sg	13	det	_	-
13	Wehrpflicht	Wehrpflicht	N	NN	Fem|Gen|Sg	11	gmod	_	-
14	"	"	$(	$(	_	0	root	_	-
15	und	und	KON	KON	_	13	kon	_	-
16	damit	damit	PROAV	PROAV	_	19	pp	_	-
17	auch	auch	ADV	ADV	_	19	adv	_	-
18	des	die	ART	ART	Def|Masc|Gen|Sg	19	det	_	-
19	Zivildienstes	Zivildienst	N	NN	Masc|Gen|Sg	15	cj	_	-
20	"	"	$(	$(	_	0	root	_	-
21	fest	fest	PTKVZ	PTKVZ	_	4	avz	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(8)
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
3	"	"	$(	$(	_	0	root	_	-
4	für	für	PREP	APPR	Acc	18	pp	_	-
5	die	die	ART	ART	Def|Fem|Acc|Sg	7	det	_	-
6	vertragsgemäße	vertragsgemäß	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	7	attr	_	-
7	Einführung	Einführung	N	NN	Fem|Acc|Sg	4	pn	_	-
8	des	die	ART	ART	Def|Masc|Gen|Sg	9	det	_	-
9	Euro	Euro	N	NN	Masc|Gen|Sg	7	gmod	_	-
10	und	und	KON	KON	_	4	kon	_	-
11	gegen	gegen	PREP	APPR	Acc	10	cj	_	-
12	alle	alle	ART	PIDAT	Masc|Acc|Pl	13	det	_	-
13	Versuche	Versuch	N	NN	Masc|Acc|Pl	11	pn	_	-
14	einer	eine	ART	ART	Indef|Fem|Gen|Sg	15	det	_	-
15	Verschiebung	Verschiebung	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	"	"	$(	$(	_	0	root	_	-
17	,	,	$,	$,	_	0	root	_	-
18	treten	treten	V	VVINF	_	0	root	_	-
19	"	"	$(	$(	_	0	root	_	-
20	allerdings	allerdings	ADV	ADV	_	22	adv	_	-
21	nachdrücklich	nachdrücklich	ADV	ADJD	Pos|	22	adv	_	-
22	für	für	PREP	APPR	Acc	18	pp	_	-
23	eine	eine	ART	ART	Indef|Fem|Acc|Sg	25	det	_	-
24	politische	politisch	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	25	attr	_	-
25	Korrektur	Korrektur	N	NN	Fem|Acc|Sg	22	pn	_	-
26	der	die	ART	ART	Def|Fem|Gen|Pl	27	det	_	-
27	Rahmenbedingungen	Rahmenbedingung	N	NN	Fem|Gen|Pl	25	gmod	_	-
28	der	die	ART	ART	Def|Fem|Gen|Sg	29	det	_	-
29	Währungsunion	Währungsunion	N	NN	Fem|Gen|Sg	27	gmod	_	-
30	"	"	$(	$(	_	0	root	_	-
31	ein	ein	PTKVZ	PTKVZ	_	0	root	_	-
32	.	.	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	2	adv	_	-
2	an	an	PREP	APPR	Dat	23	objp	_	-
3	dem	die	ART	ART	Def|Neut|Dat|Sg	5	det	_	-
4	umstrittenen	umstritten	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	5	attr	_	-
5	Ziel	Ziel	N	NN	Neut|Dat|Sg	2	pn	_	-
6	,	,	$,	$,	_	0	root	_	-
7	den	die	ART	ART	Def|_|_|_	8	det	_	-
8	Bezinpreis	Bezinpreis	N	NN	_|_|_	21	obja	_	-
9	in	in	PREP	APPR	Dat	21	pp	_	-
10	den	die	ART	ART	Def|Neut|Dat|Pl	13	det	_	-
11	kommenden	kommend	ADJA	ADJA	Pos|Neut|Dat|Pl|_|_	13	attr	_	-
12	zehn	zehn	CARD	CARD	_	13	attr	_	-
13	Jahren	Jahr	N	NN	Neut|Dat|Pl	9	pn	_	-
14	schrittweise	schrittweise	ADV	ADJD	Pos|	21	adv	_	-
15	auf	auf	PREP	APPR	_	21	pp	_	-
16	fünf	fünf	CARD	CARD	_	17	attr	_	-
17	Mark	Mark	N	NN	_|_|Pl	15	pn	_	-
18	je	je	PREP	APPR	Dat	17	pp	_	-
19	Liter	Liter	N	NN	_|Dat|Sg	18	pn	_	-
20	zu	zu	PTKZU	PTKZU	_	21	part	_	-
21	erhöhen	erhöhen	V	VVINF	_	5	obji	_	-
22	,	,	$,	$,	_	0	root	_	-
23	hält	halten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
24	die	die	ART	ART	Def|Fem|Nom|Sg	25	det	_	-
25	Partei	Partei	N	NN	Fem|Nom|Sg	23	subj	_	-
26	weiter	weiter	ADV	ADV	_	23	adv	_	-
27	fest	fest	PTKVZ	PTKVZ	_	23	avz	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|_|Nom|Pl	2	det	_	(8
2	Bündnisgrünen	Bündnisgrüne	N	NN	_|Nom|Pl	3	subj	_	8)
3	wollen	wollen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
4	die	die	ART	ART	Def|_|_|_	5	det	_	-
5	Vermögenssteuer	Vermögenssteuer	N	NN	_|_|_	6	obja	_	-
6	wiedereinführen	wiedereinführen	V	VVINF	_	3	aux	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Für	für	PREP	APPR	Acc	5	pp	_	-
2	den	die	ART	ART	Def|Masc|Acc|Sg	3	det	_	-
3	Aufbau	Aufbau	N	NN	Masc|Acc|Sg	1	pn	_	-
4	Ost	Ost	N	NN	Masc|Acc|Sg	3	app	_	-
5	sollen	sollen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
6	Vermögen	Vermögen	N	NN	Neut|Nom|Pl	5	subj	_	-
7	über	über	PREP	APPR	_	15	pp	_	-
8	zwei	zwei	CARD	CARD	_	9	attr	_	-
9	Millionen	Million	N	NN	_|_|Sg	7	pn	_	-
10	Mark	Mark	N	NN	_|_|Sg	9	app	_	-
11	mit	mit	PREP	APPR	Dat	15	objp	_	-
12	einer	eine	ART	ART	Indef|Fem|Dat|Sg	14	det	_	-
13	befristeten	befristet	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	14	attr	_	-
14	Sonderabgabe	Sonderabgabe	N	NN	Fem|Dat|Sg	11	pn	_	-
15	belegt	belegen	V	VVPP	_	16	aux	_	-
16	werden	werden	V	VAINF	_	5	aux	_	-
17	.	.	$.	$.	_	0	root	_	-

