1	Nicht	nicht	PTKNEG	PTKNEG	_	5	adv	_	-
6	Alfred-Döblin-Preis	Alfred-Döblin-Preis	N	NN	Masc|Nom|Sg	2	pred	_	-
7	,	,	$,	$,	_	0	root	_	-
8	Hanseatenweg	Hanseatenweg	N	NN	Masc|_|Sg	14	obja	_	-
9	10	10	CARD	CARD	_	8	app	_	-
10	in	in	PREP	APPR	_	14	pp	_	-
11	Berlin	Berlin	N	NE	_|_|Sg	10	pn	_	(0
12	21	21	CARD	CARD	_	11	app	_	0)
13	zu	zu	PTKZU	PTKZU	_	14	part	_	-
14	erhalten	erhalten	V	VVINF	_	2	obji	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	Obacht	Obacht	N	NN	Fem|_|Sg	1	cj	_	-
3	!	!	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Bewerbungsfrist	Bewerbungsfrist	N	NN	Fem|Nom|Sg	3	subj	_	-
3	endet	enden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	am	an	PREP	APPRART	Dat	3	pp	_	-
5	15.	15.	ADJA	ADJA	_|Masc|Dat|Sg|_|	6	attr	_	-
6	September	September	N	NN	Masc|Dat|Sg	4	pn	_	-
7	1992	1992	CARD	CARD	_	6	app	_	-
8	.	.	$.	$.	_	0	root	_	-

